date,open,high,low,close,volume
2022-08-23,0.7824,0.7959,0.7373,0.7904,38674016.3
2022-08-24,0.7908,0.8166,0.7696,0.7869,43469905.4
2022-08-25,0.787,0.8095,0.776,0.7902,26999931.0
2022-08-26,0.7903,0.7937,0.6958,0.7057,49709793.1
2022-08-27,0.7055,0.7107,0.6714,0.6855,37623308.8
2022-08-28,0.6854,0.6966,0.6411,0.6461,23958781.6
2022-08-29,0.6461,0.685,0.63157,0.6808,42287453.2
2022-08-30,0.6807,0.6972,0.6356,0.6566,33988759.0
2022-08-31,0.6567,0.6977,0.6566,0.6716,31851304.6
2022-09-01,0.6715,0.686,0.6554,0.6829,24128247.7
2022-09-02,0.6828,0.7036,0.6646,0.6724,23964904.1
2022-09-03,0.6724,0.6806,0.66,0.6771,14439421.8
2022-09-04,0.6771,0.714,0.6761,0.7075,25694469.0
2022-09-05,0.7074,0.7132,0.6768,0.6921,17279744.2
2022-09-06,0.6922,0.7069,0.6269,0.6323,37628570.9
2022-09-07,0.6321,0.6579,0.6183,0.6502,22884119.1
2022-09-08,0.6503,0.6586,0.6347,0.6533,21885824.1
2022-09-09,0.6533,0.82,0.6517,0.7831,68424926.6
2022-09-10,0.7832,0.7917,0.7308,0.7473,52143587.6
2022-09-11,0.7474,0.7767,0.7147,0.7353,42430937.5
2022-09-12,0.7353,0.7625,0.7148,0.7405,38505865.6
2022-09-13,0.7409,0.755,0.6566,0.661,52543097.8
2022-09-14,0.6613,0.6954,0.6398,0.6756,28214743.3
2022-09-15,0.6754,0.692,0.6438,0.6671,37415557.9
2022-09-16,0.6671,0.6745,0.6355,0.652,23485447.8
2022-09-17,0.6523,0.682,0.6516,0.6784,13765152.6
2022-09-18,0.6784,0.6892,0.5906,0.6061,25574833.9
2022-09-19,0.6061,0.6295,0.589,0.6236,48234124.0
2022-09-20,0.6236,0.6426,0.6088,0.6159,43264817.8
2022-09-21,0.6163,0.6498,0.5861,0.5974,48304592.0
2022-09-22,0.5972,0.6419,0.5961,0.6364,33401438.4
2022-09-23,0.6365,0.6478,0.6077,0.638,24393846.3
2022-09-24,0.638,0.6586,0.6283,0.6354,18085896.0
2022-09-25,0.6349,0.6503,0.6082,0.6165,21188424.9
2022-09-26,0.6162,0.6449,0.6028,0.6402,22767310.0
2022-09-27,0.6401,0.7352,0.6375,0.6922,90365212.3
2022-09-28,0.6924,0.709,0.6503,0.6714,61042463.9
2022-09-29,0.6714,0.675,0.63,0.6494,34708955.8
2022-09-30,0.6494,0.6514,0.6322,0.641,20215432.6
2022-10-01,0.6409,0.647,0.6337,0.6411,10194919.5
2022-10-02,0.6411,0.6453,0.6035,0.6065,16795192.9
2022-10-03,0.6066,0.6293,0.594,0.6249,15043327.8
2022-10-04,0.6248,0.6337,0.6172,0.6286,12421577.4
2022-10-05,0.6284,0.6304,0.6097,0.6252,15958583.9
2022-10-06,0.6252,0.6355,0.6206,0.6274,18201743.1
2022-10-07,0.6274,0.6593,0.6267,0.6509,52396354.0
2022-10-08,0.6508,0.665,0.6344,0.6382,18718538.6
2022-10-09,0.6382,0.6497,0.634,0.6439,10724098.0
2022-10-10,0.6439,0.6561,0.6401,0.6447,16818560.2
2022-10-11,0.6446,0.6466,0.6206,0.6403,40348727.1
2022-10-12,0.6404,0.649,0.6193,0.6282,12712757.6
2022-10-13,0.628,0.6299,0.54,0.5932,53204504.8
2022-10-14,0.5931,0.6134,0.5666,0.5743,27981046.3
2022-10-15,0.574,0.5784,0.5626,0.5674,12018289.3
2022-10-16,0.5674,0.5854,0.566,0.5778,12078045.9
2022-10-17,0.5779,0.5938,0.5711,0.5898,12135478.8
2022-10-18,0.59,0.5951,0.5593,0.5687,15101281.4
2022-10-19,0.5687,0.5701,0.5031,0.5156,17299237.4
2022-10-20,0.5155,0.5311,0.4975,0.5028,22182733.9
2022-10-21,0.5028,0.5028,0.4555,0.4769,40770138.1
2022-10-22,0.4769,0.4846,0.4668,0.4707,16808467.7
2022-10-23,0.4708,0.4894,0.4671,0.4839,17852890.5
2022-10-24,0.484,0.489,0.4575,0.4591,21702045.3
2022-10-25,0.4593,0.4883,0.4577,0.4743,26357163.2
2022-10-26,0.4743,0.5046,0.4713,0.4887,26233213.1
2022-10-27,0.4886,0.5512,0.4868,0.4964,43171504.4
2022-10-28,0.4964,0.5238,0.4707,0.5157,32386468.4
2022-10-29,0.5156,0.5462,0.5049,0.5173,37506510.2
2022-10-30,0.5174,0.585,0.5115,0.5319,54050290.8
2022-10-31,0.5318,0.5573,0.5194,0.5434,30811418.2
2022-11-01,0.5433,0.5564,0.5228,0.5238,19956163.6
2022-11-02,0.5238,0.5245,0.4772,0.4877,27754782.2
2022-11-03,0.4874,0.5185,0.4838,0.4979,27934309.3
2022-11-04,0.4979,0.5397,0.4962,0.5371,28132793.5
2022-11-05,0.537,0.6,0.5335,0.5692,96809786.9
2022-11-06,0.5692,0.5944,0.5456,0.5484,73585837.8
2022-11-07,0.5485,0.6187,0.5464,0.5862,116446925.9
2022-11-08,0.5861,0.6379,0.4731,0.5124,160282805.5
2022-11-09,0.5124,0.5174,0.3314,0.3457,131974915.2
2022-11-10,0.3456,0.4315,0.3397,0.4187,128069881.6
2022-11-11,0.4187,0.4253,0.3696,0.3984,48513589.3
2022-11-12,0.3986,0.4081,0.3619,0.3791,38704776.0
2022-11-13,0.3789,0.4,0.366,0.3891,65855467.3
2022-11-14,0.3892,0.3935,0.3466,0.3845,53244251.9
2022-11-15,0.3845,0.406,0.3749,0.393,37540204.4
2022-11-16,0.393,0.4021,0.379,0.3929,41199543.5
2022-11-17,0.3929,0.415,0.3897,0.3963,34422374.0
2022-11-18,0.3964,0.4081,0.3935,0.4051,20068336.9
2022-11-19,0.405,0.4169,0.3962,0.4154,27358239.7
2022-11-20,0.4154,0.4164,0.3733,0.3764,27888157.1
2022-11-21,0.3763,0.3776,0.345,0.3602,33726998.5
2022-11-22,0.3605,0.3741,0.3508,0.3726,25307496.0
2022-11-23,0.3726,0.397,0.3683,0.3961,29803155.1
2022-11-24,0.3961,0.3998,0.3813,0.3893,14432829.4
2022-11-25,0.3892,0.3895,0.3718,0.3814,11542598.6
2022-11-26,0.3814,0.3898,0.374,0.3787,11554981.1
2022-11-27,0.3786,0.3966,0.3749,0.3825,20579803.8
