date,open,high,low,close,volume
2022-10-05,40.91,67.0,40.91,50.93,1495831.798
2022-10-06,50.92,52.38,42.71,44.22,532847.829
2022-10-07,44.23,45.7,42.24,43.12,172143.533
2022-10-08,43.09,48.0,42.37,44.46,256456.015
2022-10-09,44.45,49.0,44.11,45.21,249959.641
2022-10-10,45.18,46.48,41.14,41.45,153337.863
2022-10-11,41.45,41.46,37.32,38.32,169859.672
2022-10-12,38.32,40.5,38.23,38.66,66439.571
2022-10-13,38.66,38.75,34.63,38.66,139116.869
2022-10-14,38.55,42.1,37.44,37.98,123876.552
2022-10-15,38.03,38.59,36.17,36.38,43063.162
2022-10-16,36.38,38.48,36.36,38.05,37625.245
2022-10-17,38.01,39.5,37.23,38.34,85168.703
2022-10-18,38.43,38.79,36.04,37.08,32534.51
2022-10-19,37.17,37.17,34.91,34.92,45784.827
2022-10-20,34.99,35.5,33.15,33.32,26714.1
2022-10-21,33.25,38.0,32.5,35.21,69139.991
2022-10-22,35.23,36.5,33.81,34.76,38334.964
2022-10-23,34.83,37.38,34.51,37.16,34949.36
2022-10-24,37.14,37.26,35.5,35.81,32347.89
2022-10-25,35.88,38.85,35.41,37.6,42939.222
2022-10-26,37.61,45.0,37.4,42.17,171166.261
2022-10-27,42.24,43.55,39.0,39.06,103904.926
2022-10-28,39.08,43.35,37.84,42.37,107185.196
2022-10-29,42.37,46.77,42.07,43.47,121292.888
2022-10-30,43.46,43.61,40.67,41.47,98836.021
2022-10-31,41.46,43.48,40.86,42.7,95879.511
2022-11-01,42.74,43.74,41.76,41.91,81545.688
2022-11-02,41.92,43.0,40.14,40.57,136776.309
2022-11-03,40.58,41.41,40.05,40.14,170053.29
2022-11-04,40.14,43.45,39.8,43.17,84530.617
2022-11-05,43.2,43.56,40.56,40.96,62594.406
2022-11-06,40.98,41.36,38.18,38.23,47207.904
2022-11-07,38.17,40.26,37.35,38.5,97156.775
2022-11-08,38.48,40.75,31.63,35.26,164352.271
2022-11-09,35.32,37.38,25.2,26.18,191273.407
2022-11-10,26.19,36.63,25.89,34.93,118243.965
2022-11-11,34.94,36.08,31.0,34.95,92755.319
2022-11-12,35.05,42.86,35.0,36.77,190831.012
2022-11-13,36.78,48.0,36.02,38.32,400228.235
2022-11-14,38.37,47.58,37.54,42.05,207068.391
2022-11-15,42.17,46.0,39.77,42.74,154103.759
2022-11-16,42.72,44.4,38.32,40.71,94894.831
2022-11-17,40.74,41.38,38.27,39.62,51988.986
2022-11-18,39.67,44.34,39.5,40.56,39658.847
2022-11-19,40.57,43.7,40.0,43.0,76034.733
2022-11-20,43.0,49.6,40.6,41.1,152691.588
2022-11-21,41.11,44.2,39.2,40.81,99906.462
2022-11-22,40.79,42.23,36.3,40.84,123340.203
2022-11-23,40.85,43.13,39.86,42.56,80919.609
2022-11-24,42.62,46.99,42.21,45.98,98882.481
2022-11-25,45.86,49.89,43.28,46.33,71098.236
2022-11-26,46.32,48.23,43.63,44.13,71528.996
2022-11-27,44.16,45.58,43.06,43.14,45551.751
2022-11-28,43.14,43.66,40.51,40.81,73142.811
2022-11-29,40.82,42.8,40.35,41.62,103831.061
2022-11-30,41.6,49.63,41.38,49.37,156171.962
2022-12-01,49.3,53.8,47.62,50.33,175931.604
2022-12-02,50.32,59.59,49.59,55.52,200007.304
2022-12-03,55.43,58.55,50.91,51.6,119853.172
2022-12-04,51.66,55.14,51.41,53.32,59474.58
2022-12-05,53.32,57.85,51.3,51.49,71805.438
2022-12-06,51.5,52.57,48.33,50.21,63599.375
2022-12-07,50.31,56.78,49.0,51.95,143341.206
2022-12-08,51.99,55.07,50.7,54.01,62404.81
2022-12-09,54.01,54.58,51.19,51.92,66184.516
2022-12-10,51.91,55.04,51.65,53.73,37747.21
2022-12-11,53.73,58.99,53.61,55.47,107236.223
2022-12-12,55.42,59.5,53.9,58.84,135200.723
2022-12-13,58.84,61.0,52.94,53.65,213167.311
2022-12-14,53.62,55.25,51.24,52.6,99357.035
2022-12-15,52.6,52.92,50.2,50.86,38892.64
2022-12-16,50.88,52.28,44.67,46.16,93585.4
2022-12-17,46.19,50.2,45.86,48.05,65223.37
2022-12-18,48.09,48.53,46.11,46.16,31217.919
2022-12-19,46.2,46.83,42.32,43.93,51240.886
2022-12-20,43.99,47.58,43.72,46.5,38966.897
2022-12-21,46.5,47.72,45.83,47.23,28990.027
2022-12-22,47.29,47.52,45.0,46.18,32660.287
2022-12-23,46.24,46.56,45.6,46.05,12860.795
2022-12-24,46.12,46.99,45.87,46.59,9966.178
2022-12-25,46.66,46.79,45.45,45.85,8939.916
2022-12-26,45.86,46.56,44.51,45.14,18160.51
2022-12-27,45.24,45.47,43.61,44.16,17416.694
2022-12-28,44.12,44.18,41.52,41.71,29213.589
2022-12-29,41.7,43.6,41.38,42.96,24439.394
2022-12-30,42.85,43.42,40.3,41.1,32247.07
2022-12-31,41.1,42.24,40.17,41.6,30756.654
2023-01-01,41.62,41.98,41.0,41.34,16702.075
2023-01-02,41.36,42.55,40.49,41.51,38543.585
2023-01-03,41.54,42.63,37.65,39.9,119591.169
2023-01-04,39.93,42.21,39.83,41.34,81017.249
