date,open,high,low,close,volume
2022-08-23,165.2,166.3,160.8,165.4,1090.053
2022-08-24,165.4,169.1,161.1,165.6,933.355
2022-08-25,166.3,170.3,165.9,169.0,672.43
2022-08-26,168.6,169.9,152.8,154.5,2450.705
2022-08-27,153.1,155.0,148.7,151.0,375.927
2022-08-28,150.8,153.1,146.9,146.9,298.383
2022-08-29,147.0,158.8,146.0,157.2,521.641
2022-08-30,158.2,162.2,147.7,152.2,2611.561
2022-08-31,153.2,160.7,153.1,154.9,1523.988
2022-09-01,154.3,159.7,151.7,157.5,1324.374
2022-09-02,156.6,163.4,154.0,155.5,991.23
2022-09-03,155.5,156.1,151.9,153.9,151.753
2022-09-04,153.4,157.2,152.2,156.1,424.113
2022-09-05,156.4,161.1,153.4,158.8,447.348
2022-09-06,160.1,165.4,151.9,153.3,1539.047
2022-09-07,153.5,160.0,145.8,156.6,1791.091
2022-09-08,157.0,161.2,154.9,160.5,1043.766
2022-09-09,160.8,170.7,160.3,167.6,2588.902
2022-09-10,167.7,173.4,166.8,172.1,515.098
2022-09-11,172.1,176.8,168.7,172.8,1901.985
2022-09-12,172.5,173.9,166.7,167.9,1106.425
2022-09-13,168.6,170.8,149.4,150.2,6996.385
2022-09-14,149.9,157.1,148.7,154.2,3514.702
2022-09-15,154.3,157.6,138.6,139.0,2419.433
2022-09-16,139.0,140.8,133.9,135.5,2216.499
2022-09-17,136.6,140.9,134.4,138.0,2010.538
2022-09-18,137.4,137.7,124.3,127.9,979.889
2022-09-19,126.1,134.8,121.6,130.7,1793.38
2022-09-20,130.6,132.7,124.3,125.7,3715.945
2022-09-21,124.8,131.1,116.7,119.8,2950.8
2022-09-22,120.0,128.8,118.1,126.6,1158.993
2022-09-23,125.7,128.5,119.6,123.7,3751.457
2022-09-24,124.3,127.4,121.8,123.2,418.965
2022-09-25,123.2,124.2,116.9,119.6,559.777
2022-09-26,120.1,124.7,119.1,123.5,806.76
2022-09-27,123.3,137.0,122.1,123.2,8562.825
2022-09-28,123.4,127.2,118.1,119.9,2077.748
2022-09-29,119.9,122.4,115.5,119.8,1833.775
2022-09-30,119.6,124.0,118.3,120.0,706.468
2022-10-01,120.1,120.9,115.3,118.1,442.554
2022-10-02,118.0,118.2,115.2,115.2,557.225
2022-10-03,115.1,119.6,114.2,119.1,426.251
2022-10-04,119.4,123.5,118.8,121.6,584.221
2022-10-05,121.5,121.5,113.0,115.6,3199.154
2022-10-06,116.3,118.8,114.3,115.0,1018.5
2022-10-07,115.3,116.3,112.8,113.7,363.33
2022-10-08,113.7,114.5,111.7,112.8,496.597
2022-10-09,112.6,114.1,111.3,112.9,857.131
2022-10-10,113.1,114.3,108.9,110.4,1576.748
2022-10-11,110.4,111.4,108.0,108.5,3877.56
2022-10-12,108.8,111.5,108.4,110.0,781.51
2022-10-13,110.1,111.3,102.3,108.7,2412.279
2022-10-14,108.8,113.7,108.5,110.0,1043.469
2022-10-15,110.3,111.3,107.2,108.5,824.633
2022-10-16,108.2,112.9,108.0,110.0,508.345
2022-10-17,110.7,115.0,109.2,112.6,1132.455
2022-10-18,112.4,113.4,108.7,110.3,352.098
2022-10-19,110.5,112.5,108.2,108.3,429.529
2022-10-20,108.3,110.3,107.2,108.3,179.809
2022-10-21,107.8,111.4,105.6,109.7,372.631
2022-10-22,109.7,113.6,107.9,110.8,2843.177
2022-10-23,110.6,115.2,108.1,113.3,1026.013
2022-10-24,113.7,115.4,111.2,112.9,2693.467
2022-10-25,113.4,126.7,112.6,121.3,3673.117
2022-10-26,121.5,132.9,121.1,128.5,4675.071
2022-10-27,128.7,130.7,123.9,125.3,1218.657
2022-10-28,124.8,128.7,123.0,128.5,664.477
2022-10-29,128.1,134.9,127.5,130.7,1388.842
2022-10-30,130.6,132.6,127.3,128.6,669.59
2022-10-31,128.9,131.5,126.2,127.2,769.141
2022-11-01,127.0,131.0,118.0,119.3,5117.809
2022-11-02,119.2,120.9,112.8,114.0,2336.617
2022-11-03,113.9,118.4,113.7,115.3,841.922
2022-11-04,115.3,125.7,114.9,123.7,1432.023
2022-11-05,123.7,125.2,120.2,121.2,2113.278
2022-11-06,121.0,124.9,117.0,117.4,914.812
2022-11-07,117.4,120.3,115.6,117.5,634.175
2022-11-08,117.5,118.8,94.8,100.2,5311.161
2022-11-09,100.1,100.6,81.2,83.9,3059.029
2022-11-10,82.7,108.5,82.4,96.9,3483.218
2022-11-11,96.9,97.3,89.3,95.3,2838.36
2022-11-12,95.2,95.8,91.5,91.5,2114.243
2022-11-13,91.9,93.7,88.3,89.5,575.137
2022-11-14,89.0,94.3,85.4,90.9,1336.839
2022-11-15,90.9,94.4,90.7,91.8,439.537
2022-11-16,91.8,93.5,86.6,89.4,2471.595
2022-11-17,89.2,92.4,86.8,88.6,4269.625
2022-11-18,88.5,92.0,87.6,88.4,3935.139
2022-11-19,88.6,91.1,87.8,89.1,1184.699
2022-11-20,89.0,90.8,82.5,82.9,3502.459
2022-11-21,82.7,84.0,78.4,80.2,3787.902
2022-11-22,80.0,80.9,76.4,79.8,1645.848
2022-11-23,80.0,84.7,79.3,83.2,1643.277
2022-11-24,83.2,87.5,82.8,84.5,1126.56
2022-11-25,84.5,85.8,82.2,84.1,1051.415
2022-11-26,84.4,88.5,84.1,84.5,729.577
2022-11-27,84.6,88.4,84.0,84.1,3743.49
2022-11-28,84.1,84.4,81.0,81.8,1323.608
2022-11-29,81.8,88.0,81.4,84.9,1392.344
2022-11-30,85.1,92.5,84.6,91.7,2389.575
2022-12-01,91.8,92.0,89.3,91.6,1102.559
2022-12-02,91.5,94.3,91.0,94.0,1765.83
2022-12-03,94.0,94.2,89.8,89.8,832.698
2022-12-04,90.2,92.7,89.9,91.9,515.817
2022-12-05,92.0,96.2,89.8,90.8,1071.59
2022-12-06,90.7,91.5,90.0,91.5,378.624
2022-12-07,91.1,91.7,87.6,88.8,370.287
2022-12-08,88.8,124.0,88.0,91.4,26810.315
2022-12-09,91.1,92.7,89.1,89.7,2940.036
2022-12-10,89.9,93.2,88.4,89.8,2232.255
2022-12-11,89.4,91.0,88.3,89.1,1238.634
2022-12-12,89.2,90.4,87.2,89.6,1155.969
2022-12-13,89.7,95.3,87.1,93.3,2980.308
2022-12-14,93.2,95.4,91.9,92.4,1308.594
2022-12-15,92.6,92.6,89.1,89.9,528.476
2022-12-16,90.1,95.0,81.1,82.4,2760.286
2022-12-17,82.4,89.9,82.4,85.5,1017.959
2022-12-18,85.6,86.9,83.4,85.3,397.437
2022-12-19,85.7,93.6,83.9,84.2,5335.705
2022-12-20,84.6,89.2,84.3,87.3,2394.14
2022-12-21,87.3,88.0,85.5,87.0,302.638
2022-12-22,86.7,88.8,84.4,87.9,656.809
2022-12-23,87.8,88.6,86.3,86.7,1328.69
2022-12-24,86.7,88.8,86.0,87.1,2143.885
2022-12-25,87.1,87.9,85.5,86.5,2217.433
2022-12-26,86.5,87.9,85.8,86.4,1894.354
2022-12-27,86.6,87.7,84.3,85.6,586.812
2022-12-28,85.5,85.7,82.8,83.3,472.705
2022-12-29,83.5,86.0,83.0,84.4,550.863
2022-12-30,84.4,85.0,82.9,83.9,419.355
2022-12-31,84.0,84.8,82.9,83.2,205.249
2023-01-01,83.1,84.7,82.4,83.9,631.704
2023-01-02,83.7,84.5,83.0,83.6,577.642
2023-01-03,83.6,84.9,82.8,83.5,430.696
2023-01-04,83.5,92.4,83.3,86.3,3028.523
2023-01-05,86.3,88.1,85.1,85.9,520.704
2023-01-06,85.7,88.1,84.7,87.9,477.553
2023-01-07,87.8,88.0,87.3,87.3,137.239
2023-01-08,87.5,88.7,86.6,88.6,351.438
2023-01-09,88.4,92.7,88.4,91.3,735.676
2023-01-10,91.3,92.9,90.3,92.4,763.575
2023-01-11,92.4,95.4,88.7,95.2,1442.45
2023-01-12,95.2,100.0,93.0,97.6,2037.924
2023-01-13,97.6,102.0,96.0,100.4,849.299
2023-01-14,100.0,120.0,99.8,105.8,5525.647
2023-01-15,105.9,107.5,103.0,106.0,628.143
2023-01-16,106.0,112.5,102.0,106.2,2809.922
2023-01-17,106.4,107.6,104.2,104.5,2277.262
2023-01-18,104.6,106.5,97.9,101.1,1582.36
2023-01-19,100.6,104.3,100.1,102.6,1307.074
2023-01-20,102.6,109.7,101.6,108.9,2338.102
2023-01-21,108.8,115.0,106.3,106.5,3563.117
2023-01-22,106.4,109.9,105.7,107.7,1273.42
2023-01-23,107.4,109.8,105.9,107.2,1811.171
2023-01-24,107.2,108.2,101.1,102.2,1233.123
2023-01-25,102.5,107.1,99.1,105.2,1288.307
2023-01-26,105.1,108.9,103.1,105.7,1079.516
2023-01-27,105.8,106.7,102.2,105.2,821.251
2023-01-28,105.4,106.4,101.8,105.2,3892.99
2023-01-29,105.3,114.7,104.7,112.9,4030.529
2023-01-30,112.9,121.8,107.0,109.7,7025.93
2023-01-31,109.6,119.0,109.4,114.2,2543.225
2023-02-01,113.9,118.7,111.5,118.2,1719.709
2023-02-02,118.2,122.4,116.1,117.2,2409.828
2023-02-03,117.1,119.5,115.8,119.3,1352.434
2023-02-04,119.3,120.1,117.2,118.7,666.046
2023-02-05,119.2,119.7,114.1,117.1,1175.557
2023-02-06,116.8,120.0,114.9,116.9,1552.841
2023-02-07,117.3,121.0,115.9,120.7,1337.593
2023-02-08,120.7,124.1,117.3,120.3,2014.058
2023-02-09,120.3,124.4,108.0,110.7,3126.128
2023-02-10,110.4,116.7,107.9,108.9,1421.337
2023-02-11,108.9,111.3,108.0,111.0,900.218
2023-02-12,110.9,110.9,107.0,107.7,584.378
2023-02-13,107.7,125.0,102.7,106.7,3216.067
2023-02-14,106.7,110.6,105.2,109.7,810.823
2023-02-15,109.9,114.8,107.5,114.5,1967.545
2023-02-16,114.4,116.2,108.1,108.2,2010.286
2023-02-17,108.3,112.0,108.0,111.2,1143.591
2023-02-18,111.1,125.0,108.6,110.0,2312.911
2023-02-19,109.6,114.4,109.0,109.8,3459.274
2023-02-20,109.8,113.1,107.6,111.9,2320.064
2023-02-21,112.0,123.0,107.6,108.7,3864.088
2023-02-22,108.7,111.4,104.7,107.6,2204.367
2023-02-23,107.6,109.5,106.1,107.6,951.039
2023-02-24,108.1,110.4,101.6,106.1,2655.585
2023-02-25,106.2,108.9,103.3,105.6,2204.63
2023-02-26,105.7,109.9,105.5,108.3,1333.683
2023-02-27,108.3,110.5,106.4,108.3,1635.273
2023-02-28,108.3,109.0,105.6,106.0,1105.812
2023-03-01,105.8,113.0,105.5,109.0,1540.509
2023-03-02,109.0,110.3,106.1,108.4,1038.805
2023-03-03,108.3,108.4,99.0,102.8,1363.701
2023-03-04,103.0,109.0,100.5,103.0,1152.562
2023-03-05,103.2,104.9,101.4,102.9,2516.442
2023-03-06,103.0,105.3,102.3,104.8,788.952
2023-03-07,104.6,105.9,102.0,104.0,1718.07
2023-03-08,104.0,105.4,101.7,101.9,1272.985
2023-03-09,101.9,103.2,95.0,96.0,2275.713
2023-03-10,96.0,96.0,91.7,95.1,1589.122
2023-03-11,95.1,104.3,93.4,97.4,1915.958
2023-03-12,97.1,104.2,95.5,103.6,3010.472
2023-03-13,103.6,108.9,100.3,107.3,1990.131
2023-03-14,107.3,122.1,105.4,110.1,3469.948
2023-03-15,110.2,111.5,101.8,104.9,3536.03
2023-03-16,105.2,111.5,104.3,107.6,1068.675
2023-03-17,107.4,114.6,106.0,114.6,1240.944
2023-03-18,114.6,116.9,111.0,111.6,1104.443
2023-03-19,111.5,115.6,110.0,112.3,847.044
2023-03-20,112.5,112.8,108.3,108.4,1178.547
2023-03-21,108.8,114.9,107.8,112.8,551.122
2023-03-22,113.4,113.7,104.7,108.1,1291.019
2023-03-23,108.1,114.4,106.7,112.3,902.384
2023-03-24,112.1,119.0,106.0,107.6,2642.307
2023-03-25,107.8,112.2,105.6,107.0,630.35
2023-03-26,106.5,109.9,105.8,108.5,1037.557
2023-03-27,108.0,110.9,103.6,105.6,2975.164
2023-03-28,105.4,111.3,104.2,110.5,679.154
2023-03-29,110.5,115.0,109.7,112.5,1028.197
2023-03-30,112.5,113.9,110.3,111.8,490.9
2023-03-31,112.1,114.7,110.8,113.8,713.98
2023-04-01,113.9,114.9,112.2,112.8,638.443
2023-04-02,113.0,113.0,109.6,111.0,504.438
2023-04-03,111.3,112.9,108.3,111.8,422.208
2023-04-04,111.8,115.9,110.7,114.9,615.386
2023-04-05,115.1,119.4,114.0,115.8,1813.645
2023-04-06,115.8,116.4,112.1,112.4,1125.161
2023-04-07,112.4,113.6,110.4,111.7,1291.551
2023-04-08,111.8,113.9,111.1,111.6,430.364
2023-04-09,111.5,112.5,109.2,111.5,518.806
2023-04-10,111.6,113.8,111.1,113.8,411.777
2023-04-11,113.8,114.6,111.7,112.1,1034.321
2023-04-12,112.1,113.2,108.7,111.8,827.048
2023-04-13,111.3,117.6,110.7,116.5,798.934
2023-04-14,117.0,146.6,116.8,123.6,3781.097
2023-04-15,123.4,125.2,119.6,121.2,1095.761
2023-04-16,121.0,123.7,117.9,122.7,1170.061
2023-04-17,122.5,123.0,118.7,120.7,740.173
2023-04-18,120.8,122.4,118.6,119.7,2015.154
2023-04-19,119.6,119.6,110.7,111.0,2047.61
2023-04-20,110.9,112.2,110.0,110.5,913.304
2023-04-21,110.5,111.2,105.0,106.4,1519.284
2023-04-22,106.6,108.6,106.4,108.5,203.449
2023-04-23,108.5,108.7,106.0,106.8,671.874
2023-04-24,106.7,108.1,104.7,105.6,1110.436
2023-04-25,105.5,107.2,104.0,106.8,1088.584
2023-04-26,106.6,111.8,104.0,107.3,1287.661
2023-04-27,107.4,111.0,107.0,109.2,590.801
2023-04-28,109.2,110.5,107.8,108.4,242.959
2023-04-29,108.6,109.8,108.0,108.6,281.594
2023-04-30,108.4,110.5,107.4,107.7,246.975
2023-05-01,107.6,115.3,102.9,105.1,3270.905
2023-05-02,105.2,108.4,104.0,107.4,857.83
2023-05-03,107.6,114.0,106.7,111.0,2148.545
2023-05-04,110.9,113.0,110.3,111.3,769.735
2023-05-05,111.7,120.8,111.3,119.6,2852.584
2023-05-06,119.6,121.0,112.0,114.9,1075.745
2023-05-07,115.1,122.9,114.2,116.5,2240.522
2023-05-08,116.6,117.1,112.0,113.3,1456.967
2023-05-09,113.3,115.0,112.8,113.5,291.002
2023-05-10,113.9,117.1,109.3,114.1,1341.472
2023-05-11,114.1,114.2,108.6,109.4,1229.039
2023-05-12,109.9,116.7,106.3,111.8,1339.718
2023-05-13,111.9,113.1,110.6,112.2,664.662
2023-05-14,112.1,113.9,111.3,112.3,358.698
2023-05-15,112.1,116.2,110.9,114.2,1393.321
2023-05-16,114.2,116.4,112.6,116.1,1132.866
2023-05-17,115.8,117.3,113.1,115.5,644.291
2023-05-18,115.3,115.7,112.6,113.8,349.233
2023-05-19,113.5,115.4,112.8,115.0,362.086
2023-05-20,114.8,116.8,114.4,115.4,224.796
2023-05-21,115.4,116.2,113.6,113.8,286.792
2023-05-22,113.8,115.4,112.8,114.2,497.363
2023-05-23,114.3,118.6,114.0,117.5,602.18
2023-05-24,117.3,117.9,111.2,112.2,1529.836
2023-05-25,112.1,113.4,110.3,112.2,1031.312
2023-05-26,112.0,113.8,111.2,113.5,290.301
2023-05-27,113.5,114.8,113.4,114.2,349.781
2023-05-28,114.1,118.5,114.1,118.2,667.468
2023-05-29,118.2,119.0,116.0,116.8,496.36
2023-05-30,116.9,118.6,115.9,116.9,1099.69
2023-05-31,117.1,117.6,114.2,115.1,397.924
2023-06-01,115.1,116.8,113.6,115.3,445.661
2023-06-02,115.2,117.6,114.9,117.2,356.976
2023-06-03,117.2,117.7,116.2,116.4,283.442
2023-06-04,116.3,118.4,115.5,116.9,271.706
2023-06-05,117.0,117.0,109.1,110.7,1207.432
2023-06-06,110.5,119.4,109.5,114.9,998.65
2023-06-07,114.9,116.9,112.1,113.4,989.739
2023-06-08,113.4,120.0,112.9,116.9,2811.292
2023-06-09,117.2,118.6,114.4,116.3,1815.366
2023-06-10,116.4,116.9,108.1,109.9,4229.213
2023-06-11,109.5,111.4,108.8,110.4,801.821
2023-06-12,110.0,110.5,107.9,109.5,778.222
2023-06-13,109.4,114.5,107.3,109.4,1142.486
2023-06-14,109.1,109.8,103.2,103.8,1429.114
2023-06-15,103.7,105.0,101.6,104.2,572.497
2023-06-16,104.2,106.7,103.1,106.1,632.627
2023-06-17,106.1,108.6,105.6,107.5,312.447
2023-06-18,107.2,108.5,106.1,107.4,252.725
2023-06-19,107.6,108.0,105.6,107.0,503.881
2023-06-20,107.0,109.9,104.0,109.8,739.488
2023-06-21,109.8,114.9,109.7,114.3,1086.036
2023-06-22,114.3,117.5,113.4,115.3,611.982
2023-06-23,115.3,118.9,114.8,116.6,1357.029
2023-06-24,116.6,117.6,113.4,114.7,1123.704
2023-06-25,114.7,118.7,114.7,116.5,1437.557
2023-06-26,116.5,117.9,113.6,114.2,631.784
2023-06-27,114.0,118.6,114.0,116.5,806.483
2023-06-28,116.5,116.5,112.5,113.3,589.14
2023-06-29,113.4,114.8,112.6,113.5,719.652
2023-06-30,113.1,119.9,111.3,118.0,1905.064
2023-07-01,118.3,119.5,116.2,118.6,762.772
2023-07-02,118.6,119.6,115.2,117.2,2474.249
2023-07-03,117.2,120.0,116.9,118.9,673.828
2023-07-04,118.9,119.4,116.2,117.7,576.343
2023-07-05,117.8,118.7,113.6,115.3,560.055
2023-07-06,115.3,119.1,113.0,113.1,432.632
2023-07-07,113.1,114.2,111.5,113.1,515.916
2023-07-08,113.1,118.5,112.5,113.4,376.568
2023-07-09,113.4,114.9,112.4,113.8,444.806
2023-07-10,114.1,116.0,112.4,114.5,444.912
2023-07-11,114.7,115.9,113.6,114.2,713.852
2023-07-12,114.2,116.0,114.1,115.4,535.583
2023-07-13,115.7,122.9,114.3,122.1,1768.742
2023-07-14,122.4,125.6,115.7,118.6,3000.266
2023-07-15,118.6,120.9,117.6,118.1,2587.529
2023-07-16,118.1,120.1,115.0,115.3,7855.627
2023-07-17,115.3,127.4,114.6,118.7,8552.091
2023-07-18,118.7,120.0,115.0,117.0,4809.67
2023-07-19,117.0,119.0,116.6,117.7,1130.651
2023-07-20,117.8,121.1,117.5,118.6,1596.029
2023-07-21,118.5,120.4,116.5,118.9,2441.836
2023-07-22,118.7,120.3,115.6,115.9,4767.094
2023-07-23,115.9,118.0,115.3,116.4,4284.653
2023-07-24,116.4,116.9,111.4,113.4,2618.975
2023-07-25,113.4,117.4,113.0,116.1,1991.173
2023-07-26,115.7,116.1,113.7,115.0,623.897
2023-07-27,115.1,117.1,114.7,115.2,423.729
2023-07-28,115.5,117.5,115.1,117.1,321.08
2023-07-29,117.0,118.8,116.3,117.4,1043.021
2023-07-30,117.3,117.8,114.5,115.2,711.902
2023-07-31,115.2,116.8,114.1,114.8,387.305
2023-08-01,114.8,114.8,111.6,114.5,472.687
2023-08-02,114.5,115.0,111.1,111.5,801.219
2023-08-03,111.5,113.0,111.0,111.6,499.278
2023-08-04,111.6,113.0,110.8,111.1,556.024
2023-08-05,111.1,112.7,110.3,110.8,675.241
2023-08-06,110.8,112.2,110.1,110.5,674.395
2023-08-07,110.8,111.9,108.4,109.9,986.319
2023-08-08,110.2,114.6,109.8,111.7,1915.165
2023-08-09,111.7,113.6,110.9,111.3,687.898
2023-08-10,111.6,113.0,110.0,111.3,1130.32
2023-08-11,111.0,112.5,110.2,110.6,889.211
2023-08-12,110.8,112.0,110.2,110.6,965.493
2023-08-13,110.6,111.6,109.7,110.5,1135.218
2023-08-14,110.2,112.6,109.1,109.4,1761.738
2023-08-15,109.4,111.5,108.3,108.6,1757.327
2023-08-16,108.6,109.4,106.1,107.0,1029.713
2023-08-17,107.2,107.4,97.0,101.3,1246.612
2023-08-18,101.3,102.3,98.9,100.1,414.698
2023-08-19,100.2,101.2,99.6,100.4,244.421
2023-08-20,100.5,102.8,99.7,101.3,1019.763
2023-08-21,101.4,102.7,99.3,101.2,574.355
2023-08-22,101.7,101.9,96.9,99.6,491.622
2023-08-23,99.5,101.9,98.0,100.9,509.154
2023-08-24,101.3,101.5,99.2,99.9,150.155
2023-08-25,100.4,102.0,99.4,100.8,184.684
2023-08-26,100.2,101.7,100.1,100.8,103.531
2023-08-27,100.7,102.6,100.7,101.5,189.024
2023-08-28,101.5,101.6,99.7,100.7,252.508
2023-08-29,100.5,105.8,99.7,105.4,518.063
2023-08-30,105.1,106.8,104.3,104.8,547.812
2023-08-31,104.8,106.6,100.7,101.2,424.818
2023-09-01,101.2,102.3,98.7,100.4,431.473
2023-09-02,100.5,101.7,100.1,101.1,141.495
2023-09-03,101.3,102.0,100.1,101.0,162.787
2023-09-04,100.7,102.8,99.2,101.4,1226.1
2023-09-05,101.1,102.2,100.0,101.5,302.88
2023-09-06,101.5,102.1,100.0,100.7,191.086
2023-09-07,100.7,102.8,100.5,102.5,351.552
2023-09-08,102.3,103.0,100.1,101.1,177.094
2023-09-09,101.3,101.8,100.6,101.2,102.923
2023-09-10,101.0,101.3,98.9,100.4,525.582
2023-09-11,100.3,100.8,95.3,95.8,649.558
2023-09-12,95.9,99.3,95.5,97.9,349.436
2023-09-13,98.1,99.8,97.6,99.1,235.458
2023-09-14,99.2,100.9,99.1,99.7,258.592
2023-09-15,99.8,101.5,99.4,101.3,124.764
2023-09-16,101.3,102.3,100.4,101.2,513.494
2023-09-17,101.8,102.0,99.5,99.9,281.345
2023-09-18,99.9,102.8,99.4,101.8,295.467
2023-09-19,101.6,103.3,100.7,102.2,682.074
2023-09-20,102.2,103.1,99.8,101.5,202.27
