date,open,high,low,close,volume
2022-08-23,2.406,2.479,2.336,2.439,825357.5
2022-08-24,2.439,2.496,2.371,2.415,837926.2
2022-08-25,2.418,2.52,2.411,2.472,799285.7
2022-08-26,2.46,2.475,2.131,2.158,1118061.6
2022-08-27,2.157,2.222,2.065,2.101,729941.1
2022-08-28,2.102,2.136,1.943,1.962,817090.7
2022-08-29,1.963,2.161,1.937,2.15,783274.6
2022-08-30,2.149,2.18,2.003,2.072,676581.2
2022-08-31,2.077,2.294,2.077,2.143,1428912.3
2022-09-01,2.143,2.3,2.122,2.284,1225893.7
2022-09-02,2.284,2.288,2.145,2.199,818389.0
2022-09-03,2.196,2.31,2.18,2.252,758718.6
2022-09-04,2.251,2.331,2.241,2.304,1058698.6
2022-09-05,2.307,2.364,2.248,2.343,979150.9
2022-09-06,2.345,2.424,2.09,2.094,1580797.7
2022-09-07,2.096,2.418,2.064,2.376,1483478.7
2022-09-08,2.376,2.419,2.225,2.263,1052265.8
2022-09-09,2.264,2.461,2.262,2.351,1014977.2
2022-09-10,2.352,2.437,2.296,2.333,1284205.1
2022-09-11,2.333,2.444,2.278,2.329,1184473.9
2022-09-12,2.328,2.432,2.17,2.184,2038288.6
2022-09-13,2.183,2.232,1.998,2.028,1964569.6
2022-09-14,2.026,2.069,1.962,2.039,1188546.7
2022-09-15,2.038,2.041,1.917,1.943,1249118.5
2022-09-16,1.94,1.95,1.843,1.926,1023073.5
2022-09-17,1.927,1.99,1.923,1.98,555260.5
2022-09-18,1.979,1.995,1.709,1.79,1118992.4
2022-09-19,1.788,1.895,1.727,1.883,1131413.7
2022-09-20,1.88,1.897,1.782,1.807,1005450.7
2022-09-21,1.807,1.914,1.745,1.779,1461509.1
2022-09-22,1.779,1.896,1.77,1.884,862541.6
2022-09-23,1.882,2.001,1.791,1.865,1989036.0
2022-09-24,1.866,1.903,1.803,1.809,652554.4
2022-09-25,1.806,1.837,1.696,1.733,826994.4
2022-09-26,1.733,1.786,1.701,1.785,793603.3
2022-09-27,1.785,1.866,1.743,1.78,1041155.9
2022-09-28,1.779,1.79,1.696,1.764,876587.8
2022-09-29,1.763,1.793,1.729,1.783,559605.6
2022-09-30,1.785,1.869,1.783,1.814,1336651.2
2022-10-01,1.814,1.858,1.811,1.839,546269.7
2022-10-02,1.839,1.849,1.747,1.751,639718.7
2022-10-03,1.751,1.876,1.735,1.846,886653.0
2022-10-04,1.846,1.891,1.842,1.863,468822.6
2022-10-05,1.865,1.883,1.791,1.833,518752.3
2022-10-06,1.833,1.895,1.805,1.826,740852.8
2022-10-07,1.826,1.854,1.784,1.813,391793.4
2022-10-08,1.813,1.843,1.782,1.801,211412.9
2022-10-09,1.8,1.818,1.776,1.799,337574.7
2022-10-10,1.798,1.816,1.72,1.724,364040.3
2022-10-11,1.725,1.725,1.633,1.683,586901.6
2022-10-12,1.684,1.709,1.661,1.672,320376.3
2022-10-13,1.671,1.675,1.45,1.605,1510930.6
2022-10-14,1.605,1.683,1.566,1.588,511331.4
2022-10-15,1.589,1.648,1.578,1.64,352501.9
2022-10-16,1.64,1.72,1.64,1.709,730503.6
2022-10-17,1.709,1.725,1.665,1.708,350829.5
2022-10-18,1.709,1.727,1.619,1.654,743991.9
2022-10-19,1.654,1.662,1.531,1.549,598175.3
2022-10-20,1.548,1.597,1.521,1.542,476063.9
2022-10-21,1.541,1.59,1.483,1.577,458092.1
2022-10-22,1.577,1.597,1.549,1.584,215297.0
2022-10-23,1.587,1.636,1.555,1.626,326068.4
2022-10-24,1.627,1.635,1.555,1.558,335742.2
2022-10-25,1.561,1.65,1.547,1.609,915995.6
2022-10-26,1.61,1.681,1.61,1.64,566002.2
2022-10-27,1.638,1.775,1.636,1.651,1258756.7
2022-10-28,1.651,1.972,1.609,1.885,3969567.7
2022-10-29,1.885,2.239,1.844,1.951,11846355.1
2022-10-30,1.952,2.106,1.893,1.935,3505909.3
2022-10-31,1.936,1.964,1.796,1.811,1923456.5
2022-11-01,1.812,1.879,1.726,1.745,1394676.9
2022-11-02,1.743,2.199,1.708,1.945,9757695.6
2022-11-03,1.946,3.36,1.921,2.916,26868612.3
2022-11-04,2.911,2.922,2.379,2.595,6533868.1
2022-11-05,2.597,2.809,2.457,2.568,5093825.6
2022-11-06,2.564,2.849,2.347,2.347,4481934.9
2022-11-07,2.349,2.512,2.235,2.324,2746808.1
2022-11-08,2.329,2.54,1.529,1.843,9502566.5
2022-11-09,1.843,1.908,1.4,1.445,5787142.7
2022-11-10,1.446,1.903,1.416,1.811,6771974.1
2022-11-11,1.812,2.271,1.685,1.843,9713257.3
2022-11-12,1.841,1.844,1.591,1.706,2977302.7
2022-11-13,1.706,1.83,1.63,1.707,2241550.0
2022-11-14,1.706,1.848,1.557,1.808,3383767.2
2022-11-15,1.808,1.844,1.711,1.763,2490063.4
2022-11-16,1.761,1.882,1.644,1.699,2687284.1
2022-11-17,1.698,1.764,1.649,1.664,1315995.0
2022-11-18,1.664,1.721,1.66,1.709,1331214.2
2022-11-19,1.709,1.754,1.675,1.706,1441853.2
2022-11-20,1.704,1.711,1.528,1.539,1691389.1
2022-11-21,1.538,1.578,1.461,1.531,1221564.8
2022-11-22,1.532,1.642,1.474,1.615,884322.3
2022-11-23,1.619,1.692,1.586,1.689,1147083.4
2022-11-24,1.689,1.709,1.618,1.648,776410.5
2022-11-25,1.648,1.8,1.585,1.68,1948265.2
2022-11-26,1.681,1.734,1.614,1.642,1144735.5
2022-11-27,1.642,1.736,1.638,1.663,899993.3
