date,open,high,low,close,volume
2022-08-23,0.0664,0.0676,0.0641,0.0671,35995279.0
2022-08-24,0.0671,0.0705,0.0651,0.0674,75310634.0
2022-08-25,0.0674,0.07,0.0672,0.0697,71577062.0
2022-08-26,0.0696,0.0697,0.0617,0.0627,121978806.0
2022-08-27,0.0627,0.0637,0.0616,0.0629,46223265.0
2022-08-28,0.0628,0.0652,0.0622,0.0626,42180960.0
2022-08-29,0.0626,0.0661,0.0618,0.0658,49245796.0
2022-08-30,0.0659,0.0664,0.0623,0.0634,48050731.0
2022-08-31,0.0635,0.0674,0.0627,0.0631,63036715.0
2022-09-01,0.0631,0.0636,0.0611,0.0634,55292879.0
2022-09-02,0.0635,0.0637,0.0607,0.0617,58719040.0
2022-09-03,0.0617,0.0622,0.0605,0.0608,36899688.0
2022-09-04,0.0609,0.0616,0.0603,0.0615,44445812.0
2022-09-05,0.0614,0.0631,0.0601,0.0622,82452947.0
2022-09-06,0.0622,0.0636,0.0576,0.0584,116391410.0
2022-09-07,0.0584,0.0612,0.0576,0.0607,62575454.0
2022-09-08,0.0607,0.0616,0.0592,0.0611,55490986.0
2022-09-09,0.0612,0.0644,0.061,0.0637,68682682.0
2022-09-10,0.0637,0.065,0.0628,0.0638,53507998.0
2022-09-11,0.0639,0.065,0.0624,0.064,48922958.0
2022-09-12,0.0639,0.0743,0.0629,0.0738,353425106.0
2022-09-13,0.0738,0.074,0.0641,0.0648,253416332.0
2022-09-14,0.0648,0.0655,0.0624,0.0642,96585807.0
2022-09-15,0.0641,0.0642,0.0602,0.061,85937912.0
2022-09-16,0.061,0.0615,0.0597,0.0606,77548291.0
2022-09-17,0.0607,0.0624,0.0607,0.0617,46131567.0
2022-09-18,0.0617,0.0618,0.0561,0.0575,66169053.0
2022-09-19,0.0575,0.0594,0.0561,0.0589,69764929.0
2022-09-20,0.0589,0.0594,0.0565,0.0575,60894200.0
2022-09-21,0.0575,0.0605,0.0556,0.0565,89256728.0
2022-09-22,0.0565,0.0603,0.0564,0.06,73685483.0
2022-09-23,0.0601,0.0624,0.0589,0.0611,100596900.0
2022-09-24,0.0612,0.0639,0.0609,0.061,86979600.0
2022-09-25,0.061,0.0622,0.0584,0.0589,50841051.0
2022-09-26,0.0589,0.0606,0.0579,0.0601,93762604.0
2022-09-27,0.0601,0.0616,0.0576,0.0582,90944204.0
