date,open,high,low,close,volume
2022-08-23,1.521,1.576,1.484,1.569,429210.089
2022-08-24,1.569,1.604,1.522,1.552,520386.261
2022-08-25,1.551,1.604,1.524,1.542,458408.808
2022-08-26,1.54,1.553,1.372,1.388,935315.348
2022-08-27,1.387,1.406,1.355,1.402,490682.667
2022-08-28,1.4,1.435,1.361,1.361,415968.359
2022-08-29,1.364,1.654,1.364,1.499,7023691.6
2022-08-30,1.497,1.527,1.394,1.434,996618.477
2022-08-31,1.435,1.499,1.425,1.43,836964.686
2022-09-01,1.427,1.476,1.411,1.459,522705.145
2022-09-02,1.458,1.549,1.44,1.486,854610.096
2022-09-03,1.485,1.512,1.467,1.481,367276.02
2022-09-04,1.482,1.509,1.47,1.501,379642.788
2022-09-05,1.503,1.517,1.434,1.456,862948.68
2022-09-06,1.458,1.496,1.373,1.395,882904.383
2022-09-07,1.395,1.447,1.355,1.43,607834.055
2022-09-08,1.433,1.443,1.396,1.416,575665.524
2022-09-09,1.417,1.509,1.412,1.483,901119.253
2022-09-10,1.481,1.527,1.46,1.51,616533.775
2022-09-11,1.512,1.6,1.495,1.518,1279185.087
2022-09-12,1.517,1.7,1.479,1.535,3459438.388
2022-09-13,1.535,1.624,1.449,1.458,1489052.178
2022-09-14,1.459,1.481,1.43,1.464,535753.987
2022-09-15,1.46,1.494,1.384,1.389,721381.44
2022-09-16,1.391,1.409,1.353,1.378,517822.716
2022-09-17,1.378,1.469,1.371,1.456,542371.593
2022-09-18,1.456,1.456,1.329,1.336,523116.914
2022-09-19,1.34,1.38,1.288,1.366,530566.957
2022-09-20,1.367,1.399,1.324,1.336,513146.408
2022-09-21,1.333,1.398,1.273,1.309,774532.686
2022-09-22,1.307,1.366,1.304,1.357,422753.615
2022-09-23,1.358,1.387,1.3,1.361,506296.75
2022-09-24,1.361,1.399,1.343,1.366,285586.973
2022-09-25,1.365,1.399,1.347,1.353,331735.963
2022-09-26,1.35,1.367,1.328,1.344,461628.58
2022-09-27,1.344,1.397,1.324,1.34,526811.88
2022-09-28,1.34,1.448,1.296,1.368,1507200.029
2022-09-29,1.37,1.988,1.369,1.556,20116855.372
2022-09-30,1.557,1.559,1.45,1.476,3480836.142
2022-10-01,1.476,1.585,1.435,1.5,4048648.462
2022-10-02,1.5,1.502,1.398,1.403,1064460.287
2022-10-03,1.402,1.472,1.392,1.468,1219128.17
2022-10-04,1.468,1.557,1.432,1.476,2295315.529
2022-10-05,1.475,1.65,1.433,1.499,9017257.84
2022-10-06,1.5,1.668,1.496,1.633,11005887.345
2022-10-07,1.629,1.788,1.566,1.594,5785683.028
2022-10-08,1.595,1.758,1.565,1.617,6590943.321
2022-10-09,1.619,1.63,1.554,1.565,793972.567
2022-10-10,1.564,1.573,1.46,1.469,829335.185
2022-10-11,1.469,1.475,1.4,1.443,861188.432
2022-10-12,1.443,1.473,1.385,1.391,753777.462
2022-10-13,1.393,1.445,1.3,1.403,1265884.197
2022-10-14,1.406,1.448,1.377,1.399,744019.267
2022-10-15,1.399,1.459,1.382,1.389,864272.627
2022-10-16,1.388,1.486,1.387,1.441,808085.105
2022-10-17,1.443,1.52,1.416,1.47,875163.148
2022-10-18,1.472,1.559,1.454,1.559,1716326.805
2022-10-19,1.559,1.598,1.433,1.434,1650494.65
2022-10-20,1.434,1.487,1.41,1.445,638424.764
2022-10-21,1.442,1.45,1.373,1.436,413989.441
2022-10-22,1.439,1.501,1.422,1.463,449666.547
2022-10-23,1.464,1.467,1.42,1.467,416955.768
2022-10-24,1.464,1.465,1.422,1.424,324937.317
2022-10-25,1.423,1.524,1.407,1.48,1021297.133
2022-10-26,1.48,1.532,1.474,1.502,796918.131
2022-10-27,1.502,1.531,1.454,1.457,612403.132
2022-10-28,1.455,1.515,1.434,1.501,396355.344
2022-10-29,1.502,1.588,1.492,1.541,1358845.307
2022-10-30,1.541,1.629,1.508,1.521,2099595.486
2022-10-31,1.518,1.542,1.467,1.478,910068.141
2022-11-01,1.479,1.488,1.421,1.442,1217414.6
2022-11-02,1.442,1.469,1.399,1.424,737591.471
2022-11-03,1.427,1.583,1.423,1.525,2102417.708
2022-11-04,1.525,1.64,1.51,1.581,1889187.005
2022-11-05,1.581,1.89,1.572,1.771,7129226.366
2022-11-06,1.77,1.853,1.624,1.629,3827971.626
2022-11-07,1.626,1.634,1.514,1.532,1800358.401
2022-11-08,1.531,1.541,1.22,1.295,4462408.296
2022-11-09,1.3,1.313,0.941,0.961,3216435.842
2022-11-10,0.961,1.144,0.951,1.092,2744100.653
2022-11-11,1.092,1.12,0.981,1.048,1712826.726
2022-11-12,1.047,1.047,0.974,1.008,684397.953
2022-11-13,1.01,1.236,0.973,1.047,3180802.104
2022-11-14,1.046,1.2,0.983,1.088,2755140.948
2022-11-15,1.089,1.119,1.049,1.07,860113.826
2022-11-16,1.068,1.088,1.001,1.038,933357.498
2022-11-17,1.036,1.047,1.012,1.035,416724.525
2022-11-18,1.033,1.05,1.013,1.027,497297.364
