date,open,high,low,close,volume
2022-08-23,0.5536,0.5662,0.5353,0.5572,1621359.0
2022-08-24,0.5568,0.5616,0.5407,0.5577,1255280.0
2022-08-25,0.5578,0.5749,0.5505,0.5691,1584105.0
2022-08-26,0.5692,0.5804,0.5294,0.5343,1770472.0
2022-08-27,0.5342,0.5379,0.5215,0.5335,1116000.0
2022-08-28,0.5343,0.555,0.5273,0.5282,1206603.0
2022-08-29,0.5286,0.5466,0.513,0.5461,1497849.0
2022-08-30,0.5466,0.5812,0.525,0.5489,1748082.0
2022-08-31,0.5484,0.5639,0.5415,0.5573,1495283.0
2022-09-01,0.5573,0.5573,0.5261,0.5486,1073203.0
2022-09-02,0.5489,0.5828,0.5421,0.5541,2093354.0
2022-09-03,0.554,0.554,0.5371,0.5434,539596.0
2022-09-04,0.5436,0.5477,0.5329,0.5439,571879.0
2022-09-05,0.5443,0.5458,0.5268,0.5388,634138.0
2022-09-06,0.5396,0.5558,0.5169,0.5213,1391381.0
2022-09-07,0.522,0.5346,0.4989,0.5294,931207.0
2022-09-08,0.529,0.5675,0.5197,0.5518,2491976.0
2022-09-09,0.5515,0.58,0.5465,0.5768,1594742.0
2022-09-10,0.5765,0.582,0.5596,0.5779,1118328.0
2022-09-11,0.5756,0.615,0.5632,0.5792,2962620.0
2022-09-12,0.5782,0.5949,0.566,0.5802,1447245.0
2022-09-13,0.5797,0.6179,0.5361,0.5504,5938186.0
2022-09-14,0.5494,0.5565,0.5407,0.5551,1244489.0
2022-09-15,0.5551,0.5974,0.5304,0.5477,4476901.0
2022-09-16,0.5477,0.5738,0.5375,0.5573,1592352.0
2022-09-17,0.5579,0.5737,0.5483,0.5649,790037.0
2022-09-18,0.5647,0.5647,0.5057,0.512,1868931.0
2022-09-19,0.5119,0.53,0.4823,0.5271,3233706.0
2022-09-20,0.5268,0.5268,0.5041,0.5094,1172800.0
2022-09-21,0.5093,0.5177,0.4813,0.4905,3060714.0
2022-09-22,0.4902,0.5114,0.4861,0.5088,887184.0
2022-09-23,0.5087,0.5223,0.4897,0.5079,1262576.0
2022-09-24,0.5077,0.5077,0.4977,0.5008,630687.0
2022-09-25,0.5008,0.5096,0.4915,0.4965,679357.0
2022-09-26,0.496,0.4972,0.4774,0.4933,861390.0
2022-09-27,0.4938,0.5021,0.4822,0.4891,938721.0
2022-09-28,0.4892,0.4894,0.4722,0.4862,850558.0
2022-09-29,0.486,0.4917,0.4766,0.4901,710192.0
2022-09-30,0.4903,0.4912,0.4794,0.4837,869230.0
2022-10-01,0.4837,0.5042,0.481,0.4885,945026.0
2022-10-02,0.4893,0.4893,0.4754,0.4773,628227.0
2022-10-03,0.477,0.4863,0.4753,0.4844,431138.0
