date,open,high,low,close,volume
2022-12-01,0.1,5.0,0.1,2.5466,97167964.7
2022-12-02,2.5454,2.96,2.2624,2.4751,55095446.2
2022-12-03,2.4799,2.64,2.133,2.1986,21638296.3
2022-12-04,2.1997,2.5448,2.149,2.249,30913710.9
2022-12-05,2.249,2.45,2.1599,2.2602,16470984.3
2022-12-06,2.26,2.3701,2.1907,2.28,13474112.6
2022-12-07,2.28,2.4925,2.18,2.4553,25980422.7
2022-12-08,2.457,2.5458,2.299,2.365,11437002.4
2022-12-09,2.365,2.4,2.25,2.3236,9341037.5
2022-12-10,2.3237,3.1111,2.32,2.4903,52190478.6
2022-12-11,2.4884,2.5663,1.984,2.062,21297766.4
2022-12-12,2.0633,2.1,1.812,1.8904,25380657.2
2022-12-13,1.8904,1.9889,1.675,1.8015,18483793.9
2022-12-14,1.8014,1.911,1.7079,1.7733,8668005.3
2022-12-15,1.7736,1.9806,1.6718,1.8024,16915031.2
2022-12-16,1.8027,1.965,1.6732,1.7783,15526877.1
2022-12-17,1.7794,1.84,1.5004,1.6185,15670594.1
2022-12-18,1.6185,1.6671,1.55,1.6,7034098.6
2022-12-19,1.6008,1.6213,1.3568,1.385,9609581.5
2022-12-20,1.3849,1.473,1.3835,1.4321,5645165.7
2022-12-21,1.4331,1.4775,1.3596,1.4166,9093745.7
2022-12-22,1.4165,1.54,1.3755,1.448,9160742.0
2022-12-23,1.4479,1.47,1.4017,1.4295,2781464.2
2022-12-24,1.429,1.5164,1.41,1.4442,4463380.4
2022-12-25,1.4442,1.4841,1.2176,1.2535,10017979.0
2022-12-26,1.2554,1.32,1.2538,1.2887,3689852.6
2022-12-27,1.2897,1.3478,1.222,1.2496,6173554.1
2022-12-28,1.2475,1.2509,1.0789,1.1065,9918810.2
2022-12-29,1.105,1.2292,1.1031,1.1798,6092799.2
2022-12-30,1.1799,1.2153,1.1099,1.1725,5839415.4
2022-12-31,1.1724,1.2448,1.1415,1.1964,4631392.9
2023-01-01,1.196,1.3899,1.1863,1.3366,11062409.2
2023-01-02,1.3366,1.4256,1.2886,1.3236,8375771.5
2023-01-03,1.3241,1.3949,1.28,1.3318,5425433.4
2023-01-04,1.3322,1.4892,1.3075,1.4281,6971418.0
2023-01-05,1.4287,1.4833,1.3494,1.3597,5259044.6
2023-01-06,1.3604,1.371,1.2196,1.3145,6290508.1
2023-01-07,1.3145,1.3341,1.248,1.2785,4340221.1
2023-01-08,1.2788,1.3341,1.2621,1.3116,3317515.0
2023-01-09,1.3116,1.668,1.2931,1.4057,14964750.3
2023-01-10,1.4058,1.58,1.3901,1.4493,10029917.6
2023-01-11,1.4501,1.4819,1.3331,1.4172,5882138.9
2023-01-12,1.4172,1.451,1.3347,1.448,8441379.5
2023-01-13,1.448,1.55,1.4002,1.5003,10324699.6
2023-01-14,1.4998,1.76,1.475,1.6416,16551851.4
2023-01-15,1.6418,1.88,1.5401,1.7537,11746073.4
2023-01-16,1.7518,1.85,1.6397,1.7107,7608560.3
2023-01-17,1.7107,1.8204,1.6234,1.7081,6530525.3
2023-01-18,1.7067,1.8043,1.49,1.534,8608877.7
2023-01-19,1.5351,1.6177,1.5,1.5668,4190558.1
2023-01-20,1.5685,2.1061,1.5646,2.0105,27419553.8
2023-01-21,2.0105,2.468,1.9643,2.1393,21828307.4
2023-01-22,2.1391,2.4,1.9885,2.3086,17226967.1
2023-01-23,2.3086,3.044,2.2732,2.7964,38568565.8
2023-01-24,2.7957,3.268,2.409,2.5336,32502620.9
2023-01-25,2.5328,3.33,2.36,3.0553,38380464.4
2023-01-26,3.0551,3.2864,2.7629,2.8971,26701188.4
2023-01-27,2.8949,3.78,2.7645,3.5713,36111243.4
2023-01-28,3.57,3.8688,3.3123,3.4316,19776691.1
2023-01-29,3.432,3.652,3.1982,3.4152,14086999.7
