date,open,high,low,close,volume
2022-08-23,0.281,0.288,0.27,0.287,2337613.2
2022-08-24,0.287,0.293,0.277,0.285,2914178.1
2022-08-25,0.285,0.298,0.285,0.294,3781096.0
2022-08-26,0.293,0.295,0.264,0.266,3186267.4
2022-08-27,0.266,0.27,0.261,0.266,1781437.5
2022-08-28,0.265,0.273,0.26,0.261,2022385.2
2022-08-29,0.261,0.28,0.258,0.278,2099985.9
2022-08-30,0.278,0.282,0.264,0.271,3170085.3
2022-08-31,0.272,0.283,0.271,0.272,2267066.1
2022-09-01,0.272,0.275,0.262,0.271,2252872.5
2022-09-02,0.271,0.28,0.267,0.269,3235050.8
2022-09-03,0.269,0.272,0.263,0.266,1605469.4
2022-09-04,0.266,0.274,0.264,0.272,1404061.1
2022-09-05,0.272,0.286,0.268,0.276,4831356.1
2022-09-06,0.277,0.281,0.25,0.25,5219560.5
2022-09-07,0.25,0.266,0.242,0.261,3213101.8
2022-09-08,0.262,0.278,0.257,0.276,4348249.8
2022-09-09,0.276,0.2892,0.273,0.2875,6352077.9
2022-09-10,0.2874,0.2907,0.2809,0.2867,8094021.2
2022-09-11,0.2867,0.2939,0.2811,0.2891,7236915.3
2022-09-12,0.289,0.2971,0.282,0.2929,8300306.0
2022-09-13,0.2929,0.293,0.2601,0.2616,13175337.5
2022-09-14,0.261,0.2669,0.2576,0.2649,3849999.4
2022-09-15,0.2647,0.266,0.2532,0.2556,9318497.3
2022-09-16,0.2554,0.2609,0.2513,0.2575,6539301.4
2022-09-17,0.2574,0.265,0.2573,0.2635,2944391.4
2022-09-18,0.2636,0.2642,0.2391,0.2425,6817001.0
2022-09-19,0.2425,0.2479,0.2326,0.2463,9585373.3
2022-09-20,0.2465,0.2486,0.2374,0.239,9734436.0
2022-09-21,0.239,0.2521,0.2272,0.2298,13181455.3
2022-09-22,0.2296,0.2481,0.2294,0.2457,7682647.4
2022-09-23,0.2458,0.2493,0.2344,0.2434,9458862.0
2022-09-24,0.2435,0.2458,0.2364,0.2385,4903474.0
2022-09-25,0.2384,0.2416,0.2316,0.2346,4697964.3
2022-09-26,0.2346,0.2379,0.2276,0.2365,10244301.3
2022-09-27,0.2366,0.2471,0.2307,0.2333,7098778.0
2022-09-28,0.2331,0.246,0.2261,0.2423,9951649.2
2022-09-29,0.2421,0.2443,0.2347,0.2435,7482677.1
2022-09-30,0.2438,0.2442,0.2354,0.2371,8192050.4
2022-10-01,0.2371,0.2397,0.2355,0.2368,1265669.7
2022-10-02,0.2367,0.2378,0.229,0.2298,3740757.0
2022-10-03,0.2298,0.2394,0.2269,0.2379,4180461.9
2022-10-04,0.2381,0.2425,0.2363,0.2403,2855537.7
2022-10-05,0.2405,0.2412,0.2331,0.2389,2789562.7
2022-10-06,0.2388,0.2422,0.234,0.2357,2584033.9
2022-10-07,0.2357,0.2401,0.2315,0.2374,4915580.7
2022-10-08,0.2374,0.2417,0.235,0.2378,3478644.6
2022-10-09,0.238,0.2417,0.2369,0.2393,2466616.8
2022-10-10,0.2393,0.2434,0.2306,0.2306,3856315.0
2022-10-11,0.2309,0.2309,0.2227,0.2247,4232685.0
2022-10-12,0.2246,0.2277,0.2232,0.2246,2857380.6
2022-10-13,0.2246,0.2249,0.2013,0.218,9425989.62
2022-10-14,0.2182,0.225,0.2119,0.2145,4585960.3
2022-10-15,0.2144,0.2173,0.2122,0.213,3563461.4
2022-10-16,0.213,0.2201,0.2129,0.218,1700408.2
2022-10-17,0.2176,0.2249,0.2154,0.2234,3829805.7
2022-10-18,0.224,0.2261,0.2157,0.2207,4242683.9
2022-10-19,0.2205,0.2477,0.2154,0.2174,26911100.3
2022-10-20,0.2174,0.2195,0.211,0.2132,6371266.5
2022-10-21,0.2131,0.214,0.2027,0.2135,3664868.9
2022-10-22,0.2137,0.2157,0.211,0.2137,1986523.9
2022-10-23,0.2137,0.2218,0.2105,0.22,2753980.8
2022-10-24,0.2201,0.2209,0.2126,0.2175,3359162.8
2022-10-25,0.2176,0.2301,0.2162,0.2253,5274213.4
2022-10-26,0.2254,0.232,0.2241,0.2302,4946865.5
2022-10-27,0.2302,0.2373,0.2237,0.2255,6472108.0
2022-10-28,0.2259,0.2331,0.2214,0.2307,7052361.7
2022-10-29,0.2307,0.2419,0.2305,0.2379,9673263.2
2022-10-30,0.2378,0.2418,0.2302,0.2354,5109229.1
2022-10-31,0.2354,0.2371,0.2295,0.2335,5004356.9
2022-11-01,0.2336,0.2365,0.2277,0.2279,3311910.7
2022-11-02,0.228,0.2319,0.2146,0.2192,9515087.3
2022-11-03,0.2192,0.2283,0.2186,0.223,7711423.9
2022-11-04,0.2229,0.2412,0.2221,0.2393,7892745.6
2022-11-05,0.2391,0.2475,0.2343,0.2401,8337753.8
2022-11-06,0.2401,0.2443,0.2273,0.2287,6900295.2
2022-11-07,0.2287,0.2358,0.2237,0.2301,6395577.4
2022-11-08,0.2294,0.2321,0.1456,0.1917,24854660.26
2022-11-09,0.1913,0.1934,0.1406,0.1458,25754673.4
2022-11-10,0.1458,0.1725,0.1427,0.1684,18774912.9
2022-11-11,0.1684,0.1712,0.1548,0.1608,7517887.4
2022-11-12,0.1608,0.1694,0.1527,0.155,6120643.7
2022-11-13,0.1551,0.1591,0.1475,0.1525,11529003.5
2022-11-14,0.1526,0.1533,0.1407,0.1496,11247889.8
2022-11-15,0.1495,0.1605,0.147,0.1568,6123643.4
2022-11-16,0.157,0.1611,0.1494,0.1536,7545697.1
2022-11-17,0.1536,0.1549,0.1502,0.1522,3477089.3
2022-11-18,0.1522,0.1559,0.1521,0.1549,2956379.0
2022-11-19,0.1547,0.1643,0.1535,0.1605,8070580.1
2022-11-20,0.1602,0.1712,0.1528,0.1532,10101349.5
2022-11-21,0.1534,0.1669,0.1474,0.155,8742805.2
2022-11-22,0.155,0.1639,0.1516,0.1635,5863175.6
2022-11-23,0.1636,0.1716,0.1625,0.1714,6831249.0
2022-11-24,0.1713,0.1827,0.1694,0.1747,8840473.0
2022-11-25,0.1746,0.1751,0.1666,0.1734,3515440.1
2022-11-26,0.1734,0.1761,0.1699,0.1716,2887949.8
2022-11-27,0.1718,0.1743,0.1675,0.1682,2323256.0
2022-11-28,0.168,0.1702,0.1599,0.1656,5856895.3
2022-11-29,0.1655,0.1703,0.1632,0.1678,3845589.4
2022-11-30,0.1678,0.2249,0.1677,0.2033,86524867.5
2022-12-01,0.203,0.2103,0.1881,0.1931,25398456.6
2022-12-02,0.1931,0.1934,0.1826,0.1871,13342703.0
2022-12-03,0.1871,0.1914,0.1792,0.1802,6291017.0
2022-12-04,0.1802,0.1871,0.176,0.1845,14414654.5
2022-12-05,0.1846,0.1861,0.1775,0.1801,7456284.5
2022-12-06,0.18,0.1839,0.1792,0.1829,3875201.6
2022-12-07,0.183,0.1831,0.1699,0.1735,7070078.4
2022-12-08,0.1736,0.1803,0.172,0.1801,6541763.6
2022-12-09,0.1801,0.183,0.1769,0.1792,7159408.7
2022-12-10,0.1792,0.1857,0.1789,0.1849,5663047.8
2022-12-11,0.1848,0.1856,0.18,0.1812,3083682.8
2022-12-12,0.1811,0.1813,0.1712,0.1747,5294147.5
2022-12-13,0.1746,0.1777,0.1652,0.1772,5857842.8
2022-12-14,0.1771,0.1821,0.1675,0.173,4885177.2
2022-12-15,0.1732,0.1746,0.1688,0.1697,3150003.8
2022-12-16,0.1694,0.1708,0.1506,0.1527,8250481.6
2022-12-17,0.1526,0.1536,0.1445,0.1517,4648741.4
2022-12-18,0.1517,0.1531,0.1487,0.1509,3060971.5
2022-12-19,0.151,0.1526,0.1396,0.1424,4921193.5
2022-12-20,0.1424,0.1519,0.1414,0.1499,3410889.4
2022-12-21,0.1498,0.1504,0.1456,0.1496,2225742.9
2022-12-22,0.1495,0.1501,0.1453,0.15,2576357.0
2022-12-23,0.1501,0.1522,0.1492,0.1512,2660361.0
2022-12-24,0.1512,0.153,0.1496,0.1506,1666835.0
2022-12-25,0.1505,0.1508,0.1474,0.1496,2311499.1
2022-12-26,0.1496,0.1503,0.1473,0.1492,2178709.2
2022-12-27,0.1492,0.1523,0.1453,0.1482,4060016.5
2022-12-28,0.1482,0.1482,0.1405,0.1442,3586950.1
2022-12-29,0.1443,0.1562,0.1397,0.1435,13367142.9
2022-12-30,0.1432,0.1436,0.1381,0.1414,3195955.5
2022-12-31,0.1414,0.1436,0.1401,0.1413,2297654.4
2023-01-01,0.1412,0.1431,0.1401,0.143,1273106.2
2023-01-02,0.1431,0.1487,0.1399,0.1475,5660105.1
2023-01-03,0.1477,0.1477,0.144,0.1454,1909976.0
2023-01-04,0.1452,0.1515,0.1446,0.1503,2667932.0
2023-01-05,0.1503,0.1516,0.1478,0.1487,2212153.1
2023-01-06,0.1489,0.1518,0.1436,0.1512,2619284.3
2023-01-07,0.1514,0.1536,0.1511,0.1523,2510718.1
2023-01-08,0.1523,0.157,0.1502,0.1564,3027443.2
2023-01-09,0.1564,0.1642,0.1555,0.1583,6739009.7
2023-01-10,0.1584,0.1636,0.1555,0.163,3993881.4
2023-01-11,0.1631,0.1681,0.1586,0.1674,5529714.2
2023-01-12,0.1674,0.1721,0.1628,0.1701,9287050.2
