date,open,high,low,close,volume
2022-08-23,90.9,92.0,87.4,91.6,11364.905
2022-08-24,91.6,92.1,88.4,89.8,11987.84
2022-08-25,89.9,93.7,89.9,91.4,11974.613
2022-08-26,91.3,91.6,78.1,79.1,20245.579
2022-08-27,79.2,80.1,75.7,78.0,16501.125
2022-08-28,77.9,78.9,74.0,74.2,9922.532
2022-08-29,74.1,82.2,73.5,79.6,14527.12
2022-08-30,79.6,81.5,75.2,77.2,12866.728
2022-08-31,77.3,81.0,77.1,77.7,10382.762
2022-09-01,77.7,87.9,75.5,78.6,37690.507
2022-09-02,78.5,79.9,75.2,76.5,10392.023
2022-09-03,76.4,84.8,74.2,74.8,20123.349
2022-09-04,74.6,76.6,73.9,75.6,8775.721
2022-09-05,75.8,76.2,73.6,75.5,6677.237
2022-09-06,75.4,79.4,72.4,72.4,21674.185
2022-09-07,72.3,75.2,68.9,73.6,15816.021
2022-09-08,73.7,75.8,72.1,74.9,20037.505
2022-09-09,75.0,81.3,74.8,78.9,28971.462
2022-09-10,79.0,80.6,77.1,80.2,15212.254
2022-09-11,80.2,81.0,75.7,77.8,13610.05
2022-09-12,77.7,78.4,73.9,75.8,12596.941
2022-09-13,75.9,77.2,69.1,69.8,15321.997
2022-09-14,69.7,73.2,68.6,71.7,11235.688
2022-09-15,71.5,75.0,65.0,65.5,48484.439
2022-09-16,65.6,68.4,63.5,64.0,27520.578
2022-09-17,64.1,65.0,62.8,64.2,21591.848
2022-09-18,64.1,64.4,55.1,56.2,33604.683
2022-09-19,56.1,59.2,53.5,57.7,25242.993
2022-09-20,57.8,59.8,55.9,56.9,25493.629
2022-09-21,56.8,59.8,52.2,53.7,25963.706
2022-09-22,53.7,57.6,52.8,56.7,32184.001
2022-09-23,56.9,58.1,54.0,56.1,20447.859
2022-09-24,56.2,67.6,55.7,57.2,57637.747
2022-09-25,57.1,58.5,55.1,55.8,18229.028
2022-09-26,56.0,59.1,55.0,58.5,14979.759
2022-09-27,58.5,60.9,56.5,57.2,28547.126
