date,open,high,low,close,volume
2022-08-23,0.85,0.888,0.834,0.869,3740575.69
2022-08-24,0.869,0.884,0.841,0.859,3901946.45
2022-08-25,0.859,0.886,0.852,0.865,2546946.49
2022-08-26,0.866,0.885,0.762,0.775,6693338.23
2022-08-27,0.774,0.799,0.77,0.79,2587792.14
2022-08-28,0.79,0.812,0.772,0.776,1795169.8
2022-08-29,0.776,0.872,0.759,0.87,8437010.82
2022-08-30,0.87,0.878,0.805,0.833,4218910.44
2022-08-31,0.835,0.869,0.825,0.832,2992946.56
2022-09-01,0.832,0.85,0.794,0.829,3553065.61
2022-09-02,0.83,0.851,0.806,0.827,4351136.81
2022-09-03,0.828,0.831,0.808,0.824,1116460.14
2022-09-04,0.825,0.846,0.818,0.845,1665319.27
2022-09-05,0.845,0.86,0.819,0.847,2321201.53
2022-09-06,0.847,0.865,0.771,0.774,6342363.89
2022-09-07,0.775,0.848,0.755,0.827,5294117.43
2022-09-08,0.828,0.836,0.795,0.817,3672493.22
2022-09-09,0.818,0.886,0.818,0.881,5288558.98
2022-09-10,0.88,0.892,0.86,0.871,3942781.69
2022-09-11,0.871,0.885,0.846,0.867,3681196.31
2022-09-12,0.867,0.939,0.835,0.865,8444780.04
2022-09-13,0.865,0.891,0.796,0.806,7396846.39
2022-09-14,0.806,0.83,0.796,0.824,3583759.55
2022-09-15,0.824,0.827,0.776,0.799,4077418.55
2022-09-16,0.798,0.812,0.772,0.796,3555663.61
2022-09-17,0.796,0.812,0.793,0.809,1474774.82
2022-09-18,0.81,0.831,0.745,0.749,5429885.98
2022-09-19,0.749,0.78,0.714,0.774,5338559.73
2022-09-20,0.774,0.78,0.748,0.759,2602294.99
2022-09-21,0.76,0.795,0.728,0.744,4259981.28
2022-09-22,0.744,0.794,0.741,0.785,3103371.11
2022-09-23,0.785,0.807,0.741,0.77,3342552.4
2022-09-24,0.771,0.783,0.733,0.738,2513839.68
2022-09-25,0.739,0.755,0.719,0.729,1857455.31
2022-09-26,0.73,0.743,0.711,0.74,2889081.97
2022-09-27,0.74,0.782,0.733,0.742,3963990.39
2022-09-28,0.742,0.753,0.712,0.744,2729001.77
2022-09-29,0.744,0.762,0.727,0.758,6277118.24
2022-09-30,0.759,0.774,0.745,0.757,3284214.07
2022-10-01,0.758,0.77,0.754,0.759,1400909.29
2022-10-02,0.759,0.774,0.736,0.744,2103893.92
2022-10-03,0.745,0.78,0.737,0.769,2336720.8
2022-10-04,0.769,0.803,0.761,0.794,2859545.73
2022-10-05,0.794,0.8,0.776,0.788,1745832.93
2022-10-06,0.788,0.798,0.753,0.76,4246778.19
2022-10-07,0.76,0.765,0.729,0.74,2463357.78
2022-10-08,0.741,0.747,0.72,0.728,1318440.23
2022-10-09,0.728,0.745,0.724,0.734,1103595.63
2022-10-10,0.734,0.741,0.683,0.69,2778726.42
2022-10-11,0.691,0.698,0.664,0.685,1806692.13
2022-10-12,0.687,0.693,0.662,0.665,1377963.24
2022-10-13,0.666,0.687,0.6,0.649,4688874.04
2022-10-14,0.651,0.678,0.623,0.629,2511422.56
2022-10-15,0.629,0.637,0.61,0.613,1428464.77
2022-10-16,0.615,0.644,0.614,0.633,2188594.6
2022-10-17,0.632,0.657,0.625,0.646,2011961.41
2022-10-18,0.65,0.653,0.604,0.615,3629157.94
2022-10-19,0.616,0.619,0.562,0.577,2824485.76
2022-10-20,0.576,0.599,0.565,0.569,3545005.52
2022-10-21,0.568,0.569,0.529,0.559,3661858.23
2022-10-22,0.56,0.562,0.544,0.55,1322532.25
2022-10-23,0.551,0.568,0.535,0.567,1807996.07
2022-10-24,0.566,0.575,0.537,0.54,2337324.51
2022-10-25,0.539,0.582,0.528,0.564,4166124.08
2022-10-26,0.564,0.583,0.559,0.564,4724933.74
2022-10-27,0.563,0.637,0.563,0.591,9606919.79
2022-10-28,0.591,0.656,0.57,0.644,9349093.15
2022-10-29,0.644,0.677,0.618,0.628,9905480.42
2022-10-30,0.627,0.659,0.602,0.612,6861897.68
2022-10-31,0.613,0.621,0.571,0.596,7236792.71
2022-11-01,0.595,0.607,0.578,0.586,5414012.6
2022-11-02,0.586,0.603,0.561,0.575,5082147.44
2022-11-03,0.575,0.64,0.573,0.59,9638141.0
2022-11-04,0.591,0.726,0.584,0.664,18136434.71
2022-11-05,0.665,0.726,0.648,0.663,17006029.1
2022-11-06,0.663,0.674,0.597,0.599,11410426.4
2022-11-07,0.599,0.613,0.571,0.587,9758453.45
2022-11-08,0.587,0.62,0.443,0.521,23932977.0
2022-11-09,0.52,0.529,0.384,0.403,11988691.57
2022-11-10,0.402,0.526,0.394,0.496,16093879.75
2022-11-11,0.497,0.5,0.43,0.444,7778068.39
2022-11-12,0.445,0.447,0.393,0.41,6884763.34
2022-11-13,0.409,0.426,0.395,0.418,4813886.17
2022-11-14,0.417,0.439,0.39,0.429,5832430.45
2022-11-15,0.429,0.44,0.418,0.425,4589550.6
2022-11-16,0.426,0.433,0.399,0.411,3243694.89
2022-11-17,0.411,0.417,0.401,0.404,2242418.2
2022-11-18,0.405,0.418,0.4,0.406,2025451.61
2022-11-19,0.406,0.432,0.396,0.422,2847126.35
2022-11-20,0.421,0.426,0.39,0.393,3643065.51
2022-11-21,0.393,0.477,0.376,0.414,8669236.43
2022-11-22,0.415,0.44,0.388,0.43,4797801.27
2022-11-23,0.431,0.454,0.426,0.453,5140562.58
2022-11-24,0.453,0.458,0.429,0.432,3512759.32
2022-11-25,0.433,0.437,0.409,0.421,3977612.45
2022-11-26,0.421,0.448,0.419,0.427,3651904.4
2022-11-27,0.427,0.455,0.426,0.442,2296830.73
2022-11-28,0.443,0.45,0.406,0.421,3564888.5
2022-11-29,0.421,0.45,0.415,0.439,3125509.32
2022-11-30,0.44,0.482,0.439,0.47,5442585.32
2022-12-01,0.471,0.48,0.464,0.472,2911500.53
2022-12-02,0.472,0.485,0.46,0.484,3562774.77
2022-12-03,0.484,0.484,0.47,0.475,1564162.31
2022-12-04,0.475,0.514,0.472,0.504,5928384.12
2022-12-05,0.504,0.519,0.479,0.486,4346611.62
2022-12-06,0.487,0.494,0.474,0.485,2723715.63
2022-12-07,0.485,0.49,0.438,0.441,4595861.13
2022-12-08,0.441,0.452,0.431,0.446,4126655.41
2022-12-09,0.446,0.457,0.434,0.438,3536645.81
2022-12-10,0.438,0.445,0.438,0.439,876068.32
2022-12-11,0.44,0.448,0.429,0.43,1696925.61
2022-12-12,0.431,0.431,0.414,0.426,3168082.94
2022-12-13,0.426,0.442,0.408,0.441,3503151.76
2022-12-14,0.442,0.458,0.436,0.452,2433420.33
2022-12-15,0.453,0.479,0.445,0.457,4662056.64
2022-12-16,0.458,0.471,0.405,0.413,4245879.48
2022-12-17,0.412,0.44,0.394,0.422,2437742.12
2022-12-18,0.422,0.425,0.414,0.419,829137.51
2022-12-19,0.42,0.458,0.409,0.432,5870069.06
2022-12-20,0.432,0.476,0.421,0.457,6212108.58
2022-12-21,0.458,0.465,0.441,0.444,2753001.59
2022-12-22,0.444,0.446,0.424,0.437,2228491.45
2022-12-23,0.439,0.444,0.43,0.431,1221252.04
2022-12-24,0.43,0.434,0.424,0.426,758730.62
2022-12-25,0.427,0.428,0.417,0.423,656250.03
2022-12-26,0.424,0.431,0.42,0.427,750173.97
2022-12-27,0.427,0.429,0.406,0.414,1375387.64
2022-12-28,0.414,0.415,0.388,0.391,1371961.42
2022-12-29,0.392,0.398,0.381,0.39,1872057.83
2022-12-30,0.39,0.391,0.375,0.381,982039.35
2022-12-31,0.382,0.417,0.377,0.384,2405827.14
2023-01-01,0.384,0.387,0.379,0.385,503943.85
2023-01-02,0.386,0.409,0.378,0.399,1856348.84
2023-01-03,0.399,0.403,0.389,0.395,1490741.41
2023-01-04,0.395,0.42,0.394,0.413,2217017.35
2023-01-05,0.413,0.421,0.405,0.409,1808364.2
2023-01-06,0.409,0.423,0.4,0.423,1642107.25
2023-01-07,0.423,0.427,0.418,0.421,1324342.44
2023-01-08,0.421,0.453,0.412,0.451,2784223.82
2023-01-09,0.451,0.507,0.448,0.476,6672562.98
2023-01-10,0.477,0.514,0.463,0.495,6357306.83
2023-01-11,0.495,0.497,0.469,0.491,4644387.68
2023-01-12,0.491,0.55,0.482,0.537,9157471.54
2023-01-13,0.537,0.549,0.517,0.542,8083463.87
2023-01-14,0.542,0.595,0.512,0.56,11207099.06
2023-01-15,0.561,0.614,0.537,0.589,4724689.65
2023-01-16,0.589,0.6,0.555,0.591,4805129.1
2023-01-17,0.59,0.647,0.577,0.619,6036191.71
2023-01-18,0.62,0.629,0.557,0.576,6050337.84
2023-01-19,0.578,0.593,0.557,0.584,3033247.97
2023-01-20,0.584,0.647,0.57,0.638,4525602.72
2023-01-21,0.639,0.672,0.625,0.628,4692999.15
2023-01-22,0.628,0.736,0.618,0.667,8014413.67
2023-01-23,0.667,0.738,0.666,0.714,8439206.6
2023-01-24,0.713,0.723,0.64,0.645,5330820.99
2023-01-25,0.645,0.768,0.631,0.712,11965876.76
2023-01-26,0.713,0.733,0.662,0.677,8595036.6
2023-01-27,0.678,0.688,0.649,0.677,6890946.36
2023-01-28,0.676,0.698,0.644,0.657,6216419.38
2023-01-29,0.657,0.686,0.644,0.673,6264364.28
2023-01-30,0.672,0.728,0.629,0.648,15806416.38
2023-01-31,0.649,0.755,0.639,0.752,14020089.05
2023-02-01,0.751,0.824,0.691,0.806,19266546.57
2023-02-02,0.806,0.899,0.797,0.866,15203713.38
2023-02-03,0.866,1.03,0.844,0.958,24828331.4
2023-02-04,0.959,0.98,0.901,0.911,8230924.52
2023-02-05,0.911,0.935,0.831,0.893,12057442.54
2023-02-06,0.893,0.932,0.852,0.875,11840938.68
2023-02-07,0.876,1.07,0.875,1.054,14485570.57
2023-02-08,1.054,1.208,0.986,1.015,20493250.93
2023-02-09,1.014,1.122,0.838,0.883,21141114.86
2023-02-10,0.883,1.071,0.863,0.96,31298292.09
2023-02-11,0.959,1.119,0.92,1.078,24459812.0
2023-02-12,1.077,1.137,1.005,1.028,15471044.77
2023-02-13,1.028,1.037,0.926,0.967,16302126.79
2023-02-14,0.967,1.177,0.925,1.134,22290480.37
2023-02-15,1.134,1.29,1.083,1.247,28844315.03
2023-02-16,1.247,1.27,1.086,1.092,22144038.59
2023-02-17,1.092,1.161,1.06,1.09,18495541.18
2023-02-18,1.09,1.135,1.039,1.051,13877034.79
2023-02-19,1.051,1.103,1.009,1.018,14272685.85
2023-02-20,1.018,1.091,0.986,1.043,13598878.39
