date,open,high,low,close,volume
2022-08-23,0.2906,0.2987,0.2806,0.2977,11294155.0
2022-08-24,0.298,0.3064,0.291,0.2983,9356231.0
2022-08-25,0.2983,0.3071,0.298,0.3056,7387556.0
2022-08-26,0.3052,0.3085,0.2762,0.2792,15981946.0
2022-08-27,0.2792,0.282,0.2728,0.2796,7696381.0
2022-08-28,0.2799,0.2854,0.272,0.2731,4879798.0
2022-08-29,0.2733,0.2922,0.2695,0.291,7999716.0
2022-08-30,0.2909,0.2964,0.2808,0.2879,10390767.0
2022-08-31,0.2881,0.2968,0.2791,0.2809,14329576.0
2022-09-01,0.281,0.2843,0.2742,0.2842,7341484.0
2022-09-02,0.2843,0.2877,0.2773,0.281,7440472.0
2022-09-03,0.281,0.2827,0.2769,0.2804,2976798.0
2022-09-04,0.2805,0.2945,0.2805,0.2908,8026497.0
2022-09-05,0.2906,0.2936,0.2786,0.2822,7471522.0
2022-09-06,0.2823,0.2882,0.259,0.2593,15369565.0
2022-09-07,0.2595,0.2796,0.2554,0.2762,9188616.0
2022-09-08,0.2762,0.2822,0.2685,0.2794,11953974.0
2022-09-09,0.2797,0.2969,0.2783,0.2922,11753191.0
2022-09-10,0.2922,0.3002,0.2904,0.2949,10272441.0
2022-09-11,0.295,0.2978,0.2864,0.2923,8388078.0
2022-09-12,0.2923,0.2997,0.2872,0.2917,13865818.0
2022-09-13,0.2919,0.2936,0.267,0.2679,18237549.0
2022-09-14,0.2678,0.2737,0.2646,0.2719,10840513.0
2022-09-15,0.2713,0.2725,0.2578,0.2622,15961433.0
2022-09-16,0.2624,0.2644,0.2557,0.2626,13115443.0
2022-09-17,0.2626,0.2712,0.2624,0.2704,5067950.0
2022-09-18,0.2704,0.2718,0.2446,0.2517,13501529.0
2022-09-19,0.2517,0.2626,0.2461,0.2595,13867282.0
2022-09-20,0.2595,0.2648,0.2543,0.2618,12182071.0
2022-09-21,0.2618,0.2694,0.2484,0.2516,17493002.0
2022-09-22,0.2516,0.2751,0.2508,0.2721,11727767.0
2022-09-23,0.2723,0.2896,0.2675,0.2841,16741441.0
2022-09-24,0.2841,0.291,0.2771,0.2788,7631413.0
2022-09-25,0.2787,0.2839,0.2699,0.2739,6423793.0
2022-09-26,0.2738,0.3157,0.2723,0.3116,57913655.0
2022-09-27,0.3113,0.3294,0.3047,0.3066,31224220.0
2022-09-28,0.3067,0.3149,0.2914,0.2952,25349924.0
2022-09-29,0.2953,0.3057,0.2885,0.292,15086697.0
2022-09-30,0.2921,0.2954,0.2828,0.2876,11174210.0
2022-10-01,0.2877,0.2984,0.2873,0.2929,9400553.0
2022-10-02,0.2929,0.2944,0.2732,0.2747,8264345.0
2022-10-03,0.2748,0.2796,0.2716,0.2786,8021023.0
2022-10-04,0.2786,0.283,0.277,0.2818,7360377.0
2022-10-05,0.2817,0.2828,0.2694,0.2745,9766820.0
2022-10-06,0.2743,0.2771,0.2641,0.2677,9328970.0
2022-10-07,0.2677,0.2713,0.2617,0.2696,7093031.0
2022-10-08,0.2697,0.2734,0.2649,0.2676,4251109.0
2022-10-09,0.2674,0.2813,0.2672,0.2723,7623338.0
2022-10-10,0.2722,0.2755,0.2591,0.2601,6387301.0
2022-10-11,0.2602,0.2631,0.2503,0.2614,6806104.0
2022-10-12,0.2614,0.2639,0.2565,0.2577,3788834.0
