date,open,high,low,close,volume
2022-08-23,0.03063,0.03195,0.02988,0.03159,78961429.0
2022-08-24,0.03161,0.03295,0.0308,0.03133,101646275.0
2022-08-25,0.03134,0.03363,0.03131,0.03325,145020177.0
2022-08-26,0.03324,0.0348,0.03162,0.03185,189495328.0
2022-08-27,0.03184,0.03247,0.03127,0.03217,85693101.0
2022-08-28,0.03219,0.03395,0.0317,0.03194,128269415.0
2022-08-29,0.03194,0.03419,0.03143,0.0338,112754259.0
2022-08-30,0.03378,0.03393,0.03123,0.03166,93453658.0
2022-08-31,0.03166,0.03285,0.02995,0.0302,108076577.0
2022-09-01,0.0302,0.03048,0.02916,0.02989,81498449.0
2022-09-02,0.02988,0.03049,0.02902,0.02948,71537809.0
2022-09-03,0.02946,0.02978,0.02906,0.02965,37938633.0
2022-09-04,0.02965,0.03029,0.02943,0.03012,36601705.0
2022-09-05,0.03012,0.03032,0.02904,0.03,54073375.0
2022-09-06,0.03001,0.0304,0.02709,0.02712,100924640.0
2022-09-07,0.02711,0.02876,0.02674,0.02829,59059975.0
2022-09-08,0.02832,0.02881,0.02754,0.02848,79197403.0
2022-09-09,0.02848,0.0319,0.0284,0.0315,120353427.0
2022-09-10,0.0315,0.03205,0.0308,0.03134,80298421.0
2022-09-11,0.03132,0.03172,0.03034,0.0309,69005517.0
2022-09-12,0.03089,0.03194,0.03002,0.03034,115195766.0
2022-09-13,0.03035,0.03074,0.02775,0.02789,110512841.0
2022-09-14,0.02789,0.02855,0.0271,0.02797,79310750.0
2022-09-15,0.02796,0.02874,0.02684,0.02696,118369974.0
2022-09-16,0.02697,0.02793,0.02657,0.02775,67432325.0
2022-09-17,0.02776,0.0294,0.02768,0.02928,49331235.0
2022-09-18,0.02929,0.02936,0.02594,0.02669,84658724.0
2022-09-19,0.02667,0.02855,0.02584,0.02808,119909633.0
2022-09-20,0.02807,0.02879,0.02747,0.02834,113247779.0
2022-09-21,0.02835,0.02994,0.02723,0.02783,165039460.0
2022-09-22,0.02781,0.0303,0.0278,0.0301,136079349.0
2022-09-23,0.0301,0.031,0.02928,0.03031,155749160.0
2022-09-24,0.03031,0.03062,0.02903,0.0293,56725680.0
2022-09-25,0.02929,0.02998,0.02847,0.02892,51040757.0
2022-09-26,0.0289,0.02924,0.02811,0.02906,85600425.0
2022-09-27,0.02906,0.0306,0.02825,0.02862,120055187.0
2022-09-28,0.02863,0.02885,0.02742,0.02849,72003576.0
2022-09-29,0.0285,0.02896,0.02792,0.02896,48579536.0
2022-09-30,0.02897,0.02965,0.02857,0.02879,61737282.0
2022-10-01,0.02879,0.02921,0.02857,0.02864,23767536.0
2022-10-02,0.02863,0.02879,0.02726,0.02728,43999295.0
2022-10-03,0.0273,0.02839,0.02687,0.02833,40422445.0
2022-10-04,0.02832,0.02877,0.02817,0.02853,36718801.0
2022-10-05,0.02853,0.02875,0.02773,0.02868,54473804.0
2022-10-06,0.02867,0.02912,0.02811,0.02871,61620003.0
2022-10-07,0.0287,0.02894,0.028,0.02803,32249938.0
2022-10-08,0.02804,0.02865,0.02802,0.02837,20325624.0
2022-10-09,0.02836,0.02858,0.02807,0.02823,19003648.0
2022-10-10,0.02824,0.02909,0.0275,0.02755,78074879.0
2022-10-11,0.02756,0.02765,0.02681,0.02718,45127976.0
2022-10-12,0.02719,0.02788,0.02711,0.02728,36547179.0
2022-10-13,0.02728,0.02734,0.02482,0.02661,118838372.0
2022-10-14,0.0266,0.0276,0.02589,0.02633,51253062.0
2022-10-15,0.02633,0.02648,0.02593,0.02617,30861194.0
2022-10-16,0.02616,0.02693,0.0261,0.02659,34704940.0
2022-10-17,0.02659,0.0273,0.02633,0.02717,22626678.0
