date,open,high,low,close,volume
2022-08-23,0.282,0.29,0.272,0.287,1372449.31
2022-08-24,0.286,0.295,0.278,0.281,1453221.23
2022-08-25,0.281,0.288,0.273,0.276,1629391.65
2022-08-26,0.276,0.276,0.239,0.241,2287544.75
2022-08-27,0.242,0.252,0.236,0.252,1294503.29
2022-08-28,0.252,0.256,0.216,0.22,2344718.87
2022-08-29,0.22,0.24,0.216,0.238,4015937.9
2022-08-30,0.237,0.246,0.228,0.233,2755636.38
2022-08-31,0.234,0.243,0.226,0.226,1715995.52
2022-09-01,0.227,0.229,0.219,0.227,1411109.83
2022-09-02,0.228,0.239,0.223,0.23,1867387.62
2022-09-03,0.229,0.231,0.225,0.228,1068994.09
2022-09-04,0.228,0.231,0.224,0.231,1184774.76
2022-09-05,0.23,0.231,0.218,0.227,1414711.24
2022-09-06,0.227,0.236,0.211,0.212,1932750.24
2022-09-07,0.212,0.23,0.204,0.226,1599313.07
2022-09-08,0.227,0.228,0.214,0.227,1700055.15
2022-09-09,0.227,0.246,0.227,0.243,2220552.96
2022-09-10,0.242,0.252,0.235,0.244,2427810.64
2022-09-11,0.243,0.251,0.239,0.242,3153813.16
2022-09-12,0.242,0.25,0.236,0.239,3748250.51
2022-09-13,0.238,0.239,0.212,0.213,2573285.15
2022-09-14,0.213,0.221,0.211,0.221,1275864.43
2022-09-15,0.221,0.221,0.207,0.21,1551502.4
2022-09-16,0.209,0.227,0.202,0.222,2533758.37
2022-09-17,0.223,0.4,0.221,0.245,40599146.28
2022-09-18,0.245,0.258,0.209,0.211,8047884.7
2022-09-19,0.21,0.229,0.21,0.22,4368524.05
2022-09-20,0.22,0.224,0.212,0.214,2708982.95
2022-09-21,0.214,0.222,0.207,0.21,3537391.97
2022-09-22,0.21,0.222,0.208,0.216,1513250.11
2022-09-23,0.217,0.225,0.205,0.22,2584772.05
2022-09-24,0.22,0.242,0.217,0.221,4842948.99
2022-09-25,0.221,0.245,0.221,0.224,6225736.62
2022-09-26,0.225,0.234,0.221,0.233,1876017.76
2022-09-27,0.233,0.243,0.221,0.225,2438499.52
2022-09-28,0.225,0.226,0.212,0.221,1628450.85
2022-09-29,0.222,0.224,0.215,0.217,1387796.07
2022-09-30,0.217,0.249,0.214,0.219,6206877.95
2022-10-01,0.219,0.223,0.214,0.217,1541506.35
2022-10-02,0.217,0.229,0.212,0.218,3199076.32
2022-10-03,0.217,0.238,0.216,0.229,4849102.08
2022-10-04,0.228,0.231,0.223,0.226,2786454.37
2022-10-05,0.226,0.23,0.22,0.228,1293774.25
2022-10-06,0.229,0.237,0.226,0.228,1862013.57
2022-10-07,0.227,0.228,0.223,0.226,594406.29
2022-10-08,0.226,0.227,0.22,0.221,289743.85
2022-10-09,0.22,0.222,0.219,0.22,427664.07
2022-10-10,0.219,0.221,0.21,0.21,1244937.74
2022-10-11,0.211,0.211,0.202,0.203,2054420.62
2022-10-12,0.203,0.206,0.202,0.202,707678.92
2022-10-13,0.203,0.203,0.182,0.2,2191077.97
2022-10-14,0.2,0.207,0.194,0.196,1052705.7
2022-10-15,0.196,0.203,0.195,0.201,1767985.35
2022-10-16,0.201,0.237,0.2,0.212,9482725.33
2022-10-17,0.212,0.215,0.206,0.209,2816878.08
2022-10-18,0.209,0.21,0.2,0.204,1007273.91
2022-10-19,0.203,0.204,0.195,0.195,879217.36
2022-10-20,0.195,0.199,0.193,0.195,679873.9
2022-10-21,0.195,0.198,0.187,0.198,906813.05
2022-10-22,0.198,0.24,0.195,0.197,8302840.54
2022-10-23,0.198,0.202,0.196,0.2,1748571.34
2022-10-24,0.201,0.203,0.198,0.198,1332187.35
2022-10-25,0.199,0.209,0.197,0.203,1387633.98
2022-10-26,0.204,0.215,0.203,0.212,2591323.39
2022-10-27,0.213,0.285,0.208,0.242,27424366.98
2022-10-28,0.242,0.283,0.238,0.241,27110982.22
2022-10-29,0.241,0.244,0.223,0.227,7820585.82
2022-10-30,0.227,0.231,0.218,0.221,2354297.74
2022-10-31,0.22,0.233,0.22,0.225,2683020.94
2022-11-01,0.224,0.226,0.218,0.219,1224684.31
2022-11-02,0.218,0.224,0.211,0.212,2074075.94
2022-11-03,0.213,0.226,0.212,0.22,2570685.09
2022-11-04,0.221,0.234,0.219,0.23,3467435.45
2022-11-05,0.23,0.252,0.229,0.239,4856856.86
2022-11-06,0.239,0.239,0.223,0.224,2378455.16
2022-11-07,0.223,0.232,0.22,0.226,2800088.88
2022-11-08,0.226,0.226,0.181,0.193,13659812.17
2022-11-09,0.192,0.193,0.137,0.141,8207857.46
2022-11-10,0.141,0.177,0.14,0.169,4837272.92
2022-11-11,0.168,0.181,0.151,0.156,5181412.26
2022-11-12,0.155,0.156,0.147,0.15,1610103.87
2022-11-13,0.15,0.159,0.147,0.155,3715465.13
2022-11-14,0.155,0.156,0.142,0.151,3135892.05
2022-11-15,0.151,0.169,0.15,0.159,3173529.48
2022-11-16,0.16,0.164,0.154,0.157,1857539.85
2022-11-17,0.156,0.158,0.147,0.153,2266389.85
2022-11-18,0.153,0.155,0.149,0.15,1132792.24
2022-11-19,0.149,0.152,0.147,0.15,1544253.24
2022-11-20,0.15,0.22,0.147,0.157,36660060.5
2022-11-21,0.158,0.186,0.15,0.155,16539381.62
2022-11-22,0.156,0.162,0.15,0.159,5160098.1
2022-11-23,0.159,0.17,0.157,0.168,7018283.22
2022-11-24,0.168,0.17,0.16,0.161,3485913.03
2022-11-25,0.161,0.162,0.155,0.16,1757333.55
2022-11-26,0.16,0.19,0.158,0.166,10552477.32
2022-11-27,0.166,0.182,0.161,0.163,7818202.36
2022-11-28,0.164,0.164,0.156,0.16,3261284.66
2022-11-29,0.161,0.175,0.158,0.161,5265392.2
2022-11-30,0.162,0.168,0.161,0.167,3063676.68
2022-12-01,0.167,0.201,0.163,0.182,15798767.84
2022-12-02,0.182,0.218,0.173,0.195,25986509.66
2022-12-03,0.196,0.196,0.18,0.187,6005138.3
2022-12-04,0.187,0.191,0.184,0.186,2326638.19
2022-12-05,0.187,0.19,0.174,0.18,3049274.64
2022-12-06,0.18,0.182,0.177,0.18,1014610.67
2022-12-07,0.181,0.181,0.165,0.168,2704986.85
2022-12-08,0.168,0.197,0.166,0.18,6253083.67
2022-12-09,0.181,0.186,0.174,0.176,2010537.56
2022-12-10,0.176,0.21,0.172,0.18,7879690.97
2022-12-11,0.18,0.182,0.174,0.174,2185350.03
2022-12-12,0.175,0.184,0.167,0.173,4288841.03
2022-12-13,0.174,0.18,0.165,0.173,3205549.84
2022-12-14,0.172,0.179,0.17,0.171,2080686.98
2022-12-15,0.1713,0.1722,0.1617,0.1621,1330226.12
2022-12-16,0.1622,0.1656,0.143,0.1454,3089668.35
2022-12-17,0.1456,0.1563,0.1427,0.1516,2793431.49
2022-12-18,0.1516,0.1539,0.1486,0.1521,1486297.06
2022-12-19,0.1523,0.1529,0.138,0.1404,3182814.0
2022-12-20,0.1403,0.1455,0.1396,0.1443,1208121.09
2022-12-21,0.1443,0.1462,0.1403,0.1426,1424109.58
2022-12-22,0.1426,0.1445,0.1374,0.1415,2008395.07
2022-12-23,0.1415,0.145,0.14,0.1434,1055846.87
2022-12-24,0.1438,0.1491,0.1433,0.1465,2189577.64
2022-12-25,0.1465,0.1467,0.1421,0.1449,882567.9
2022-12-26,0.145,0.149,0.1431,0.1471,2594031.42
2022-12-27,0.1472,0.1484,0.1446,0.1462,1364269.29
2022-12-28,0.1463,0.1463,0.1383,0.1396,1711539.35
2022-12-29,0.1394,0.14,0.1331,0.1361,2159949.29
2022-12-30,0.1361,0.1373,0.1319,0.1344,1359570.96
2022-12-31,0.1344,0.1378,0.134,0.1343,1046190.78
2023-01-01,0.1343,0.1346,0.1316,0.1337,877811.83
2023-01-02,0.1338,0.139,0.1323,0.1375,1344264.03
2023-01-03,0.1375,0.14,0.1357,0.1376,1270119.77
2023-01-04,0.1376,0.1479,0.1373,0.1441,2841432.44
2023-01-05,0.1441,0.1467,0.141,0.1428,2958513.85
2023-01-06,0.1428,0.1435,0.1374,0.1415,1442471.29
2023-01-07,0.1415,0.1432,0.1403,0.1411,671222.06
2023-01-08,0.141,0.1479,0.14,0.147,1134920.22
2023-01-09,0.1469,0.1536,0.1455,0.1467,3157134.8
2023-01-10,0.1469,0.1579,0.1458,0.1539,6287696.16
2023-01-11,0.1537,0.1848,0.1488,0.1806,23470089.35
2023-01-12,0.1805,0.1914,0.1659,0.172,14161832.7
2023-01-13,0.172,0.184,0.1691,0.1789,5996862.96
2023-01-14,0.1789,0.2015,0.1771,0.1808,9761325.96
2023-01-15,0.1809,0.1833,0.1726,0.1814,4817403.93
2023-01-16,0.1814,0.1851,0.1698,0.1788,4575789.25
2023-01-17,0.179,0.1825,0.1752,0.1763,3577996.45
2023-01-18,0.1763,0.1805,0.1675,0.1712,4018641.67
2023-01-19,0.1712,0.1785,0.1705,0.1775,2107592.78
2023-01-20,0.1774,0.1899,0.1743,0.1881,3341172.52
2023-01-21,0.188,0.194,0.1857,0.186,4343034.55
2023-01-22,0.1859,0.1999,0.185,0.1903,3741959.77
2023-01-23,0.1902,0.2006,0.189,0.1977,3468185.81
2023-01-24,0.1974,0.206,0.1858,0.1888,3999875.38
2023-01-25,0.1889,0.1994,0.1837,0.1963,2902111.13
2023-01-26,0.1964,0.205,0.196,0.2005,3127968.95
2023-01-27,0.2005,0.248,0.1955,0.2344,12701402.16
2023-01-28,0.2341,0.2382,0.218,0.2189,9854163.68
2023-01-29,0.2192,0.2269,0.2164,0.2244,3423719.36
2023-01-30,0.2247,0.2262,0.2062,0.2084,6055307.55
2023-01-31,0.2088,0.2142,0.2063,0.2104,3227001.95
2023-02-01,0.2101,0.2228,0.198,0.2225,4712111.21
2023-02-02,0.2226,0.2654,0.2224,0.2247,15746886.77
2023-02-03,0.2243,0.2308,0.2217,0.2255,3356857.56
2023-02-04,0.2257,0.233,0.2198,0.2256,3353150.18
2023-02-05,0.2258,0.2267,0.2117,0.2153,3587475.42
2023-02-06,0.2153,0.3246,0.2105,0.2634,49286159.27
2023-02-07,0.263,0.2887,0.2564,0.2801,22428359.56
2023-02-08,0.2803,0.2975,0.263,0.2706,8839709.2
2023-02-09,0.2709,0.2738,0.235,0.2395,9679104.88
2023-02-10,0.2394,0.2487,0.2335,0.2399,4072576.39
2023-02-11,0.2396,0.2442,0.2363,0.2431,2088363.8
2023-02-12,0.2431,0.2521,0.2347,0.2381,3308831.65
2023-02-13,0.2381,0.2388,0.225,0.2336,3325317.98
2023-02-14,0.2336,0.2467,0.2311,0.2434,3556215.56
2023-02-15,0.2431,0.265,0.2384,0.2637,3684670.16
2023-02-16,0.2634,0.27,0.2453,0.2462,6045307.74
2023-02-17,0.246,0.263,0.2449,0.2612,3930527.22
2023-02-18,0.2612,0.2628,0.2575,0.261,3225418.62
2023-02-19,0.2613,0.2793,0.259,0.272,8815663.73
2023-02-20,0.2718,0.3035,0.2625,0.3025,14031513.73
2023-02-21,0.3025,0.3188,0.2837,0.2921,11204799.72
2023-02-22,0.2919,0.2974,0.2709,0.281,8433311.22
2023-02-23,0.2814,0.29,0.2707,0.2739,6169679.17
2023-02-24,0.274,0.277,0.2528,0.2567,5777182.98
2023-02-25,0.2566,0.2577,0.2437,0.2498,3312922.66
2023-02-26,0.2498,0.2584,0.249,0.2562,1708358.66
2023-02-27,0.2558,0.2601,0.2475,0.2509,1439684.27
2023-02-28,0.2509,0.2531,0.2409,0.2426,3024172.63
2023-03-01,0.2427,0.273,0.2397,0.2702,11828153.21
2023-03-02,0.27,0.272,0.2575,0.2612,2599922.13
2023-03-03,0.2612,0.2616,0.24,0.2498,3423256.8
2023-03-04,0.2498,0.2523,0.2383,0.2429,1371390.21
2023-03-05,0.2429,0.2471,0.2412,0.2425,1312329.53
2023-03-06,0.2428,0.249,0.2362,0.2449,2413136.5
2023-03-07,0.2451,0.2654,0.2312,0.2386,4295334.51
2023-03-08,0.2385,0.2404,0.2201,0.2222,2897888.88
2023-03-09,0.2221,0.2314,0.2071,0.2104,4052383.35
2023-03-10,0.2104,0.2159,0.2,0.2137,3792774.91
2023-03-11,0.2138,0.2178,0.1863,0.1943,5711242.76
2023-03-12,0.1941,0.2153,0.1903,0.2144,3727178.9
2023-03-13,0.2147,0.2216,0.2026,0.2158,5664856.58
2023-03-14,0.2158,0.2376,0.214,0.2255,6656439.3
2023-03-15,0.2258,0.2302,0.205,0.2068,4572714.81
2023-03-16,0.2067,0.2163,0.2038,0.212,3643496.4
2023-03-17,0.2119,0.2397,0.2103,0.2397,5751837.26
2023-03-18,0.2397,0.5,0.2368,0.3526,159296741.19
2023-03-19,0.3525,0.417,0.3045,0.3363,118279643.98
2023-03-20,0.3361,0.375,0.2992,0.3343,51867634.46
2023-03-21,0.3347,0.4525,0.3311,0.3845,107177800.42
2023-03-22,0.3843,0.4022,0.3494,0.3754,31776410.15
2023-03-23,0.3747,0.4267,0.3686,0.4159,24472929.89
2023-03-24,0.416,0.4592,0.3852,0.3897,39145714.09
2023-03-25,0.39,0.3924,0.3652,0.3735,11241038.9
2023-03-26,0.3736,0.498,0.37,0.4778,71224818.64
2023-03-27,0.4777,0.5759,0.4418,0.5314,114417530.0
2023-03-28,0.5317,0.6355,0.4836,0.4976,117613172.9
2023-03-29,0.4979,0.6044,0.486,0.5769,107737473.82
2023-03-30,0.577,0.6254,0.5574,0.6036,92120629.93
2023-03-31,0.6031,0.666,0.5766,0.6055,81211891.75
2023-04-01,0.6055,0.6372,0.582,0.6137,38102260.97
2023-04-02,0.6137,0.6447,0.5918,0.6062,44712023.69
2023-04-03,0.6064,0.6281,0.548,0.5892,44025940.09
2023-04-04,0.5891,0.6178,0.5743,0.614,24452061.36
2023-04-05,0.6144,0.6306,0.5855,0.5935,20543444.62
2023-04-06,0.594,0.5964,0.5756,0.588,11396421.53
2023-04-07,0.5881,0.596,0.5673,0.5709,10207559.5
2023-04-08,0.5708,0.58,0.549,0.5668,19521253.01
2023-04-09,0.5668,0.6018,0.56,0.5925,18570336.59
2023-04-10,0.5928,0.6078,0.5778,0.602,19992940.72
2023-04-11,0.6019,0.6444,0.5962,0.6045,24102949.63
2023-04-12,0.6045,0.6211,0.5824,0.605,15042320.54
2023-04-13,0.6051,0.6988,0.5971,0.6583,41435970.22
2023-04-14,0.6588,0.6877,0.615,0.6443,36991152.73
2023-04-15,0.6442,0.6453,0.6167,0.6243,14344916.23
2023-04-16,0.6239,0.6472,0.61,0.6445,13145689.68
2023-04-17,0.6445,0.6875,0.6151,0.6733,46246602.45
2023-04-18,0.6735,0.718,0.6533,0.6826,31637500.47
2023-04-19,0.6831,0.6835,0.601,0.6133,21818538.97
2023-04-20,0.6131,0.638,0.5686,0.5767,21976949.5
2023-04-21,0.5767,0.5876,0.5157,0.5196,18242145.35
2023-04-22,0.5195,0.532,0.5056,0.5309,11862362.68
2023-04-23,0.5309,0.5309,0.472,0.4871,13985207.24
2023-04-24,0.4874,0.4977,0.4701,0.4794,11871263.58
2023-04-25,0.4794,0.5043,0.4621,0.4982,16503531.35
2023-04-26,0.4982,0.536,0.4627,0.4994,27189956.55
2023-04-27,0.4991,0.5184,0.4966,0.5111,14635745.6
2023-04-28,0.5115,0.5147,0.487,0.5026,7324802.02
2023-04-29,0.5027,0.5067,0.4937,0.5001,4735249.1
2023-04-30,0.4999,0.4999,0.4713,0.4721,7187765.65
2023-05-01,0.4721,0.4745,0.4317,0.4437,11852472.07
2023-05-02,0.4436,0.4448,0.4252,0.4328,8525386.79
2023-05-03,0.4328,0.4337,0.3854,0.4138,22882044.36
2023-05-04,0.4138,0.4139,0.3806,0.387,9560082.17
2023-05-05,0.3871,0.4176,0.3853,0.4005,19326476.69
2023-05-06,0.4005,0.4031,0.3562,0.3598,15626872.64
2023-05-07,0.3598,0.3795,0.3487,0.3595,12549953.96
2023-05-08,0.3595,0.3644,0.3061,0.3194,24800954.11
2023-05-09,0.3193,0.3483,0.3154,0.3316,19298751.75
2023-05-10,0.3315,0.3669,0.3259,0.3449,22697156.62
2023-05-11,0.345,0.3454,0.3206,0.3244,13252295.35
2023-05-12,0.3247,0.3369,0.3128,0.3363,11063985.6
2023-05-13,0.3363,0.3378,0.3172,0.3196,9516984.0
2023-05-14,0.3195,0.3411,0.3128,0.3399,14994504.1
2023-05-15,0.3396,0.3774,0.3317,0.3676,48479483.69
2023-05-16,0.3673,0.388,0.3593,0.3649,28362349.8
2023-05-17,0.3653,0.4267,0.3614,0.3988,42043326.73
2023-05-18,0.3993,0.4058,0.3705,0.3783,22264221.17
2023-05-19,0.3783,0.379,0.363,0.3664,15149492.33
2023-05-20,0.3662,0.3662,0.3564,0.3609,5840999.32
2023-05-21,0.3611,0.3679,0.3443,0.3474,10793633.96
2023-05-22,0.3476,0.3714,0.3407,0.3679,14142305.02
2023-05-23,0.368,0.3809,0.3651,0.3745,11496277.08
2023-05-24,0.3745,0.3745,0.3436,0.3497,10918794.3
2023-05-25,0.3497,0.3534,0.3387,0.3479,6009257.79
2023-05-26,0.3479,0.3584,0.3455,0.3565,5400218.63
2023-05-27,0.3562,0.3625,0.3535,0.3613,5057665.26
2023-05-28,0.3613,0.3885,0.3577,0.3787,11782921.76
2023-05-29,0.3788,0.4195,0.3766,0.4005,48086085.91
2023-05-30,0.4005,0.48,0.395,0.4635,62450815.88
2023-05-31,0.4637,0.4643,0.3911,0.42,38518654.93
2023-06-01,0.4201,0.4618,0.4026,0.4301,36463449.75
2023-06-02,0.4299,0.4674,0.4236,0.4406,25020877.08
2023-06-03,0.4404,0.456,0.4088,0.423,21687041.2
2023-06-04,0.4231,0.4807,0.4211,0.4541,42021518.27
2023-06-05,0.4542,0.4756,0.3855,0.3941,52113931.21
2023-06-06,0.3943,0.441,0.3912,0.4355,33176836.28
2023-06-07,0.4356,0.4477,0.4055,0.4098,28251108.81
2023-06-08,0.4096,0.4217,0.4,0.4153,12927717.53
2023-06-09,0.4155,0.4344,0.3986,0.4021,20023557.86
2023-06-10,0.4018,0.4027,0.3105,0.3466,36566086.06
2023-06-11,0.3465,0.3482,0.3319,0.3344,11054692.8
2023-06-12,0.3344,0.3361,0.3211,0.3311,14129309.15
2023-06-13,0.3312,0.3428,0.32,0.324,14021664.67
2023-06-14,0.3239,0.3325,0.29,0.3015,13581489.35
2023-06-15,0.3013,0.315,0.2886,0.3077,15382074.63
