date,open,high,low,close,volume
2022-08-23,6.54,6.79,6.18,6.39,528516.35
2022-08-24,6.39,6.49,6.04,6.1,354895.51
2022-08-25,6.1,6.2,5.75,5.86,313402.35
2022-08-26,5.87,5.88,5.18,5.23,356500.3
2022-08-27,5.23,5.34,4.94,5.29,252610.02
2022-08-28,5.28,5.8,5.13,5.16,513009.41
2022-08-29,5.16,5.37,5.02,5.31,203594.38
2022-08-30,5.31,5.4,5.05,5.19,264152.25
2022-08-31,5.17,6.33,5.17,5.61,1488681.78
2022-09-01,5.61,6.08,5.52,5.79,663544.49
2022-09-02,5.79,6.05,5.61,5.99,532087.87
2022-09-03,5.97,6.18,5.74,5.78,443405.09
2022-09-04,5.79,5.87,5.61,5.8,185496.8
2022-09-05,5.81,6.1,5.65,5.7,338816.11
2022-09-06,5.7,5.88,5.17,5.2,354280.23
2022-09-07,5.22,5.42,5.12,5.33,301785.17
2022-09-08,5.34,5.45,5.19,5.32,179194.81
2022-09-09,5.32,5.57,5.3,5.39,277483.31
2022-09-10,5.38,5.46,5.33,5.41,149515.18
2022-09-11,5.42,5.7,5.35,5.43,306111.48
2022-09-12,5.43,5.46,5.25,5.33,151678.12
2022-09-13,5.34,6.88,5.21,5.72,1489684.52
2022-09-14,5.72,6.28,5.25,5.33,913870.4
2022-09-15,5.34,5.37,5.01,5.19,488485.14
2022-09-16,5.2,5.65,5.11,5.31,504007.61
2022-09-17,5.31,5.45,5.28,5.4,186516.64
2022-09-18,5.4,5.7,5.17,5.19,418805.31
2022-09-19,5.19,5.4,4.79,5.15,442568.91
2022-09-20,5.15,5.21,4.9,4.91,209343.22
2022-09-21,4.91,5.24,4.78,4.93,289827.73
2022-09-22,4.92,5.29,4.92,5.26,316596.5
2022-09-23,5.26,5.79,5.25,5.7,920458.18
2022-09-24,5.7,5.72,5.28,5.32,455046.21
2022-09-25,5.32,5.52,5.27,5.36,370743.03
2022-09-26,5.36,5.55,4.99,5.18,619666.67
2022-09-27,5.18,5.36,5.07,5.2,269475.02
2022-09-28,5.2,5.26,4.87,5.09,273883.89
2022-09-29,5.09,5.19,4.95,5.1,183796.65
2022-09-30,5.1,5.16,5.01,5.08,149133.54
2022-10-01,5.08,5.18,5.06,5.08,85018.76
2022-10-02,5.09,5.11,4.86,4.9,129727.0
2022-10-03,4.9,5.08,4.83,4.98,172510.83
2022-10-04,4.98,5.09,4.94,4.99,308446.05
2022-10-05,4.99,5.1,4.89,4.96,489718.27
2022-10-06,4.96,5.1,4.95,5.0,130468.34
2022-10-07,5.01,5.04,4.91,4.95,93627.67
2022-10-08,4.94,5.01,4.84,4.87,73231.28
2022-10-09,4.86,4.91,4.77,4.8,81352.28
2022-10-10,4.8,4.86,4.35,4.35,221023.31
2022-10-11,4.36,4.36,4.08,4.18,218071.96
2022-10-12,4.18,4.22,4.02,4.06,114305.32
2022-10-13,4.05,4.07,3.48,3.81,389824.89
2022-10-14,3.81,4.67,3.8,3.92,596855.48
2022-10-15,3.92,3.98,3.84,3.85,126003.87
2022-10-16,3.84,3.99,3.84,3.92,131122.06
2022-10-17,3.92,4.06,3.85,3.94,154826.34
2022-10-18,3.94,4.01,3.79,3.87,116262.71
2022-10-19,3.87,3.87,3.66,3.71,116992.98
2022-10-20,3.69,3.74,3.46,3.6,154701.67
2022-10-21,3.59,3.75,3.39,3.66,249282.07
2022-10-22,3.66,3.7,3.59,3.64,73370.39
2022-10-23,3.65,3.73,3.59,3.66,74237.39
2022-10-24,3.66,3.8,3.55,3.67,176520.57
2022-10-25,3.66,4.4,3.66,3.79,1068820.69
2022-10-26,3.8,3.9,3.77,3.83,177547.37
2022-10-27,3.82,3.93,3.71,3.71,138362.94
2022-10-28,3.71,3.82,3.63,3.78,110232.72
2022-10-29,3.79,3.9,3.72,3.79,151964.54
2022-10-30,3.79,4.17,3.78,3.91,526980.98
2022-10-31,3.91,4.06,3.78,3.92,572566.43
2022-11-01,3.91,4.0,3.83,3.88,211967.35
2022-11-02,3.88,3.9,3.72,3.81,221127.53
2022-11-03,3.81,3.98,3.8,3.92,318187.8
2022-11-04,3.93,4.7,3.92,4.22,771593.28
2022-11-05,4.23,4.88,4.13,4.45,978202.97
2022-11-06,4.45,4.77,4.26,4.3,750586.28
2022-11-07,4.3,4.56,4.12,4.34,333002.65
2022-11-08,4.34,4.36,3.12,3.68,1022002.89
2022-11-09,3.68,3.7,2.68,2.79,497762.12
2022-11-10,2.77,3.43,2.75,3.34,402764.51
2022-11-11,3.35,3.5,3.0,3.29,387930.42
2022-11-12,3.3,3.43,2.93,3.14,234557.66
2022-11-13,3.13,3.32,2.9,3.05,357858.34
2022-11-14,3.06,3.24,2.9,3.13,203476.31
2022-11-15,3.13,3.61,3.1,3.41,505244.88
2022-11-16,3.4,3.85,3.32,3.4,636572.35
2022-11-17,3.4,3.92,3.24,3.71,960209.25
2022-11-18,3.71,4.19,3.69,3.9,1025198.75
2022-11-19,3.9,3.9,3.57,3.62,415233.51
2022-11-20,3.62,3.68,2.98,3.12,1184356.22
2022-11-21,3.12,3.25,2.85,3.04,407185.78
2022-11-22,3.04,3.16,2.91,3.1,468396.29
2022-11-23,3.11,3.21,3.0,3.09,249875.75
2022-11-24,3.09,3.15,3.04,3.07,135332.2
2022-11-25,3.07,3.29,2.96,3.2,316591.31
2022-11-26,3.19,3.21,3.06,3.1,219563.38
2022-11-27,3.09,3.34,3.04,3.09,636387.1
2022-11-28,3.1,3.11,2.92,3.06,156289.15
2022-11-29,3.06,3.3,3.04,3.11,687485.1
2022-11-30,3.12,3.18,3.07,3.16,125826.21
2022-12-01,3.17,3.19,3.11,3.13,149010.53
2022-12-02,3.12,3.24,3.08,3.2,217910.52
2022-12-03,3.2,3.23,3.12,3.13,160676.96
2022-12-04,3.12,3.18,3.11,3.14,57897.18
2022-12-05,3.15,3.18,3.08,3.12,121094.05
2022-12-06,3.13,3.14,3.08,3.11,67563.46
2022-12-07,3.12,3.12,2.98,3.0,105635.85
2022-12-08,2.99,3.05,2.96,3.05,56666.16
2022-12-09,3.05,3.06,3.0,3.03,80331.25
2022-12-10,3.04,3.08,3.01,3.02,86924.07
2022-12-11,3.02,3.05,2.92,2.92,56762.31
2022-12-12,2.92,2.93,2.78,2.85,138428.06
2022-12-13,2.85,2.89,2.71,2.82,134490.58
2022-12-14,2.83,3.05,2.74,3.04,275520.29
2022-12-15,3.04,3.1,2.84,2.85,317616.6
2022-12-16,2.86,2.9,2.64,2.65,238997.12
2022-12-17,2.64,3.08,2.57,2.73,427427.62
2022-12-18,2.73,2.95,2.67,2.73,281913.52
2022-12-19,2.73,2.75,2.55,2.57,152393.36
2022-12-20,2.57,2.71,2.55,2.68,63805.1
2022-12-21,2.68,2.69,2.62,2.66,50916.56
2022-12-22,2.66,2.68,2.59,2.65,58304.83
2022-12-23,2.65,2.71,2.6,2.66,86214.65
2022-12-24,2.66,2.71,2.63,2.68,67333.25
2022-12-25,2.68,2.75,2.66,2.7,84587.04
2022-12-26,2.71,2.71,2.64,2.7,56775.6
2022-12-27,2.7,2.7,2.63,2.66,31283.46
2022-12-28,2.67,2.68,2.58,2.61,34435.58
2022-12-29,2.61,2.89,2.57,2.57,503325.44
2022-12-30,2.57,2.61,2.54,2.56,59023.69
2022-12-31,2.56,2.65,2.55,2.6,66741.48
2023-01-01,2.61,2.63,2.57,2.59,34752.67
2023-01-02,2.6,2.64,2.59,2.61,40616.26
2023-01-03,2.61,2.76,2.6,2.63,117501.12
2023-01-04,2.63,2.68,2.63,2.65,81444.76
2023-01-05,2.65,2.85,2.63,2.79,651364.23
2023-01-06,2.79,2.84,2.66,2.72,171861.83
2023-01-07,2.71,2.82,2.71,2.8,103032.93
2023-01-08,2.79,2.9,2.74,2.79,147026.63
2023-01-09,2.8,2.85,2.77,2.8,166908.52
2023-01-10,2.8,2.89,2.78,2.89,167082.34
2023-01-11,2.89,2.92,2.83,2.91,75763.58
2023-01-12,2.91,2.93,2.8,2.9,109421.57
2023-01-13,2.89,2.98,2.84,2.89,281364.03
2023-01-14,2.89,3.25,2.88,3.15,1183786.2
2023-01-15,3.15,3.2,3.02,3.11,308525.64
2023-01-16,3.1,3.2,3.04,3.15,323621.01
2023-01-17,3.16,3.21,3.11,3.13,128491.05
2023-01-18,3.15,3.28,2.95,2.96,342031.59
2023-01-19,2.96,3.13,2.96,3.1,133467.44
2023-01-20,3.1,3.28,3.05,3.16,446108.01
2023-01-21,3.16,3.22,3.07,3.1,350872.5
2023-01-22,3.1,3.17,3.06,3.09,233838.12
2023-01-23,3.1,3.16,3.06,3.11,168800.98
2023-01-24,3.1,3.16,2.95,2.97,194315.24
2023-01-25,2.95,3.13,2.93,3.05,305093.49
2023-01-26,3.05,3.09,2.98,3.03,145620.8
2023-01-27,3.03,3.06,2.96,3.02,145727.28
2023-01-28,3.02,3.08,3.0,3.03,109764.11
2023-01-29,3.02,3.1,3.02,3.07,94507.13
2023-01-30,3.08,3.09,2.88,2.93,185357.31
2023-01-31,2.92,2.98,2.89,2.96,76087.05
2023-02-01,2.96,2.97,2.86,2.96,83741.86
2023-02-02,2.97,3.05,2.95,2.97,174299.77
2023-02-03,2.95,3.05,2.95,3.03,133340.96
2023-02-04,3.03,3.08,3.0,3.01,85485.77
2023-02-05,3.0,3.08,2.91,2.93,141792.74
2023-02-06,2.94,3.04,2.89,2.97,106344.44
2023-02-07,2.99,3.19,2.97,3.15,346473.21
2023-02-08,3.16,3.46,3.08,3.27,711562.96
2023-02-09,3.26,3.34,2.98,3.0,480079.82
2023-02-10,3.0,3.03,2.93,2.98,117175.41
2023-02-11,2.98,3.1,2.95,3.07,138117.53
2023-02-12,3.06,3.11,2.97,2.97,218743.28
2023-02-13,2.98,3.04,2.87,2.96,163504.28
2023-02-14,2.97,3.02,2.91,2.99,107470.86
2023-02-15,3.0,3.07,2.95,3.06,159197.14
2023-02-16,3.05,3.18,2.95,2.96,360830.65
2023-02-17,2.96,3.12,2.96,3.06,151120.4
2023-02-18,3.07,3.1,3.01,3.03,88625.2
2023-02-19,3.03,3.09,3.01,3.06,145308.2
2023-02-20,3.06,3.14,3.01,3.12,188872.31
2023-02-21,3.11,3.18,2.88,2.92,630166.67
2023-02-22,2.92,2.95,2.82,2.9,201297.48
2023-02-23,2.9,2.95,2.86,2.93,114961.19
2023-02-24,2.93,2.96,2.79,2.85,216363.64
2023-02-25,2.85,3.04,2.79,2.84,565462.34
2023-02-26,2.85,2.86,2.8,2.84,101850.32
2023-02-27,2.84,2.89,2.78,2.8,168531.17
2023-02-28,2.81,2.84,2.76,2.8,66474.13
