date,open,high,low,close,volume
2022-08-23,1.928,1.951,1.82,1.908,3871499.5
2022-08-24,1.91,1.976,1.832,1.85,3921601.9
2022-08-25,1.85,1.889,1.774,1.811,2811621.0
2022-08-26,1.81,1.813,1.698,1.725,3951618.2
2022-08-27,1.724,1.83,1.685,1.781,5426263.8
2022-08-28,1.782,1.8,1.66,1.666,3806836.0
2022-08-29,1.668,1.717,1.624,1.711,4462329.3
2022-08-30,1.71,1.777,1.652,1.73,2794770.6
2022-08-31,1.73,1.763,1.71,1.728,4876034.2
2022-09-01,1.727,1.787,1.678,1.781,5556684.4
2022-09-02,1.781,1.82,1.743,1.797,2111008.8
2022-09-03,1.796,1.797,1.693,1.704,1411058.5
2022-09-04,1.704,1.713,1.666,1.687,1205473.3
2022-09-05,1.687,1.695,1.634,1.667,1193316.6
2022-09-06,1.669,1.734,1.652,1.678,2943813.0
2022-09-07,1.679,1.749,1.667,1.745,3762621.7
2022-09-08,1.745,1.8,1.726,1.772,2121598.1
2022-09-09,1.773,1.884,1.764,1.843,2543239.1
2022-09-10,1.843,2.086,1.835,2.048,5058269.6
2022-09-11,2.049,2.092,1.956,2.007,3942541.4
2022-09-12,2.007,2.023,1.895,1.913,3599621.6
2022-09-13,1.913,2.005,1.824,1.956,5892528.2
2022-09-14,1.958,2.013,1.872,1.937,3971006.1
2022-09-15,1.936,2.06,1.873,2.001,4897082.1
2022-09-16,2.001,2.053,1.873,1.891,4687945.0
2022-09-17,1.89,1.995,1.879,1.906,3506148.9
2022-09-18,1.906,1.933,1.255,1.442,39414180.6
2022-09-19,1.441,1.456,1.315,1.412,13825643.5
2022-09-20,1.411,1.413,1.29,1.304,6536445.1
2022-09-21,1.303,1.347,1.194,1.215,6335434.7
2022-09-22,1.214,1.267,1.213,1.258,4559650.5
2022-09-23,1.258,1.276,1.169,1.22,6185310.6
2022-09-24,1.221,1.228,1.188,1.196,3613493.8
2022-09-25,1.196,1.221,1.149,1.163,3166922.3
2022-09-26,1.163,1.173,1.122,1.17,4035771.8
2022-09-27,1.169,1.21,1.123,1.15,4615756.5
2022-09-28,1.149,1.151,1.089,1.136,2699615.0
2022-09-29,1.136,1.15,1.111,1.149,2299676.9
2022-09-30,1.15,1.198,1.144,1.183,3651603.8
2022-10-01,1.183,1.194,1.155,1.171,1551184.1
2022-10-02,1.171,1.186,1.113,1.119,2227392.4
2022-10-03,1.119,1.148,1.104,1.142,2008102.3
2022-10-04,1.144,1.164,1.132,1.157,1750267.7
2022-10-05,1.156,1.159,1.123,1.149,2131583.3
2022-10-06,1.15,1.172,1.124,1.143,3208343.6
2022-10-07,1.143,1.148,1.115,1.131,1372727.2
2022-10-08,1.131,1.141,1.117,1.124,605459.0
2022-10-09,1.124,1.138,1.123,1.132,652247.7
2022-10-10,1.132,1.143,1.015,1.05,2044520.5
2022-10-11,1.049,1.05,1.013,1.021,1731098.4
2022-10-12,1.021,1.036,1.006,1.024,849582.9
2022-10-13,1.024,1.025,0.878,0.962,5312526.033
2022-10-14,0.962,0.983,0.915,0.924,4692745.3
2022-10-15,0.925,1.009,0.907,0.919,7008928.5
2022-10-16,0.919,0.966,0.917,0.934,5962591.4
