date,open,high,low,close,volume
2022-08-23,50.6,51.0,48.2,49.6,70150.077
2022-08-24,49.6,50.4,48.0,49.0,63964.895
2022-08-25,48.9,50.7,48.3,48.6,47455.802
2022-08-26,48.5,49.9,43.9,44.5,113945.258
2022-08-27,44.4,46.2,43.7,45.8,35815.139
2022-08-28,45.7,47.5,45.2,45.4,33642.279
2022-08-29,45.5,50.3,45.1,50.0,61067.346
2022-08-30,50.1,50.5,46.5,47.4,48953.907
2022-08-31,47.5,49.7,47.2,47.4,37752.949
2022-09-01,47.4,47.9,45.5,47.5,29940.591
2022-09-02,47.4,49.2,46.7,47.7,32738.422
2022-09-03,47.8,49.5,47.4,48.8,24530.001
2022-09-04,48.8,51.7,48.8,50.6,44221.811
2022-09-05,50.6,51.5,48.6,51.3,39346.301
2022-09-06,51.3,52.6,45.3,45.5,78021.703
2022-09-07,45.5,49.1,45.0,48.3,42028.513
2022-09-08,48.3,50.4,48.0,50.2,50065.846
2022-09-09,50.2,54.3,49.9,52.65,69370.454
2022-09-10,52.69,53.31,51.5,52.24,69953.406
2022-09-11,52.29,53.63,50.81,51.98,86955.41
2022-09-12,51.93,55.0,50.89,52.17,88183.219
2022-09-13,52.2,52.28,46.07,46.36,160219.67
2022-09-14,46.36,47.91,46.13,47.49,64682.585
2022-09-15,47.47,47.81,44.14,44.48,101107.653
2022-09-16,44.49,44.67,42.57,43.98,101266.934
2022-09-17,43.96,45.0,43.67,44.8,35740.985
2022-09-18,44.81,44.81,38.34,39.58,135857.2825
2022-09-19,39.58,40.35,37.64,39.99,196969.326
2022-09-20,40.02,41.19,39.18,39.95,78268.354
2022-09-21,39.94,43.99,39.18,40.11,170566.235
2022-09-22,40.11,42.72,40.09,41.77,81875.636
2022-09-23,41.76,42.7,39.62,42.19,86935.547
2022-09-24,42.21,42.66,40.82,41.08,43044.607
2022-09-25,41.08,42.0,39.75,40.4,40886.876
2022-09-26,40.37,42.5,39.85,42.13,73913.531
2022-09-27,42.13,50.0,42.02,42.51,135042.43
2022-09-28,42.49,47.4,40.47,44.05,85136.003
2022-09-29,44.07,44.49,42.06,43.07,68787.032
2022-09-30,43.08,43.8,41.74,42.19,59449.248
2022-10-01,42.18,42.87,41.65,42.06,26168.514
2022-10-02,42.04,42.57,40.4,40.62,45070.819
2022-10-03,40.62,42.8,40.08,42.61,40045.083
2022-10-04,42.64,44.46,42.29,43.9,40488.897
2022-10-05,43.94,44.1,42.06,43.29,35627.598
2022-10-06,43.3,44.06,42.08,42.59,62067.025
2022-10-07,42.58,43.59,42.23,42.35,36197.087
2022-10-08,42.33,43.99,41.77,42.61,30069.919
2022-10-09,42.59,44.09,42.4,43.61,15523.049
2022-10-10,43.6,44.3,41.86,41.91,49342.798
2022-10-11,41.89,41.89,40.4,40.99,40068.437
2022-10-12,40.98,41.31,39.74,40.1,29007.065
2022-10-13,40.09,41.28,36.16,40.66,92080.2136
2022-10-14,40.64,42.38,39.27,39.94,40138.493
2022-10-15,39.94,40.32,38.36,38.85,41620.496
2022-10-16,38.83,39.63,38.36,38.65,39202.976
2022-10-17,38.65,39.61,37.53,38.11,82948.031
2022-10-18,38.1,38.36,36.77,37.59,67253.796
2022-10-19,37.6,38.42,36.7,37.06,51044.353
2022-10-20,37.05,38.18,35.53,35.94,69818.996
2022-10-21,35.93,36.07,34.26,35.05,91478.526
2022-10-22,35.04,35.23,34.4,34.58,43171.579
2022-10-23,34.58,34.91,33.46,34.71,55506.72
2022-10-24,34.76,35.32,33.33,34.14,130667.105
2022-10-25,34.15,36.44,34.09,34.93,126383.612
2022-10-26,34.92,36.1,34.78,36.03,131261.063
2022-10-27,36.01,37.32,34.69,34.91,101884.464
2022-10-28,34.91,35.91,34.28,35.37,55007.298
2022-10-29,35.38,37.74,35.36,35.95,94175.645
2022-10-30,35.95,37.21,35.62,36.53,93963.183
2022-10-31,36.57,37.21,33.9,34.92,163547.745
2022-11-01,34.92,35.53,33.75,33.88,151525.755
2022-11-02,33.89,34.4,31.85,32.52,132229.538
2022-11-03,32.5,34.24,32.41,33.65,105609.692
2022-11-04,33.65,36.36,33.4,36.36,153097.604
2022-11-05,36.35,40.02,36.17,38.71,301866.274
2022-11-06,38.72,39.02,36.07,36.09,183375.033
2022-11-07,36.08,37.11,34.54,35.63,173313.21
2022-11-08,35.63,36.17,26.0,30.02,350743.817
2022-11-09,30.02,30.27,23.68,24.66,315680.048
2022-11-10,24.63,30.8,24.18,28.21,275259.063
2022-11-11,28.21,29.8,24.49,26.16,264450.49
2022-11-12,26.2,26.27,23.91,24.15,106556.365
2022-11-13,24.16,25.26,22.82,23.18,122688.712
2022-11-14,23.14,24.55,21.78,24.34,157506.467
2022-11-15,24.32,25.8,23.91,25.07,74639.102
2022-11-16,25.08,25.57,24.25,24.7,63714.451
2022-11-17,24.71,25.01,24.01,24.22,58083.833
2022-11-18,24.22,24.92,23.75,23.95,46300.295
2022-11-19,23.95,24.76,23.54,24.66,46821.954
2022-11-20,24.66,25.03,23.45,23.47,86016.054
2022-11-21,23.48,24.38,22.65,24.24,104960.469
2022-11-22,24.25,25.65,23.26,25.65,97073.987
2022-11-23,25.65,26.49,25.24,26.33,77086.577
2022-11-24,26.34,26.76,25.75,26.51,56259.277
2022-11-25,26.51,26.98,25.79,26.26,82365.789
2022-11-26,26.27,27.08,26.26,26.66,54760.616
2022-11-27,26.63,27.3,25.72,25.78,58763.251
2022-11-28,25.78,26.12,24.84,25.62,68247.413
2022-11-29,25.61,27.14,25.4,26.83,52141.271
2022-11-30,26.83,31.59,26.83,29.82,189753.22
2022-12-01,29.83,30.92,29.23,30.16,89417.868
2022-12-02,30.14,31.1,29.33,30.79,70752.823
2022-12-03,30.79,30.92,29.08,29.38,78314.19
2022-12-04,29.38,29.67,28.63,29.44,47265.787
2022-12-05,29.43,31.35,29.43,31.03,111505.538
2022-12-06,31.04,32.0,30.25,30.57,113895.806
2022-12-07,30.59,31.01,28.96,29.3,69441.884
2022-12-08,29.31,31.27,29.04,29.84,86280.26
2022-12-09,29.84,30.01,28.91,29.27,32114.448
2022-12-10,29.26,30.0,29.24,29.76,24064.477
2022-12-11,29.76,30.65,29.51,29.57,42130.016
