date,open,high,low,close,volume
2022-08-23,6.1538,6.3967,5.75,5.9126,2720175.47
2022-08-24,5.9168,5.92,5.3339,5.6172,1380507.6
2022-08-25,5.6117,5.9651,5.4326,5.5766,1384069.04
2022-08-26,5.5716,5.7145,4.7,4.7881,1480644.13
2022-08-27,4.7869,5.1989,4.3234,5.0801,1465959.9
2022-08-28,5.0856,6.566,4.9745,5.4352,5602192.46
2022-08-29,5.4351,6.2,5.3027,6.0774,2194057.59
2022-08-30,6.0776,6.48,5.514,6.0023,3018259.67
2022-08-31,5.9976,8.4299,5.878,7.8611,8818644.83
2022-09-01,7.863,9.1646,7.121,7.8225,5543331.88
2022-09-02,7.8196,8.23,7.4268,7.9584,2351888.94
2022-09-03,7.9584,8.2692,7.464,7.5278,1710906.65
2022-09-04,7.5279,7.822,7.1957,7.4422,874350.15
2022-09-05,7.4357,7.8629,7.15,7.3781,1469822.94
2022-09-06,7.378,7.5,6.546,7.2344,1205430.5
2022-09-07,7.2422,8.4478,7.2214,7.6265,3191447.54
2022-09-08,7.6277,7.9133,7.3618,7.6822,1164644.62
2022-09-09,7.6871,8.0,7.4658,7.5152,1198205.84
2022-09-10,7.5078,7.6813,7.2914,7.4153,641218.63
2022-09-11,7.4157,8.51,7.3054,7.6094,1949504.72
2022-09-12,7.6094,7.9166,7.3,7.6604,1080347.98
2022-09-13,7.6642,7.99,7.1699,7.2349,1586098.64
2022-09-14,7.241,7.28,5.718,6.0,2010244.04
2022-09-15,6.0008,6.745,5.2484,6.1741,3240535.8
2022-09-16,6.1807,6.6679,5.7238,5.9681,2347896.12
2022-09-17,5.9653,6.2151,5.874,6.1857,610990.87
2022-09-18,6.1932,6.5592,5.8256,6.0254,1232748.35
2022-09-19,6.0209,6.37,5.4,5.92,1330747.6
2022-09-20,5.914,6.1471,5.655,5.691,744339.45
2022-09-21,5.691,5.9999,5.4749,5.7947,834601.18
2022-09-22,5.79,6.3,5.691,6.0262,1353197.76
2022-09-23,6.0262,7.5473,5.9726,7.2387,5117190.11
2022-09-24,7.2445,7.6036,6.68,6.738,1778035.49
2022-09-25,6.748,8.21,6.7202,7.7616,4412872.42
2022-09-26,7.7546,8.2305,6.49,7.0111,2788971.05
2022-09-27,7.0093,7.427,6.9375,7.27,1704350.0
2022-09-28,7.27,7.4431,6.66,6.8966,1161726.81
2022-09-29,6.8937,7.1247,6.6959,6.8634,578839.8
2022-09-30,6.8698,6.9398,6.5832,6.6182,417750.85
2022-10-01,6.6207,6.9529,6.6199,6.7286,529524.53
2022-10-02,6.73,6.8478,5.8388,5.8567,1071657.94
2022-10-03,5.8576,6.0666,5.7507,5.8252,1131768.43
2022-10-04,5.8257,6.2886,5.6429,6.0315,1451232.6
2022-10-05,6.0338,6.35,5.7842,6.03,1201412.88
2022-10-06,6.0266,6.1261,5.8097,5.8714,473572.88
2022-10-07,5.8769,6.4995,5.68,6.2255,1794433.67
2022-10-08,6.2283,6.4883,5.9281,6.0322,690000.02
2022-10-09,6.0256,6.1454,5.7273,5.7888,520239.58
2022-10-10,5.79,5.9178,5.1064,5.1074,1295735.28
2022-10-11,5.1074,5.4,4.6766,5.0794,1461061.49
2022-10-12,5.0793,5.195,4.7375,4.8842,736464.03
2022-10-13,4.8831,4.8913,4.1255,4.5312,1578008.05
2022-10-14,4.5274,5.0799,4.4441,4.5087,1268163.94
2022-10-15,4.5086,4.6592,4.2708,4.2902,585722.29
2022-10-16,4.2893,4.5022,4.2884,4.3594,563771.97
2022-10-17,4.3594,4.6427,4.3142,4.5499,842234.95
2022-10-18,4.546,4.6098,4.312,4.36,462226.87
2022-10-19,4.3601,4.3706,3.9468,4.0047,721932.19
2022-10-20,4.0009,4.5,3.803,3.992,1137642.63
2022-10-21,3.9877,4.7478,3.8816,4.1726,2489887.22
2022-10-22,4.1694,4.2337,4.03,4.0486,511078.07
2022-10-23,4.053,4.131,3.9585,4.0883,469593.67
2022-10-24,4.0883,4.47,3.97,4.1834,1169741.8
2022-10-25,4.1835,4.4731,4.165,4.3021,1330555.17
2022-10-26,4.3046,4.37,4.2464,4.2797,426469.71
2022-10-27,4.2757,4.4108,4.1945,4.1979,432126.91
2022-10-28,4.204,4.2193,3.9971,4.132,531282.45
2022-10-29,4.1346,4.2539,4.018,4.0994,560944.6
2022-10-30,4.0994,5.9,4.0785,5.2328,6321447.33
2022-10-31,5.2245,5.5,4.5992,4.7735,3791405.49
2022-11-01,4.7696,5.3,4.55,4.8152,2801665.73
2022-11-02,4.82,5.17,4.675,5.0389,2294304.5
2022-11-03,5.0349,5.2987,4.7969,4.8137,1816746.86
2022-11-04,4.8128,5.6,4.7537,5.3859,1855338.04
2022-11-05,5.3842,8.0581,5.3617,7.3871,10217536.91
2022-11-06,7.3872,7.86,6.18,6.2881,5191751.31
2022-11-07,6.2841,7.8553,5.9738,7.8232,4944632.55
2022-11-08,7.8091,8.3327,5.655,6.267,7820213.2
2022-11-09,6.2752,6.45,4.3,4.4276,4985344.71
2022-11-10,4.437,6.736,4.3763,6.6384,5068556.54
2022-11-11,6.6385,7.0946,5.6093,6.4684,3765973.81
2022-11-12,6.4594,6.5,5.63,5.8845,1655111.3
2022-11-13,5.8855,6.2654,5.555,5.6033,1563168.45
2022-11-14,5.6019,6.599,4.9739,6.0401,2880801.64
