date,open,high,low,close,volume
2022-08-23,1.138,1.142,1.079,1.135,344082.4
2022-08-24,1.135,1.136,1.104,1.117,473941.8
2022-08-25,1.117,1.165,1.11,1.145,260473.0
2022-08-26,1.144,1.145,1.048,1.055,342062.9
2022-08-27,1.053,1.091,1.02,1.046,389286.9
2022-08-28,1.046,1.066,1.031,1.035,231965.6
2022-08-29,1.034,1.066,0.997,1.064,382281.4
2022-08-30,1.062,1.096,1.022,1.048,436694.1
2022-08-31,1.05,1.095,1.048,1.07,293984.6
2022-09-01,1.07,1.075,1.033,1.057,356778.2
2022-09-02,1.059,1.071,1.038,1.039,209603.3
2022-09-03,1.039,1.066,1.037,1.054,141050.9
2022-09-04,1.055,1.062,1.041,1.06,184100.5
2022-09-05,1.06,1.063,1.031,1.051,91582.0
2022-09-06,1.051,1.064,0.971,0.977,416697.8
2022-09-07,0.975,1.016,0.95,1.006,345774.8
2022-09-08,1.006,1.288,1.006,1.05,5768401.7
2022-09-09,1.048,1.125,1.037,1.082,1360607.8
2022-09-10,1.081,1.082,1.056,1.069,521386.5
2022-09-11,1.068,1.1,1.057,1.083,677059.4
2022-09-12,1.082,1.11,1.066,1.094,701642.5
2022-09-13,1.095,1.129,0.997,1.001,790862.0
2022-09-14,0.999,1.025,0.994,1.017,406974.7
2022-09-15,1.016,1.029,0.973,0.979,628099.4
2022-09-16,0.978,1.01,0.964,1.001,655604.0
2022-09-17,1.001,1.018,0.992,1.016,345414.9
2022-09-18,1.017,1.036,0.95,0.958,467406.1
2022-09-19,0.958,0.965,0.901,0.963,534813.1
2022-09-20,0.962,0.962,0.924,0.948,318492.5
2022-09-21,0.948,1.05,0.912,0.922,2230836.5
2022-09-22,0.922,0.963,0.915,0.958,318501.1
2022-09-23,0.957,0.974,0.929,0.96,406224.2
2022-09-24,0.958,0.97,0.948,0.953,182607.9
2022-09-25,0.951,1.015,0.948,0.954,300407.6
2022-09-26,0.952,1.024,0.944,1.004,1254980.0
2022-09-27,1.004,1.031,0.956,0.981,451704.7
2022-09-28,0.978,0.979,0.931,0.967,159127.1
2022-09-29,0.963,0.967,0.937,0.963,211050.9
2022-09-30,0.96,0.985,0.945,0.951,223050.1
2022-10-01,0.955,0.957,0.946,0.95,54269.9
2022-10-02,0.953,0.979,0.938,0.942,287999.2
2022-10-03,0.943,0.961,0.934,0.959,167116.8
2022-10-04,0.96,0.995,0.95,0.976,199986.3
2022-10-05,0.974,0.981,0.942,0.964,181637.9
2022-10-06,0.968,0.977,0.951,0.959,248906.7
2022-10-07,0.96,0.977,0.942,0.967,354663.0
2022-10-08,0.968,1.142,0.966,0.979,3005458.4
2022-10-09,0.979,1.086,0.972,1.001,1224968.3
2022-10-10,1.0,1.072,0.953,0.953,671612.4
2022-10-11,0.953,0.955,0.908,0.921,342581.5
2022-10-12,0.92,0.945,0.914,0.924,281575.8
2022-10-13,0.927,0.927,0.836,0.898,468362.4
2022-10-14,0.9,0.939,0.899,0.906,279451.8
2022-10-15,0.909,0.912,0.897,0.905,145716.7
2022-10-16,0.903,0.956,0.902,0.926,898342.6
2022-10-17,0.929,0.999,0.924,0.968,1754780.0
2022-10-18,0.968,0.97,0.938,0.945,537319.4
2022-10-19,0.946,0.946,0.902,0.905,274578.1
2022-10-20,0.905,0.922,0.892,0.894,232437.7
2022-10-21,0.893,0.91,0.877,0.91,194297.0
2022-10-22,0.907,0.952,0.907,0.927,388463.3
2022-10-23,0.927,0.95,0.911,0.945,229796.5
2022-10-24,0.945,0.965,0.931,0.957,541157.6
2022-10-25,0.953,1.0,0.946,0.976,1393868.7
2022-10-26,0.976,1.0,0.965,0.988,385647.1
2022-10-27,0.986,0.996,0.961,0.967,206483.4
2022-10-28,0.968,0.98,0.954,0.98,202574.1
2022-10-29,0.979,0.987,0.972,0.981,148586.9
2022-10-30,0.979,1.013,0.972,0.978,267998.2
2022-10-31,0.978,1.011,0.962,0.988,260127.5
2022-11-01,0.989,1.032,0.986,0.993,304502.7
2022-11-02,0.99,1.03,0.945,0.955,407282.7
2022-11-03,0.956,0.983,0.954,0.973,183033.8
2022-11-04,0.973,1.03,0.971,1.027,554201.9
