date,open,high,low,close,volume
2022-08-23,1.379,1.419,1.334,1.401,1506588.0
2022-08-24,1.403,1.461,1.367,1.413,1474576.8
2022-08-25,1.413,1.473,1.405,1.429,1260396.5
2022-08-26,1.427,1.442,1.264,1.285,2357799.3
2022-08-27,1.284,1.318,1.26,1.301,1517953.0
2022-08-28,1.301,1.327,1.226,1.237,1400107.0
2022-08-29,1.237,1.332,1.213,1.321,1276237.5
2022-08-30,1.32,1.371,1.27,1.317,1427039.0
2022-08-31,1.319,1.368,1.304,1.32,1275135.9
2022-09-01,1.319,1.347,1.273,1.323,1823702.2
2022-09-02,1.325,1.366,1.292,1.31,1512431.4
2022-09-03,1.309,1.317,1.278,1.3,1213311.9
2022-09-04,1.3,1.359,1.288,1.354,1155141.7
2022-09-05,1.356,1.379,1.319,1.375,1170284.8
2022-09-06,1.376,1.398,1.213,1.229,2626375.7
2022-09-07,1.232,1.471,1.217,1.411,3793526.7
2022-09-08,1.412,1.463,1.327,1.401,3285071.3
2022-09-09,1.401,1.501,1.392,1.481,2597687.6
2022-09-10,1.481,1.518,1.434,1.482,2208211.9
2022-09-11,1.481,1.509,1.426,1.456,1663842.2
2022-09-12,1.457,1.511,1.392,1.41,2260136.0
2022-09-13,1.409,1.435,1.294,1.309,2101893.3
2022-09-14,1.308,1.351,1.277,1.325,1211397.7
2022-09-15,1.325,1.325,1.259,1.277,1466215.5
2022-09-16,1.278,1.301,1.246,1.29,1380618.4
2022-09-17,1.291,1.328,1.287,1.326,580133.0
2022-09-18,1.323,1.324,1.11,1.165,2713251.3
2022-09-19,1.166,1.2,1.115,1.188,1944091.9
2022-09-20,1.188,1.207,1.152,1.159,1445963.7
2022-09-21,1.16,1.235,1.104,1.132,2325009.1
2022-09-22,1.132,1.221,1.12,1.209,1076844.2
2022-09-23,1.209,1.233,1.151,1.197,1418020.1
2022-09-24,1.197,1.221,1.169,1.174,791211.0
2022-09-25,1.173,1.193,1.115,1.135,1176263.2
2022-09-26,1.133,1.164,1.109,1.16,1135692.7
2022-09-27,1.16,1.224,1.136,1.154,1538752.9
2022-09-28,1.153,1.162,1.087,1.136,1282709.1
2022-09-29,1.139,1.172,1.119,1.164,1079230.5
2022-09-30,1.167,1.188,1.143,1.155,1429236.7
2022-10-01,1.154,1.169,1.137,1.146,439494.6
2022-10-02,1.147,1.157,1.115,1.12,856836.4
2022-10-03,1.12,1.182,1.103,1.178,1064924.8
2022-10-04,1.18,1.206,1.169,1.195,949405.3
2022-10-05,1.196,1.204,1.155,1.181,920848.2
2022-10-06,1.181,1.206,1.163,1.176,1497747.7
2022-10-07,1.176,1.185,1.143,1.158,602035.3
2022-10-08,1.158,1.167,1.138,1.147,273755.4
2022-10-09,1.147,1.171,1.146,1.161,278318.8
2022-10-10,1.16,1.176,1.107,1.11,688108.6
2022-10-11,1.111,1.121,1.068,1.094,1238617.6
2022-10-12,1.095,1.119,1.091,1.103,536316.8
2022-10-13,1.104,1.104,0.966,1.059,2369834.1
2022-10-14,1.059,1.11,1.03,1.049,1171438.2
2022-10-15,1.049,1.105,1.039,1.06,2560658.5
2022-10-16,1.059,1.11,1.059,1.084,1303875.5
2022-10-17,1.084,1.142,1.077,1.119,1380898.1
2022-10-18,1.12,1.133,1.067,1.088,996467.4
2022-10-19,1.089,1.095,1.012,1.021,915348.5
2022-10-20,1.022,1.05,0.999,1.019,870012.6
2022-10-21,1.017,1.039,0.971,1.031,1023229.5
2022-10-22,1.032,1.055,1.015,1.04,472612.6
2022-10-23,1.04,1.064,1.017,1.063,967352.3
2022-10-24,1.062,1.068,1.024,1.032,668836.2
2022-10-25,1.032,1.091,1.028,1.069,994061.2
2022-10-26,1.07,1.164,1.064,1.13,2191316.4
2022-10-27,1.13,1.416,1.129,1.297,13373370.5
2022-10-28,1.298,1.791,1.193,1.628,20135954.6
2022-10-29,1.628,3.033,1.617,2.455,70082118.7
2022-10-30,2.453,2.9,2.103,2.216,29963738.4
2022-10-31,2.215,2.432,1.991,2.269,19660361.5
2022-11-01,2.27,2.64,2.193,2.315,21210274.5
2022-11-02,2.316,4.48,2.282,4.353,94993301.7
2022-11-03,4.355,5.98,3.87,5.312,63494038.9
2022-11-04,5.31,5.31,4.261,4.586,28147347.3
2022-11-05,4.587,5.298,4.353,4.661,24543430.6
2022-11-06,4.662,5.407,4.553,4.741,21167562.6
2022-11-07,4.741,4.95,4.051,4.21,13906685.8
2022-11-08,4.214,4.283,2.166,2.876,36350514.8
2022-11-09,2.877,3.044,2.18,2.364,30868184.3
2022-11-10,2.364,3.449,2.285,3.25,37264205.2
2022-11-11,3.251,3.758,2.967,3.476,27518454.3
2022-11-12,3.477,3.55,2.872,3.226,18625867.3
2022-11-13,3.222,3.466,2.876,2.934,14051670.0
2022-11-14,2.93,3.191,2.626,3.016,16234117.7
2022-11-15,3.016,3.2,2.891,2.989,7669452.0
2022-11-16,2.99,3.447,2.932,3.214,13539490.7
2022-11-17,3.213,3.584,3.112,3.19,10615840.8
2022-11-18,3.191,3.319,2.978,3.074,5947039.1
2022-11-19,3.075,3.093,2.863,2.916,4597928.8
2022-11-20,2.916,3.055,2.361,2.427,11068753.2
2022-11-21,2.426,2.63,2.353,2.508,9540383.9
2022-11-22,2.507,2.717,2.323,2.624,9119776.6
2022-11-23,2.626,2.9,2.547,2.665,9961887.4
2022-11-24,2.665,2.745,2.58,2.67,6184573.9
2022-11-25,2.669,3.13,2.494,3.018,16679647.2
2022-11-26,3.018,3.227,2.807,2.87,9975815.2
2022-11-27,2.869,3.32,2.829,3.006,12938986.6
2022-11-28,3.005,3.08,2.755,2.844,7613364.9
2022-11-29,2.847,3.333,2.788,3.171,14393657.4
2022-11-30,3.172,4.05,3.141,3.945,14975754.9
2022-12-01,3.947,4.409,3.771,3.938,16291694.6
2022-12-02,3.938,4.097,3.593,3.872,11439125.1
2022-12-03,3.87,4.023,3.612,3.778,10458202.6
2022-12-04,3.779,3.958,3.722,3.825,6024139.8
2022-12-05,3.825,4.149,3.506,3.663,9415925.0
2022-12-06,3.664,3.73,3.51,3.636,4849199.8
2022-12-07,3.638,3.726,3.311,3.438,6588059.2
2022-12-08,3.438,3.647,3.392,3.541,5670027.3
2022-12-09,3.54,3.55,3.296,3.378,4802797.9
2022-12-10,3.377,3.43,3.21,3.31,3465782.4
2022-12-11,3.311,3.346,3.04,3.084,4747719.7
2022-12-12,3.082,3.138,2.921,3.072,6189370.5
2022-12-13,3.07,3.211,2.885,3.138,7187428.6
2022-12-14,3.138,3.259,3.01,3.049,5485740.9
2022-12-15,3.05,3.07,2.835,2.871,3673728.1
2022-12-16,2.869,3.07,2.392,2.482,8149887.8
2022-12-17,2.481,2.62,2.435,2.594,5427457.9
2022-12-18,2.595,2.616,2.383,2.465,5676590.7
2022-12-19,2.466,2.538,2.127,2.189,7076678.1
2022-12-20,2.188,2.372,2.187,2.348,6430467.1
2022-12-21,2.348,2.356,2.141,2.207,5786416.5
2022-12-22,2.207,2.51,2.186,2.473,9391838.6
2022-12-23,2.473,2.474,2.371,2.388,5220321.5
2022-12-24,2.388,2.445,2.274,2.325,3546757.1
2022-12-25,2.323,2.345,2.21,2.272,4234844.3
2022-12-26,2.273,2.392,2.25,2.367,3690615.6
2022-12-27,2.369,2.408,2.264,2.299,3716375.2
2022-12-28,2.3,2.305,2.068,2.1,7575610.2
2022-12-29,2.1,2.16,2.018,2.074,4733094.1
2022-12-30,2.074,2.106,1.97,2.038,4608042.5
2022-12-31,2.039,2.131,2.016,2.079,3184082.3
2023-01-01,2.079,2.12,2.02,2.096,2576108.5
2023-01-02,2.096,2.237,2.048,2.192,5457626.0
2023-01-03,2.191,2.349,2.184,2.335,6337429.5
2023-01-04,2.335,2.493,2.283,2.325,6738840.5
2023-01-05,2.326,2.378,2.236,2.263,4844250.8
2023-01-06,2.263,2.435,2.221,2.387,5961740.5
2023-01-07,2.387,2.419,2.306,2.339,3124190.7
2023-01-08,2.34,2.457,2.283,2.443,4359674.4
2023-01-09,2.443,2.711,2.434,2.617,10730380.6
2023-01-10,2.62,2.886,2.62,2.673,9591121.8
2023-01-11,2.674,2.69,2.507,2.663,4743164.1
2023-01-12,2.664,2.9,2.602,2.778,8189665.5
2023-01-13,2.777,2.997,2.714,2.939,5285854.1
2023-01-14,2.937,3.184,2.616,2.945,13783644.6
2023-01-15,2.948,3.004,2.771,2.873,7920166.7
2023-01-16,2.873,3.043,2.653,2.746,7839228.7
2023-01-17,2.745,2.854,2.671,2.709,4641027.0
2023-01-18,2.709,3.175,2.56,2.629,17056401.6
2023-01-19,2.629,2.771,2.603,2.744,6732659.7
2023-01-20,2.744,3.043,2.684,3.017,5308620.4
2023-01-21,3.018,3.16,2.942,2.955,9074724.9
2023-01-22,2.954,3.56,2.94,3.296,11567694.0
2023-01-23,3.296,3.376,3.103,3.212,6979283.7
2023-01-24,3.212,3.316,2.863,2.914,5508540.0
2023-01-25,2.914,3.143,2.846,3.086,5726979.9
2023-01-26,3.089,3.247,2.949,3.155,5246459.0
2023-01-27,3.155,3.208,3.001,3.193,4217279.2
2023-01-28,3.192,3.367,3.021,3.06,6006683.3
2023-01-29,3.059,3.201,3.029,3.136,3965344.4
2023-01-30,3.135,3.567,2.865,3.436,18847089.3
2023-01-31,3.433,4.532,3.329,4.344,35749149.8
2023-02-01,4.343,5.132,4.036,4.943,21961512.5
