date,open,high,low,close,volume
2022-08-23,0.003975,0.004039,0.003806,0.003983,226521146.0
2022-08-24,0.003982,0.004087,0.003876,0.003988,191183824.0
2022-08-25,0.003988,0.00413,0.003977,0.004076,182431858.0
2022-08-26,0.004077,0.004295,0.00384,0.003851,351983085.0
2022-08-27,0.003856,0.004038,0.003821,0.003864,135303276.0
2022-08-28,0.003862,0.004114,0.00376,0.003762,217255053.0
2022-08-29,0.00377,0.003913,0.003766,0.003901,143082043.0
2022-08-30,0.0039,0.00411,0.00382,0.003906,263092235.0
2022-08-31,0.003912,0.003983,0.003856,0.003909,163870257.0
2022-09-01,0.00391,0.0041,0.003798,0.003926,163023537.0
2022-09-02,0.003927,0.003927,0.003839,0.003867,115666996.0
2022-09-03,0.003863,0.003903,0.00383,0.003853,57503944.0
2022-09-04,0.003859,0.003893,0.00383,0.003876,51423348.0
2022-09-05,0.00388,0.00403,0.00379,0.003861,183794187.0
2022-09-06,0.003868,0.003978,0.003693,0.003694,192033271.0
2022-09-07,0.003699,0.0038,0.003636,0.003786,101490285.0
2022-09-08,0.003785,0.00513,0.0037,0.003846,1089285909.0
2022-09-09,0.003849,0.004056,0.003818,0.004011,302847735.0
2022-09-10,0.004002,0.004061,0.003919,0.004013,192429381.0
2022-09-11,0.004005,0.004435,0.003923,0.004091,342044785.0
2022-09-12,0.004087,0.004284,0.003979,0.004102,263534730.0
2022-09-13,0.004105,0.004105,0.003739,0.003746,169557074.0
2022-09-14,0.003738,0.003964,0.003727,0.003818,270566524.0
2022-09-15,0.003813,0.004076,0.003725,0.003742,241861234.0
2022-09-16,0.003742,0.003782,0.003708,0.003751,59262719.0
2022-09-17,0.003756,0.003849,0.003744,0.003815,79949299.0
2022-09-18,0.003813,0.003865,0.003501,0.003551,97758393.0
2022-09-19,0.003549,0.003638,0.003382,0.003587,176935252.0
2022-09-20,0.003578,0.003586,0.003442,0.003462,70041477.0
2022-09-21,0.003462,0.003565,0.00336,0.003386,147367408.0
2022-09-22,0.003392,0.003546,0.00337,0.003511,79502780.0
2022-09-23,0.003511,0.003806,0.003441,0.003528,166930674.0
2022-09-24,0.003538,0.003744,0.003538,0.003579,196995370.0
2022-09-25,0.003564,0.003598,0.003492,0.003499,42565753.0
2022-09-26,0.003494,0.003531,0.003389,0.003476,83164776.0
2022-09-27,0.00347,0.003561,0.003456,0.003477,65016482.0
2022-09-28,0.003474,0.00349,0.003356,0.003458,60996930.0
2022-09-29,0.003468,0.003477,0.003392,0.003467,48436077.0
2022-09-30,0.00347,0.003515,0.003423,0.003442,137025117.0
2022-10-01,0.003443,0.003465,0.003417,0.003427,30903083.0
2022-10-02,0.003425,0.003445,0.003356,0.003384,43855235.0
2022-10-03,0.003385,0.003454,0.003362,0.003429,57173795.0
2022-10-04,0.003429,0.003607,0.003428,0.003533,188243142.0
2022-10-05,0.003525,0.003525,0.003428,0.003474,58015210.0
2022-10-06,0.003477,0.003515,0.003451,0.003479,34469854.0
2022-10-07,0.003477,0.00349,0.003413,0.003458,50407944.0
2022-10-08,0.003457,0.00356,0.003456,0.003467,84184290.0
2022-10-09,0.003471,0.004299,0.003444,0.003713,2374409915.0
2022-10-10,0.003712,0.003851,0.003466,0.003515,506319749.0
2022-10-11,0.00351,0.00375,0.003344,0.003412,382428605.0
2022-10-12,0.003409,0.00346,0.00333,0.00337,113036504.0
2022-10-13,0.003372,0.003376,0.003024,0.003236,236047761.0
2022-10-14,0.003235,0.003297,0.003162,0.003194,105920526.0
2022-10-15,0.00319,0.003225,0.003175,0.003189,100258406.0
2022-10-16,0.003182,0.003245,0.003,0.003194,214878832.0
2022-10-17,0.003194,0.003294,0.003114,0.003263,177808204.0
2022-10-18,0.003259,0.003325,0.00316,0.00321,158116889.0
2022-10-19,0.003208,0.003211,0.003064,0.003069,100005088.0
2022-10-20,0.003067,0.003118,0.003003,0.003041,75691837.0
2022-10-21,0.003041,0.003231,0.002952,0.003076,186437385.0
2022-10-22,0.003071,0.003183,0.003034,0.003073,100798823.0
2022-10-23,0.003073,0.003175,0.003042,0.003118,120969940.0
2022-10-24,0.00312,0.003188,0.003053,0.003151,97409632.0
2022-10-25,0.003152,0.003304,0.003119,0.003236,261729887.0
2022-10-26,0.003248,0.003332,0.003227,0.003281,106104578.0
2022-10-27,0.003281,0.003302,0.003171,0.003192,117023307.0
2022-10-28,0.003185,0.003229,0.003119,0.003221,62357752.0
2022-10-29,0.003221,0.003254,0.002795,0.003238,138428470.0
2022-10-30,0.003239,0.003239,0.003157,0.003188,94781322.0
2022-10-31,0.003191,0.003211,0.003143,0.003205,67884278.0
2022-11-01,0.003201,0.003319,0.003173,0.003206,154697848.0
2022-11-02,0.00321,0.003213,0.003095,0.003116,107234999.0
2022-11-03,0.003115,0.00324,0.00311,0.003164,177344676.0
2022-11-04,0.00316,0.003326,0.003136,0.003302,187568028.0
2022-11-05,0.003306,0.00349,0.003295,0.00332,194426101.0
2022-11-06,0.003321,0.003334,0.003196,0.003198,87373987.0
2022-11-07,0.003203,0.003237,0.00318,0.003213,50423250.0
