date,open,high,low,close,volume
2022-08-23,0.644,0.653,0.63,0.65,1883883.4
2022-08-24,0.65,0.692,0.634,0.658,3497017.4
2022-08-25,0.659,0.682,0.656,0.656,1467409.8
2022-08-26,0.657,0.661,0.606,0.608,1978882.3
2022-08-27,0.609,0.617,0.6,0.606,1469237.7
2022-08-28,0.606,0.654,0.601,0.602,3541304.0
2022-08-29,0.603,0.636,0.601,0.63,3871455.5
2022-08-30,0.629,0.643,0.604,0.614,2187123.6
2022-08-31,0.614,0.632,0.605,0.609,1626783.0
2022-09-01,0.609,0.615,0.59,0.613,1923380.3
2022-09-02,0.612,0.62,0.604,0.611,1504081.4
2022-09-03,0.611,0.615,0.604,0.612,970051.6
2022-09-04,0.613,0.63,0.606,0.623,1769643.9
2022-09-05,0.623,0.627,0.609,0.615,1072470.7
2022-09-06,0.615,0.629,0.568,0.574,3518180.4
2022-09-07,0.574,0.634,0.563,0.608,2007100.9
2022-09-08,0.607,0.614,0.597,0.61,1617717.5
2022-09-09,0.61,0.8,0.61,0.697,14673674.4
2022-09-10,0.697,0.719,0.682,0.703,1840218.8
2022-09-11,0.703,0.707,0.678,0.691,1459708.2
2022-09-12,0.691,0.707,0.679,0.69,1556827.5
2022-09-13,0.691,0.692,0.644,0.644,2816695.1
2022-09-14,0.644,0.668,0.626,0.65,1820420.1
2022-09-15,0.65,0.662,0.632,0.645,1714646.2
2022-09-16,0.646,0.65,0.631,0.64,1153453.2
2022-09-17,0.64,0.673,0.64,0.661,914149.3
2022-09-18,0.66,0.662,0.619,0.627,1331448.3
2022-09-19,0.627,0.659,0.61,0.654,2342030.3
2022-09-20,0.654,0.659,0.637,0.641,1272869.5
2022-09-21,0.64,0.749,0.639,0.714,11351191.0
2022-09-22,0.716,0.731,0.664,0.696,3680261.0
2022-09-23,0.696,0.71,0.641,0.659,3216607.8
2022-09-24,0.659,0.676,0.654,0.658,1104528.8
2022-09-25,0.658,0.673,0.628,0.636,1558769.8
2022-09-26,0.635,0.636,0.584,0.623,3040692.8
2022-09-27,0.623,0.641,0.607,0.615,1885604.8
2022-09-28,0.615,0.629,0.594,0.624,1301976.9
2022-09-29,0.623,0.662,0.615,0.634,3340940.8
2022-09-30,0.634,0.638,0.616,0.629,1747498.0
2022-10-01,0.628,0.637,0.62,0.626,882044.5
2022-10-02,0.626,0.628,0.61,0.616,768305.3
2022-10-03,0.616,0.642,0.613,0.636,1272884.9
2022-10-04,0.636,0.649,0.631,0.646,1005288.5
2022-10-05,0.644,0.648,0.625,0.634,822839.8
2022-10-06,0.634,0.642,0.613,0.62,970244.8
2022-10-07,0.62,0.624,0.61,0.621,689177.9
2022-10-08,0.62,0.621,0.606,0.61,476990.9
2022-10-09,0.609,0.613,0.6,0.61,547926.3
2022-10-10,0.61,0.611,0.584,0.584,949052.1
2022-10-11,0.584,0.592,0.575,0.581,903512.9
2022-10-12,0.581,0.586,0.575,0.583,489138.6
2022-10-13,0.583,0.586,0.545,0.575,1411632.2
2022-10-14,0.576,0.592,0.568,0.569,795826.6
2022-10-15,0.569,0.578,0.567,0.569,418090.4
2022-10-16,0.57,0.588,0.569,0.582,872362.5
2022-10-17,0.581,0.598,0.575,0.589,1033345.2
2022-10-18,0.588,0.648,0.573,0.581,3107493.2
2022-10-19,0.582,0.589,0.564,0.567,1141054.9
2022-10-20,0.567,0.584,0.56,0.564,1013907.3
2022-10-21,0.564,0.57,0.547,0.568,782183.3
2022-10-22,0.568,0.583,0.563,0.568,456156.7
2022-10-23,0.569,0.58,0.56,0.576,514085.8
2022-10-24,0.576,0.582,0.568,0.578,545557.4
