date,open,high,low,close,volume
2022-08-23,0.724,0.74,0.697,0.73,5168390.3
2022-08-24,0.731,0.745,0.712,0.725,3465270.2
2022-08-25,0.725,0.745,0.718,0.722,2858876.1
2022-08-26,0.722,0.732,0.646,0.654,6677957.3
2022-08-27,0.654,0.678,0.642,0.662,3956016.4
2022-08-28,0.661,0.681,0.643,0.647,2736422.1
2022-08-29,0.647,0.71,0.643,0.694,4266786.5
2022-08-30,0.694,0.71,0.652,0.671,4263303.3
2022-08-31,0.671,0.688,0.654,0.667,3480130.9
2022-09-01,0.668,0.671,0.644,0.667,2949867.7
2022-09-02,0.667,0.68,0.652,0.66,2933849.3
2022-09-03,0.66,0.691,0.651,0.67,3105757.3
2022-09-04,0.67,0.714,0.663,0.673,2929198.1
2022-09-05,0.673,0.677,0.652,0.662,2155508.0
2022-09-06,0.662,0.687,0.623,0.624,5854884.3
2022-09-07,0.624,0.66,0.612,0.654,3337167.0
2022-09-08,0.654,0.662,0.63,0.651,3132607.8
2022-09-09,0.651,0.696,0.65,0.684,5506582.6
2022-09-10,0.684,0.694,0.673,0.685,3162045.9
2022-09-11,0.684,0.699,0.671,0.686,4329581.9
2022-09-12,0.685,0.706,0.666,0.672,6071106.6
2022-09-13,0.672,0.673,0.606,0.609,8293117.9
2022-09-14,0.609,0.644,0.604,0.63,6912317.6
2022-09-15,0.631,0.634,0.602,0.604,3959616.7
2022-09-16,0.604,0.613,0.593,0.606,3140982.3
2022-09-17,0.607,0.626,0.606,0.623,2045007.4
2022-09-18,0.622,0.635,0.58,0.591,3725269.2
2022-09-19,0.591,0.599,0.564,0.593,4176294.9
2022-09-20,0.593,0.6,0.568,0.571,3581108.6
2022-09-21,0.572,0.608,0.561,0.57,5992596.5
2022-09-22,0.57,0.607,0.567,0.6,3463912.0
2022-09-23,0.6,0.608,0.578,0.594,3466166.9
2022-09-24,0.594,0.603,0.586,0.591,2443927.0
2022-09-25,0.59,0.595,0.57,0.575,1850910.5
2022-09-26,0.575,0.598,0.568,0.593,3454930.3
2022-09-27,0.594,0.625,0.585,0.589,5894787.6
2022-09-28,0.588,0.598,0.572,0.594,3531552.2
2022-09-29,0.593,0.608,0.575,0.596,4375224.0
2022-09-30,0.595,0.605,0.582,0.591,3445204.2
2022-10-01,0.59,0.594,0.578,0.582,1870595.3
2022-10-02,0.581,0.586,0.572,0.575,1627477.4
2022-10-03,0.575,0.596,0.571,0.594,2496705.4
2022-10-04,0.594,0.604,0.588,0.596,2932756.8
2022-10-05,0.595,0.598,0.58,0.593,2222099.7
2022-10-06,0.592,0.6,0.583,0.586,2118566.2
2022-10-07,0.586,0.588,0.577,0.583,1731507.8
2022-10-08,0.583,0.59,0.577,0.582,932845.8
2022-10-09,0.582,0.592,0.579,0.585,769909.4
2022-10-10,0.585,0.59,0.572,0.572,1467737.3
2022-10-11,0.572,0.573,0.551,0.555,2558876.3
2022-10-12,0.554,0.564,0.55,0.555,1482655.5
2022-10-13,0.556,0.556,0.502,0.536,4812913.5
2022-10-14,0.536,0.553,0.522,0.528,2106952.4
2022-10-15,0.527,0.542,0.526,0.533,1306649.3
2022-10-16,0.533,0.551,0.532,0.545,1427253.7
2022-10-17,0.546,0.603,0.542,0.571,6292469.0
2022-10-18,0.572,0.574,0.54,0.549,1889540.8
2022-10-19,0.55,0.553,0.529,0.534,2163149.2
2022-10-20,0.533,0.549,0.526,0.529,1812743.3
2022-10-21,0.53,0.541,0.511,0.538,1722415.9
2022-10-22,0.538,0.551,0.536,0.548,1088860.5
2022-10-23,0.548,0.551,0.52,0.544,2577962.0
2022-10-24,0.545,0.547,0.514,0.531,3086832.5
2022-10-25,0.531,0.587,0.526,0.556,6305315.1
2022-10-26,0.555,0.627,0.555,0.619,8451751.4
2022-10-27,0.62,0.67,0.596,0.603,9058687.1
2022-10-28,0.603,0.656,0.588,0.632,5960411.9
2022-10-29,0.632,0.815,0.63,0.715,39562227.5
2022-10-30,0.716,0.74,0.667,0.691,12805670.6
2022-10-31,0.691,0.727,0.66,0.685,7377415.8
2022-11-01,0.685,0.727,0.668,0.671,6970841.4
2022-11-02,0.671,0.755,0.663,0.698,15698834.3
2022-11-03,0.698,0.835,0.695,0.731,20156353.3
2022-11-04,0.731,0.8,0.713,0.775,11476400.2
2022-11-05,0.774,0.819,0.74,0.749,6962322.5
2022-11-06,0.749,0.756,0.686,0.69,5217612.1
2022-11-07,0.689,0.745,0.682,0.72,7530392.6
2022-11-08,0.72,0.724,0.563,0.649,20329966.1
2022-11-09,0.65,0.661,0.523,0.55,14614056.9
2022-11-10,0.549,0.641,0.542,0.605,8729361.6
2022-11-11,0.604,0.607,0.544,0.57,7874790.2
2022-11-12,0.568,0.598,0.534,0.549,4739962.8
2022-11-13,0.549,0.576,0.53,0.532,7600367.5
2022-11-14,0.533,0.553,0.504,0.532,6312271.7
2022-11-15,0.532,0.615,0.529,0.563,8786896.8
2022-11-16,0.563,0.579,0.542,0.571,3242197.6
2022-11-17,0.571,0.577,0.55,0.557,2597195.0
2022-11-18,0.556,0.571,0.548,0.558,3016089.7
2022-11-19,0.559,0.61,0.544,0.573,6999913.2
2022-11-20,0.573,0.594,0.528,0.531,6825226.0
2022-11-21,0.531,0.541,0.507,0.519,4763717.9
2022-11-22,0.52,0.556,0.489,0.536,9019109.4
2022-11-23,0.535,0.566,0.532,0.551,4438381.8
2022-11-24,0.553,0.555,0.54,0.549,3036091.4
2022-11-25,0.549,0.549,0.527,0.538,2156656.6
2022-11-26,0.538,0.552,0.527,0.545,2445664.8
2022-11-27,0.544,0.6,0.543,0.574,6551468.9
2022-11-28,0.575,0.594,0.535,0.554,5090627.3
2022-11-29,0.554,0.58,0.548,0.564,2798964.1
2022-11-30,0.565,0.584,0.551,0.581,3294962.1
2022-12-01,0.582,0.582,0.56,0.566,2251666.5
2022-12-02,0.567,0.578,0.559,0.577,1876701.4
2022-12-03,0.578,0.578,0.557,0.557,1352316.9
2022-12-04,0.557,0.595,0.554,0.58,4076938.7
2022-12-05,0.58,0.591,0.56,0.564,2664121.3
2022-12-06,0.565,0.59,0.556,0.567,3667013.0
2022-12-07,0.567,0.569,0.541,0.546,2301713.2
2022-12-08,0.547,0.561,0.537,0.556,1899800.6
2022-12-09,0.557,0.566,0.533,0.544,2632002.3
2022-12-10,0.545,0.581,0.544,0.562,2752629.3
2022-12-11,0.561,0.572,0.553,0.554,2284212.3
2022-12-12,0.554,0.557,0.539,0.552,2589625.8
2022-12-13,0.553,0.562,0.53,0.551,3702369.1
2022-12-14,0.551,0.579,0.543,0.555,4062702.5
2022-12-15,0.555,0.556,0.538,0.54,1819598.4
