date,open,high,low,close,volume
2022-08-23,13.64,14.07,13.13,13.84,146383.01
2022-08-24,13.8,14.22,13.38,13.82,112158.46
2022-08-25,13.83,14.27,13.39,13.53,115121.191
2022-08-26,13.52,13.52,11.52,12.26,143108.022
2022-08-27,12.24,13.26,11.93,12.59,141904.415
2022-08-28,12.55,13.0,12.02,12.06,82387.894
2022-08-29,12.06,13.08,12.02,12.68,129049.879
2022-08-30,12.66,12.9,12.12,12.27,108808.692
2022-08-31,12.27,12.79,12.09,12.2,88379.386
2022-09-01,12.2,12.91,11.83,12.14,144642.521
2022-09-02,12.16,14.36,12.03,12.85,447365.78
2022-09-03,12.85,12.87,12.34,12.69,79520.616
2022-09-04,12.71,13.55,12.56,13.11,169295.571
2022-09-05,13.12,13.4,12.47,12.7,98022.337
2022-09-06,12.7,13.05,11.84,12.01,137551.721
2022-09-07,12.02,12.39,11.61,12.15,128915.545
2022-09-08,12.15,12.4,11.95,12.33,107905.722
2022-09-09,12.34,13.18,12.23,12.92,171201.236
2022-09-10,12.91,14.2,12.65,13.43,254499.629
2022-09-11,13.44,13.78,12.66,12.93,149565.455
2022-09-12,12.94,13.21,12.56,12.66,133442.518
2022-09-13,12.68,12.83,11.75,11.89,155310.048
2022-09-14,11.88,12.14,11.7,11.99,73300.358
2022-09-15,12.0,12.02,11.26,11.34,97026.357
2022-09-16,11.34,11.42,10.98,11.3,77589.357
2022-09-17,11.29,11.98,11.29,11.8,111652.851
2022-09-18,11.81,12.05,10.86,10.89,142789.648
2022-09-19,10.89,11.06,10.52,10.91,116361.419
2022-09-20,10.92,11.92,10.73,10.88,187951.251
2022-09-21,10.86,11.18,10.34,10.54,181462.258
2022-09-22,10.53,10.99,10.48,10.94,112486.934
2022-09-23,10.94,11.1,10.35,10.7,115824.758
2022-09-24,10.7,11.02,10.6,10.77,95750.598
2022-09-25,10.78,10.98,10.64,10.69,72166.595
2022-09-26,10.69,10.98,10.5,10.88,108435.842
2022-09-27,10.89,11.14,10.37,10.55,123400.037
2022-09-28,10.54,10.69,10.15,10.54,108031.087
2022-09-29,10.54,12.33,10.28,10.55,479697.976
2022-09-30,10.55,10.79,10.38,10.53,151479.607
2022-10-01,10.54,10.71,10.41,10.49,62683.189
2022-10-02,10.5,10.7,10.25,10.31,105434.01
2022-10-03,10.3,10.62,10.2,10.56,92072.328
2022-10-04,10.56,13.56,10.52,11.85,1228384.299
2022-10-05,11.84,11.87,10.96,11.25,340230.62
2022-10-06,11.25,11.57,11.0,11.07,297612.309
2022-10-07,11.07,11.41,10.85,11.04,172044.708
2022-10-08,11.01,11.1,10.87,10.9,40905.447
2022-10-09,10.9,11.12,10.84,11.03,37460.52
2022-10-10,10.99,11.11,10.69,10.71,97927.129
2022-10-11,10.69,10.71,10.46,10.49,64950.679
2022-10-12,10.48,10.62,10.32,10.41,38223.565
2022-10-13,10.41,10.42,8.96,10.0,347863.775
2022-10-14,10.0,10.41,9.79,9.88,107433.597
2022-10-15,9.88,11.5,9.83,10.34,279319.613
2022-10-16,10.35,11.3,10.33,10.62,221507.943
2022-10-17,10.62,11.5,10.41,11.24,193176.298
2022-10-18,11.24,11.89,10.56,10.75,179301.139
2022-10-19,10.75,10.79,10.35,10.35,55723.649
2022-10-20,10.35,10.67,10.29,10.43,44914.074
2022-10-21,10.43,10.45,9.94,10.32,58119.382
2022-10-22,10.32,11.5,10.24,10.53,262910.972
2022-10-23,10.53,10.74,10.37,10.63,66117.69
2022-10-24,10.63,10.79,10.43,10.51,51628.671
2022-10-25,10.52,10.99,10.43,10.77,87553.777
2022-10-26,10.79,11.19,10.75,11.1,99927.556
2022-10-27,11.07,11.2,10.56,10.68,98751.775
2022-10-28,10.66,10.96,10.54,10.89,62286.342
