date,open,high,low,close,volume
2022-08-23,1.22,1.252,1.182,1.242,528926.6
2022-08-24,1.242,1.277,1.218,1.24,973538.4
2022-08-25,1.24,1.28,1.236,1.262,521452.2
2022-08-26,1.26,1.262,1.139,1.151,1202406.2
2022-08-27,1.15,1.181,1.127,1.146,874300.4
2022-08-28,1.145,1.178,1.124,1.129,641769.8
2022-08-29,1.128,1.193,1.116,1.189,541394.8
2022-08-30,1.188,1.217,1.149,1.188,698384.2
2022-08-31,1.188,1.248,1.188,1.205,820608.7
2022-09-01,1.204,1.214,1.148,1.198,592985.7
2022-09-02,1.198,1.216,1.166,1.181,734683.4
2022-09-03,1.181,1.188,1.148,1.159,405211.9
2022-09-04,1.159,1.166,1.136,1.166,480195.4
2022-09-05,1.167,1.173,1.143,1.17,344720.3
2022-09-06,1.172,1.205,1.092,1.103,1570164.0
2022-09-07,1.103,1.165,1.072,1.149,882243.8
2022-09-08,1.149,1.281,1.145,1.188,3018003.1
2022-09-09,1.189,1.244,1.185,1.234,1777817.7
2022-09-10,1.233,1.244,1.207,1.222,1280998.7
2022-09-11,1.222,1.301,1.196,1.251,1912472.7
2022-09-12,1.25,1.307,1.227,1.279,2123527.6
2022-09-13,1.279,1.282,1.148,1.152,2784738.1
2022-09-14,1.149,1.178,1.136,1.167,1017256.5
2022-09-15,1.166,1.171,1.112,1.126,1082264.2
2022-09-16,1.125,1.214,1.112,1.173,2218061.9
2022-09-17,1.172,1.183,1.151,1.179,656267.9
2022-09-18,1.178,1.181,1.038,1.065,1163671.3
2022-09-19,1.063,1.097,1.03,1.092,981367.0
2022-09-20,1.091,1.095,1.046,1.066,880236.0
2022-09-21,1.064,1.113,1.014,1.03,2475809.0
2022-09-22,1.027,1.107,1.023,1.096,1682611.7
2022-09-23,1.095,1.142,1.056,1.104,1319356.2
2022-09-24,1.102,1.108,1.072,1.08,555176.0
2022-09-25,1.077,1.114,1.057,1.072,756878.5
2022-09-26,1.071,1.102,1.037,1.073,1229253.6
2022-09-27,1.072,1.108,1.026,1.049,2718386.5
2022-09-28,1.048,1.058,1.009,1.048,1066059.8
2022-09-29,1.047,1.065,1.033,1.062,1045933.9
2022-09-30,1.062,1.073,1.046,1.056,850418.8
2022-10-01,1.056,1.062,1.044,1.053,227377.0
2022-10-02,1.053,1.057,1.012,1.017,528703.7
2022-10-03,1.016,1.054,1.005,1.052,684647.1
2022-10-04,1.052,1.081,1.046,1.071,610334.6
2022-10-05,1.071,1.073,1.038,1.061,422623.6
2022-10-06,1.062,1.094,1.042,1.049,1266608.6
2022-10-07,1.049,1.058,1.028,1.054,695672.7
2022-10-08,1.054,1.111,1.044,1.058,1709722.5
2022-10-09,1.058,1.1,1.052,1.084,1296045.0
2022-10-10,1.083,1.086,1.034,1.035,1434794.3
2022-10-11,1.034,1.035,1.009,1.022,1068033.0
2022-10-12,1.021,1.032,1.015,1.022,651390.5
2022-10-13,1.022,1.023,0.9,0.978,3598284.8
2022-10-14,0.978,1.018,0.949,0.961,843155.1
2022-10-15,0.96,0.967,0.948,0.959,458935.2
2022-10-16,0.959,0.999,0.957,0.972,926134.7
2022-10-17,0.972,0.992,0.96,0.987,452855.5
2022-10-18,0.991,0.997,0.961,0.98,510178.3
2022-10-19,0.983,0.983,0.925,0.936,553840.1
2022-10-20,0.935,0.964,0.927,0.937,356988.4
2022-10-21,0.937,0.965,0.91,0.959,520498.5
2022-10-22,0.957,0.973,0.946,0.96,292017.5
2022-10-23,0.961,0.99,0.944,0.984,565754.4
2022-10-24,0.984,0.995,0.963,0.987,528133.1
2022-10-25,0.986,1.022,0.972,1.011,749537.5
2022-10-26,1.011,1.038,1.008,1.032,667225.0
2022-10-27,1.031,1.05,0.99,0.993,920811.5
2022-10-28,0.992,1.027,0.976,1.011,738690.6
2022-10-29,1.014,1.047,1.011,1.022,918390.9
2022-10-30,1.022,1.048,0.99,1.006,1225309.3
2022-10-31,1.006,1.027,0.985,1.012,930690.2
2022-11-01,1.011,1.064,1.005,1.015,1609994.4
2022-11-02,1.015,1.015,0.949,0.969,1176259.3
2022-11-03,0.97,1.04,0.967,1.007,1893493.4
2022-11-04,1.005,1.101,0.999,1.086,5851304.3
2022-11-05,1.084,1.101,1.043,1.054,1741441.5
2022-11-06,1.056,1.069,0.987,0.997,1361637.3
2022-11-07,0.996,1.033,0.981,1.004,1768427.2
2022-11-08,1.004,1.014,0.71,0.82,6660943.0
2022-11-09,0.821,0.828,0.565,0.586,4558781.2
2022-11-10,0.585,0.745,0.576,0.716,5703673.6
2022-11-11,0.717,0.726,0.646,0.692,3711770.0
2022-11-12,0.694,0.697,0.639,0.643,1605941.4
2022-11-13,0.644,0.711,0.628,0.641,7901441.4
2022-11-14,0.641,0.872,0.594,0.677,12716663.6
2022-11-15,0.677,0.733,0.665,0.695,5676835.3
2022-11-16,0.695,0.727,0.655,0.681,2967131.1
2022-11-17,0.681,0.698,0.665,0.682,1810902.3
2022-11-18,0.681,0.719,0.677,0.689,1511009.7
2022-11-19,0.689,0.721,0.676,0.717,1993283.2
2022-11-20,0.717,0.738,0.671,0.674,2273937.6
2022-11-21,0.674,0.718,0.644,0.682,2771605.6
2022-11-22,0.682,0.722,0.653,0.703,2191792.0
2022-11-23,0.703,0.749,0.696,0.738,2519686.7
2022-11-24,0.738,0.809,0.721,0.753,2126714.6
2022-11-25,0.753,0.753,0.722,0.747,629048.6
2022-11-26,0.748,0.8,0.745,0.76,2721814.5
2022-11-27,0.759,0.806,0.749,0.751,2002412.2
2022-11-28,0.752,0.758,0.712,0.727,1203272.9
2022-11-29,0.726,0.765,0.716,0.735,1714563.7
2022-11-30,0.735,0.767,0.735,0.762,721684.1
2022-12-01,0.764,0.785,0.752,0.76,910996.4
2022-12-02,0.759,0.784,0.744,0.773,844650.6
2022-12-03,0.773,0.789,0.752,0.754,782771.5
2022-12-04,0.753,0.789,0.742,0.765,1300706.7
2022-12-05,0.765,0.776,0.737,0.748,859629.7
2022-12-06,0.747,0.8,0.744,0.756,1985446.4
2022-12-07,0.757,0.757,0.706,0.716,820198.6
2022-12-08,0.716,0.749,0.715,0.748,953799.6
2022-12-09,0.747,0.763,0.734,0.749,769398.3
2022-12-10,0.749,0.762,0.743,0.76,679476.1
2022-12-11,0.76,0.786,0.745,0.749,1408376.8
2022-12-12,0.748,0.749,0.717,0.738,507493.6
2022-12-13,0.739,0.753,0.696,0.75,2011992.9
2022-12-14,0.752,0.794,0.741,0.744,2173628.5
2022-12-15,0.746,0.759,0.724,0.729,748288.9
2022-12-16,0.729,0.741,0.624,0.634,1385116.2
2022-12-17,0.633,0.642,0.604,0.641,1121658.9
2022-12-18,0.642,0.673,0.632,0.646,2252068.2
2022-12-19,0.644,0.657,0.617,0.618,760359.1
2022-12-20,0.618,0.896,0.615,0.787,19192369.9
2022-12-21,0.785,0.8,0.694,0.705,6819970.9
2022-12-22,0.704,0.704,0.653,0.674,2363898.5
2022-12-23,0.674,0.815,0.671,0.741,5911952.2
2022-12-24,0.74,0.744,0.711,0.725,1977401.4
2022-12-25,0.725,0.804,0.723,0.732,4136020.0
2022-12-26,0.732,0.757,0.716,0.735,1359178.1
2022-12-27,0.735,0.797,0.733,0.76,3956875.9
2022-12-28,0.76,0.763,0.712,0.717,1544075.2
2022-12-29,0.717,0.722,0.676,0.691,1428657.1
2022-12-30,0.691,0.695,0.662,0.674,549838.9
2022-12-31,0.675,0.745,0.674,0.698,3017439.9
2023-01-01,0.697,0.697,0.678,0.694,522719.9
2023-01-02,0.694,0.702,0.674,0.696,939689.3
2023-01-03,0.697,0.698,0.679,0.692,464179.5
2023-01-04,0.692,0.706,0.687,0.701,772713.8
2023-01-05,0.7,0.71,0.687,0.696,890643.5
2023-01-06,0.695,0.708,0.677,0.7,542635.3
2023-01-07,0.702,0.704,0.694,0.698,383200.1
2023-01-08,0.698,0.72,0.689,0.717,908513.4
2023-01-09,0.716,0.757,0.71,0.737,1667343.4
2023-01-10,0.735,0.784,0.731,0.744,2030924.0
2023-01-11,0.744,0.782,0.731,0.779,2240548.7
2023-01-12,0.78,0.816,0.75,0.807,2011589.4
2023-01-13,0.807,0.835,0.788,0.828,1231213.7
2023-01-14,0.828,0.915,0.813,0.863,3521238.6
2023-01-15,0.863,0.916,0.836,0.872,3247331.8
2023-01-16,0.873,0.899,0.841,0.881,2332565.8
2023-01-17,0.88,0.933,0.856,0.895,3134031.6
2023-01-18,0.894,0.916,0.807,0.825,3167014.5
2023-01-19,0.826,0.909,0.825,0.885,2982441.8
2023-01-20,0.884,0.935,0.86,0.932,1387749.6
2023-01-21,0.932,0.979,0.901,0.918,2329002.2
2023-01-22,0.917,0.94,0.886,0.915,1172871.2
2023-01-23,0.916,0.965,0.908,0.962,1428147.3
2023-01-24,0.961,0.982,0.9,0.922,2060242.8
2023-01-25,0.924,0.961,0.873,0.951,1491363.7
2023-01-26,0.951,0.966,0.924,0.953,1115966.9
2023-01-27,0.954,1.045,0.93,1.01,4836327.4
2023-01-28,1.01,1.017,0.961,0.982,1108952.0
2023-01-29,0.982,1.008,0.967,1.003,710052.9
2023-01-30,1.002,1.022,0.885,0.903,2142044.0
2023-01-31,0.903,0.92,0.883,0.911,1092813.7
2023-02-01,0.91,0.952,0.866,0.944,1729672.4
2023-02-02,0.947,1.022,0.939,0.955,1516750.1
2023-02-03,0.955,0.999,0.951,0.996,696042.8
2023-02-04,0.996,1.058,0.996,1.052,1962263.1
2023-02-05,1.053,1.229,0.989,1.059,7810441.5
2023-02-06,1.058,1.57,1.058,1.185,28964237.7
2023-02-07,1.185,1.199,1.112,1.165,11155249.2
2023-02-08,1.163,1.168,1.059,1.093,4672724.1
2023-02-09,1.094,1.118,0.945,0.981,5365351.8
2023-02-10,0.981,1.039,0.967,1.021,5240135.2
2023-02-11,1.022,1.076,1.02,1.047,3358876.7
2023-02-12,1.048,1.048,0.981,1.003,3191437.4
2023-02-13,1.003,1.009,0.921,0.961,1979452.7
2023-02-14,0.962,1.005,0.933,1.0,2104533.9
2023-02-15,1.0,1.077,0.994,1.077,1588073.8
2023-02-16,1.078,1.113,1.044,1.05,2855259.3
2023-02-17,1.052,1.171,1.048,1.166,4256913.2
2023-02-18,1.166,1.32,1.159,1.216,3996807.3
2023-02-19,1.215,2.295,1.215,1.624,23585292.8
2023-02-20,1.625,2.1,1.496,1.562,20303460.8
2023-02-21,1.56,1.575,1.388,1.418,4713901.2
2023-02-22,1.418,1.426,1.321,1.381,2276877.2
2023-02-23,1.381,1.387,1.329,1.369,1688770.9
2023-02-24,1.37,1.382,1.262,1.304,2308353.0
2023-02-25,1.304,1.341,1.268,1.322,2284017.3
2023-02-26,1.321,1.331,1.284,1.318,916559.5
2023-02-27,1.319,1.319,1.265,1.293,898328.0
2023-02-28,1.294,1.316,1.263,1.268,854417.8
2023-03-01,1.267,1.303,1.245,1.292,1055683.3
2023-03-02,1.292,1.37,1.218,1.307,2540161.0
2023-03-03,1.307,1.307,1.153,1.211,3442547.3
2023-03-04,1.213,1.231,1.148,1.161,1269057.2
