date,open,high,low,close,volume
2022-08-23,9.68,10.03,9.39,9.95,312650.97
2022-08-24,9.96,10.31,9.66,9.93,436183.2
2022-08-25,9.93,10.25,9.86,9.99,269378.23
2022-08-26,9.99,10.02,8.93,9.0,522888.71
2022-08-27,9.02,9.24,8.87,9.13,321484.98
2022-08-28,9.14,9.32,8.84,8.88,221975.43
2022-08-29,8.88,9.43,8.79,9.39,260775.43
2022-08-30,9.38,9.59,8.93,9.07,362640.9
2022-08-31,9.08,9.36,8.99,9.03,262817.53
2022-09-01,9.04,9.18,8.76,9.15,440392.8
2022-09-02,9.15,9.35,8.94,9.04,352280.46
2022-09-03,9.03,9.17,8.96,9.16,143184.04
2022-09-04,9.16,9.56,9.07,9.5,246199.18
2022-09-05,9.5,9.59,9.06,9.36,226330.02
2022-09-06,9.35,9.56,8.52,8.54,551364.0
2022-09-07,8.54,8.96,8.35,8.88,417344.0
2022-09-08,8.88,9.59,8.71,9.44,535114.44
2022-09-09,9.45,9.95,9.35,9.87,539444.43
2022-09-10,9.87,10.11,9.71,9.89,446968.42
2022-09-11,9.9,10.02,9.61,9.81,278713.29
2022-09-12,9.81,10.26,9.64,9.91,663621.29
2022-09-13,9.91,9.96,8.89,8.91,713029.1
2022-09-14,8.9,9.15,8.84,9.1,266426.64
2022-09-15,9.09,9.33,8.73,9.13,738804.23
2022-09-16,9.14,9.26,8.74,8.99,512928.48
2022-09-17,8.99,9.11,8.85,9.08,249064.87
2022-09-18,9.07,9.12,8.13,8.24,385657.01
2022-09-19,8.24,8.44,8.03,8.38,509361.87
2022-09-20,8.38,8.51,8.19,8.34,446210.41
2022-09-21,8.33,8.72,7.96,8.04,608396.73
2022-09-22,8.04,8.51,8.03,8.44,337714.86
2022-09-23,8.45,8.65,8.17,8.57,379176.76
2022-09-24,8.57,8.68,8.37,8.41,214279.89
2022-09-25,8.4,8.55,8.18,8.28,207624.51
2022-09-26,8.27,8.41,8.08,8.4,293226.41
2022-09-27,8.41,9.65,8.38,8.87,1298344.05
2022-09-28,8.87,8.9,8.32,8.62,473638.86
2022-09-29,8.62,8.8,8.43,8.78,271938.9
2022-09-30,8.78,8.99,8.67,8.84,358534.26
2022-10-01,8.85,8.93,8.72,8.77,130865.15
2022-10-02,8.78,8.84,8.48,8.51,192865.92
