date,open,high,low,close,volume
2022-08-23,0.9,0.979,0.882,0.973,1598604.25
2022-08-24,0.973,1.073,0.948,0.956,4232600.78
2022-08-25,0.955,1.01,0.955,0.998,1632211.93
2022-08-26,0.998,1.006,0.922,0.925,2075776.9
2022-08-27,0.926,0.937,0.908,0.936,1092722.36
2022-08-28,0.936,0.95,0.913,0.916,863264.44
2022-08-29,0.914,0.999,0.908,0.989,1164375.57
2022-08-30,0.987,1.069,0.97,1.019,5632351.48
2022-08-31,1.019,1.245,1.017,1.078,8249193.4
2022-09-01,1.077,1.098,1.009,1.059,2399606.08
2022-09-02,1.057,1.099,1.038,1.084,1651398.65
2022-09-03,1.083,1.084,1.013,1.037,1825237.56
2022-09-04,1.037,1.051,1.026,1.045,786813.36
2022-09-05,1.045,1.062,1.02,1.044,1160915.25
2022-09-06,1.044,1.045,0.865,0.907,8704860.56
2022-09-07,0.907,0.908,0.811,0.901,2707896.05
2022-09-08,0.901,0.907,0.877,0.894,1506800.28
2022-09-09,0.894,0.965,0.891,0.962,1992085.2
2022-09-10,0.962,0.98,0.954,0.978,1491198.65
2022-09-11,0.978,0.983,0.95,0.974,1072219.81
2022-09-12,0.975,0.983,0.948,0.97,1952617.76
2022-09-13,0.97,0.99,0.906,0.913,2754817.48
2022-09-14,0.911,0.929,0.895,0.917,1518699.84
2022-09-15,0.917,0.92,0.858,0.883,1990511.2
2022-09-16,0.883,0.914,0.877,0.896,1625792.26
2022-09-17,0.896,0.933,0.894,0.932,765754.15
2022-09-18,0.932,0.947,0.866,0.879,1384138.26
2022-09-19,0.879,0.907,0.848,0.902,1163426.67
2022-09-20,0.905,0.909,0.874,0.879,1140069.54
2022-09-21,0.879,0.921,0.855,0.871,1615654.15
2022-09-22,0.869,0.952,0.866,0.947,1359262.69
2022-09-23,0.947,0.98,0.924,0.969,2126749.77
2022-09-24,0.97,0.987,0.92,0.931,1305170.27
2022-09-25,0.932,0.954,0.907,0.919,995501.45
2022-09-26,0.919,0.937,0.897,0.919,1838350.69
2022-09-27,0.92,0.967,0.897,0.919,2540207.76
2022-09-28,0.919,0.926,0.862,0.919,1344526.4
2022-09-29,0.919,0.944,0.892,0.926,1605714.2
2022-09-30,0.926,0.97,0.915,0.923,3071129.48
2022-10-01,0.922,0.925,0.896,0.918,1493209.41
2022-10-02,0.918,0.924,0.858,0.864,1432458.24
2022-10-03,0.863,0.893,0.859,0.877,1154927.48
2022-10-04,0.877,0.918,0.866,0.904,1252036.57
2022-10-05,0.904,0.904,0.876,0.897,1184412.67
2022-10-06,0.897,0.907,0.877,0.9,901275.76
2022-10-07,0.9,0.908,0.862,0.873,890855.09
2022-10-08,0.873,0.879,0.854,0.872,578952.46
2022-10-09,0.872,0.887,0.869,0.882,329419.24
2022-10-10,0.882,0.885,0.839,0.844,938611.11
2022-10-11,0.844,0.849,0.813,0.833,1091811.43
2022-10-12,0.833,0.841,0.825,0.833,470542.83
2022-10-13,0.833,0.85,0.784,0.847,1334634.14
2022-10-14,0.847,0.877,0.846,0.866,711143.43
2022-10-15,0.866,0.875,0.848,0.857,556310.5
2022-10-16,0.857,0.884,0.852,0.877,559974.19
2022-10-17,0.877,0.885,0.862,0.883,846614.55
2022-10-18,0.884,0.898,0.871,0.885,592122.72
2022-10-19,0.885,0.9,0.865,0.874,741662.14
2022-10-20,0.874,0.907,0.86,0.896,684969.06
2022-10-21,0.896,0.905,0.84,0.897,870990.55
2022-10-22,0.899,0.925,0.891,0.923,547783.12
2022-10-23,0.921,0.939,0.91,0.934,403986.31
2022-10-24,0.934,0.952,0.921,0.942,462579.32
2022-10-25,0.942,0.973,0.926,0.957,1059211.61
2022-10-26,0.957,1.011,0.949,0.995,1735930.92
2022-10-27,0.995,1.021,0.973,1.0,1828320.8
2022-10-28,1.002,1.016,0.954,1.01,1164378.23
2022-10-29,1.01,1.06,0.999,1.039,1442406.84
2022-10-30,1.039,1.045,0.987,1.013,933698.4
2022-10-31,1.013,1.017,0.978,1.002,1164381.04
2022-11-01,1.0,1.028,0.991,1.018,643091.82
2022-11-02,1.018,1.025,0.944,0.959,1089503.33
2022-11-03,0.959,0.993,0.934,0.962,1210443.71
2022-11-04,0.961,1.041,0.957,1.029,1213225.99
2022-11-05,1.03,1.068,1.005,1.008,989924.0
2022-11-06,1.008,1.016,0.983,0.996,744188.21
2022-11-07,0.995,1.017,0.975,0.999,1075219.37
2022-11-08,0.999,1.018,0.795,0.902,4145654.86
2022-11-09,0.902,0.935,0.711,0.724,4536005.35
2022-11-10,0.724,0.858,0.709,0.838,3313876.5
2022-11-11,0.838,0.839,0.689,0.699,5417598.78
2022-11-12,0.7,0.744,0.658,0.713,3694530.72
2022-11-13,0.713,0.746,0.674,0.683,2620844.59
2022-11-14,0.683,0.72,0.64,0.712,2289161.09
2022-11-15,0.712,0.736,0.7,0.718,1655774.95
2022-11-16,0.716,0.728,0.667,0.685,2273110.1
2022-11-17,0.685,0.742,0.67,0.703,2750878.08
2022-11-18,0.704,0.713,0.681,0.699,1321854.56
2022-11-19,0.699,0.723,0.69,0.713,1011666.13
2022-11-20,0.713,0.721,0.675,0.681,722061.69
2022-11-21,0.679,0.722,0.65,0.663,2341446.82
2022-11-22,0.663,0.691,0.652,0.686,953783.5
2022-11-23,0.687,0.708,0.681,0.698,819158.56
2022-11-24,0.698,0.716,0.689,0.692,547143.95
2022-11-25,0.692,0.717,0.685,0.71,611899.09
2022-11-26,0.71,0.741,0.692,0.713,1494108.01
2022-11-27,0.713,0.731,0.687,0.689,791241.89
2022-11-28,0.689,0.696,0.647,0.661,1265824.43
2022-11-29,0.661,0.675,0.632,0.646,2031195.76
2022-11-30,0.646,0.665,0.634,0.65,1237224.03
2022-12-01,0.649,0.658,0.631,0.642,854349.74
2022-12-02,0.642,0.651,0.633,0.647,517751.35
2022-12-03,0.647,0.777,0.635,0.675,4150854.56
2022-12-04,0.675,0.745,0.672,0.689,3906136.47
2022-12-05,0.689,0.708,0.641,0.662,2232618.38
2022-12-06,0.662,0.676,0.639,0.654,4072949.79
2022-12-07,0.654,0.669,0.605,0.662,2946299.65
2022-12-08,0.662,0.692,0.656,0.673,2386641.87
2022-12-09,0.673,0.674,0.66,0.67,1017640.4
2022-12-10,0.67,1.047,0.662,0.665,7630200.92
2022-12-11,0.665,0.691,0.661,0.665,1241312.33
2022-12-12,0.665,0.666,0.644,0.652,984162.44
2022-12-13,0.652,0.673,0.638,0.655,1309638.14
2022-12-14,0.656,0.681,0.65,0.659,1410217.92
2022-12-15,0.659,0.67,0.641,0.649,999986.8
2022-12-16,0.649,0.671,0.603,0.62,1573849.12
2022-12-17,0.62,0.662,0.616,0.643,1970870.02
2022-12-18,0.643,0.649,0.634,0.638,408871.09
2022-12-19,0.638,0.647,0.616,0.631,527340.11
2022-12-20,0.631,0.655,0.628,0.653,479087.39
2022-12-21,0.653,0.655,0.632,0.653,779643.61
2022-12-22,0.653,0.671,0.638,0.655,850682.91
2022-12-23,0.655,0.662,0.64,0.647,454353.29
2022-12-24,0.647,0.663,0.641,0.657,362007.75
2022-12-25,0.657,0.665,0.648,0.652,334267.85
2022-12-26,0.652,0.668,0.643,0.651,282451.44
2022-12-27,0.652,0.654,0.615,0.646,1071537.56
2022-12-28,0.646,0.647,0.624,0.632,862254.38
2022-12-29,0.634,0.643,0.624,0.632,449157.54
2022-12-30,0.632,0.634,0.615,0.624,649612.23
2022-12-31,0.624,0.739,0.615,0.659,3651846.39
2023-01-01,0.658,0.73,0.653,0.673,3884040.04
2023-01-02,0.673,0.692,0.664,0.673,687144.54
2023-01-03,0.672,0.699,0.668,0.691,863177.99
2023-01-04,0.691,0.769,0.686,0.737,2679396.12
2023-01-05,0.736,0.748,0.695,0.709,1137608.06
2023-01-06,0.709,0.739,0.703,0.726,1152291.9
2023-01-07,0.727,0.735,0.709,0.718,687616.0
2023-01-08,0.718,0.725,0.697,0.719,1062063.58
2023-01-09,0.719,0.754,0.715,0.724,1556277.49
2023-01-10,0.724,0.745,0.713,0.734,844301.03
2023-01-11,0.733,0.743,0.713,0.739,698650.0
2023-01-12,0.738,0.765,0.698,0.717,6605485.34
2023-01-13,0.717,0.74,0.69,0.729,4553410.23
2023-01-14,0.729,0.768,0.701,0.731,4018619.11
2023-01-15,0.731,0.757,0.719,0.735,1430531.14
2023-01-16,0.735,0.744,0.702,0.731,3723239.96
2023-01-17,0.731,0.745,0.709,0.74,2097205.45
2023-01-18,0.74,0.8,0.701,0.722,3525217.93
2023-01-19,0.722,0.805,0.701,0.796,4267259.28
2023-01-20,0.794,0.859,0.794,0.82,5606179.15
2023-01-21,0.82,0.854,0.783,0.823,3036742.25
2023-01-22,0.823,0.843,0.817,0.839,1718388.03
2023-01-23,0.837,0.855,0.806,0.83,2073722.95
2023-01-24,0.83,0.831,0.785,0.803,3168778.74
2023-01-25,0.802,0.85,0.777,0.841,3174784.5
2023-01-26,0.842,0.87,0.82,0.839,2217105.49
2023-01-27,0.84,0.852,0.809,0.843,1431977.23
2023-01-28,0.843,0.855,0.827,0.837,931970.98
2023-01-29,0.836,0.86,0.833,0.853,959661.44
2023-01-30,0.852,0.86,0.795,0.822,1766183.19
2023-01-31,0.822,0.829,0.807,0.821,1308623.72
2023-02-01,0.819,0.828,0.789,0.824,2336711.95
2023-02-02,0.824,0.947,0.79,0.809,5523915.68
2023-02-03,0.809,0.82,0.796,0.812,1359902.82
2023-02-04,0.81,0.817,0.769,0.781,2035898.68
2023-02-05,0.781,0.798,0.76,0.769,1251969.34
2023-02-06,0.769,0.78,0.752,0.755,862878.06
2023-02-07,0.755,0.776,0.747,0.774,1328195.73
2023-02-08,0.773,0.78,0.744,0.748,1180055.02
2023-02-09,0.748,0.752,0.711,0.726,1974554.53
2023-02-10,0.726,0.752,0.715,0.721,2651021.75
2023-02-11,0.721,0.734,0.711,0.716,814131.85
2023-02-12,0.717,0.724,0.702,0.709,1690606.14
2023-02-13,0.709,0.736,0.685,0.718,3329555.43
2023-02-14,0.718,0.738,0.698,0.73,2298721.7
2023-02-15,0.73,0.74,0.705,0.738,2430806.7
2023-02-16,0.738,0.764,0.723,0.726,3088457.22
2023-02-17,0.724,0.765,0.72,0.755,1719791.11
2023-02-18,0.754,0.762,0.743,0.752,1037124.35
2023-02-19,0.753,0.759,0.725,0.727,1300669.7
2023-02-20,0.727,0.749,0.724,0.737,2024037.27
2023-02-21,0.738,0.749,0.725,0.727,1236039.53
2023-02-22,0.727,0.747,0.711,0.743,2113203.74
2023-02-23,0.743,0.804,0.734,0.747,3812027.37
2023-02-24,0.747,0.749,0.71,0.717,1112837.92
2023-02-25,0.718,0.726,0.693,0.707,912411.33
2023-02-26,0.707,0.726,0.704,0.719,594958.15
2023-02-27,0.718,0.725,0.695,0.707,929843.3
2023-02-28,0.708,0.714,0.685,0.689,758281.33
2023-03-01,0.691,0.725,0.686,0.707,2112329.2
2023-03-02,0.706,0.725,0.662,0.683,2905138.29
2023-03-03,0.683,0.684,0.637,0.644,1708318.02
2023-03-04,0.643,0.67,0.64,0.656,1202516.91
2023-03-05,0.656,0.672,0.629,0.645,1234996.92
2023-03-06,0.645,0.66,0.632,0.647,865338.12
2023-03-07,0.647,0.65,0.63,0.638,925131.46
2023-03-08,0.638,0.642,0.606,0.61,872318.17
2023-03-09,0.61,0.629,0.559,0.597,1955304.57
2023-03-10,0.598,0.601,0.55,0.594,1555254.23
2023-03-11,0.595,0.609,0.55,0.584,1230995.13
2023-03-12,0.584,0.61,0.574,0.61,577945.28
2023-03-13,0.61,0.642,0.592,0.635,1989886.61
2023-03-14,0.635,0.694,0.619,0.643,2853509.17
2023-03-15,0.643,0.645,0.614,0.617,915383.63
2023-03-16,0.618,0.633,0.614,0.625,758327.32
2023-03-17,0.625,0.666,0.619,0.662,1177397.02
2023-03-18,0.661,0.671,0.636,0.639,926169.62
2023-03-19,0.639,0.662,0.635,0.64,884560.07
2023-03-20,0.641,0.79,0.624,0.695,10747391.19
2023-03-21,0.695,0.741,0.658,0.692,3807040.24
2023-03-22,0.692,0.695,0.65,0.671,1251020.48
2023-03-23,0.671,0.72,0.669,0.713,1491548.82
2023-03-24,0.713,0.73,0.697,0.728,1723204.69
2023-03-25,0.727,0.76,0.715,0.741,2157096.75
2023-03-26,0.741,0.777,0.737,0.753,1887625.0
2023-03-27,0.752,0.769,0.7,0.727,1630309.68
2023-03-28,0.727,0.741,0.702,0.727,1197112.71
2023-03-29,0.726,0.761,0.695,0.75,2693786.7
2023-03-30,0.75,0.757,0.711,0.727,1374631.43
2023-03-31,0.726,0.75,0.693,0.718,2311908.17
2023-04-01,0.718,0.723,0.65,0.672,2585547.81
2023-04-02,0.671,0.685,0.636,0.645,1933341.92
2023-04-03,0.644,0.682,0.629,0.67,2173654.35
2023-04-04,0.671,0.674,0.652,0.669,1250152.93
2023-04-05,0.669,0.681,0.645,0.669,1382764.4
2023-04-06,0.669,0.685,0.662,0.666,1132898.18
2023-04-07,0.665,0.668,0.637,0.666,1304738.95
2023-04-08,0.666,0.675,0.646,0.658,908117.84
2023-04-09,0.658,0.673,0.656,0.668,721828.72
2023-04-10,0.668,0.68,0.658,0.677,899160.92
2023-04-11,0.677,0.7,0.671,0.677,2043249.63
2023-04-12,0.676,0.714,0.645,0.688,2141657.69
2023-04-13,0.688,0.72,0.686,0.698,1861337.33
2023-04-14,0.697,0.718,0.685,0.706,1657697.57
2023-04-15,0.706,0.712,0.673,0.69,1634905.85
2023-04-16,0.69,0.75,0.669,0.712,2185365.03
2023-04-17,0.712,0.728,0.688,0.711,1804359.74
2023-04-18,0.709,0.725,0.702,0.722,1097183.58
2023-04-19,0.722,0.726,0.677,0.688,1560083.53
2023-04-20,0.687,0.705,0.659,0.676,1286358.14
2023-04-21,0.676,0.681,0.644,0.669,772786.82
2023-04-22,0.669,0.681,0.656,0.679,629503.78
2023-04-23,0.679,0.68,0.648,0.666,570637.43
2023-04-24,0.666,0.672,0.638,0.668,1057358.62
2023-04-25,0.668,0.68,0.654,0.673,1199589.28
2023-04-26,0.674,0.754,0.666,0.705,4288468.1
2023-04-27,0.706,0.721,0.691,0.706,1190599.09
2023-04-28,0.705,0.72,0.702,0.707,1043942.2
2023-04-29,0.707,0.713,0.698,0.71,656013.0
2023-04-30,0.71,0.733,0.699,0.711,1204259.25
2023-05-01,0.71,0.729,0.674,0.682,951396.51
2023-05-02,0.682,0.688,0.665,0.682,977537.66
2023-05-03,0.682,0.695,0.672,0.692,663273.42
2023-05-04,0.692,0.7,0.681,0.698,745197.2
2023-05-05,0.697,0.714,0.689,0.708,821643.4
2023-05-06,0.708,0.716,0.654,0.704,1545324.23
2023-05-07,0.703,0.743,0.691,0.691,2048807.77
2023-05-08,0.691,0.699,0.67,0.673,1242893.82
2023-05-09,0.673,0.686,0.663,0.681,730201.84
2023-05-10,0.681,0.7,0.661,0.677,1257558.08
2023-05-11,0.677,0.678,0.642,0.67,1299233.82
2023-05-12,0.67,0.679,0.653,0.679,843291.89
2023-05-13,0.679,0.687,0.66,0.669,964710.2
2023-05-14,0.669,0.677,0.654,0.665,552646.22
2023-05-15,0.665,0.688,0.66,0.667,796670.73
2023-05-16,0.666,0.672,0.656,0.668,633623.71
2023-05-17,0.668,0.685,0.656,0.68,1027426.59
2023-05-18,0.68,0.694,0.667,0.688,904946.7
2023-05-19,0.688,0.696,0.679,0.681,927474.02
2023-05-20,0.681,0.696,0.674,0.688,505801.7
2023-05-21,0.687,0.689,0.671,0.672,285081.66
2023-05-22,0.674,0.683,0.66,0.68,732636.83
2023-05-23,0.678,0.69,0.668,0.684,751562.83
2023-05-24,0.683,0.687,0.663,0.669,738479.88
2023-05-25,0.668,0.669,0.648,0.668,557456.93
2023-05-26,0.666,0.683,0.656,0.679,817816.17
2023-05-27,0.679,0.684,0.66,0.666,598838.13
2023-05-28,0.666,0.682,0.663,0.68,517933.54
2023-05-29,0.68,0.695,0.669,0.689,876049.55
2023-05-30,0.689,0.7,0.674,0.693,1039641.4
2023-05-31,0.691,0.696,0.666,0.679,709783.36
2023-06-01,0.679,0.682,0.661,0.668,867606.66
2023-06-02,0.667,0.679,0.662,0.672,676571.99
2023-06-03,0.672,0.673,0.652,0.659,857807.14
2023-06-04,0.66,0.67,0.657,0.659,378622.79
2023-06-05,0.66,0.661,0.628,0.636,1162439.38
2023-06-06,0.635,0.691,0.618,0.662,2369726.37
2023-06-07,0.662,0.665,0.628,0.645,958269.65
2023-06-08,0.645,0.65,0.625,0.633,1294800.8
2023-06-09,0.633,0.642,0.619,0.627,1265557.82
2023-06-10,0.627,0.63,0.591,0.62,2363161.54
2023-06-11,0.62,0.629,0.604,0.621,1285118.47
2023-06-12,0.621,0.628,0.601,0.621,1221758.64
2023-06-13,0.621,0.629,0.611,0.619,1343142.2
2023-06-14,0.619,0.627,0.585,0.606,1330365.67
2023-06-15,0.606,0.609,0.579,0.605,2199260.3
2023-06-16,0.605,0.619,0.587,0.605,1643305.91
2023-06-17,0.605,0.613,0.594,0.608,1179301.34
2023-06-18,0.608,0.618,0.595,0.606,761353.92
2023-06-19,0.606,0.611,0.597,0.608,897742.0
2023-06-20,0.608,0.622,0.6,0.62,832183.03
2023-06-21,0.62,0.655,0.619,0.645,1598468.01
2023-06-22,0.644,0.661,0.632,0.637,940324.93
2023-06-23,0.636,0.66,0.633,0.649,1105908.98
2023-06-24,0.651,0.663,0.64,0.646,789228.1
2023-06-25,0.645,0.658,0.634,0.641,613855.24
2023-06-26,0.641,0.667,0.631,0.634,1022929.38
2023-06-27,0.634,0.645,0.626,0.643,693700.66
2023-06-28,0.644,0.646,0.62,0.625,758164.12
2023-06-29,0.625,0.643,0.622,0.641,541414.03
2023-06-30,0.641,0.653,0.621,0.645,813226.72
2023-07-01,0.645,0.646,0.626,0.643,863102.65
2023-07-02,0.643,0.644,0.623,0.635,780950.2
2023-07-03,0.635,0.645,0.629,0.634,763337.53
2023-07-04,0.636,0.656,0.626,0.64,1206177.66
2023-07-05,0.64,0.647,0.625,0.634,985037.62
2023-07-06,0.633,0.646,0.61,0.623,1420794.24
2023-07-07,0.623,0.643,0.617,0.621,752572.3
2023-07-08,0.621,0.627,0.611,0.621,381902.58
2023-07-09,0.622,0.625,0.61,0.616,358742.48
2023-07-10,0.616,0.628,0.608,0.619,1069390.53
2023-07-11,0.618,0.624,0.61,0.619,778956.04
2023-07-12,0.619,0.647,0.609,0.63,1616301.95
2023-07-13,0.63,0.647,0.622,0.64,2301235.34
2023-07-14,0.64,0.676,0.618,0.627,3193891.66
2023-07-15,0.627,0.633,0.615,0.622,744283.95
2023-07-16,0.622,0.63,0.615,0.619,587036.76
2023-07-17,0.62,0.627,0.612,0.621,800421.77
2023-07-18,0.621,0.631,0.594,0.63,1315510.07
2023-07-19,0.63,0.634,0.615,0.626,1145301.23
2023-07-20,0.626,0.64,0.62,0.635,1021776.36
2023-07-21,0.635,0.644,0.628,0.64,606596.76
2023-07-22,0.639,0.694,0.634,0.638,1209544.85
2023-07-23,0.639,0.658,0.627,0.643,453765.32
2023-07-24,0.644,0.646,0.621,0.625,636117.03
2023-07-25,0.626,0.653,0.624,0.626,1049264.02
2023-07-26,0.625,0.639,0.615,0.629,1428691.51
2023-07-27,0.63,0.65,0.626,0.649,787646.56
2023-07-28,0.648,0.68,0.644,0.656,1313372.39
2023-07-29,0.657,0.668,0.65,0.657,434887.89
2023-07-30,0.656,0.682,0.652,0.658,747402.16
2023-07-31,0.658,0.681,0.653,0.658,801168.75
2023-08-01,0.658,0.668,0.638,0.666,801096.06
2023-08-02,0.666,0.675,0.641,0.645,514874.78
2023-08-03,0.645,0.663,0.632,0.646,625687.17
2023-08-04,0.646,0.659,0.641,0.645,375771.14
2023-08-05,0.645,0.653,0.638,0.643,266998.79
2023-08-06,0.644,0.65,0.636,0.647,349644.56
2023-08-07,0.647,0.652,0.628,0.636,846455.66
2023-08-08,0.635,0.651,0.633,0.65,473076.99
2023-08-09,0.65,0.666,0.646,0.652,585476.34
2023-08-10,0.653,0.66,0.63,0.649,689479.56
2023-08-11,0.649,0.652,0.638,0.64,450916.35
2023-08-12,0.64,0.642,0.63,0.631,255712.84
2023-08-13,0.63,0.635,0.626,0.632,372173.27
2023-08-14,0.632,0.641,0.627,0.633,457597.28
2023-08-15,0.632,0.637,0.616,0.63,537922.16
2023-08-16,0.63,0.684,0.617,0.64,2679469.18
2023-08-17,0.64,0.643,0.509,0.599,1788542.26
2023-08-18,0.598,0.603,0.576,0.587,1051512.18
2023-08-19,0.589,0.6,0.581,0.59,479636.93
2023-08-20,0.591,0.63,0.584,0.587,933416.69
2023-08-21,0.587,0.594,0.573,0.591,771945.91
2023-08-22,0.591,0.599,0.568,0.588,839343.03
2023-08-23,0.589,0.603,0.582,0.597,565457.58
2023-08-24,0.597,0.602,0.585,0.594,447641.08
2023-08-25,0.594,0.607,0.585,0.594,804673.11
2023-08-26,0.593,0.598,0.587,0.589,194306.44
2023-08-27,0.588,0.597,0.586,0.593,171482.46
2023-08-28,0.592,0.596,0.582,0.588,507475.11
2023-08-29,0.587,0.621,0.579,0.61,904485.13
2023-08-30,0.61,0.614,0.592,0.598,405034.2
2023-08-31,0.598,0.605,0.575,0.581,540723.0
2023-09-01,0.581,0.592,0.563,0.575,630282.35
2023-09-02,0.577,0.59,0.569,0.583,400530.94
2023-09-03,0.583,0.589,0.576,0.587,285375.78
2023-09-04,0.586,0.59,0.576,0.584,431219.81
2023-09-05,0.585,0.59,0.577,0.584,324011.54
2023-09-06,0.584,0.59,0.58,0.587,398038.35
2023-09-07,0.587,0.59,0.58,0.588,246791.52
2023-09-08,0.588,0.592,0.577,0.585,552080.53
2023-09-09,0.585,0.586,0.577,0.582,182809.68
2023-09-10,0.582,0.583,0.565,0.575,426939.13
2023-09-11,0.573,0.573,0.538,0.557,1238675.65
2023-09-12,0.557,0.578,0.55,0.55,646149.95
2023-09-13,0.551,0.568,0.523,0.562,897907.2
2023-09-14,0.563,0.585,0.542,0.544,908738.47
2023-09-15,0.544,0.573,0.53,0.561,1490086.53
2023-09-16,0.56,0.579,0.556,0.57,730941.51
2023-09-17,0.57,0.571,0.551,0.567,496324.07
2023-09-18,0.567,0.58,0.559,0.564,567405.35
2023-09-19,0.563,0.566,0.55,0.562,981437.92
2023-09-20,0.562,0.582,0.56,0.581,704093.49
2023-09-21,0.581,0.59,0.566,0.567,1073261.56
2023-09-22,0.568,0.572,0.542,0.569,895463.65
2023-09-23,0.57,0.57,0.557,0.56,311792.71
2023-09-24,0.561,0.564,0.553,0.554,382448.44
2023-09-25,0.554,0.557,0.538,0.55,765692.22
2023-09-26,0.551,0.553,0.544,0.55,347798.86
2023-09-27,0.551,0.56,0.543,0.547,562109.1
2023-09-28,0.547,0.559,0.54,0.556,750844.47
2023-09-29,0.556,0.565,0.549,0.554,932293.56
2023-09-30,0.554,0.562,0.552,0.558,360687.43
2023-10-01,0.559,0.57,0.555,0.562,646216.81
2023-10-02,0.562,0.573,0.555,0.557,904777.89
2023-10-03,0.558,0.564,0.533,0.552,949426.63
2023-10-04,0.552,0.558,0.546,0.552,352483.92
2023-10-05,0.552,0.556,0.546,0.551,502379.87
2023-10-06,0.551,0.561,0.548,0.554,494882.51
2023-10-07,0.555,0.557,0.54,0.551,566649.29
2023-10-08,0.551,0.552,0.539,0.548,465111.72
2023-10-09,0.548,0.554,0.529,0.538,909433.77
2023-10-10,0.538,0.541,0.528,0.538,688173.14
2023-10-11,0.539,0.541,0.524,0.526,739342.94
2023-10-12,0.527,0.53,0.514,0.528,692434.81
2023-10-13,0.528,0.531,0.514,0.525,381616.93
2023-10-14,0.525,0.531,0.519,0.527,313342.92
2023-10-15,0.526,0.531,0.521,0.523,278992.29
2023-10-16,0.523,0.55,0.522,0.541,1558148.94
2023-10-17,0.543,0.545,0.517,0.529,1218090.46
2023-10-18,0.528,0.543,0.522,0.532,975826.98
2023-10-19,0.531,0.543,0.525,0.536,1040611.3
