date,open,high,low,close,volume
2022-08-23,0.1135,0.1261,0.112,0.1142,52339409.0
2022-08-24,0.1143,0.12,0.1105,0.1107,26212165.0
2022-08-25,0.1106,0.1171,0.1053,0.1068,28910222.0
2022-08-26,0.1067,0.1073,0.0966,0.0979,21177534.0
2022-08-27,0.0979,0.107,0.0963,0.1028,35315351.0
2022-08-28,0.1029,0.1029,0.0941,0.0958,11696644.0
2022-08-29,0.0957,0.1027,0.0933,0.1027,12279751.0
2022-08-30,0.1025,0.1085,0.0945,0.0972,17392317.0
2022-08-31,0.0974,0.1009,0.0969,0.0982,10599956.0
2022-09-01,0.0981,0.1,0.0946,0.0984,10476644.0
2022-09-02,0.0983,0.1009,0.0965,0.0989,8765121.0
2022-09-03,0.099,0.1023,0.098,0.0992,7038001.0
2022-09-04,0.0992,0.1018,0.0984,0.101,4704355.0
2022-09-05,0.1014,0.1024,0.0975,0.0986,5851486.0
2022-09-06,0.0988,0.1012,0.091,0.0917,10626260.0
2022-09-07,0.0917,0.0983,0.0898,0.0964,9230541.0
2022-09-08,0.0966,0.1019,0.0953,0.0994,10553962.0
2022-09-09,0.0995,0.1052,0.0995,0.104,12363411.0
2022-09-10,0.104,0.107,0.1017,0.1038,9991486.0
2022-09-11,0.1037,0.1115,0.1001,0.1024,16927001.0
2022-09-12,0.1024,0.1091,0.1005,0.1051,22186484.0
2022-09-13,0.1052,0.1076,0.0941,0.0951,22365616.0
2022-09-14,0.0951,0.0977,0.0925,0.0964,10111376.0
2022-09-15,0.0963,0.0967,0.0903,0.0914,9050490.0
2022-09-16,0.0914,0.0934,0.0896,0.0931,9509100.0
2022-09-17,0.0932,0.0952,0.0927,0.0949,5970120.0
2022-09-18,0.0949,0.0958,0.0855,0.0878,11216075.0
2022-09-19,0.0878,0.0928,0.0854,0.0918,10086459.0
2022-09-20,0.0918,0.0957,0.0883,0.0901,13216613.0
2022-09-21,0.0899,0.0955,0.0882,0.0901,12767730.0
2022-09-22,0.0899,0.0941,0.0898,0.0933,6598670.0
2022-09-23,0.0933,0.0977,0.0902,0.0935,13911970.0
2022-09-24,0.0935,0.0947,0.0912,0.0916,7791978.0
2022-09-25,0.0916,0.0926,0.088,0.0895,5876096.0
2022-09-26,0.0894,0.0912,0.0873,0.0902,7208727.0
2022-09-27,0.0902,0.0938,0.0896,0.0924,8938091.0
2022-09-28,0.0924,0.0937,0.0875,0.0906,5987638.0
2022-09-29,0.0905,0.0915,0.0882,0.0913,5046175.0
2022-09-30,0.0913,0.1001,0.0896,0.0916,21732557.0
2022-10-01,0.0917,0.0921,0.0906,0.091,2165950.0
2022-10-02,0.0909,0.0926,0.0884,0.0896,5403760.0
2022-10-03,0.0895,0.0937,0.0882,0.0928,11692320.0
2022-10-04,0.093,0.0941,0.0919,0.0932,4290008.0
2022-10-05,0.0932,0.0937,0.0901,0.0919,4013088.0
2022-10-06,0.0919,0.0939,0.091,0.0913,6613941.0
2022-10-07,0.0913,0.0916,0.0889,0.0907,5095054.0
2022-10-08,0.0907,0.0918,0.0894,0.0905,2653321.0
2022-10-09,0.0905,0.091,0.0899,0.0908,1971045.0
2022-10-10,0.0908,0.0922,0.0875,0.0876,3983365.0
2022-10-11,0.0877,0.0877,0.0835,0.0855,4902775.0
2022-10-12,0.0856,0.088,0.0843,0.085,13151898.0
2022-10-13,0.085,0.085,0.0766,0.0831,8540422.0
2022-10-14,0.083,0.0859,0.0805,0.0817,5208498.0
2022-10-15,0.0818,0.0846,0.0811,0.0826,5597486.0
2022-10-16,0.0827,0.0902,0.0827,0.0861,23254695.0
2022-10-17,0.0861,0.0867,0.0846,0.0862,4160800.0
2022-10-18,0.0863,0.0886,0.084,0.0854,6833145.0
2022-10-19,0.0855,0.0859,0.0811,0.0824,8074669.0
2022-10-20,0.0824,0.0856,0.0817,0.0841,8245100.0
2022-10-21,0.0842,0.0846,0.0794,0.0842,4967413.0
2022-10-22,0.0842,0.085,0.083,0.0839,5116797.0
2022-10-23,0.084,0.0858,0.0819,0.0852,4167052.0
2022-10-24,0.0852,0.0858,0.0827,0.083,4279363.0
2022-10-25,0.083,0.0872,0.0829,0.0852,7579823.0
2022-10-26,0.0854,0.0882,0.0852,0.0876,5430406.0
2022-10-27,0.0876,0.0912,0.0857,0.0861,12530415.0
2022-10-28,0.0861,0.0907,0.0846,0.0893,7784456.0
2022-10-29,0.0893,0.093,0.0892,0.091,13923103.0
2022-10-30,0.0909,0.0955,0.0895,0.0909,9989140.0
2022-10-31,0.0907,0.0916,0.0886,0.0904,4024919.0
2022-11-01,0.0905,0.093,0.0895,0.0895,7641545.0
2022-11-02,0.0895,0.0911,0.0854,0.0879,8022505.0
2022-11-03,0.0879,0.1638,0.0873,0.1432,421811453.0
2022-11-04,0.1433,0.1433,0.1142,0.1197,103262581.0
2022-11-05,0.1196,0.127,0.1082,0.1113,92287862.0
2022-11-06,0.1113,0.1148,0.1026,0.1042,34660680.0
2022-11-07,0.1043,0.1126,0.103,0.1052,36526559.0
2022-11-08,0.1051,0.1077,0.0758,0.085,59890699.0
2022-11-09,0.0849,0.086,0.0711,0.0762,29611983.0
2022-11-10,0.0759,0.0914,0.074,0.0874,35395561.0
2022-11-11,0.0872,0.0897,0.0779,0.083,16297566.0
2022-11-12,0.083,0.0832,0.0763,0.0769,11703911.0
2022-11-13,0.0769,0.0788,0.0741,0.0772,14299480.0
2022-11-14,0.0769,0.0795,0.0721,0.0784,16175292.0
2022-11-15,0.0784,0.0827,0.0767,0.0816,10003651.0
2022-11-16,0.0816,0.0876,0.0761,0.0774,16998240.0
2022-11-17,0.0773,0.0791,0.0755,0.0767,7622519.0
2022-11-18,0.0768,0.0785,0.0756,0.0768,3846194.0
2022-11-19,0.0768,0.0791,0.0752,0.0782,5138122.0
2022-11-20,0.0781,0.0796,0.0741,0.0746,7281212.0
2022-11-21,0.0745,0.0783,0.0718,0.0762,9013305.0
2022-11-22,0.0762,0.0788,0.0713,0.078,11462541.0
2022-11-23,0.0782,0.0842,0.077,0.0802,14690273.0
2022-11-24,0.0802,0.0818,0.0762,0.0785,8818671.0
2022-11-25,0.0784,0.0805,0.0766,0.0788,9646336.0
2022-11-26,0.0788,0.0825,0.0787,0.0801,6999614.0
2022-11-27,0.0802,0.0859,0.0791,0.0794,12763603.0
2022-11-28,0.0794,0.0805,0.0763,0.0786,6975095.0
2022-11-29,0.0786,0.082,0.077,0.08,7302149.0
2022-11-30,0.0802,0.0839,0.08,0.0832,8181831.0
2022-12-01,0.0832,0.0914,0.0813,0.0848,24062661.0
2022-12-02,0.0849,0.085,0.0817,0.0837,6965799.0
2022-12-03,0.0837,0.0963,0.0837,0.0859,84814239.0
2022-12-04,0.0859,0.0876,0.0834,0.084,11511766.0
2022-12-05,0.084,0.0874,0.082,0.0835,13945669.0
2022-12-06,0.0836,0.0858,0.0832,0.0844,6428908.0
2022-12-07,0.0845,0.0853,0.08,0.0808,10226187.0
2022-12-08,0.0809,0.0833,0.0795,0.0827,5083369.0
2022-12-09,0.0828,0.0875,0.0823,0.0851,12411480.0
2022-12-10,0.0852,0.0875,0.0842,0.0847,7413930.0
2022-12-11,0.0849,0.0851,0.0809,0.0818,7081725.0
2022-12-12,0.0818,0.0819,0.0782,0.0807,6217394.0
2022-12-13,0.0807,0.0938,0.0772,0.0854,32131343.0
2022-12-14,0.0855,0.0864,0.0822,0.0841,12402686.0
2022-12-15,0.0841,0.0848,0.0811,0.0822,5054135.0
2022-12-16,0.0822,0.0859,0.0767,0.0781,26990862.0
2022-12-17,0.0778,0.0805,0.076,0.0799,5980157.0
2022-12-18,0.08,0.0824,0.0789,0.0792,5354945.0
2022-12-19,0.0794,0.0818,0.078,0.078,5737320.0
2022-12-20,0.0782,0.0824,0.0781,0.081,3767942.0
2022-12-21,0.081,0.0815,0.0792,0.0809,4436446.0
2022-12-22,0.0809,0.0815,0.079,0.0808,3722455.0
