date,open,high,low,close,volume
2022-08-23,0.0495,0.0509,0.0481,0.0506,4819169.0
2022-08-24,0.0506,0.0563,0.049,0.0506,20595002.0
2022-08-25,0.0506,0.0528,0.0503,0.0512,5327018.0
2022-08-26,0.0512,0.0515,0.0469,0.0472,6572083.0
2022-08-27,0.0472,0.0478,0.046,0.0475,5633254.0
2022-08-28,0.0475,0.05,0.0465,0.0466,8202247.0
2022-08-29,0.0466,0.0488,0.0458,0.0483,7751734.0
2022-08-30,0.0484,0.0496,0.046,0.0468,4325396.0
2022-08-31,0.0469,0.0493,0.0469,0.0473,5069916.0
2022-09-01,0.0473,0.0481,0.0463,0.048,3486536.0
2022-09-02,0.048,0.0485,0.047,0.0474,3497649.0
2022-09-03,0.0474,0.0476,0.0468,0.0473,2056712.0
2022-09-04,0.0474,0.0483,0.0468,0.048,3248034.0
2022-09-05,0.0481,0.0484,0.0465,0.0474,4014506.0
2022-09-06,0.0474,0.0483,0.0443,0.0443,3928121.0
2022-09-07,0.0442,0.0474,0.0433,0.0463,4540206.0
2022-09-08,0.0464,0.0497,0.0455,0.0472,11878006.0
2022-09-09,0.0471,0.0495,0.0471,0.0489,6733916.0
2022-09-10,0.0489,0.0498,0.0483,0.0493,5005742.0
2022-09-11,0.0493,0.0506,0.0489,0.0496,4600277.0
2022-09-12,0.0495,0.0507,0.0484,0.0489,5013684.0
2022-09-13,0.0488,0.0492,0.045,0.0457,6236687.0
2022-09-14,0.0457,0.0466,0.0452,0.046,3514700.0
2022-09-15,0.046,0.0462,0.0434,0.0435,3938871.0
2022-09-16,0.0435,0.0447,0.0423,0.0431,6168152.0
2022-09-17,0.0432,0.0518,0.0431,0.0451,40510398.0
2022-09-18,0.045,0.048,0.042,0.0429,25856507.0
2022-09-19,0.043,0.0437,0.0413,0.0433,6140819.0
2022-09-20,0.0432,0.0437,0.0419,0.0422,3912772.0
2022-09-21,0.0421,0.0435,0.0402,0.0411,7541637.0
2022-09-22,0.0411,0.0434,0.0406,0.0432,4609224.0
2022-09-23,0.0432,0.0438,0.0413,0.043,3816892.0
2022-09-24,0.0429,0.0435,0.0422,0.0423,2248643.0
2022-09-25,0.0423,0.0428,0.0416,0.042,1885844.0
2022-09-26,0.0419,0.0425,0.0412,0.042,2630824.0
2022-09-27,0.042,0.0438,0.0414,0.0419,5726073.0
2022-09-28,0.0419,0.0426,0.0406,0.0423,2264514.0
2022-09-29,0.0422,0.046,0.0421,0.0436,22178658.0
2022-09-30,0.0437,0.049,0.0429,0.0437,32831158.0
2022-10-01,0.0437,0.0439,0.0418,0.043,5170437.0
2022-10-02,0.0429,0.0433,0.042,0.0421,3043260.0
2022-10-03,0.0421,0.0431,0.0418,0.0429,4166005.0
2022-10-04,0.0429,0.0439,0.0427,0.0438,3638487.0
2022-10-05,0.0437,0.0437,0.042,0.0427,3971832.0
2022-10-06,0.0428,0.0452,0.0424,0.0434,13113998.0
2022-10-07,0.0433,0.0447,0.0425,0.0428,10210575.0
2022-10-08,0.0428,0.0437,0.0426,0.043,2287417.0
2022-10-09,0.043,0.0431,0.0425,0.0426,2107902.0
2022-10-10,0.0425,0.0428,0.0411,0.0413,3763518.0
2022-10-11,0.0411,0.0413,0.04,0.0401,2572030.0
2022-10-12,0.0402,0.0404,0.0389,0.0393,6097279.0
2022-10-13,0.0393,0.0394,0.0357,0.039,4549705.0
2022-10-14,0.0391,0.041,0.0386,0.0396,6273359.0
2022-10-15,0.0396,0.0434,0.0395,0.0418,14018437.0
2022-10-16,0.0421,0.0714,0.0412,0.0415,309254271.0
2022-10-17,0.0416,0.0426,0.0405,0.0413,27326237.0
2022-10-18,0.0413,0.0415,0.0403,0.0406,9553022.0
2022-10-19,0.0406,0.0407,0.0389,0.0392,7921097.0
2022-10-20,0.0391,0.0438,0.0389,0.0405,41740882.0
2022-10-21,0.0406,0.0418,0.039,0.0405,8481807.0
2022-10-22,0.0405,0.0484,0.04,0.0413,58427227.0
2022-10-23,0.0412,0.044,0.0409,0.0423,18713202.0
2022-10-24,0.0424,0.0426,0.0411,0.0412,7054022.0
2022-10-25,0.0412,0.0441,0.041,0.0431,9602450.0
2022-10-26,0.0431,0.0445,0.043,0.0438,6036039.0
2022-10-27,0.044,0.0448,0.0428,0.0428,6418768.0
2022-10-28,0.0429,0.0436,0.0397,0.0433,7078976.0
2022-10-29,0.0433,0.0449,0.0433,0.0443,6436923.0
2022-10-30,0.0442,0.0445,0.0431,0.0434,3174082.0
2022-10-31,0.0434,0.0436,0.0424,0.0427,4500168.0
2022-11-01,0.0428,0.0432,0.0424,0.0426,2680154.0
2022-11-02,0.0426,0.0428,0.0407,0.0412,6211584.0
2022-11-03,0.041,0.0437,0.041,0.0428,5985248.0
2022-11-04,0.0428,0.0449,0.0421,0.0448,10598810.0
2022-11-05,0.0449,0.0453,0.0442,0.0442,6105913.0
2022-11-06,0.0443,0.047,0.0435,0.0436,11612618.0
2022-11-07,0.0435,0.0443,0.0422,0.0426,5288624.0
2022-11-08,0.0426,0.0429,0.0355,0.0364,15982817.0
2022-11-09,0.0365,0.0365,0.0284,0.0288,12621321.0
2022-11-10,0.0288,0.0343,0.0287,0.0337,10043237.0
2022-11-11,0.0339,0.034,0.0302,0.0315,6530220.0
2022-11-12,0.0314,0.0315,0.0281,0.0297,7347673.0
2022-11-13,0.0296,0.0316,0.0292,0.0302,13178632.0
2022-11-14,0.03,0.0311,0.0282,0.0304,6624453.0
2022-11-15,0.0306,0.0318,0.0303,0.0308,3807489.0
2022-11-16,0.0308,0.0334,0.0305,0.0317,20648857.0
2022-11-17,0.0316,0.0321,0.0306,0.0313,7274180.0
2022-11-18,0.0313,0.0317,0.0309,0.0311,3136766.0
2022-11-19,0.0311,0.0316,0.0304,0.0313,3469777.0
2022-11-20,0.0314,0.0339,0.0298,0.0306,13738212.0
2022-11-21,0.0306,0.0307,0.0287,0.0294,6415329.0
2022-11-22,0.0294,0.0318,0.0278,0.0314,27541487.0
2022-11-23,0.0314,0.0332,0.0312,0.033,13638986.0
2022-11-24,0.0331,0.0335,0.0318,0.0323,8056025.0
2022-11-25,0.0323,0.0323,0.0312,0.0322,3263834.0
2022-11-26,0.0322,0.0345,0.0321,0.034,17883329.0
2022-11-27,0.0339,0.0351,0.0329,0.0329,17214851.0
2022-11-28,0.033,0.0335,0.0313,0.0328,8981879.0
2022-11-29,0.0329,0.0363,0.0326,0.0339,29381458.0
2022-11-30,0.034,0.0356,0.0337,0.0353,15574186.0
2022-12-01,0.0354,0.0355,0.0342,0.0345,6904801.0
2022-12-02,0.0346,0.0351,0.0339,0.0347,5636566.0
2022-12-03,0.0348,0.0362,0.0337,0.034,8882284.0
2022-12-04,0.034,0.0358,0.0336,0.0351,5717286.0
2022-12-05,0.0351,0.0363,0.0339,0.0342,5042646.0
2022-12-06,0.0342,0.0401,0.0339,0.0346,55506362.0
2022-12-07,0.0347,0.0349,0.0327,0.0334,9501167.0
2022-12-08,0.0334,0.0345,0.0328,0.0344,5103746.0
2022-12-09,0.0344,0.0352,0.034,0.0347,3793172.0
2022-12-10,0.0348,0.0411,0.0337,0.0339,83506565.0
2022-12-11,0.0338,0.0343,0.0331,0.0332,7539782.0
2022-12-12,0.0332,0.0333,0.0326,0.0332,4494741.0
2022-12-13,0.0331,0.0333,0.0311,0.033,5493848.0
2022-12-14,0.033,0.0355,0.032,0.0329,15863239.0
2022-12-15,0.033,0.0334,0.0324,0.0324,4136057.0
2022-12-16,0.0325,0.0329,0.0286,0.0288,6173970.0
2022-12-17,0.0287,0.03,0.0282,0.0298,4550069.0
2022-12-18,0.0299,0.0301,0.0295,0.0299,1721358.0
2022-12-19,0.03,0.0305,0.028,0.0283,4840658.0
2022-12-20,0.0282,0.03,0.0282,0.0297,3019164.0
2022-12-21,0.0295,0.0296,0.0289,0.0292,1842090.0
2022-12-22,0.0291,0.0295,0.0282,0.029,1948374.0
2022-12-23,0.029,0.0295,0.0287,0.0293,2269996.0
2022-12-24,0.0294,0.0307,0.0293,0.0296,9752857.0
2022-12-25,0.0297,0.0298,0.0292,0.0294,1964796.0
2022-12-26,0.0294,0.031,0.0292,0.0302,12557274.0
2022-12-27,0.0302,0.0306,0.0289,0.029,9122929.0
2022-12-28,0.029,0.0291,0.0283,0.0283,4052346.0
2022-12-29,0.0284,0.0313,0.0281,0.0285,20212451.0
2022-12-30,0.0284,0.0286,0.0276,0.0281,3490554.0
