date,open,high,low,close,volume
2022-08-23,0.02171,0.02244,0.02106,0.02234,223756490.9
2022-08-24,0.02235,0.02269,0.02154,0.02191,205432254.5
2022-08-25,0.02192,0.02278,0.02186,0.0222,222469232.1
2022-08-26,0.0222,0.02244,0.01965,0.01989,345938442.6
2022-08-27,0.01989,0.02047,0.01963,0.02017,185993608.7
2022-08-28,0.02016,0.0204,0.01898,0.01911,180306171.6
2022-08-29,0.01912,0.0211,0.01884,0.02087,254978736.8
2022-08-30,0.02086,0.02144,0.01968,0.02053,255366157.6
2022-08-31,0.02053,0.02213,0.02052,0.02127,309810303.6
2022-09-01,0.02127,0.02173,0.02017,0.02086,200532749.5
2022-09-02,0.02087,0.02137,0.02012,0.02039,195005701.2
2022-09-03,0.02039,0.02055,0.02,0.02016,114600080.1
2022-09-04,0.02017,0.02106,0.01991,0.02104,174771430.2
2022-09-05,0.02104,0.0217,0.02035,0.02068,251117376.7
2022-09-06,0.02069,0.02192,0.01859,0.01871,563990426.2
2022-09-07,0.01872,0.02028,0.01846,0.01981,302498125.8
2022-09-08,0.01981,0.02034,0.01953,0.01998,257891256.0
2022-09-09,0.01998,0.02216,0.01994,0.02178,383955555.6
2022-09-10,0.02177,0.02224,0.02136,0.02173,350006795.9
2022-09-11,0.02173,0.02223,0.02114,0.02164,289564925.5
2022-09-12,0.02165,0.02376,0.02121,0.023,688409719.1
2022-09-13,0.023,0.0236,0.02047,0.02089,577766768.8
2022-09-14,0.02089,0.02125,0.02022,0.02098,247239835.6
2022-09-15,0.02097,0.02102,0.01995,0.02027,322936338.5
2022-09-16,0.02027,0.02042,0.01975,0.02039,186163463.2
2022-09-17,0.0204,0.02121,0.0203,0.02108,113972959.4
2022-09-18,0.02108,0.02118,0.01833,0.01875,291976689.8
2022-09-19,0.01876,0.01954,0.0183,0.01921,280571101.3
2022-09-20,0.01922,0.01934,0.01857,0.01886,243997393.2
2022-09-21,0.01887,0.01987,0.01792,0.01822,330823101.2
2022-09-22,0.01822,0.01993,0.01816,0.0197,249957976.7
2022-09-23,0.01971,0.02011,0.01875,0.0195,235437962.5
2022-09-24,0.0195,0.01968,0.01913,0.01928,110746793.7
2022-09-25,0.01928,0.01946,0.01832,0.01846,118614756.0
2022-09-26,0.01846,0.01936,0.01825,0.01915,153361282.8
2022-09-27,0.01915,0.02183,0.01913,0.01954,581561671.9
2022-09-28,0.01955,0.0199,0.01886,0.01964,217129010.5
2022-09-29,0.01964,0.02042,0.01916,0.02017,201946612.5
2022-09-30,0.02018,0.0203,0.0195,0.01979,195641370.2
2022-10-01,0.01978,0.02019,0.01967,0.01994,111439182.5
2022-10-02,0.01993,0.02004,0.01916,0.01928,123766992.4
2022-10-03,0.01928,0.01993,0.01897,0.01978,144838794.5
2022-10-04,0.01979,0.02027,0.01967,0.01999,129684436.8
2022-10-05,0.01999,0.02,0.01919,0.01974,143102215.4
2022-10-06,0.01974,0.01993,0.01928,0.01946,153806481.1
2022-10-07,0.01945,0.01951,0.01884,0.01922,98598531.9
2022-10-08,0.01922,0.0194,0.01894,0.01911,59303510.6
2022-10-09,0.0191,0.01928,0.01902,0.01918,56076946.0
2022-10-10,0.01917,0.01964,0.01849,0.01854,125632479.1
2022-10-11,0.01854,0.01861,0.01795,0.01813,141825620.2
2022-10-12,0.01812,0.01832,0.01792,0.01805,98897629.0
2022-10-13,0.01804,0.01825,0.01624,0.01799,356495318.3
2022-10-14,0.01799,0.01864,0.01744,0.01772,131333124.5
2022-10-15,0.01772,0.0181,0.01755,0.01767,73051659.1
2022-10-16,0.01767,0.01849,0.01767,0.01815,73759809.4
2022-10-17,0.01816,0.01864,0.01797,0.0185,84304280.9
2022-10-18,0.01851,0.01873,0.01773,0.0181,116863689.8
2022-10-19,0.01811,0.01819,0.01692,0.01712,147598900.8
2022-10-20,0.01712,0.01728,0.01635,0.01664,275897455.5
2022-10-21,0.01664,0.01673,0.0158,0.01656,170685445.1
2022-10-22,0.01658,0.01668,0.01627,0.01648,103400662.1
2022-10-23,0.01649,0.01719,0.01634,0.01706,192087373.1
2022-10-24,0.01707,0.0172,0.01642,0.01671,121322748.8
2022-10-25,0.01672,0.01788,0.01659,0.01729,181335172.3
2022-10-26,0.01732,0.01809,0.01729,0.01772,172772238.0
2022-10-27,0.01772,0.01859,0.01767,0.01793,246525422.8
2022-10-28,0.01793,0.0198,0.01774,0.01922,262076146.6
2022-10-29,0.01921,0.02019,0.01905,0.01946,321502454.2
2022-10-30,0.01945,0.02042,0.01879,0.01915,232939607.3
2022-10-31,0.01915,0.01952,0.01861,0.01905,219126016.8
2022-11-01,0.01906,0.01973,0.01868,0.01876,179635201.0
2022-11-02,0.01876,0.0195,0.01811,0.0187,260078782.2
2022-11-03,0.0187,0.02072,0.01864,0.02011,296292430.0
2022-11-04,0.02011,0.02191,0.01996,0.0215,408278024.1
2022-11-05,0.02149,0.02197,0.02073,0.02123,262075898.8
2022-11-06,0.02123,0.02148,0.01957,0.01961,256374990.5
2022-11-07,0.0196,0.02169,0.01913,0.02107,381684579.5
2022-11-08,0.02108,0.02126,0.01459,0.01718,971193218.9
2022-11-09,0.01718,0.01742,0.01269,0.01374,1023254445.9
2022-11-10,0.01375,0.01673,0.01329,0.01596,1002399374.9
2022-11-11,0.01596,0.01613,0.01428,0.01532,303349588.4
2022-11-12,0.01532,0.01535,0.01413,0.01446,221362487.5
2022-11-13,0.01445,0.0149,0.01364,0.0138,263745529.9
2022-11-14,0.0138,0.01459,0.01305,0.01412,323364372.4
2022-11-15,0.01411,0.01469,0.01387,0.01438,189857218.2
2022-11-16,0.01437,0.01454,0.01364,0.01403,134199681.0
2022-11-17,0.01402,0.01431,0.01378,0.01391,128793782.0
2022-11-18,0.0139,0.01429,0.0136,0.01391,129993910.4
2022-11-19,0.01391,0.01419,0.0135,0.01416,95443217.1
2022-11-20,0.01416,0.01436,0.01327,0.01341,143756880.2
2022-11-21,0.01342,0.01358,0.01289,0.01339,158411349.1
2022-11-22,0.01338,0.01396,0.01277,0.01394,163051952.6
2022-11-23,0.01394,0.01461,0.01383,0.01455,192276382.1
2022-11-24,0.01455,0.01467,0.01415,0.0144,123244469.5
2022-11-25,0.01439,0.01441,0.01375,0.0143,92730272.4
2022-11-26,0.01429,0.01471,0.014,0.01411,146610450.4
