date,open,high,low,close,volume
2022-08-23,0.2525,0.2622,0.2468,0.2596,8504212.0
2022-08-24,0.2599,0.2658,0.2517,0.2542,7901004.0
2022-08-25,0.2543,0.2634,0.2542,0.2597,5317601.0
2022-08-26,0.2597,0.2661,0.2352,0.2381,13589888.0
2022-08-27,0.238,0.2419,0.234,0.2366,5434676.0
2022-08-28,0.2366,0.2436,0.2324,0.2332,5692562.0
2022-08-29,0.2334,0.247,0.23,0.2463,6418862.0
2022-08-30,0.2459,0.2499,0.2342,0.2415,6625288.0
2022-08-31,0.2418,0.2507,0.2418,0.2445,6088560.0
2022-09-01,0.2444,0.2502,0.2388,0.2499,5009461.0
2022-09-02,0.2501,0.2521,0.2378,0.2407,7137582.0
2022-09-03,0.2408,0.2421,0.2364,0.2406,3909790.0
2022-09-04,0.2405,0.2469,0.237,0.244,8371686.0
2022-09-05,0.2442,0.2464,0.2367,0.2429,5761850.0
2022-09-06,0.2431,0.251,0.2227,0.223,12439492.0
2022-09-07,0.223,0.234,0.2167,0.2308,6348864.0
2022-09-08,0.2309,0.242,0.2276,0.2418,10171098.0
2022-09-09,0.2419,0.2562,0.2413,0.2537,10440092.0
2022-09-10,0.2539,0.2594,0.2485,0.2524,10910213.0
2022-09-11,0.2525,0.2574,0.2464,0.2529,7935562.0
2022-09-12,0.2528,0.2597,0.2478,0.2531,9644117.0
2022-09-13,0.2533,0.2546,0.2286,0.2296,15091285.0
2022-09-14,0.2296,0.2367,0.2281,0.2352,6299371.0
2022-09-15,0.2349,0.2357,0.2233,0.2267,10967822.0
2022-09-16,0.2268,0.2315,0.2238,0.2309,6843676.0
2022-09-17,0.2308,0.2373,0.2301,0.2368,4060332.0
2022-09-18,0.2368,0.237,0.2135,0.2191,8115420.0
2022-09-19,0.2188,0.2225,0.2104,0.221,8486232.0
2022-09-20,0.2213,0.2233,0.2157,0.2192,7683099.0
2022-09-21,0.2193,0.2314,0.2072,0.2115,13859166.0
2022-09-22,0.2112,0.2297,0.2112,0.2276,8264820.0
2022-09-23,0.2275,0.2326,0.2188,0.228,7790667.0
2022-09-24,0.2284,0.231,0.221,0.2221,5820815.0
2022-09-25,0.222,0.2252,0.2137,0.2164,5336648.0
2022-09-26,0.2165,0.2208,0.2102,0.2203,7363468.0
2022-09-27,0.2204,0.2327,0.2162,0.2191,12715583.0
2022-09-28,0.2192,0.2249,0.2107,0.2235,6707988.0
2022-09-29,0.2237,0.2258,0.2182,0.2256,6137953.0
2022-09-30,0.2258,0.2294,0.2223,0.2242,8451683.0
2022-10-01,0.2243,0.2279,0.2209,0.2217,3245468.0
2022-10-02,0.2218,0.2247,0.2145,0.2154,5806648.0
2022-10-03,0.2154,0.2246,0.2129,0.2237,3993679.0
2022-10-04,0.2238,0.2304,0.2229,0.2282,3446178.0
2022-10-05,0.2282,0.2287,0.2215,0.2264,3598054.0
2022-10-06,0.2266,0.2301,0.2217,0.223,4293879.0
2022-10-07,0.2229,0.227,0.2206,0.2237,3825035.0
2022-10-08,0.2237,0.2275,0.222,0.2242,2729808.0
2022-10-09,0.2242,0.2282,0.2238,0.2254,3986164.0
2022-10-10,0.2254,0.2322,0.2163,0.2164,6526838.0
2022-10-11,0.2165,0.2178,0.2108,0.2147,4168303.0
2022-10-12,0.2148,0.2167,0.212,0.214,1816098.0
2022-10-13,0.2137,0.2142,0.1936,0.2086,11271447.0
2022-10-14,0.2087,0.2157,0.2039,0.2067,4785114.0
2022-10-15,0.2066,0.2102,0.2047,0.2066,3380581.0
2022-10-16,0.2065,0.2127,0.2064,0.21,3480133.0
2022-10-17,0.2098,0.2154,0.2082,0.2145,3052162.0
2022-10-18,0.2145,0.2177,0.2081,0.2127,5162439.0
2022-10-19,0.2126,0.2182,0.2023,0.2045,9341864.0
2022-10-20,0.2046,0.2108,0.2024,0.2051,4144195.0
2022-10-21,0.2049,0.2088,0.198,0.2076,4315016.0
2022-10-22,0.2084,0.2103,0.2055,0.2088,1689986.0
2022-10-23,0.2088,0.2166,0.206,0.2144,6984581.0
2022-10-24,0.2144,0.2153,0.2084,0.2133,4089265.0
2022-10-25,0.2133,0.2226,0.2117,0.2181,6663131.0
2022-10-26,0.2181,0.224,0.218,0.2228,4801290.0
2022-10-27,0.2226,0.2294,0.2169,0.2176,6411492.0
2022-10-28,0.2177,0.226,0.2145,0.2236,7542883.0
2022-10-29,0.2236,0.2334,0.2232,0.2284,7993171.0
2022-10-30,0.2282,0.2338,0.2214,0.2252,8058264.0
2022-10-31,0.2251,0.2306,0.2203,0.2233,6259134.0
2022-11-01,0.2233,0.2275,0.2212,0.2214,3732399.0
2022-11-02,0.2215,0.2243,0.2106,0.2147,12746706.0
2022-11-03,0.2146,0.2287,0.214,0.2248,8652233.0
2022-11-04,0.2249,0.2392,0.2234,0.2386,8668576.0
2022-11-05,0.2388,0.2485,0.2355,0.2409,12927019.0
2022-11-06,0.2409,0.2555,0.2255,0.2262,16211969.0
2022-11-07,0.2261,0.2364,0.2215,0.2289,11492690.0
2022-11-08,0.2289,0.2326,0.1708,0.1935,27407957.0
2022-11-09,0.1935,0.2,0.1573,0.1608,21459860.31
