date,open,high,low,close,volume
2022-08-23,1.168,1.355,1.12,1.333,64350067.0
2022-08-24,1.332,1.338,1.22,1.226,39145651.73
2022-08-25,1.227,1.283,1.162,1.178,25533498.42
2022-08-26,1.178,1.186,1.002,1.019,39647094.69
2022-08-27,1.019,1.053,0.989,1.023,26776588.01
2022-08-28,1.023,1.089,1.013,1.054,27938924.44
2022-08-29,1.054,1.2,1.026,1.173,47012266.34
2022-08-30,1.173,1.198,1.059,1.084,40881238.82
2022-08-31,1.084,1.216,1.084,1.129,37007506.01
2022-09-01,1.13,1.192,1.072,1.178,31040357.82
2022-09-02,1.178,1.308,1.144,1.232,47970369.16
2022-09-03,1.232,1.246,1.169,1.194,17821047.73
2022-09-04,1.193,1.223,1.128,1.175,19831287.43
2022-09-05,1.175,1.21,1.111,1.198,24179431.42
2022-09-06,1.197,1.27,1.081,1.095,51854806.49
2022-09-07,1.094,1.187,1.064,1.172,28846860.39
2022-09-08,1.172,1.202,1.114,1.178,27060981.25
2022-09-09,1.179,1.466,1.178,1.411,63109854.4
2022-09-10,1.412,1.479,1.335,1.387,44461600.56
2022-09-11,1.387,1.458,1.327,1.401,34453383.13
2022-09-12,1.402,1.43,1.255,1.267,34824409.84
2022-09-13,1.267,1.333,1.15,1.183,49499193.39
2022-09-14,1.183,1.237,1.132,1.215,36231542.78
2022-09-15,1.215,1.288,1.112,1.132,55461566.77
2022-09-16,1.132,1.142,1.058,1.112,28988579.73
2022-09-17,1.112,1.137,1.085,1.131,14271506.09
2022-09-18,1.131,1.139,0.901,0.93,24875331.52
2022-09-19,0.93,0.982,0.888,0.953,37455090.52
2022-09-20,0.953,0.961,0.876,0.919,26701462.69
2022-09-21,0.919,1.064,0.862,0.891,43791472.23
2022-09-22,0.891,0.957,0.889,0.938,40693020.18
2022-09-23,0.938,0.99,0.898,0.947,28905538.79
2022-09-24,0.948,0.955,0.91,0.919,11077796.29
2022-09-25,0.918,0.952,0.885,0.905,10584782.1
2022-09-26,0.904,0.926,0.886,0.922,11727584.93
2022-09-27,0.923,0.991,0.896,0.919,21767026.87
2022-09-28,0.919,0.924,0.865,0.909,15786888.08
2022-09-29,0.909,0.926,0.882,0.905,11384250.86
2022-09-30,0.906,0.92,0.885,0.91,11721438.16
2022-10-01,0.911,0.928,0.886,0.893,7540066.35
