date,open,high,low,close,volume
2022-08-23,0.1107,0.1126,0.109,0.1116,2515065.0
2022-08-24,0.1116,0.1148,0.1089,0.1106,4097193.0
2022-08-25,0.1106,0.1141,0.1106,0.1119,2862032.0
2022-08-26,0.1116,0.1121,0.1022,0.1024,4579786.0
2022-08-27,0.1024,0.1034,0.1003,0.1015,2400879.0
2022-08-28,0.1013,0.1042,0.101,0.1012,1681523.0
2022-08-29,0.1011,0.1071,0.0989,0.1045,3536562.0
2022-08-30,0.1045,0.1078,0.1013,0.1025,5472407.0
2022-08-31,0.1027,0.1056,0.1025,0.1033,3495453.0
2022-09-01,0.1031,0.1037,0.1006,0.1013,2741455.0
2022-09-02,0.1012,0.1039,0.1001,0.1008,4624618.0
2022-09-03,0.1007,0.1062,0.1,0.1012,5092066.0
2022-09-04,0.1011,0.1172,0.1007,0.1034,30228094.0
2022-09-05,0.1033,0.115,0.1015,0.1038,14415561.0
2022-09-06,0.1038,0.118,0.0995,0.1017,22777389.0
2022-09-07,0.1014,0.1395,0.1006,0.1148,76965500.0
2022-09-08,0.1148,0.1226,0.1089,0.1109,24476931.0
2022-09-09,0.1109,0.1162,0.1108,0.1143,8586412.0
2022-09-10,0.1142,0.1219,0.1121,0.1143,11388526.0
2022-09-11,0.1143,0.1185,0.1124,0.1154,6300001.0
2022-09-12,0.1154,0.12,0.1126,0.1141,9176972.0
2022-09-13,0.1142,0.1153,0.1067,0.1074,5569403.0
2022-09-14,0.1073,0.1098,0.1028,0.1074,6322119.0
2022-09-15,0.1074,0.1075,0.1029,0.1041,3049454.0
2022-09-16,0.1041,0.1042,0.1013,0.1032,5018617.0
2022-09-17,0.1033,0.1056,0.1027,0.1051,2307183.0
2022-09-18,0.105,0.1052,0.0984,0.099,2732945.0
2022-09-19,0.0987,0.1011,0.0962,0.1002,5289399.0
2022-09-20,0.1003,0.1015,0.0973,0.0975,3810862.0
2022-09-21,0.0975,0.103,0.0966,0.0977,5076429.0
2022-09-22,0.0977,0.1017,0.0973,0.1009,2402111.0
2022-09-23,0.101,0.1022,0.0979,0.1008,2160044.0
2022-09-24,0.1008,0.1013,0.0995,0.1,1975683.0
2022-09-25,0.1,0.105,0.0982,0.0987,3036987.0
2022-09-26,0.0987,0.1008,0.0976,0.0989,3961799.0
2022-09-27,0.0987,0.1028,0.0981,0.0991,4252229.0
2022-09-28,0.0991,0.0995,0.0968,0.0985,2111524.0
2022-09-29,0.0986,0.0996,0.0968,0.099,2931066.0
2022-09-30,0.099,0.111,0.0982,0.0987,17146386.0
2022-10-01,0.0987,0.1017,0.0974,0.0989,6349272.0
2022-10-02,0.0991,0.0992,0.0964,0.0972,3213159.0
2022-10-03,0.0971,0.0988,0.0969,0.0976,2343632.0
2022-10-04,0.0975,0.0999,0.0969,0.0993,3001722.0
2022-10-05,0.0992,0.0993,0.0966,0.098,1820706.0
2022-10-06,0.098,0.0991,0.0969,0.0974,1803266.0
2022-10-07,0.0974,0.0992,0.0966,0.0979,3129112.0
2022-10-08,0.098,0.1009,0.0973,0.098,3295492.0
2022-10-09,0.0978,0.0981,0.0944,0.0972,3260785.0
2022-10-10,0.0971,0.0976,0.095,0.095,1483202.0
2022-10-11,0.0952,0.0952,0.0897,0.092,2857030.0
2022-10-12,0.0921,0.0933,0.0919,0.0927,898979.0
2022-10-13,0.0925,0.0928,0.086,0.0914,4236817.0
2022-10-14,0.0915,0.103,0.0911,0.0957,19806611.0
2022-10-15,0.0957,0.119,0.0952,0.0986,92745253.0
2022-10-16,0.0987,0.0995,0.0941,0.0958,15603977.0
2022-10-17,0.0957,0.0962,0.0945,0.0954,2283214.0
2022-10-18,0.0954,0.0995,0.0942,0.0945,6957909.0
2022-10-19,0.0944,0.0948,0.0912,0.0916,4603704.0
2022-10-20,0.0916,0.0922,0.0896,0.0901,2673010.0
2022-10-21,0.0901,0.0933,0.088,0.0918,2551334.0
2022-10-22,0.0918,0.0955,0.0912,0.0923,8287850.0
2022-10-23,0.0922,0.0946,0.0903,0.0922,3486345.0
2022-10-24,0.0922,0.0928,0.0903,0.0918,3160740.0
2022-10-25,0.0918,0.0944,0.09,0.0919,4488625.0
2022-10-26,0.0921,0.0966,0.0919,0.0956,3883989.0
2022-10-27,0.0955,0.0969,0.0926,0.0927,4374955.0
2022-10-28,0.0927,0.0948,0.0901,0.0944,3086682.0
2022-10-29,0.0945,0.0964,0.0935,0.0944,5478444.0
2022-10-30,0.0942,0.0969,0.0931,0.0937,3434369.0
2022-10-31,0.0937,0.0951,0.0934,0.0939,1509737.0
2022-11-01,0.094,0.0948,0.0928,0.093,1322509.0
2022-11-02,0.093,0.0967,0.0902,0.0949,13194541.0
2022-11-03,0.0949,0.1066,0.0947,0.0999,42908579.0
2022-11-04,0.1,0.1111,0.0992,0.1047,23341596.0
2022-11-05,0.1047,0.1065,0.1029,0.1038,6031370.0
2022-11-06,0.1039,0.104,0.099,0.099,2257637.0
2022-11-07,0.099,0.1026,0.0978,0.0995,4857110.0
2022-11-08,0.0996,0.1002,0.0873,0.091,9906032.0
2022-11-09,0.091,0.0921,0.0771,0.0788,10579211.0
2022-11-10,0.0785,0.0888,0.0781,0.0874,7468597.0
2022-11-11,0.0875,0.0886,0.0832,0.0861,6356958.0
2022-11-12,0.0863,0.0864,0.0824,0.0828,1545455.0
2022-11-13,0.0829,0.0837,0.0792,0.0817,3719782.0
2022-11-14,0.0817,0.082,0.0768,0.0808,3041670.0
2022-11-15,0.081,0.0881,0.081,0.0833,5864265.0
2022-11-16,0.0834,0.0889,0.0798,0.081,6647381.0
2022-11-17,0.081,0.0836,0.0787,0.0796,5131426.0
2022-11-18,0.0796,0.0814,0.0796,0.0808,1889710.0
2022-11-19,0.0808,0.0932,0.0802,0.0824,37739557.0
2022-11-20,0.0825,0.0831,0.0795,0.0798,4663195.0
2022-11-21,0.0798,0.0801,0.0766,0.0777,4535153.0
2022-11-22,0.0775,0.0797,0.0766,0.0786,4583353.0
2022-11-23,0.0787,0.0851,0.0785,0.0811,8328997.0
2022-11-24,0.0811,0.0828,0.079,0.0799,3575645.0
2022-11-25,0.0798,0.0802,0.0782,0.08,2393886.0
2022-11-26,0.0802,0.0841,0.0796,0.0817,10921644.0
2022-11-27,0.0817,0.0835,0.0801,0.0804,5474962.0
2022-11-28,0.0801,0.0809,0.0772,0.0794,3422361.0
2022-11-29,0.0796,0.0824,0.0786,0.0803,5487434.0
2022-11-30,0.0804,0.0853,0.0802,0.083,8349047.0
2022-12-01,0.0832,0.0852,0.0815,0.0818,7546109.0
2022-12-02,0.0819,0.085,0.0812,0.0827,5227728.0
2022-12-03,0.0827,0.0866,0.0824,0.0838,18096454.0
2022-12-04,0.0838,0.0856,0.0825,0.0835,7108349.0
2022-12-05,0.0834,0.0852,0.0813,0.083,6274638.0
2022-12-06,0.0829,0.0873,0.0826,0.0834,16193863.0
2022-12-07,0.0834,0.0852,0.0814,0.0816,4871208.0
2022-12-08,0.0817,0.0838,0.0814,0.0835,3499198.0
2022-12-09,0.0836,0.087,0.083,0.0837,8248005.0
2022-12-10,0.0837,0.0847,0.0827,0.0833,3563898.0
2022-12-11,0.0833,0.085,0.0828,0.083,5549915.0
2022-12-12,0.0829,0.0831,0.0803,0.081,3955733.0
2022-12-13,0.081,0.0824,0.0785,0.0814,4009980.0
2022-12-14,0.0814,0.0829,0.0801,0.0812,3251409.0
2022-12-15,0.0813,0.0943,0.0799,0.0813,31077013.0
2022-12-16,0.0814,0.0825,0.0743,0.0749,10711905.0
2022-12-17,0.075,0.0756,0.0732,0.0745,3652877.0
2022-12-18,0.0746,0.0753,0.0733,0.0738,2998100.0
2022-12-19,0.0738,0.0744,0.0697,0.0698,3236984.0
2022-12-20,0.0698,0.0729,0.0693,0.0727,1949366.0
2022-12-21,0.0726,0.0728,0.0707,0.0717,2119957.0
2022-12-22,0.0717,0.0726,0.0709,0.0711,2944205.0
2022-12-23,0.0711,0.0721,0.0702,0.0719,4390256.0
2022-12-24,0.072,0.0751,0.0717,0.0725,5992527.0
2022-12-25,0.0725,0.0733,0.0706,0.0709,1944912.0
2022-12-26,0.0708,0.0724,0.0707,0.0716,1703573.0
2022-12-27,0.0717,0.0728,0.0709,0.0714,2261588.0
2022-12-28,0.0713,0.0722,0.0687,0.0697,3737515.0
2022-12-29,0.0697,0.07,0.0678,0.0684,1757009.0
2022-12-30,0.0684,0.069,0.0665,0.0669,1401551.0
2022-12-31,0.067,0.0744,0.0665,0.0675,11140605.0
2023-01-01,0.0674,0.0676,0.0666,0.067,1895800.0
2023-01-02,0.0669,0.0691,0.0668,0.0686,4604797.0
2023-01-03,0.0686,0.074,0.0683,0.0691,13718233.0
2023-01-04,0.0692,0.07,0.0687,0.0694,3436875.0
2023-01-05,0.0695,0.0698,0.0678,0.0686,3094253.0
2023-01-06,0.0687,0.0689,0.067,0.0687,3114891.0
2023-01-07,0.0687,0.0697,0.0679,0.0683,2473868.0
2023-01-08,0.0684,0.0705,0.0683,0.0702,1967429.0
2023-01-09,0.0701,0.0725,0.0701,0.0711,6231578.0
2023-01-10,0.071,0.0733,0.0708,0.0723,4622768.0
2023-01-11,0.0723,0.0727,0.0704,0.0723,2763576.0
2023-01-12,0.0725,0.0746,0.0721,0.0733,4111271.0
2023-01-13,0.0731,0.0756,0.0731,0.0753,5202560.0
2023-01-14,0.0751,0.0801,0.0749,0.0774,11734171.0
2023-01-15,0.0774,0.083,0.0755,0.0789,16029939.0
2023-01-16,0.0791,0.081,0.0771,0.0783,7556895.0
2023-01-17,0.0783,0.079,0.0772,0.0776,4521686.0
2023-01-18,0.0776,0.0789,0.0719,0.0732,6971893.0
2023-01-19,0.073,0.0767,0.073,0.0757,3285695.0
2023-01-20,0.0758,0.0808,0.0748,0.0801,6876098.0
2023-01-21,0.0803,0.0819,0.0783,0.079,7536568.0
2023-01-22,0.079,0.0817,0.0774,0.079,5374308.0
2023-01-23,0.079,0.1086,0.0789,0.0951,107924433.0
2023-01-24,0.0951,0.108,0.0851,0.087,90854252.0
2023-01-25,0.0871,0.0945,0.0843,0.0876,22506152.0
2023-01-26,0.0876,0.0895,0.0867,0.0875,8954459.0
2023-01-27,0.0876,0.0882,0.0852,0.0879,5790518.0
2023-01-28,0.0879,0.1156,0.0865,0.1,101111331.0
2023-01-29,0.1,0.1068,0.0934,0.0966,54151580.0
2023-01-30,0.0968,0.0999,0.0935,0.0947,39658558.0
2023-01-31,0.0948,0.1019,0.0935,0.0962,25624048.0
2023-02-01,0.0961,0.1015,0.0944,0.099,23256681.0
2023-02-02,0.0991,0.1012,0.0964,0.0977,17512574.0
2023-02-03,0.0977,0.1003,0.0971,0.1,8568292.0
2023-02-04,0.1,0.1019,0.0986,0.0988,7817533.0
2023-02-05,0.0989,0.1,0.0944,0.0967,6990392.0
2023-02-06,0.0968,0.0973,0.095,0.0961,5715923.0
2023-02-07,0.096,0.1026,0.096,0.1018,14816701.0
2023-02-08,0.1018,0.1023,0.0976,0.0988,7314842.0
2023-02-09,0.0988,0.0997,0.0906,0.0923,9056619.0
2023-02-10,0.0923,0.0945,0.0908,0.0941,5233818.0
2023-02-11,0.0942,0.0954,0.0931,0.0944,3121219.0
2023-02-12,0.0944,0.1024,0.0935,0.0946,14376083.0
