date,open,high,low,close,volume
2022-08-23,0.02253,0.02422,0.02198,0.02356,701902377.1
2022-08-24,0.02357,0.02477,0.02262,0.02382,431881903.9
2022-08-25,0.02383,0.02458,0.02319,0.02391,325784543.3
2022-08-26,0.02391,0.02482,0.02151,0.02186,530969899.7
2022-08-27,0.02186,0.02338,0.02141,0.02303,463356527.7
2022-08-28,0.02303,0.02312,0.02146,0.02162,320936530.7
2022-08-29,0.02163,0.02284,0.02095,0.02267,365915672.2
2022-08-30,0.02267,0.02285,0.02023,0.02038,400957780.5
2022-08-31,0.0204,0.02134,0.02001,0.02026,452753743.7
2022-09-01,0.02025,0.02086,0.01919,0.02063,442997661.1
2022-09-02,0.02065,0.02097,0.01971,0.02024,361166828.6
2022-09-03,0.02025,0.02075,0.02007,0.02059,192699875.5
2022-09-04,0.0206,0.02185,0.02052,0.02157,335077062.5
2022-09-05,0.02156,0.02174,0.02033,0.02134,250277443.8
2022-09-06,0.02134,0.02183,0.01883,0.01917,453901792.9
2022-09-07,0.01918,0.02221,0.01885,0.02145,384175038.1
2022-09-08,0.02145,0.02156,0.02018,0.0209,364679780.2
2022-09-09,0.02093,0.02423,0.0209,0.02351,855714604.7
2022-09-10,0.02351,0.02384,0.02253,0.02305,443451271.1
2022-09-11,0.02308,0.02516,0.0226,0.02332,615396118.3
2022-09-12,0.02333,0.02407,0.02211,0.0228,582527651.7
2022-09-13,0.02282,0.02284,0.02021,0.02043,452011747.7
2022-09-14,0.02044,0.02092,0.01973,0.0206,294712608.1
2022-09-15,0.02059,0.02061,0.01921,0.01964,512802339.7
2022-09-16,0.01965,0.02079,0.01941,0.02055,353329569.3
2022-09-17,0.02057,0.02117,0.02041,0.02103,156994423.9
2022-09-18,0.02103,0.022,0.01851,0.01917,558818470.8
2022-09-19,0.01917,0.02274,0.01872,0.0223,833134691.6
2022-09-20,0.02227,0.02354,0.02159,0.02253,907932227.8
2022-09-21,0.02254,0.02265,0.02034,0.02112,707497139.4
2022-09-22,0.02111,0.02231,0.02106,0.02213,421780185.3
2022-09-23,0.02213,0.02418,0.02175,0.02356,677351885.6
2022-09-24,0.02357,0.024,0.02258,0.02275,441037176.1
2022-09-25,0.02275,0.0242,0.02228,0.02274,419799260.3
2022-09-26,0.02272,0.02361,0.02209,0.02306,365139481.6
2022-09-27,0.02305,0.02372,0.02204,0.02234,308390435.5
2022-09-28,0.02236,0.02486,0.02157,0.02383,621512425.7
2022-09-29,0.02382,0.02408,0.02239,0.02298,280587046.0
2022-09-30,0.02304,0.02323,0.02243,0.02279,272284470.9
2022-10-01,0.02278,0.02291,0.022,0.0223,192303812.4
2022-10-02,0.02229,0.02265,0.02176,0.02185,190811801.1
2022-10-03,0.02186,0.02265,0.02157,0.02256,156806809.2
2022-10-04,0.02255,0.02303,0.0224,0.02265,151604643.2
2022-10-05,0.02265,0.02274,0.02192,0.02234,146576770.9
2022-10-06,0.02235,0.02261,0.02159,0.02192,158281622.4
2022-10-07,0.02191,0.02212,0.02139,0.02185,123779289.9
2022-10-08,0.02184,0.02212,0.02134,0.02161,73471812.1
2022-10-09,0.02161,0.02188,0.02146,0.02177,109185611.2
2022-10-10,0.02176,0.02225,0.02146,0.02172,244719078.6
2022-10-11,0.02171,0.02279,0.02117,0.0222,378357757.1
2022-10-12,0.02221,0.02245,0.0207,0.02101,254837343.1
2022-10-13,0.02101,0.02107,0.01817,0.0198,698669049.6
