date,open,high,low,close,volume
2022-08-23,0.763,0.777,0.733,0.768,2215643.66
2022-08-24,0.768,0.779,0.745,0.769,2367113.97
2022-08-25,0.77,0.813,0.764,0.784,2915204.15
2022-08-26,0.783,0.818,0.685,0.695,3188834.99
2022-08-27,0.694,0.731,0.659,0.693,4330639.48
2022-08-28,0.694,0.72,0.655,0.657,2200834.86
2022-08-29,0.66,0.769,0.653,0.725,6317085.11
2022-08-30,0.724,0.734,0.676,0.691,1778237.97
2022-08-31,0.691,0.718,0.68,0.688,1975281.72
2022-09-01,0.689,0.697,0.657,0.687,1614707.32
2022-09-02,0.687,0.709,0.671,0.681,1988848.87
2022-09-03,0.68,0.724,0.66,0.69,3250958.09
2022-09-04,0.69,0.694,0.674,0.691,1070857.49
2022-09-05,0.692,0.696,0.667,0.687,1640651.62
2022-09-06,0.689,0.717,0.641,0.644,2803049.56
2022-09-07,0.642,0.689,0.626,0.662,1763425.22
2022-09-08,0.662,0.729,0.66,0.689,5418493.87
2022-09-09,0.69,0.734,0.681,0.72,2729169.6
2022-09-10,0.72,0.74,0.703,0.72,2051080.91
2022-09-11,0.72,0.77,0.7,0.736,3748275.28
2022-09-12,0.737,0.743,0.684,0.708,2901568.58
2022-09-13,0.706,0.706,0.643,0.649,2839596.47
2022-09-14,0.649,0.672,0.619,0.662,2030791.37
2022-09-15,0.662,0.665,0.607,0.609,2205796.38
2022-09-16,0.609,0.617,0.591,0.607,1377644.34
2022-09-17,0.607,0.629,0.6,0.619,856726.42
2022-09-18,0.618,0.619,0.553,0.561,1599134.44
2022-09-19,0.56,0.571,0.54,0.563,1351911.09
2022-09-20,0.563,0.716,0.556,0.562,9263718.91
2022-09-21,0.562,0.602,0.551,0.561,2399116.69
2022-09-22,0.561,0.592,0.555,0.587,1258369.57
2022-09-23,0.587,0.599,0.56,0.59,1196372.67
2022-09-24,0.591,0.628,0.579,0.583,1497344.58
2022-09-25,0.583,0.595,0.565,0.569,721288.7
2022-09-26,0.57,0.58,0.554,0.573,1306417.57
2022-09-27,0.571,0.596,0.558,0.568,1429945.95
2022-09-28,0.568,0.571,0.536,0.552,1718666.99
2022-09-29,0.553,0.58,0.539,0.561,1663584.85
2022-09-30,0.56,0.66,0.557,0.574,10488718.5
2022-10-01,0.574,0.579,0.559,0.564,953203.23
2022-10-02,0.564,0.613,0.551,0.554,2059772.36
2022-10-03,0.554,0.582,0.55,0.565,1849458.5
2022-10-04,0.564,0.605,0.561,0.585,1969614.14
2022-10-05,0.586,0.615,0.565,0.584,3047901.01
2022-10-06,0.584,0.62,0.577,0.583,2732038.99
2022-10-07,0.583,0.587,0.568,0.577,1209745.41
2022-10-08,0.575,0.589,0.567,0.572,884917.42
2022-10-09,0.571,0.582,0.567,0.572,462928.8
2022-10-10,0.573,0.577,0.554,0.557,851026.44
2022-10-11,0.556,0.556,0.533,0.539,1058674.89
2022-10-12,0.538,0.542,0.53,0.534,703984.55
2022-10-13,0.535,0.536,0.481,0.514,1720750.54
2022-10-14,0.515,0.568,0.505,0.512,2316562.5
2022-10-15,0.513,0.624,0.509,0.543,4297026.68
2022-10-16,0.542,0.963,0.542,0.649,49633000.24
2022-10-17,0.647,0.718,0.606,0.62,11211874.68
2022-10-18,0.62,0.634,0.582,0.598,4401968.14
2022-10-19,0.597,0.601,0.544,0.548,2956841.5
2022-10-20,0.547,0.59,0.537,0.557,2953608.75
2022-10-21,0.557,0.571,0.517,0.541,2031660.69
2022-10-22,0.542,0.585,0.539,0.544,3295213.02
2022-10-23,0.543,0.57,0.537,0.551,2372284.61
2022-10-24,0.551,0.574,0.53,0.545,4818567.62
2022-10-25,0.544,0.559,0.53,0.543,3939688.47
2022-10-26,0.544,0.576,0.541,0.564,3715960.7
2022-10-27,0.565,0.59,0.54,0.541,4441996.7
2022-10-28,0.54,0.564,0.533,0.553,2589946.39
2022-10-29,0.554,0.568,0.546,0.551,2802274.18
2022-10-30,0.552,0.565,0.54,0.542,4036385.61
2022-10-31,0.542,0.551,0.533,0.539,2200242.79
2022-11-01,0.537,0.589,0.536,0.547,4456311.42
2022-11-02,0.549,0.55,0.522,0.527,2608938.09
2022-11-03,0.527,0.574,0.526,0.553,4828187.94
2022-11-04,0.554,0.688,0.553,0.6,18562763.59
2022-11-05,0.602,0.659,0.587,0.607,7994989.2
2022-11-06,0.607,0.613,0.558,0.567,3616207.88
2022-11-07,0.567,0.585,0.546,0.56,4756212.33
2022-11-08,0.56,0.568,0.388,0.44,12461733.01
2022-11-09,0.439,0.443,0.309,0.331,11815685.25
2022-11-10,0.332,0.407,0.327,0.388,7580256.2
2022-11-11,0.388,0.498,0.369,0.474,21468186.45
2022-11-12,0.475,0.528,0.402,0.405,10900361.64
2022-11-13,0.404,0.57,0.403,0.495,27532424.14
2022-11-14,0.49501,0.53701,0.43234,0.486,11909382.88
2022-11-15,0.48583,0.515,0.45501,0.47216,9441883.83
2022-11-16,0.47221,0.49,0.444,0.46414,8452665.84
2022-11-17,0.46414,0.475,0.44517,0.45514,4266410.2
2022-11-18,0.45555,0.47899,0.45011,0.45562,3163954.32
2022-11-19,0.45508,0.475,0.44887,0.45893,3070547.12
2022-11-20,0.45927,0.47,0.39416,0.395,6347619.25
2022-11-21,0.395,0.40876,0.38043,0.40205,4763302.46
2022-11-22,0.40162,0.41287,0.37553,0.397,2925011.94
2022-11-23,0.39712,0.42352,0.3924,0.41875,2878881.98
2022-11-24,0.41832,0.41981,0.39942,0.40868,2129205.28
2022-11-25,0.40866,0.448,0.39184,0.41975,4037798.13
2022-11-26,0.42004,0.445,0.418,0.429,3856703.62
2022-11-27,0.429,0.4642,0.42252,0.43052,3721169.22
2022-11-28,0.43051,0.44124,0.40476,0.42008,2670864.24
2022-11-29,0.4198,0.505,0.41547,0.46465,14481369.94
2022-11-30,0.46434,0.6099,0.44628,0.52671,40804529.59
2022-12-01,0.52651,0.53526,0.484,0.48722,6485112.78
2022-12-02,0.4874,0.50393,0.47,0.48761,4286041.28
2022-12-03,0.487,0.49775,0.45191,0.45816,2382198.95
2022-12-04,0.45852,0.50777,0.45608,0.48581,2771507.03
2022-12-05,0.48629,0.538,0.47575,0.50227,13856720.93
2022-12-06,0.50223,0.526,0.4755,0.48258,4618171.03
2022-12-07,0.48259,0.49033,0.45392,0.45568,3866579.06
2022-12-08,0.45599,0.46992,0.44881,0.4674,2305010.65
2022-12-09,0.46667,0.47943,0.45456,0.4593,2514625.96
2022-12-10,0.459,0.47326,0.45694,0.45969,1515422.37
2022-12-11,0.46018,0.49999,0.4532,0.45746,3041229.04
2022-12-12,0.4578,0.47846,0.43874,0.46128,2754915.4
