date,open,high,low,close,volume
2022-08-23,0.1084,0.1102,0.106,0.1093,2722125.0
2022-08-24,0.1094,0.1099,0.0982,0.1066,5998487.0
2022-08-25,0.1065,0.11,0.1064,0.1078,2275796.0
2022-08-26,0.108,0.1083,0.0992,0.0996,3119475.0
2022-08-27,0.0998,0.1134,0.0982,0.1016,14793916.0
2022-08-28,0.1016,0.1042,0.1,0.1,2640924.0
2022-08-29,0.1,0.1041,0.0989,0.1037,2584857.0
2022-08-30,0.1034,0.1061,0.098,0.0995,3373814.0
2022-08-31,0.0997,0.1022,0.0987,0.0995,2845331.0
2022-09-01,0.0996,0.1011,0.0981,0.1005,2121288.0
2022-09-02,0.1006,0.1022,0.0997,0.1004,2038004.0
2022-09-03,0.1002,0.1016,0.0998,0.1007,962761.0
2022-09-04,0.1009,0.1037,0.1006,0.1036,3546216.0
2022-09-05,0.1037,0.1066,0.1014,0.1021,4338039.0
2022-09-06,0.102,0.1038,0.0964,0.0969,3944095.0
2022-09-07,0.0968,0.0996,0.0946,0.0988,3400859.0
2022-09-08,0.0987,0.105,0.0978,0.1006,6630852.0
2022-09-09,0.1007,0.104,0.1003,0.1026,5228528.0
2022-09-10,0.1026,0.1046,0.1019,0.1035,5527502.0
2022-09-11,0.1036,0.1196,0.1009,0.1016,22128954.0
2022-09-12,0.1015,0.1033,0.1,0.1021,7747556.0
2022-09-13,0.1021,0.1028,0.0956,0.0959,7000885.0
2022-09-14,0.0958,0.1006,0.0929,0.0963,8226321.0
2022-09-15,0.0962,0.1176,0.0924,0.0967,44488351.0
2022-09-16,0.0967,0.098,0.0925,0.0948,5546213.0
2022-09-17,0.0948,0.0991,0.0947,0.0975,3237981.0
2022-09-18,0.0975,0.101,0.092,0.092,6019290.0
2022-09-19,0.092,0.095,0.0902,0.0942,2977640.0
2022-09-20,0.0942,0.0958,0.0912,0.0919,3113049.0
2022-09-21,0.0918,0.0948,0.0893,0.0899,4662571.0
2022-09-22,0.0898,0.0937,0.0895,0.0931,3348866.0
2022-09-23,0.0931,0.0944,0.0891,0.092,4141788.0
2022-09-24,0.092,0.0934,0.0907,0.0908,2322919.0
2022-09-25,0.0909,0.0915,0.0894,0.0901,1755566.0
2022-09-26,0.0901,0.0915,0.0891,0.0904,2224253.0
2022-09-27,0.0904,0.0926,0.0886,0.0898,4105839.0
2022-09-28,0.0899,0.0905,0.0872,0.0894,2195482.0
2022-09-29,0.0895,0.0931,0.0885,0.0909,4443401.0
2022-09-30,0.091,0.0957,0.0901,0.0915,9616711.0
2022-10-01,0.0915,0.0959,0.0885,0.0888,8832482.0
2022-10-02,0.0888,0.0892,0.0872,0.0882,3150157.0
2022-10-03,0.0882,0.0904,0.0876,0.09,3374391.0
2022-10-04,0.0901,0.0907,0.0888,0.0901,3612517.0
2022-10-05,0.0901,0.0902,0.0875,0.0885,1831512.0
2022-10-06,0.0886,0.0893,0.0879,0.0881,2278647.0
2022-10-07,0.0881,0.0911,0.0868,0.0879,3862093.0
2022-10-08,0.0879,0.0881,0.084,0.0856,3165703.0
2022-10-09,0.0856,0.0858,0.0848,0.085,1850721.0
2022-10-10,0.085,0.0863,0.0818,0.0819,3241347.0
2022-10-11,0.0819,0.082,0.0794,0.0795,2854073.0
2022-10-12,0.0795,0.0812,0.0765,0.0768,3993400.0
2022-10-13,0.0768,0.0768,0.0703,0.0742,6063484.0
2022-10-14,0.0742,0.209,0.074,0.1603,339849579.0
2022-10-15,0.1603,0.4845,0.1377,0.3278,714971034.0
2022-10-16,0.3276,0.3836,0.2065,0.2153,279034683.0
2022-10-17,0.2156,0.317,0.1858,0.2577,249252319.0
2022-10-18,0.2577,0.296,0.2251,0.242,218275563.0
2022-10-19,0.242,0.2492,0.2026,0.2089,50657542.0
2022-10-20,0.2089,0.2577,0.2039,0.2392,80603486.0
2022-10-21,0.2392,0.262,0.226,0.2274,85713384.0
2022-10-22,0.2276,0.2295,0.2067,0.214,32596950.0
2022-10-23,0.2142,0.2345,0.2086,0.2124,42575364.0
2022-10-24,0.2122,0.2174,0.1906,0.1915,25031676.0
2022-10-25,0.1914,0.2005,0.1854,0.1864,28314260.0
2022-10-26,0.1866,0.1932,0.1745,0.1764,27080122.0
2022-10-27,0.1767,0.1895,0.1669,0.1784,53575338.0
2022-10-28,0.1783,0.2026,0.1714,0.1808,75098297.0
2022-10-29,0.1806,0.1823,0.1619,0.1635,29689315.0
2022-10-30,0.1635,0.1683,0.1532,0.1549,25752247.0
2022-10-31,0.1549,0.1712,0.1517,0.155,34833108.0
2022-11-01,0.155,0.196,0.1531,0.1811,115668936.0
2022-11-02,0.1812,0.1846,0.1561,0.1603,68142551.0
2022-11-03,0.1603,0.1685,0.1536,0.157,35479294.0
2022-11-04,0.157,0.1633,0.1559,0.1613,25799919.0
2022-11-05,0.1614,0.1716,0.1612,0.1626,35223044.0
2022-11-06,0.1627,0.288,0.1613,0.2451,275257715.0
2022-11-07,0.2452,0.265,0.19,0.1985,184816869.0
2022-11-08,0.1986,0.2026,0.1287,0.1471,81258590.0
2022-11-09,0.1475,0.1499,0.1175,0.1223,55670152.0
2022-11-10,0.1223,0.1944,0.1208,0.1688,154974670.0
2022-11-11,0.1685,0.1752,0.1512,0.1604,54663428.0
2022-11-12,0.1606,0.1787,0.1558,0.1676,50964950.0
2022-11-13,0.1677,0.1708,0.1513,0.1555,22337002.0
2022-11-14,0.1555,0.1663,0.1422,0.1554,34408022.0
2022-11-15,0.1553,0.165,0.1536,0.1574,21655561.0
2022-11-16,0.1574,0.1606,0.1509,0.1539,14688262.0
2022-11-17,0.1539,0.1787,0.1511,0.1616,55995447.0
2022-11-18,0.1616,0.1638,0.1552,0.1579,15026422.0
2022-11-19,0.1579,0.176,0.1551,0.1633,40755753.0
2022-11-20,0.1633,0.1814,0.1542,0.1589,51163320.0
2022-11-21,0.1588,0.1598,0.1471,0.1491,23669177.0
2022-11-22,0.149,0.1555,0.1423,0.1483,18278945.0
2022-11-23,0.1483,0.1555,0.1468,0.1512,15452828.0
2022-11-24,0.1511,0.1554,0.1481,0.1498,11132239.0
2022-11-25,0.1498,0.153,0.1437,0.1493,10427060.0
2022-11-26,0.1493,0.1554,0.148,0.1499,14091461.0
2022-11-27,0.1499,0.152,0.1457,0.1485,13815448.0
2022-11-28,0.1486,0.1589,0.1444,0.1504,21237338.0
2022-11-29,0.1505,0.1573,0.1488,0.1501,12258096.0
2022-11-30,0.1502,0.1532,0.149,0.1513,11049941.0
2022-12-01,0.1513,0.1565,0.1487,0.1501,12033544.0
2022-12-02,0.15,0.1732,0.1473,0.1542,37260281.0
2022-12-03,0.154,0.155,0.1486,0.149,8973413.0
2022-12-04,0.1489,0.1562,0.1483,0.1513,10709761.0
2022-12-05,0.1512,0.154,0.1483,0.1507,7384058.0
2022-12-06,0.1508,0.1517,0.1483,0.1494,4637171.0
2022-12-07,0.1493,0.1509,0.1404,0.1427,7310195.0
2022-12-08,0.1427,0.1445,0.1403,0.1427,4711360.0
2022-12-09,0.1428,0.1689,0.1418,0.1484,41807628.0
2022-12-10,0.1485,0.1649,0.1447,0.1451,37618057.0
2022-12-11,0.1451,0.1501,0.1445,0.1447,6908926.0
2022-12-12,0.1447,0.1447,0.1388,0.1416,8386123.0
2022-12-13,0.1415,0.1431,0.1351,0.1408,9417688.0
2022-12-14,0.1409,0.1423,0.1365,0.1398,7150007.0
2022-12-15,0.1397,0.1481,0.136,0.1434,13138428.0
2022-12-16,0.1433,0.1461,0.1226,0.1235,10321180.0
2022-12-17,0.1235,0.1265,0.1194,0.1264,6524222.0
2022-12-18,0.1263,0.1264,0.119,0.1208,4768741.0
2022-12-19,0.1208,0.1221,0.1095,0.1141,9927551.0
2022-12-20,0.1142,0.1319,0.1138,0.1203,19171542.0
2022-12-21,0.1204,0.13,0.116,0.1201,13985221.0
2022-12-22,0.12,0.133,0.1192,0.1224,25591571.0
2022-12-23,0.1224,0.1238,0.119,0.1196,4424610.0
2022-12-24,0.1197,0.1216,0.1185,0.1201,3144660.0
2022-12-25,0.1201,0.1206,0.1169,0.117,2197080.0
2022-12-26,0.117,0.1191,0.1153,0.1183,4484757.0
2022-12-27,0.1182,0.1199,0.1149,0.1162,3213643.0
2022-12-28,0.1163,0.1167,0.11,0.1111,3785725.0
2022-12-29,0.1111,0.1131,0.1075,0.1105,3382115.0
2022-12-30,0.1104,0.1129,0.105,0.1069,3682464.0
2022-12-31,0.1069,0.1104,0.106,0.1087,3123372.0
2023-01-01,0.1085,0.1092,0.1065,0.1067,1540537.0
2023-01-02,0.1066,0.1099,0.1055,0.1092,4221048.0
2023-01-03,0.1092,0.1103,0.1058,0.1086,4978258.0
2023-01-04,0.1087,0.1171,0.1069,0.113,9427644.0
2023-01-05,0.113,0.1144,0.1105,0.1112,3704415.0
2023-01-06,0.1111,0.1142,0.1084,0.1115,6467129.0
2023-01-07,0.1115,0.1129,0.1104,0.1117,2882118.0
2023-01-08,0.1117,0.1305,0.1106,0.1168,44991259.0
2023-01-09,0.1169,0.1261,0.1168,0.1193,18925533.0
2023-01-10,0.1194,0.13,0.119,0.1264,18832786.0
2023-01-11,0.1264,0.128,0.1216,0.1256,16811795.0
2023-01-12,0.1256,0.1277,0.1217,0.1262,11947906.0
2023-01-13,0.1261,0.135,0.1256,0.1312,16961614.0
2023-01-14,0.1313,0.1442,0.1287,0.135,23839298.0
2023-01-15,0.1352,0.1396,0.1315,0.1372,11566814.0
2023-01-16,0.1373,0.1418,0.1332,0.1359,15071287.0
2023-01-17,0.1359,0.157,0.1346,0.1542,19629299.0
2023-01-18,0.154,0.1541,0.123,0.1301,21654794.0
2023-01-19,0.1301,0.1322,0.1249,0.129,6695283.0
2023-01-20,0.1292,0.1415,0.1271,0.1367,9121583.0
2023-01-21,0.1367,0.14,0.131,0.1332,9420157.0
2023-01-22,0.1332,0.1526,0.131,0.1443,24195611.0
2023-01-23,0.1443,0.1508,0.1375,0.1417,17235582.0
2023-01-24,0.1417,0.1957,0.14,0.1781,83455668.0
2023-01-25,0.1781,0.184,0.1456,0.1565,52791090.0
2023-01-26,0.1565,0.161,0.1471,0.1494,18362561.0
2023-01-27,0.1493,0.1526,0.1457,0.1509,10339357.0
2023-01-28,0.1509,0.1628,0.1487,0.1528,16579930.0
2023-01-29,0.1527,0.1595,0.1521,0.1565,10196602.0
2023-01-30,0.1567,0.1581,0.141,0.1436,12304974.0
2023-01-31,0.1437,0.1603,0.1421,0.1542,17950402.0
2023-02-01,0.154,0.171,0.15,0.1609,36443233.0
2023-02-02,0.1612,0.169,0.1576,0.1596,18499655.0
2023-02-03,0.1595,0.1649,0.1547,0.1638,11058341.0
2023-02-04,0.1639,0.173,0.1608,0.1661,16717988.0
2023-02-05,0.1663,0.193,0.1655,0.1899,57113683.0
2023-02-06,0.19,0.2081,0.1768,0.1935,37689479.0
2023-02-07,0.1935,0.222,0.1931,0.2119,40702897.0
2023-02-08,0.2118,0.2127,0.1794,0.1893,21905362.0
2023-02-09,0.1895,0.1943,0.17,0.1734,23919127.0
2023-02-10,0.1735,0.193,0.1662,0.1756,27533741.0
2023-02-11,0.1755,0.1847,0.1739,0.1838,11152571.0
2023-02-12,0.184,0.1885,0.1741,0.1755,8860214.0
2023-02-13,0.1754,0.1786,0.1646,0.1726,9630782.0
2023-02-14,0.1724,0.197,0.1716,0.1842,26375799.0
2023-02-15,0.1843,0.193,0.1802,0.1909,16257604.0
2023-02-16,0.1907,0.1934,0.175,0.1767,18105466.0
2023-02-17,0.1768,0.1995,0.1761,0.1906,23058389.0
2023-02-18,0.1906,0.1995,0.1894,0.1966,12978301.0
2023-02-19,0.1967,0.2006,0.1863,0.1868,12707764.0
2023-02-20,0.187,0.197,0.182,0.1917,13401408.0
2023-02-21,0.1918,0.1964,0.1777,0.1836,17639544.0
2023-02-22,0.1836,0.1859,0.1722,0.1797,9861003.0
2023-02-23,0.1797,0.184,0.175,0.1767,5334145.0
2023-02-24,0.1768,0.1811,0.169,0.1722,7546301.0
2023-02-25,0.1722,0.1735,0.16,0.167,5265277.0
2023-02-26,0.167,0.1733,0.1661,0.1718,3341221.0
2023-02-27,0.1718,0.1729,0.1656,0.1685,5043407.0
2023-02-28,0.1685,0.175,0.1643,0.1664,8260678.0
2023-03-01,0.1666,0.1846,0.1655,0.1762,15579524.0
2023-03-02,0.176,0.1814,0.1712,0.1787,12839467.0
2023-03-03,0.1785,0.1815,0.1635,0.1663,8587282.0
2023-03-04,0.1662,0.1845,0.1657,0.171,21268921.0
2023-03-05,0.171,0.18,0.1686,0.1732,8719038.0
2023-03-06,0.1729,0.176,0.1668,0.167,5407836.0
2023-03-07,0.1669,0.1693,0.1605,0.163,5030901.0
2023-03-08,0.163,0.1646,0.1491,0.1491,7508623.0
2023-03-09,0.1493,0.155,0.1363,0.1412,8305959.0
2023-03-10,0.1412,0.1423,0.1297,0.1417,7773292.0
2023-03-11,0.1419,0.1432,0.1309,0.1354,4744375.0
2023-03-12,0.1355,0.1456,0.1349,0.1454,5163409.0
2023-03-13,0.1456,0.1578,0.1432,0.1554,12986724.0
2023-03-14,0.1553,0.1686,0.1506,0.1603,13764626.0
2023-03-15,0.1601,0.169,0.155,0.1601,16034763.0
2023-03-16,0.1601,0.1684,0.1573,0.1632,11193812.0
2023-03-17,0.1631,0.1688,0.1614,0.1686,8674800.0
2023-03-18,0.1686,0.1734,0.1572,0.1581,9686345.0
2023-03-19,0.1582,0.164,0.1574,0.1594,5974367.0
2023-03-20,0.1595,0.1606,0.1507,0.1516,7482322.0
2023-03-21,0.1515,0.1569,0.1486,0.1543,4716439.0
2023-03-22,0.1543,0.1582,0.1461,0.154,12019074.0
2023-03-23,0.1538,0.1631,0.1504,0.1555,16683199.0
2023-03-24,0.1556,0.1558,0.1463,0.1468,5005018.0
2023-03-25,0.147,0.1501,0.1442,0.1499,4511749.0
2023-03-26,0.15,0.1511,0.1471,0.15,2681847.0
2023-03-27,0.15,0.1515,0.1422,0.1433,3495595.0
2023-03-28,0.1432,0.1463,0.1398,0.145,5436335.0
2023-03-29,0.1452,0.1491,0.1403,0.1466,5879305.0
2023-03-30,0.1466,0.1491,0.1415,0.1451,5230739.0
2023-03-31,0.1452,0.1468,0.1417,0.1454,4556621.0
2023-04-01,0.1453,0.1471,0.1442,0.1453,3300378.0
2023-04-02,0.1455,0.1535,0.1445,0.148,10299700.0
2023-04-03,0.1479,0.1594,0.1407,0.1449,22380846.0
2023-04-04,0.1448,0.1502,0.1429,0.1478,6824488.0
2023-04-05,0.1479,0.1516,0.1455,0.1484,4956275.0
