date,open,high,low,close,volume
2023-11-16,0.4303,0.6425,0.4303,0.5644,76329539.0
2023-11-17,0.5638,0.6174,0.4531,0.4803,31964233.0
2023-11-18,0.4803,0.4803,0.4,0.4208,16409176.0
2023-11-19,0.421,0.4635,0.4083,0.4214,10253220.0
2023-11-20,0.4233,0.4447,0.3966,0.4056,8873769.0
2023-11-21,0.4056,0.4078,0.333,0.3374,11968887.0
2023-11-22,0.3388,0.4188,0.3374,0.3831,21309553.0
2023-11-23,0.3849,0.3849,0.351,0.3779,8219466.0
2023-11-24,0.3779,0.399,0.3532,0.3586,8086985.0
2023-11-25,0.3587,0.375,0.35,0.3571,5486197.0
2023-11-26,0.3565,0.3635,0.3255,0.3385,7960059.0
2023-11-27,0.3375,0.3434,0.307,0.32,8630201.0
2023-11-28,0.3197,0.3572,0.3166,0.3326,11359003.0
2023-11-29,0.3339,0.3347,0.31,0.3158,5097867.0
2023-11-30,0.3167,0.325,0.3066,0.3204,3831527.0
2023-12-01,0.3205,0.33,0.3131,0.3256,5633770.0
2023-12-02,0.3267,0.4233,0.325,0.3684,57997284.0
2023-12-03,0.367,0.3898,0.3509,0.3659,15761705.0
2023-12-04,0.3667,0.3849,0.3399,0.3506,8406880.0
2023-12-05,0.3505,0.3755,0.34,0.359,9504471.0
2023-12-06,0.3589,0.3674,0.3399,0.343,5488810.0
2023-12-07,0.3419,0.3554,0.3372,0.3515,5006775.0
2023-12-08,0.351,0.4256,0.3463,0.3714,23871810.0
2023-12-09,0.3714,0.3815,0.341,0.3489,8175765.0
2023-12-10,0.3487,0.3635,0.3475,0.3574,4529629.0
2023-12-11,0.3579,0.3612,0.327,0.3394,5843116.0
2023-12-12,0.3394,0.3498,0.3238,0.3294,3301924.0
2023-12-13,0.3293,0.3733,0.315,0.344,9146944.0
2023-12-14,0.3452,0.3732,0.34,0.3482,5430594.0
2023-12-15,0.3492,0.351,0.3268,0.3269,3081007.0
2023-12-16,0.327,0.35,0.3226,0.3369,3326347.0
2023-12-17,0.3371,0.3435,0.3192,0.3236,2555854.0
2023-12-18,0.3236,0.3267,0.2974,0.3132,3731105.0
2023-12-19,0.314,0.368,0.31,0.322,6710554.0
2023-12-20,0.3222,0.3389,0.3169,0.3272,4516182.0
2023-12-21,0.327,0.3371,0.3218,0.3307,3539085.0
2023-12-22,0.3307,0.3358,0.3252,0.3336,2489651.0
2023-12-23,0.3332,0.3544,0.324,0.3425,4796284.0
2023-12-24,0.3426,0.3522,0.3291,0.3331,4713903.0
2023-12-25,0.3341,0.353,0.3302,0.3477,3762265.0
2023-12-26,0.3465,0.3594,0.3264,0.3401,5039287.0
2023-12-27,0.3408,0.3465,0.325,0.3402,4304963.0
2023-12-28,0.3401,0.375,0.3326,0.3376,12371914.0
2023-12-29,0.3385,0.3409,0.325,0.3286,3792701.0
2023-12-30,0.3286,0.3317,0.319,0.3259,1731900.0
2023-12-31,0.3259,0.3358,0.3166,0.3192,2242407.0
2024-01-01,0.319,0.3331,0.3165,0.3299,2757951.0
2024-01-02,0.3304,0.35,0.3232,0.3278,3812977.0
2024-01-03,0.3278,0.3344,0.2933,0.3094,4459165.0
2024-01-04,0.3084,0.3227,0.3,0.309,2508594.0
2024-01-05,0.3097,0.315,0.2827,0.297,3123672.0
2024-01-06,0.2964,0.308,0.2826,0.2947,2460179.0
2024-01-07,0.2947,0.3491,0.275,0.2798,16084027.0
2024-01-08,0.2794,0.2946,0.2616,0.2909,4402647.0
2024-01-09,0.2908,0.2939,0.2713,0.2815,2763161.0
2024-01-10,0.2805,0.2973,0.2708,0.2934,2997594.0
2024-01-11,0.293,0.3044,0.2899,0.2971,3208240.0
2024-01-12,0.2976,0.315,0.2901,0.2928,4780772.0
2024-01-13,0.2928,0.315,0.2832,0.2984,3801732.0
2024-01-14,0.2994,0.3033,0.2926,0.2951,1848973.0
2024-01-15,0.2951,0.3385,0.2939,0.3,9101428.0
2024-01-16,0.3,0.3046,0.29,0.303,2734787.0
2024-01-17,0.303,0.307,0.2946,0.2978,1920433.0
2024-01-18,0.2981,0.2998,0.276,0.2828,1938055.0
2024-01-19,0.2819,0.2888,0.27,0.2824,2341441.0
2024-01-20,0.2832,0.2862,0.2743,0.2815,1748902.0
2024-01-21,0.2822,0.2925,0.2804,0.2846,1739220.0
2024-01-22,0.2846,0.2992,0.274,0.2803,3830306.0
2024-01-23,0.2806,0.2941,0.2666,0.2785,4504106.0
2024-01-24,0.2785,0.2921,0.2735,0.2852,2097755.0
2024-01-25,0.2852,0.346,0.281,0.2906,20283521.0
2024-01-26,0.29,0.3051,0.2852,0.2972,3923161.0
2024-01-27,0.297,0.2987,0.2882,0.2916,2520408.0
2024-01-28,0.2922,0.2958,0.2852,0.2879,1796968.0
2024-01-29,0.2877,0.31,0.2863,0.3024,3125192.0
2024-01-30,0.3018,0.3144,0.2982,0.3017,3240432.0
2024-01-31,0.3017,0.306,0.291,0.2968,1644787.0
2024-02-01,0.2969,0.3198,0.2861,0.31,3934266.0
2024-02-02,0.3105,0.3155,0.291,0.3043,3567196.0
2024-02-03,0.3045,0.3058,0.2892,0.292,1644428.0
2024-02-04,0.2926,0.293,0.286,0.2864,1025941.0
2024-02-05,0.2867,0.2942,0.2849,0.2917,1692244.0
2024-02-06,0.2922,0.2997,0.2893,0.2953,1975080.0
2024-02-07,0.2952,0.3033,0.2935,0.3003,1384708.0
2024-02-08,0.3008,0.3116,0.2981,0.3045,2001398.0
2024-02-09,0.3046,0.3099,0.3003,0.3088,2004774.0
2024-02-10,0.3087,0.3269,0.3074,0.3144,4369497.0
2024-02-11,0.3144,0.3216,0.3045,0.3073,1470057.0
2024-02-12,0.307,0.3124,0.297,0.3078,2579866.0
2024-02-13,0.3078,0.326,0.304,0.3235,4805145.0
2024-02-14,0.3229,0.33,0.3131,0.3264,3944026.0
2024-02-15,0.3265,0.341,0.3225,0.3362,3426011.0
2024-02-16,0.3355,0.3424,0.319,0.3338,2581133.0
2024-02-17,0.3333,0.3484,0.3243,0.3472,3728428.0
2024-02-18,0.3464,0.368,0.3431,0.3498,6843963.0
2024-02-19,0.3498,0.3535,0.3396,0.3488,2796427.0
2024-02-20,0.3481,0.3549,0.3258,0.3318,3666047.0
2024-02-21,0.3321,0.3361,0.3156,0.333,2237742.0
2024-02-22,0.3336,0.3468,0.3281,0.3372,1859910.0
2024-02-23,0.3371,0.3608,0.334,0.3511,2887720.0
2024-02-24,0.3511,0.3567,0.347,0.354,1750215.0
2024-02-25,0.354,0.3612,0.3444,0.3612,2338334.0
2024-02-26,0.3612,0.373,0.3517,0.3599,3965884.0
2024-02-27,0.36,0.375,0.3576,0.3713,2508680.0
2024-02-28,0.3714,0.3882,0.3365,0.3588,4838854.0
2024-02-29,0.3588,0.3938,0.3566,0.3669,9783053.0
2024-03-01,0.3667,0.3747,0.3645,0.3687,3606081.0
2024-03-02,0.3688,0.3938,0.3654,0.3886,5182130.0
2024-03-03,0.3887,0.4228,0.3759,0.4101,8277678.0
2024-03-04,0.4101,0.4142,0.3891,0.4003,5245783.0
2024-03-05,0.4003,0.4149,0.3502,0.3731,6191067.0
2024-03-06,0.3741,0.4023,0.364,0.3967,4726765.0
2024-03-07,0.3968,0.421,0.3889,0.4177,3971857.0
2024-03-08,0.4177,0.455,0.4128,0.4458,10920794.0
2024-03-09,0.4457,0.4549,0.4311,0.4426,5917536.0
2024-03-10,0.4433,0.4489,0.4166,0.425,2986111.0
2024-03-11,0.424,0.4467,0.4076,0.4387,3740416.0
2024-03-12,0.4394,0.459,0.4151,0.4481,5739050.0
2024-03-13,0.4481,0.4833,0.4469,0.469,5482607.0
2024-03-14,0.4697,0.4719,0.4323,0.4541,3786970.0
2024-03-15,0.4541,0.4707,0.4102,0.4387,6829709.0
2024-03-16,0.4375,0.456,0.3934,0.4034,4314223.0
2024-03-17,0.4032,0.4287,0.3788,0.4241,2842844.0
2024-03-18,0.4241,0.4279,0.39,0.4074,3381626.0
2024-03-19,0.4065,0.4091,0.3696,0.3777,3766233.0
2024-03-20,0.3768,0.3899,0.35,0.3874,4660133.0
2024-03-21,0.3873,0.4088,0.385,0.3979,2808612.0
2024-03-22,0.3978,0.4097,0.3834,0.4077,3358361.0
2024-03-23,0.4077,0.4298,0.4022,0.4113,3175692.0
2024-03-24,0.4116,0.4311,0.4049,0.4302,2331608.0
2024-03-25,0.4299,0.457,0.4263,0.4481,3837418.0
2024-03-26,0.4483,0.4695,0.4401,0.4543,3391157.0
2024-03-27,0.4555,0.4794,0.4435,0.4458,4634368.0
2024-03-28,0.4458,0.5627,0.44,0.4806,16139452.0
2024-03-29,0.48,0.4924,0.4365,0.4558,7062879.0
2024-03-30,0.456,0.4889,0.4549,0.4627,6188564.0
2024-03-31,0.4633,0.4934,0.4587,0.4874,4167538.0
2024-04-01,0.4875,0.5012,0.4456,0.4738,4489104.0
2024-04-02,0.4739,0.4778,0.43,0.4409,3815682.0
2024-04-03,0.4409,0.46,0.4288,0.441,2391529.0
2024-04-04,0.4403,0.4694,0.4282,0.4623,2193135.0
2024-04-05,0.4621,0.469,0.4399,0.4532,1853871.0
2024-04-06,0.4533,0.4694,0.4523,0.463,1447264.0
2024-04-07,0.4638,0.4913,0.4625,0.4857,3166459.0
2024-04-08,0.4857,0.5118,0.4821,0.498,3097972.0
2024-04-09,0.498,0.508,0.4783,0.4811,4412989.0
2024-04-10,0.48,0.4896,0.4614,0.4871,4374063.0
2024-04-11,0.4868,0.495,0.4676,0.4809,3729574.0
2024-04-12,0.4803,0.4963,0.39,0.4065,5959985.0
2024-04-13,0.4065,0.4136,0.317,0.3541,5551376.0
2024-04-14,0.3541,0.3755,0.3349,0.3679,3615062.0
2024-04-15,0.3684,0.39,0.3379,0.3429,3159969.0
2024-04-16,0.343,0.3557,0.328,0.3502,2172812.0
2024-04-17,0.3502,0.3507,0.3245,0.3371,2107076.0
2024-04-18,0.3371,0.3634,0.3344,0.3616,3397087.0
2024-04-19,0.3608,0.3896,0.3364,0.3777,4354711.0
2024-04-20,0.3781,0.4143,0.3755,0.4096,2891064.0
2024-04-21,0.4096,0.4147,0.39,0.3971,2499967.0
2024-04-22,0.3973,0.4156,0.3946,0.4025,3595318.0
2024-04-23,0.4026,0.4142,0.3972,0.4056,4558085.0
2024-04-24,0.4048,0.4191,0.3778,0.3818,4421031.0
2024-04-25,0.3818,0.3991,0.3718,0.3863,3367471.0
2024-04-26,0.387,0.3898,0.3644,0.3652,3882307.0
2024-04-27,0.3649,0.3707,0.3551,0.3682,2079807.0
2024-04-28,0.3685,0.3788,0.3466,0.3473,2455371.0
2024-04-29,0.3469,0.3524,0.3392,0.3487,2526468.0
2024-04-30,0.3488,0.3546,0.3146,0.3319,3285114.0
2024-05-01,0.3314,0.3341,0.3093,0.3339,3893445.0
2024-05-02,0.3334,0.3645,0.3218,0.3563,4263251.0
2024-05-03,0.3562,0.3785,0.3512,0.3767,3764476.0
2024-05-04,0.3767,0.3785,0.3674,0.3702,3217431.0
2024-05-05,0.3702,0.3761,0.3623,0.3665,4264318.0
2024-05-06,0.367,0.3841,0.362,0.3633,3166503.0
2024-05-07,0.3633,0.3737,0.3579,0.3579,2342001.0
2024-05-08,0.3584,0.3617,0.3483,0.3521,3109074.0
2024-05-09,0.3526,0.3572,0.3373,0.3486,4231593.0
2024-05-10,0.349,0.3517,0.3136,0.314,5238990.0
2024-05-11,0.314,0.324,0.3127,0.3133,2296021.0
2024-05-12,0.3133,0.3182,0.3089,0.311,1859768.0
2024-05-13,0.311,0.3122,0.2948,0.306,2438309.0
2024-05-14,0.3058,0.3106,0.2901,0.2945,2357285.0
2024-05-15,0.2945,0.3313,0.2931,0.3282,4064018.0
2024-05-16,0.3282,0.337,0.3241,0.331,3702347.0
2024-05-17,0.331,0.3518,0.3296,0.3416,4790810.0
2024-05-18,0.3416,0.3463,0.3359,0.341,4326256.0
2024-05-19,0.3411,0.346,0.323,0.3257,4240662.0
2024-05-20,0.326,0.3558,0.3217,0.3551,4537445.0
2024-05-21,0.3551,0.3638,0.3508,0.3581,4286685.0
2024-05-22,0.3582,0.3666,0.3512,0.3632,4843951.0
2024-05-23,0.3634,0.369,0.3347,0.3494,5579345.0
2024-05-24,0.3494,0.3595,0.339,0.3584,2675734.0
2024-05-25,0.3583,0.3699,0.3574,0.3659,2191574.0
2024-05-26,0.3661,0.3776,0.359,0.372,3525950.0
2024-05-27,0.372,0.3804,0.3646,0.3715,4140795.0
2024-05-28,0.3716,0.373,0.3581,0.3657,3474471.0
2024-05-29,0.3657,0.3732,0.3604,0.3607,2952645.0
2024-05-30,0.3607,0.3798,0.35,0.363,4487531.0
2024-05-31,0.363,0.3774,0.3563,0.3733,3960559.0
2024-06-01,0.3733,0.3754,0.3616,0.3625,2151603.0
2024-06-02,0.3625,0.3699,0.3507,0.3513,2764997.0
2024-06-03,0.3513,0.3644,0.3495,0.3558,2676581.0
2024-06-04,0.3557,0.3714,0.3489,0.3657,3579813.0
2024-06-05,0.3655,0.3886,0.3652,0.3854,4789782.0
2024-06-06,0.3857,0.3916,0.377,0.3898,2636016.0
2024-06-07,0.3897,0.4048,0.355,0.3567,4722684.0
2024-06-08,0.357,0.3589,0.3399,0.3418,2309376.0
2024-06-09,0.3416,0.3468,0.336,0.3444,1731512.0
2024-06-10,0.3444,0.3444,0.3317,0.335,1516817.0
2024-06-11,0.335,0.3377,0.3117,0.3218,2209764.0
2024-06-12,0.3218,0.3476,0.3176,0.3384,2559499.0
2024-06-13,0.3384,0.3406,0.3169,0.3226,2245086.0
2024-06-14,0.3224,0.3339,0.3094,0.318,2380396.0
2024-06-15,0.3184,0.3346,0.3159,0.3264,3861579.0
2024-06-16,0.3263,0.329,0.3192,0.327,3678461.0
2024-06-17,0.3267,0.3278,0.2942,0.2966,4416070.0
2024-06-18,0.2967,0.2983,0.2698,0.2794,3103478.0
2024-06-19,0.2794,0.2898,0.275,0.2782,1925149.0
2024-06-20,0.2779,0.3041,0.263,0.2709,4720541.0
2024-06-21,0.2709,0.2768,0.2617,0.2639,4053835.0
2024-06-22,0.264,0.2688,0.2506,0.2669,2662874.0
2024-06-23,0.2672,0.283,0.2444,0.2462,4913737.0
2024-06-24,0.2459,0.265,0.2359,0.2638,4535457.0
2024-06-25,0.264,0.2732,0.2599,0.262,3839812.0
2024-06-26,0.2616,0.2645,0.2531,0.2603,2584702.0
2024-06-27,0.26,0.2712,0.2531,0.2691,2184744.0
2024-06-28,0.2691,0.2795,0.2637,0.2647,3858865.0
2024-06-29,0.2647,0.2698,0.2466,0.2471,1945982.0
2024-06-30,0.2469,0.2665,0.2394,0.2658,2357358.0
2024-07-01,0.266,0.2692,0.2572,0.2612,2760997.0
2024-07-02,0.2609,0.2635,0.2527,0.2571,1893234.0
2024-07-03,0.2573,0.2579,0.242,0.246,1442245.0
2024-07-04,0.246,0.2474,0.2198,0.2207,1889981.0
2024-07-05,0.2207,0.2223,0.1964,0.2203,3238129.0
2024-07-06,0.2202,0.234,0.2179,0.2321,1070487.0
2024-07-07,0.2321,0.2324,0.2164,0.2176,1620021.0
2024-07-08,0.2174,0.2366,0.2124,0.2341,2769057.0
2024-07-09,0.2337,0.241,0.2304,0.2386,2797724.0
2024-07-10,0.2384,0.2434,0.2359,0.2413,2527687.0
2024-07-11,0.2416,0.2481,0.2376,0.2376,3143626.0
2024-07-12,0.2378,0.2459,0.2348,0.2459,2562603.0
2024-07-13,0.2456,0.2491,0.2426,0.2481,1766022.0
2024-07-14,0.248,0.253,0.2468,0.251,2748478.0
2024-07-15,0.2513,0.2651,0.2508,0.2648,2069178.0
2024-07-16,0.2648,0.2678,0.2545,0.2659,2251137.0
2024-07-17,0.2659,0.2707,0.2603,0.2628,2000116.0
2024-07-18,0.2629,0.2673,0.2495,0.2527,2758192.0
2024-07-19,0.2527,0.2667,0.249,0.2655,2623222.0
2024-07-20,0.2654,0.2691,0.2613,0.2634,1795132.0
2024-07-21,0.2634,0.2646,0.2438,0.258,2700108.0
2024-07-22,0.2577,0.26,0.239,0.2416,2723449.0
2024-07-23,0.2416,0.2458,0.2309,0.2334,2323003.0
2024-07-24,0.2332,0.2347,0.2211,0.2221,2085827.0
2024-07-25,0.222,0.2321,0.2164,0.2312,2424194.0
2024-07-26,0.231,0.2405,0.2298,0.2392,1902410.0
2024-07-27,0.2389,0.2429,0.2332,0.2368,2119115.0
2024-07-28,0.2368,0.2476,0.2294,0.2325,7373108.0
2024-07-29,0.2325,0.2375,0.2186,0.2264,5237233.0
2024-07-30,0.2262,0.2299,0.2107,0.2158,2461196.0
2024-07-31,0.216,0.2227,0.2121,0.2147,2461703.0
2024-08-01,0.215,0.2152,0.195,0.2093,2988140.0
2024-08-02,0.2093,0.2115,0.1955,0.1973,5309791.0
2024-08-03,0.1973,0.1993,0.19,0.1912,4047122.0
2024-08-04,0.1911,0.2001,0.1797,0.1806,5007597.0
2024-08-05,0.1808,0.1819,0.1573,0.1738,7590221.0
2024-08-06,0.1735,0.1832,0.1733,0.1812,3309445.0
2024-08-07,0.1815,0.1858,0.1757,0.1793,3147643.0
2024-08-08,0.179,0.198,0.1774,0.1964,3843320.0
2024-08-09,0.1964,0.1976,0.19,0.1962,3601273.0
2024-08-10,0.196,0.2029,0.1933,0.2004,2330720.0
2024-08-11,0.2004,0.2051,0.1927,0.1932,3006713.0
2024-08-12,0.1931,0.2065,0.1906,0.2043,3094689.0
2024-08-13,0.2046,0.2053,0.1972,0.2036,2563591.0
2024-08-14,0.2036,0.2042,0.1964,0.1986,2435361.0
2024-08-15,0.1986,0.2002,0.1787,0.1793,4674160.0
2024-08-16,0.1791,0.1812,0.1737,0.1786,3673667.0
2024-08-17,0.1786,0.1844,0.1768,0.1832,2247979.0
2024-08-18,0.183,0.1981,0.1798,0.1895,4401351.0
2024-08-19,0.1896,0.2007,0.1854,0.2,5125947.0
2024-08-20,0.2,0.2033,0.1945,0.2003,3224490.0
2024-08-21,0.2004,0.2239,0.1986,0.2135,11357855.0
2024-08-22,0.2135,0.2145,0.1999,0.2103,5059347.0
2024-08-23,0.2102,0.2409,0.2101,0.2297,10763335.0
2024-08-24,0.2297,0.2424,0.2256,0.2367,2930209.0
2024-08-25,0.2367,0.2396,0.2212,0.2314,2242514.0
2024-08-26,0.2318,0.2411,0.2184,0.2194,4141344.0
2024-08-27,0.219,0.2263,0.2046,0.2082,2440789.0
2024-08-28,0.2081,0.2175,0.1994,0.2063,3402569.0
2024-08-29,0.206,0.2108,0.2007,0.2039,1787526.0
2024-08-30,0.2041,0.2091,0.1972,0.208,1889620.0
2024-08-31,0.2082,0.21,0.196,0.197,1764509.0
2024-09-01,0.1967,0.2009,0.1913,0.1939,1706191.0
2024-09-02,0.194,0.2066,0.1915,0.2066,2012425.0
2024-09-03,0.2062,0.2118,0.1978,0.198,2793986.0
2024-09-04,0.1984,0.205,0.1886,0.2025,2332230.0
2024-09-05,0.2027,0.2035,0.1936,0.1946,2510575.0
