date,open,high,low,close,volume
2022-10-17,0.2397,0.5196,0.2397,0.3326,288950723.0
2022-10-18,0.3326,0.3578,0.245,0.2567,97722014.5
2022-10-19,0.2569,0.261,0.203,0.2109,58039248.9
2022-10-20,0.2111,0.2424,0.2005,0.2042,40959821.4
2022-10-21,0.2044,0.22,0.1949,0.2027,25898692.8
2022-10-22,0.2027,0.2033,0.1841,0.1903,21964019.3
2022-10-23,0.1903,0.2068,0.1846,0.1915,31531857.7
2022-10-24,0.1915,0.1982,0.181,0.1815,15755993.8
2022-10-25,0.1814,0.1882,0.1774,0.183,10610973.0
2022-10-26,0.183,0.187,0.1801,0.1839,12728149.4
2022-10-27,0.1837,0.1879,0.1732,0.1753,11838189.7
2022-10-28,0.1753,0.1786,0.1671,0.1714,16111107.8
2022-10-29,0.1711,0.1765,0.1633,0.1645,16815293.2
2022-10-30,0.1645,0.1703,0.1595,0.1675,15666793.8
2022-10-31,0.1677,0.184,0.1575,0.1603,24645520.6
2022-11-01,0.1603,0.2181,0.158,0.1821,99537078.8
2022-11-02,0.1821,0.1977,0.1673,0.1699,29441442.3
2022-11-03,0.1699,0.1781,0.1602,0.1631,11532783.9
2022-11-04,0.1633,0.1765,0.1632,0.1715,9626087.5
2022-11-05,0.1715,0.1766,0.1694,0.1724,7021228.9
2022-11-06,0.1725,0.212,0.1703,0.1824,43160761.5
2022-11-07,0.1827,0.2148,0.172,0.1747,30263315.5
2022-11-08,0.1747,0.1755,0.1421,0.1452,17847309.2
2022-11-09,0.1452,0.1475,0.105,0.1086,13801730.3
2022-11-10,0.108,0.1426,0.1053,0.1279,8193886.8
2022-11-11,0.1279,0.1312,0.117,0.1208,5070548.5
2022-11-12,0.1208,0.1222,0.1132,0.1149,2772482.5
2022-11-13,0.1151,0.1418,0.1148,0.1167,9538718.5
2022-11-14,0.1168,0.1239,0.11,0.1197,4946292.2
2022-11-15,0.1199,0.1269,0.11,0.122,4684585.3
2022-11-16,0.1222,0.1535,0.1166,0.1386,37265956.3
2022-11-17,0.1386,0.1588,0.1304,0.1333,43503583.4
2022-11-18,0.1333,0.1375,0.1304,0.1316,6398478.2
2022-11-19,0.1316,0.1324,0.126,0.1307,2941998.2
2022-11-20,0.1307,0.156,0.13,0.1306,18988877.2
2022-11-21,0.1306,0.1373,0.1223,0.1281,7063789.8
2022-11-22,0.1286,0.1769,0.1246,0.1544,41616681.2
2022-11-23,0.1544,0.1689,0.1415,0.1459,27241767.7
2022-11-24,0.1456,0.159,0.1363,0.1479,9884585.2
2022-11-25,0.1479,0.1494,0.1402,0.1436,4227930.3
2022-11-26,0.1437,0.1684,0.1437,0.1548,17278265.1
2022-11-27,0.1548,0.1815,0.1518,0.1646,24903468.1
2022-11-28,0.1644,0.1687,0.1553,0.1614,8616543.9
2022-11-29,0.1613,0.1667,0.1569,0.16,5490361.3
2022-11-30,0.1601,0.1671,0.1588,0.1625,3117323.7
2022-12-01,0.1625,0.18,0.1615,0.1705,10847499.5
2022-12-02,0.1709,0.1818,0.1686,0.1753,11398441.7
2022-12-03,0.1753,0.1765,0.1696,0.1708,2591586.8
2022-12-04,0.1713,0.1899,0.1709,0.1776,14875348.6
2022-12-05,0.1776,0.1882,0.173,0.1744,7627482.8
2022-12-06,0.1748,0.1833,0.1737,0.1812,3124025.4
2022-12-07,0.1814,0.1848,0.1583,0.1623,20271179.5
2022-12-08,0.1623,0.1818,0.1611,0.1675,13817600.7
2022-12-09,0.1672,0.1694,0.165,0.1659,2473860.3
2022-12-10,0.1659,0.1707,0.1618,0.1627,3211602.4
2022-12-11,0.1627,0.1647,0.1617,0.1623,1571309.9
2022-12-12,0.1628,0.1661,0.1487,0.1537,7207615.5
2022-12-13,0.1543,0.1549,0.145,0.1535,4595500.6
