date,open,high,low,close,volume
2022-08-23,0.01137,0.01164,0.01086,0.01121,104155826.72
2022-08-24,0.01122,0.01247,0.0109,0.01125,203792028.98
2022-08-25,0.01125,0.01169,0.01113,0.01144,75077612.99
2022-08-26,0.01144,0.01148,0.01024,0.01026,151973488.45
2022-08-27,0.01026,0.0109,0.01017,0.01069,117812379.88
2022-08-28,0.01069,0.01098,0.01,0.01003,193758440.73
2022-08-29,0.01005,0.01057,0.01002,0.01056,66135046.48
2022-08-30,0.01055,0.01142,0.01028,0.01039,195509469.38
2022-08-31,0.01041,0.01077,0.0103,0.01043,76136426.39
2022-09-01,0.01043,0.0114,0.0102,0.01069,244542970.31
2022-09-02,0.01069,0.01102,0.0105,0.01068,97467705.46
2022-09-03,0.01068,0.01078,0.01049,0.01074,41911504.32
2022-09-04,0.01074,0.011,0.01063,0.01081,64819649.34
2022-09-05,0.01081,0.01086,0.01042,0.01056,46407217.91
2022-09-06,0.01056,0.0108,0.00993,0.01,107749090.65
2022-09-07,0.00999,0.01055,0.00985,0.01041,66501720.44
2022-09-08,0.01041,0.01115,0.01021,0.01044,195009272.7
2022-09-09,0.01043,0.01133,0.01043,0.01101,196110575.09
2022-09-10,0.01101,0.01119,0.01078,0.01092,100566234.63
2022-09-11,0.01092,0.01529,0.01078,0.01138,829216618.7
2022-09-12,0.01139,0.01492,0.01107,0.01209,1499247334.27
2022-09-13,0.0121,0.01244,0.01085,0.01093,295120118.5
2022-09-14,0.01093,0.0119,0.01058,0.01126,200751617.53
2022-09-15,0.01125,0.01337,0.01107,0.01168,828582019.61
2022-09-16,0.01168,0.01279,0.01156,0.0119,328086386.83
2022-09-17,0.0119,0.01286,0.01181,0.01275,156657881.16
2022-09-18,0.01276,0.0128,0.01103,0.01119,170277887.44
2022-09-19,0.01118,0.01132,0.01057,0.0111,131812439.24
2022-09-20,0.01112,0.01118,0.01026,0.01033,132736572.79
2022-09-21,0.01032,0.01135,0.01015,0.01077,319226664.28
2022-09-22,0.01076,0.01158,0.01066,0.0109,250487430.27
2022-09-23,0.01091,0.01114,0.01048,0.0108,117169912.0
2022-09-24,0.0108,0.01132,0.01073,0.01087,89110428.46
2022-09-25,0.01087,0.01114,0.01058,0.01061,50326220.61
2022-09-26,0.01061,0.01093,0.0105,0.01084,68654728.52
2022-09-27,0.01085,0.01114,0.01051,0.01056,133901537.08
2022-09-28,0.01056,0.011,0.01029,0.01073,132058890.73
2022-09-29,0.01074,0.01083,0.0104,0.01064,65934600.98
2022-09-30,0.01064,0.01151,0.01055,0.01075,139721530.64
2022-10-01,0.01075,0.01092,0.01055,0.01062,46075311.41
2022-10-02,0.01062,0.01064,0.01035,0.01038,54614926.81
2022-10-03,0.01038,0.011,0.01031,0.01086,116612581.67
2022-10-04,0.01087,0.01146,0.01077,0.01083,162925184.13
2022-10-05,0.01084,0.01088,0.01049,0.01065,65961153.52
2022-10-06,0.01065,0.01083,0.01049,0.01054,58673753.02
2022-10-07,0.01055,0.01067,0.01043,0.01053,39664442.4
2022-10-08,0.01053,0.01063,0.01045,0.01049,19212795.6
2022-10-09,0.01047,0.0107,0.01045,0.01053,29687233.33
2022-10-10,0.0105,0.0106,0.01008,0.0101,45767955.55
2022-10-11,0.01009,0.01009,0.00946,0.00948,84272125.18
2022-10-12,0.00949,0.00971,0.00947,0.00952,24354470.73
2022-10-13,0.00952,0.00953,0.00864,0.00924,73965178.24
2022-10-14,0.00924,0.01115,0.00923,0.00987,335226338.93
2022-10-15,0.00986,0.01193,0.00965,0.01014,939760735.85
2022-10-16,0.01015,0.01068,0.01001,0.01034,173773348.8
2022-10-17,0.01035,0.01072,0.01015,0.01027,129063730.04
2022-10-18,0.01025,0.01045,0.00993,0.01003,78954196.96
2022-10-19,0.01004,0.0111,0.00978,0.0102,393800461.64
2022-10-20,0.0102,0.0104,0.00976,0.00988,100447668.6
2022-10-21,0.00988,0.01018,0.00952,0.00998,69978842.75
2022-10-22,0.00998,0.01068,0.00986,0.01019,125361501.12
2022-10-23,0.01018,0.01044,0.01002,0.01028,93111659.57
2022-10-24,0.01029,0.0104,0.01013,0.01019,52281354.22
2022-10-25,0.0102,0.01056,0.01015,0.0104,68979724.03
2022-10-26,0.01042,0.01074,0.01037,0.01073,65873036.01
2022-10-27,0.01072,0.0112,0.01057,0.0107,154145840.43
2022-10-28,0.01071,0.01085,0.01035,0.01073,54704700.16
2022-10-29,0.01073,0.01097,0.01067,0.01073,75908939.03
2022-10-30,0.01073,0.01108,0.01073,0.01079,74202637.79
2022-10-31,0.01081,0.01184,0.01058,0.01106,305083693.74
2022-11-01,0.01105,0.01107,0.01068,0.01073,107121295.92
2022-11-02,0.01074,0.01102,0.01063,0.01071,126926020.55
2022-11-03,0.01071,0.01202,0.01071,0.01144,333105787.18
2022-11-04,0.01142,0.01286,0.01131,0.01211,349478007.86
2022-11-05,0.01209,0.01315,0.01179,0.01262,268425761.74
2022-11-06,0.01263,0.01498,0.01163,0.01173,659612749.06
2022-11-07,0.01172,0.01215,0.0113,0.01137,190679073.41
2022-11-08,0.01137,0.01148,0.0089,0.00951,340528143.45
2022-11-09,0.00949,0.0096,0.00767,0.00773,255565879.84
2022-11-10,0.00774,0.00947,0.00771,0.00922,145884872.94
2022-11-11,0.00921,0.00925,0.00801,0.00839,176238273.28
2022-11-12,0.0084,0.00845,0.0077,0.00817,83223549.8
2022-11-13,0.00817,0.0086,0.00801,0.00802,132703727.65
2022-11-14,0.00803,0.00817,0.00748,0.00803,123484389.27
2022-11-15,0.00804,0.00842,0.00801,0.00812,73001464.82
2022-11-16,0.00813,0.00819,0.00785,0.00814,95023437.01
2022-11-17,0.00814,0.00831,0.00798,0.00813,56879727.49
2022-11-18,0.00811,0.00835,0.0081,0.00833,62500128.79
2022-11-19,0.00832,0.00885,0.00804,0.0082,138742740.82
2022-11-20,0.0082,0.00878,0.0079,0.00793,156790207.88
2022-11-21,0.00794,0.00794,0.00749,0.00769,75085144.65
2022-11-22,0.00771,0.00817,0.00754,0.008,94099144.83
2022-11-23,0.00801,0.00854,0.00792,0.0084,155654534.45
2022-11-24,0.0084,0.00861,0.00788,0.00819,116140556.99
2022-11-25,0.0082,0.00821,0.0079,0.00811,52545216.62
2022-11-26,0.00811,0.0085,0.00809,0.00819,102674978.28
2022-11-27,0.00819,0.00859,0.00819,0.00838,115336590.33
2022-11-28,0.00837,0.00842,0.00791,0.00813,103223354.18
2022-11-29,0.00814,0.00929,0.00813,0.00856,394007972.41
2022-11-30,0.00855,0.00893,0.00848,0.00877,122835936.97
2022-12-01,0.00877,0.00896,0.00844,0.00877,107853698.07
2022-12-02,0.00877,0.00937,0.0086,0.00908,193706532.39
2022-12-03,0.00908,0.00926,0.00877,0.00878,65182968.02
2022-12-04,0.00878,0.00909,0.00876,0.00903,43679702.04
2022-12-05,0.00903,0.00909,0.00861,0.00873,46663249.91
2022-12-06,0.00873,0.00892,0.00864,0.00885,48271656.37
2022-12-07,0.00886,0.00899,0.00836,0.00892,83616969.33
2022-12-08,0.00894,0.00896,0.00844,0.00881,60805156.77
2022-12-09,0.00881,0.009,0.00855,0.00866,87634260.87
2022-12-10,0.00867,0.0088,0.00847,0.00851,67744898.08
2022-12-11,0.00852,0.00874,0.0085,0.00851,47688052.03
2022-12-12,0.00853,0.00853,0.00829,0.00845,32430201.45
2022-12-13,0.00846,0.00858,0.00807,0.00851,83001423.49
2022-12-14,0.00851,0.00867,0.00828,0.00838,61806554.25
2022-12-15,0.00839,0.0084,0.0081,0.00816,27507890.46
2022-12-16,0.00816,0.00817,0.00719,0.0073,64635588.04
2022-12-17,0.0073,0.00752,0.00714,0.0075,36849583.26
2022-12-18,0.0075,0.00758,0.00738,0.00744,17236457.33
2022-12-19,0.00744,0.0075,0.00685,0.00692,37603605.22
2022-12-20,0.00691,0.00732,0.0069,0.00728,31114999.22
2022-12-21,0.00728,0.0073,0.007,0.00707,27256605.2
2022-12-22,0.00706,0.00714,0.00691,0.00707,25500917.96
2022-12-23,0.00708,0.0086,0.00706,0.00745,224272481.66
2022-12-24,0.00744,0.00759,0.00725,0.0074,74260156.12
2022-12-25,0.00739,0.0074,0.00716,0.00721,25586676.52
2022-12-26,0.00721,0.00738,0.00718,0.00734,31958696.73
2022-12-27,0.00734,0.00745,0.00721,0.00724,22876595.58
2022-12-28,0.00725,0.00725,0.007,0.00705,34229441.06
2022-12-29,0.00705,0.00726,0.00704,0.00713,28589575.22
2022-12-30,0.00714,0.00815,0.00704,0.00749,253590733.22
2022-12-31,0.0075,0.00827,0.00743,0.00744,199846576.95
2023-01-01,0.00744,0.00763,0.00742,0.00756,30283863.12
2023-01-02,0.00758,0.00785,0.00745,0.0076,32791768.0
2023-01-03,0.0076,0.00765,0.00734,0.00746,40788757.87
2023-01-04,0.00745,0.00767,0.00743,0.00763,29792382.99
2023-01-05,0.00763,0.0077,0.00753,0.00762,23119171.98
2023-01-06,0.00762,0.00825,0.00754,0.0078,157395447.48
2023-01-07,0.0078,0.00787,0.00768,0.00771,24398568.74
2023-01-08,0.00769,0.00803,0.00762,0.00799,34621561.73
2023-01-09,0.008,0.00818,0.00789,0.00793,63431626.91
2023-01-10,0.00793,0.00825,0.00787,0.00811,66108796.15
2023-01-11,0.00811,0.0084,0.00798,0.00826,77278147.14
2023-01-12,0.00826,0.0086,0.00817,0.00855,85444442.62
2023-01-13,0.00855,0.00878,0.00842,0.00873,48989757.97
2023-01-14,0.00874,0.00919,0.0086,0.0089,134009298.36
2023-01-15,0.00888,0.00891,0.00847,0.00874,79582524.48
2023-01-16,0.00872,0.0096,0.00868,0.0091,201996687.54
2023-01-17,0.00911,0.00928,0.00895,0.00896,76329393.8
2023-01-18,0.00898,0.0091,0.00831,0.0087,98096497.95
2023-01-19,0.00871,0.0088,0.0084,0.0086,56847052.49
2023-01-20,0.0086,0.00919,0.00845,0.00906,61938147.14
2023-01-21,0.00907,0.00932,0.0089,0.0089,89810830.29
2023-01-22,0.0089,0.01114,0.00882,0.01049,417659500.56
2023-01-23,0.01049,0.01065,0.00976,0.00992,310205759.08
2023-01-24,0.00992,0.0103,0.00924,0.00939,122343338.62
2023-01-25,0.00941,0.00998,0.00931,0.00976,91383751.67
2023-01-26,0.00977,0.01023,0.00971,0.01011,103121083.54
2023-01-27,0.01011,0.01061,0.00981,0.01035,122890692.21
2023-01-28,0.01033,0.01057,0.01,0.01011,60468542.87
2023-01-29,0.0101,0.01055,0.01002,0.01036,87074881.38
2023-01-30,0.01034,0.0104,0.0097,0.00982,81006690.97
2023-01-31,0.00984,0.01107,0.00978,0.01031,199026273.3
2023-02-01,0.01032,0.01054,0.0098,0.01032,121508331.48
2023-02-02,0.01034,0.01085,0.01032,0.01039,94734728.03
2023-02-03,0.01039,0.01079,0.01033,0.01073,61643859.84
2023-02-04,0.01074,0.01108,0.01063,0.01097,72146288.71
2023-02-05,0.01098,0.01199,0.01094,0.01156,243718654.99
2023-02-06,0.01156,0.01173,0.01064,0.01087,190504856.72
2023-02-07,0.01086,0.01166,0.01082,0.01156,132675741.99
2023-02-08,0.01158,0.01176,0.01087,0.01113,148890460.69
2023-02-09,0.01114,0.01131,0.00953,0.00977,152222866.07
2023-02-10,0.00978,0.01006,0.00968,0.00983,77698864.15
2023-02-11,0.00983,0.01032,0.00983,0.01024,46790466.78
2023-02-12,0.01024,0.01048,0.01011,0.01017,42352984.47
2023-02-13,0.01017,0.01019,0.00935,0.00976,91916415.19
2023-02-14,0.00976,0.01005,0.00957,0.01002,71082917.06
2023-02-15,0.01002,0.01062,0.00988,0.01049,122529946.33
2023-02-16,0.0105,0.01152,0.01041,0.01045,231836364.88
2023-02-17,0.01046,0.01118,0.01043,0.01084,118185484.47
2023-02-18,0.01085,0.01325,0.01085,0.0118,397947835.16
2023-02-19,0.0118,0.01338,0.01151,0.01259,524220741.33
2023-02-20,0.01261,0.0135,0.01219,0.01256,411381838.21
2023-02-21,0.01257,0.01303,0.01188,0.01199,205578806.64
2023-02-22,0.012,0.01211,0.01123,0.0119,220907302.36
2023-02-23,0.0119,0.01234,0.01169,0.01214,114574193.08
2023-02-24,0.01214,0.01297,0.01162,0.01185,233747733.83
2023-02-25,0.01185,0.01201,0.01106,0.01146,83398011.12
2023-02-26,0.01146,0.0125,0.01132,0.01231,107143319.49
2023-02-27,0.01231,0.01233,0.01153,0.01182,149012191.61
2023-02-28,0.01182,0.01188,0.01114,0.0112,97001788.82
2023-03-01,0.0112,0.01177,0.01116,0.01167,66717082.53
2023-03-02,0.01167,0.01167,0.01117,0.0114,61898072.81
2023-03-03,0.01142,0.01143,0.01047,0.0106,92343386.1
2023-03-04,0.0106,0.01071,0.01014,0.01031,42872666.49
2023-03-05,0.0103,0.01052,0.01023,0.01028,37292143.85
2023-03-06,0.01027,0.01037,0.00999,0.01019,76555262.06
2023-03-07,0.01021,0.0103,0.00969,0.00998,48968858.12
2023-03-08,0.00997,0.01,0.00947,0.0095,47126932.19
2023-03-09,0.00949,0.00983,0.0088,0.00902,57703904.06
2023-03-10,0.009,0.00902,0.0083,0.00886,73985244.43
2023-03-11,0.00886,0.00915,0.00836,0.0087,52058339.35
2023-03-12,0.0087,0.00936,0.00854,0.00932,41221152.2
2023-03-13,0.00934,0.01011,0.00916,0.01,166078602.22
2023-03-14,0.01001,0.01099,0.00984,0.01038,189559981.38
2023-03-15,0.01039,0.0107,0.00956,0.00962,142995408.37
2023-03-16,0.00961,0.00988,0.00952,0.00965,82903199.8
2023-03-17,0.00964,0.0103,0.00958,0.01028,126784153.77
2023-03-18,0.01028,0.01075,0.0102,0.01023,128847286.12
2023-03-19,0.01023,0.01103,0.01019,0.0107,97460899.29
2023-03-20,0.01072,0.01099,0.01013,0.01016,122966927.69
2023-03-21,0.01017,0.01054,0.00979,0.01049,72860060.19
2023-03-22,0.01047,0.0105,0.00945,0.00977,97693961.49
2023-03-23,0.00977,0.01007,0.00964,0.01001,75756977.23
2023-03-24,0.01001,0.01006,0.00954,0.00964,32595902.95
2023-03-25,0.00963,0.00966,0.00921,0.00936,39088637.37
2023-03-26,0.00938,0.00974,0.00935,0.00955,40834808.34
2023-03-27,0.00955,0.00958,0.00898,0.00918,47601878.17
2023-03-28,0.00918,0.00945,0.009,0.00936,31325269.92
2023-03-29,0.00939,0.00974,0.00936,0.00968,45050780.92
2023-03-30,0.00968,0.01019,0.00959,0.01003,119196830.52
2023-03-31,0.01003,0.01032,0.00981,0.00996,90879915.62
2023-04-01,0.00996,0.01008,0.00979,0.00993,47148357.09
2023-04-02,0.00993,0.00997,0.0096,0.00971,26067741.13
2023-04-03,0.00971,0.0098,0.00942,0.0096,47327808.5
2023-04-04,0.0096,0.00992,0.0095,0.00987,28321432.25
2023-04-05,0.00987,0.01135,0.00984,0.0105,348167950.62
2023-04-06,0.01049,0.01051,0.01001,0.0102,98871006.53
2023-04-07,0.01021,0.01021,0.00982,0.00989,42365087.25
2023-04-08,0.0099,0.01021,0.00983,0.01006,54506726.1
2023-04-09,0.01006,0.01088,0.01005,0.01041,129178954.91
2023-04-10,0.0104,0.0111,0.01033,0.0106,144896615.81
2023-04-11,0.01061,0.01079,0.01043,0.01045,56515758.09
2023-04-12,0.01045,0.01048,0.01005,0.01037,49293881.56
2023-04-13,0.01036,0.01059,0.01026,0.01051,37680815.64
2023-04-14,0.01051,0.01082,0.01034,0.01067,63006206.13
2023-04-15,0.01067,0.01075,0.0105,0.01058,41991458.6
2023-04-16,0.01057,0.01112,0.01052,0.01108,60896793.75
2023-04-17,0.01108,0.01114,0.01038,0.01051,63462246.7
2023-04-18,0.01054,0.01105,0.0104,0.01093,71904065.74
2023-04-19,0.01094,0.0126,0.01089,0.01189,1068600220.64
2023-04-20,0.01188,0.01196,0.0105,0.01073,296042172.65
2023-04-21,0.01072,0.0108,0.0096,0.00983,150694417.9
2023-04-22,0.00983,0.01016,0.00967,0.01013,46795889.01
2023-04-23,0.01012,0.01049,0.00979,0.0099,74772470.35
2023-04-24,0.0099,0.01009,0.00963,0.00982,51557921.43
2023-04-25,0.00981,0.00995,0.0096,0.00991,28789765.06
2023-04-26,0.00992,0.01026,0.0095,0.00972,70391830.79
2023-04-27,0.00972,0.01005,0.00972,0.00994,39335353.84
2023-04-28,0.00994,0.01018,0.0099,0.01007,39717705.07
2023-04-29,0.01007,0.0116,0.00995,0.01066,313955058.73
2023-04-30,0.01067,0.0117,0.01031,0.01033,361728106.34
2023-05-01,0.01032,0.01034,0.0098,0.0099,96832537.91
2023-05-02,0.0099,0.0103,0.0098,0.01011,74407487.86
2023-05-03,0.01011,0.01011,0.00962,0.00997,60223960.17
2023-05-04,0.00997,0.00999,0.00965,0.00969,73249731.17
2023-05-05,0.00969,0.00997,0.00967,0.00991,39643708.45
2023-05-06,0.00991,0.00995,0.00932,0.00945,57167419.96
2023-05-07,0.00945,0.00955,0.00932,0.00937,29906385.69
2023-05-08,0.00936,0.00939,0.00845,0.00871,96210510.64
2023-05-09,0.00871,0.00871,0.00846,0.00849,32992004.34
2023-05-10,0.00849,0.00899,0.00833,0.00877,56538666.61
