date,open,high,low,close,volume
2022-08-23,6.418,6.5914,5.9603,6.0884,1547677.56
2022-08-24,6.0884,6.2441,5.6,5.8769,1159276.71
2022-08-25,5.8789,6.1094,5.65,5.7197,856162.98
2022-08-26,5.7135,5.9374,5.0017,5.0866,1054552.41
2022-08-27,5.0788,5.4305,4.7125,5.259,1017885.1
2022-08-28,5.259,6.38,5.13,5.5537,2623706.01
2022-08-29,5.5552,5.9156,5.2767,5.7778,1089283.37
2022-08-30,5.7728,5.9995,5.36,5.6189,1248601.43
2022-08-31,5.6186,7.3434,5.5766,6.6294,5813189.67
2022-09-01,6.6211,7.3898,6.1445,6.7053,3791210.68
2022-09-02,6.6993,8.0531,6.5381,7.5477,4585392.51
2022-09-03,7.5477,7.8,7.0274,7.3234,1641523.99
2022-09-04,7.3222,7.482,6.8421,7.0178,830170.24
2022-09-05,7.0176,7.6253,6.9259,7.2089,1744734.89
2022-09-06,7.2013,7.3887,6.3439,6.6193,1319705.4
2022-09-07,6.616,7.33,6.5762,6.9285,2491056.45
2022-09-08,6.9221,7.0985,6.6541,6.8937,1046792.7
2022-09-09,6.8894,7.2,6.8164,6.9482,1215181.21
2022-09-10,6.9579,7.256,6.85,6.9782,780108.92
2022-09-11,6.9744,7.6776,6.8653,7.1468,1566177.8
2022-09-12,7.1397,7.4546,6.7131,7.0049,903315.88
2022-09-13,7.0107,7.1694,6.4094,6.58,1497904.92
2022-09-14,6.5723,6.5789,5.2931,5.5438,2308837.55
2022-09-15,5.5316,5.8891,4.878,5.7604,2168097.31
2022-09-16,5.7634,6.48,5.4403,5.5996,2776344.02
2022-09-17,5.5926,5.8625,5.53,5.798,629172.7
2022-09-18,5.7969,6.1179,5.3817,5.6084,1040745.72
2022-09-19,5.6158,5.9199,5.1709,5.54,939306.49
2022-09-20,5.5355,5.6808,5.2925,5.3237,564657.06
2022-09-21,5.3291,5.4798,5.06,5.2376,607663.29
2022-09-22,5.2298,5.6761,5.22,5.5103,1080553.86
2022-09-23,5.5106,6.4597,5.4921,6.3531,4169967.22
2022-09-24,6.3458,6.6529,5.9246,5.9377,1627548.12
2022-09-25,5.9408,7.0,5.9064,6.5495,3649524.09
2022-09-26,6.5492,6.75,5.5629,5.8779,2244648.42
2022-09-27,5.8815,6.1219,5.7901,6.0413,1322310.4
2022-09-28,6.0413,6.0992,5.56,5.7785,1060173.54
2022-09-29,5.7795,5.9395,5.6156,5.7748,666888.26
2022-09-30,5.7771,5.83,5.67,5.6941,378075.39
2022-10-01,5.6941,6.04,5.673,5.8259,748651.61
2022-10-02,5.8265,5.8698,5.2116,5.2296,817607.49
2022-10-03,5.2299,5.3784,5.0306,5.269,793336.25
2022-10-04,5.27,5.5449,5.1907,5.3051,1172094.05
2022-10-05,5.3078,5.5594,5.1624,5.2925,748214.74
2022-10-06,5.2922,5.3559,5.1701,5.2384,383110.23
2022-10-07,5.2372,5.4497,5.1521,5.3289,899656.4
2022-10-08,5.3279,5.4449,5.1702,5.2565,378701.05
2022-10-09,5.2556,5.2958,5.1372,5.1729,243490.92
2022-10-10,5.1715,5.2,4.287,4.5127,1220518.36
2022-10-11,4.5149,4.6717,4.1444,4.4242,928446.78
2022-10-12,4.4242,4.5493,4.1322,4.2544,561259.17
2022-10-13,4.2484,4.2489,3.5552,3.9876,1291237.61
2022-10-14,3.9896,4.7533,3.9678,4.1388,1715793.41
2022-10-15,4.138,4.2399,3.8946,3.9603,603377.7
2022-10-16,3.9608,4.1999,3.9452,3.9875,514692.06
2022-10-17,3.9902,4.2282,3.9762,4.1222,702467.26
2022-10-18,4.1242,4.1866,3.9148,3.9812,461093.07
2022-10-19,3.984,4.0171,3.6687,3.6688,598233.93
2022-10-20,3.6757,3.9,3.3831,3.644,1019770.52
2022-10-21,3.6427,3.893,3.5315,3.7237,1285612.25
2022-10-22,3.7281,3.7359,3.5781,3.6167,322365.64
2022-10-23,3.6194,3.7098,3.5031,3.643,357583.14
2022-10-24,3.6463,4.2484,3.5547,3.9893,1867269.31
2022-10-25,3.9892,4.32,3.9244,4.0635,2300643.74
2022-10-26,4.0643,4.15,4.0,4.065,549336.98
2022-10-27,4.0738,4.2303,3.9382,3.9432,700992.71
2022-10-28,3.9389,4.06,3.7995,4.0303,617597.72
2022-10-29,4.0369,4.1119,3.8987,3.9571,540181.62
2022-10-30,3.9645,5.2,3.9207,4.6618,3628996.13
2022-10-31,4.6546,4.8317,4.2,4.2715,1676285.64
2022-11-01,4.2794,4.5997,4.0598,4.2061,1502607.58
2022-11-02,4.2067,4.4483,4.1068,4.3079,1149406.02
2022-11-03,4.312,4.4389,4.1779,4.2,1079380.3
2022-11-04,4.2016,4.4866,4.1092,4.4162,1051419.49
2022-11-05,4.4117,5.4854,4.4038,4.9108,5328008.85
2022-11-06,4.9054,5.35,4.5,4.5273,2587803.56
2022-11-07,4.5272,5.1862,4.2758,5.0198,2723035.54
2022-11-08,5.0306,5.7765,3.9493,5.1991,6982615.51
2022-11-09,5.2249,5.35,3.05,3.3324,4589928.81
2022-11-10,3.3172,4.5997,3.2903,4.452,3590325.64
2022-11-11,4.4521,4.65,3.789,4.2594,2434284.95
2022-11-12,4.2599,4.3636,3.7779,3.9824,1192468.78
2022-11-13,3.9782,4.12,3.7561,3.8566,816873.39
2022-11-14,3.857,4.2497,3.5386,3.9889,1302759.62
2022-11-15,3.9914,5.75,3.9537,5.3685,4537826.02
2022-11-16,5.3508,5.7141,4.8109,5.3922,4435948.16
2022-11-17,5.3916,6.1843,5.2272,5.7787,4026534.68
2022-11-18,5.7911,6.4,5.5773,6.035,2506667.0
2022-11-19,6.0454,6.1301,5.38,5.5185,2121406.61
2022-11-20,5.52,5.5262,4.3,4.4697,3139959.94
2022-11-21,4.4696,4.5682,3.88,4.2635,1953719.15
2022-11-22,4.2668,4.3979,3.9772,4.1794,1014014.01
2022-11-23,4.1746,4.3794,4.0943,4.232,886547.05
2022-11-24,4.2312,4.37,4.1136,4.1967,1058749.28
2022-11-25,4.2068,4.25,3.934,4.1396,909451.61
2022-11-26,4.1452,4.254,3.9458,3.9807,760350.27
2022-11-27,3.9757,4.0574,3.8857,3.9087,483308.81
2022-11-28,3.8994,3.9787,3.6001,3.8215,779768.56
2022-11-29,3.8251,3.9143,3.7618,3.8031,509658.61
2022-11-30,3.801,3.8799,3.7247,3.8281,427462.36
2022-12-01,3.8281,3.854,3.7404,3.774,343346.48
2022-12-02,3.7812,4.1,3.7005,3.9683,1038905.5
2022-12-03,3.9683,4.14,3.7812,3.8013,577694.63
2022-12-04,3.8023,3.8918,3.784,3.8159,338117.1
2022-12-05,3.8237,3.8681,3.7231,3.8018,253500.44
2022-12-06,3.8016,3.8329,3.7,3.7601,316045.19
2022-12-07,3.7612,3.7728,3.512,3.5908,505213.23
2022-12-08,3.5935,3.7026,3.5262,3.6052,476312.34
2022-12-09,3.6049,3.719,3.5589,3.6459,477231.09
2022-12-10,3.647,3.9578,3.5835,3.6094,1010604.31
2022-12-11,3.6101,3.6309,3.5109,3.5249,246231.33
2022-12-12,3.5219,3.5288,3.2578,3.364,411057.41
2022-12-13,3.364,3.3793,3.01,3.2221,840236.66
2022-12-14,3.2197,3.476,3.1033,3.3795,675259.69
2022-12-15,3.3795,3.47,3.1796,3.2014,716011.33
2022-12-16,3.1994,3.2398,2.7713,2.7991,557269.22
2022-12-17,2.798,2.8556,2.6102,2.8256,470359.11
2022-12-18,2.8264,2.9999,2.7127,2.7371,697835.48
2022-12-19,2.7353,2.7913,2.5203,2.5536,390994.17
2022-12-20,2.5545,2.8478,2.5393,2.7407,474256.63
2022-12-21,2.7407,2.7887,2.6022,2.638,351331.34
2022-12-22,2.6375,2.7581,2.6,2.6383,301614.0
2022-12-23,2.6426,2.7208,2.6172,2.6476,193020.67
2022-12-24,2.6418,2.7183,2.6351,2.6511,160628.56
2022-12-25,2.6516,2.6799,2.575,2.5907,143754.2
2022-12-26,2.591,2.6341,2.5749,2.5865,160136.42
2022-12-27,2.5914,2.6068,2.518,2.5545,125189.66
2022-12-28,2.5486,2.64,2.4377,2.4847,1048865.62
2022-12-29,2.4824,2.6206,2.4631,2.5084,586297.45
2022-12-30,2.5056,2.5908,2.4695,2.4779,441039.28
2022-12-31,2.4772,2.5095,2.465,2.4706,152435.04
2023-01-01,2.473,2.518,2.4581,2.4848,151611.23
2023-01-02,2.4861,2.5123,2.4722,2.4955,106531.52
2023-01-03,2.4962,2.5165,2.4625,2.4923,146824.69
2023-01-04,2.4939,2.5455,2.4906,2.518,163482.49
2023-01-05,2.518,2.7301,2.5145,2.6113,762968.89
2023-01-06,2.6112,2.6315,2.5229,2.5678,178200.92
2023-01-07,2.5699,2.6155,2.5531,2.5631,150549.18
2023-01-08,2.5682,2.58,2.48,2.5689,177774.63
2023-01-09,2.569,2.7569,2.5626,2.6786,596898.98
2023-01-10,2.6761,2.88,2.6318,2.8057,1199887.98
2023-01-11,2.804,2.8905,2.6787,2.7276,546884.43
2023-01-12,2.7288,2.7978,2.5,2.766,557581.06
2023-01-13,2.7591,2.8777,2.75,2.8548,812815.08
2023-01-14,2.8549,3.3063,2.8522,3.0882,1779399.39
2023-01-15,3.0872,3.1734,2.9804,3.0474,1141939.15
2023-01-16,3.0463,3.1127,2.98,3.0271,514405.45
2023-01-17,3.0287,3.0712,3.004,3.0259,251897.31
2023-01-18,3.0248,3.0934,2.7201,2.7897,797231.57
2023-01-19,2.7903,2.9846,2.7852,2.9592,718328.1
2023-01-20,2.9612,3.0983,2.8897,3.0436,800316.48
2023-01-21,3.0487,3.1106,3.017,3.0679,486100.36
2023-01-22,3.0654,3.1055,2.9652,3.0277,384405.88
2023-01-23,3.0258,3.1097,2.96,3.038,398241.78
2023-01-24,3.038,3.1398,2.94,2.9548,436508.85
2023-01-25,2.959,3.2899,2.8636,3.0632,1643600.04
2023-01-26,3.0569,3.1088,3.0317,3.0623,317332.74
2023-01-27,3.0586,3.1103,3.0,3.1051,332638.17
2023-01-28,3.1047,3.1718,3.05,3.0873,503835.82
2023-01-29,3.0873,3.1499,3.0785,3.1051,355759.58
2023-01-30,3.1096,3.1195,2.9685,2.9924,473428.5
2023-01-31,2.9948,3.0844,2.98,3.0264,384951.77
2023-02-01,3.0264,3.0619,2.9159,3.0405,351270.77
2023-02-02,3.0437,3.1255,3.0278,3.0495,371708.92
2023-02-03,3.0494,3.25,3.04,3.1659,995794.69
2023-02-04,3.166,3.1727,3.1122,3.1249,257595.36
2023-02-05,3.1288,3.1414,2.9946,3.0499,318785.93
2023-02-06,3.0519,3.1199,3.0094,3.0475,416667.8
2023-02-07,3.0505,3.1617,3.0494,3.1521,452347.44
2023-02-08,3.1522,3.416,3.1407,3.2754,2031572.74
2023-02-09,3.2686,3.2999,2.9111,2.9686,882505.54
2023-02-10,2.9657,3.0406,2.9176,2.9464,259149.41
2023-02-11,2.9489,3.0788,2.9319,3.0466,291354.75
2023-02-12,3.0465,3.0817,2.9573,3.0,232687.49
2023-02-13,3.0018,3.1099,2.9008,2.9697,609315.35
2023-02-14,2.9736,3.113,2.9503,3.0748,711228.59
2023-02-15,3.0787,3.1509,3.0463,3.1409,575460.96
2023-02-16,3.1408,3.209,3.0343,3.0446,745136.86
2023-02-17,3.0446,3.147,3.0343,3.1288,388112.22
2023-02-18,3.123,3.1429,3.0913,3.1118,256247.2
2023-02-19,3.115,3.1408,3.0465,3.104,399895.72
2023-02-20,3.104,3.2513,3.0615,3.1826,991951.39
2023-02-21,3.1879,3.2395,3.0501,3.0717,1017289.31
2023-02-22,3.0716,3.0896,2.9243,3.0063,1031198.28
2023-02-23,3.0038,3.0352,2.9167,2.9323,746635.91
2023-02-24,2.9323,3.0563,2.7777,2.8131,1030954.12
2023-02-25,2.8208,3.3,2.792,2.8541,2781161.37
2023-02-26,2.8565,2.8912,2.8202,2.8435,397570.24
2023-02-27,2.8462,2.9015,2.7882,2.8146,488941.29
2023-02-28,2.8159,2.8399,2.6867,2.6987,420051.6
2023-03-01,2.6954,2.8205,2.6803,2.7824,347396.19
2023-03-02,2.7818,2.798,2.69,2.7236,262167.84
2023-03-03,2.7236,2.7242,2.534,2.6075,490000.52
2023-03-04,2.6085,2.69,2.55,2.5911,426823.59
2023-03-05,2.5911,2.6442,2.5554,2.5703,206164.12
