date,open,high,low,close,volume
2022-08-23,0.2177,0.2267,0.2134,0.222,3001433.0
2022-08-24,0.2221,0.2251,0.2155,0.2201,2128667.0
2022-08-25,0.2198,0.2296,0.2185,0.2289,4277212.0
2022-08-26,0.2282,0.2291,0.2053,0.2081,3864580.0
2022-08-27,0.208,0.2084,0.2032,0.2064,1371300.0
2022-08-28,0.2067,0.227,0.2025,0.2028,7209587.0
2022-08-29,0.203,0.2109,0.1992,0.2107,1738190.0
2022-08-30,0.2105,0.2157,0.2036,0.2094,2248869.0
2022-08-31,0.2094,0.2156,0.2092,0.2115,1604356.0
2022-09-01,0.2118,0.2127,0.2035,0.2101,1606844.0
2022-09-02,0.2099,0.2177,0.2077,0.2088,2506589.0
2022-09-03,0.2084,0.2103,0.2071,0.21,889445.0
2022-09-04,0.2099,0.2111,0.2067,0.2106,591599.0
2022-09-05,0.2111,0.2118,0.2057,0.2086,1011789.0
2022-09-06,0.2084,0.2119,0.1961,0.1965,2210362.0
2022-09-07,0.1961,0.205,0.1895,0.202,2300186.0
2022-09-08,0.2024,0.2301,0.2011,0.2136,18644093.0
2022-09-09,0.2132,0.2276,0.2108,0.2218,7449798.0
2022-09-10,0.2216,0.2231,0.2149,0.2205,2577614.0
2022-09-11,0.2203,0.2467,0.2173,0.2307,13120003.0
2022-09-12,0.2307,0.2864,0.2279,0.2353,14632672.0
2022-09-13,0.2352,0.2362,0.208,0.2087,3621852.0
2022-09-14,0.2079,0.2143,0.2052,0.2121,1674966.0
2022-09-15,0.2119,0.2157,0.2036,0.2058,3401130.0
2022-09-16,0.2062,0.2075,0.2021,0.2052,1510872.0
2022-09-17,0.2052,0.211,0.2051,0.2097,1574580.0
2022-09-18,0.2097,0.2151,0.1945,0.1949,3276074.0
2022-09-19,0.1946,0.1992,0.1852,0.1985,3243600.0
2022-09-20,0.1987,0.1994,0.1913,0.1931,1811407.0
2022-09-21,0.1932,0.2156,0.1853,0.1887,11251204.0
2022-09-22,0.1885,0.1991,0.1879,0.197,1652400.0
2022-09-23,0.1972,0.2055,0.1912,0.1975,2520294.0
2022-09-24,0.1974,0.2109,0.1954,0.2043,5110250.0
2022-09-25,0.2044,0.2044,0.1954,0.1967,1877374.0
2022-09-26,0.1965,0.2045,0.1893,0.1973,4634769.0
2022-09-27,0.1973,0.205,0.1917,0.1947,4421856.0
2022-09-28,0.1947,0.1958,0.1876,0.1938,2067815.0
2022-09-29,0.1937,0.1958,0.1895,0.1957,1802116.0
2022-09-30,0.1956,0.1966,0.1901,0.1929,1662080.0
2022-10-01,0.1928,0.1966,0.1907,0.1931,1059889.0
2022-10-02,0.193,0.1948,0.188,0.1896,1100923.0
2022-10-03,0.1893,0.1946,0.1884,0.1941,935223.0
2022-10-04,0.1941,0.1976,0.1931,0.1965,1264931.0
2022-10-05,0.1968,0.1972,0.191,0.1953,948193.0
2022-10-06,0.1952,0.2028,0.1943,0.1957,5379917.0
2022-10-07,0.1956,0.2077,0.1916,0.197,3867377.0
2022-10-08,0.197,0.2159,0.1962,0.1995,4993929.0
2022-10-09,0.1999,0.2022,0.1959,0.1996,1239851.0
2022-10-10,0.1992,0.2026,0.1906,0.1908,1703088.0
2022-10-11,0.1908,0.1908,0.1843,0.1868,1148026.0
2022-10-12,0.1868,0.1879,0.1856,0.1865,443421.0
2022-10-13,0.1865,0.1865,0.1675,0.1798,3024140.0
2022-10-14,0.1798,0.1845,0.1785,0.1802,1143015.0
2022-10-15,0.18,0.1823,0.1778,0.1812,1096255.0
2022-10-16,0.1811,0.1968,0.1811,0.186,6386933.0
2022-10-17,0.1862,0.2119,0.1832,0.1953,22696966.0
2022-10-18,0.1954,0.2082,0.1931,0.1957,8736942.0
2022-10-19,0.1957,0.1981,0.1833,0.184,4139881.0
2022-10-20,0.1842,0.1871,0.1818,0.1824,1256427.0
2022-10-21,0.1823,0.1915,0.1798,0.1862,4131737.0
2022-10-22,0.1864,0.202,0.1854,0.1935,9765875.0
2022-10-23,0.1934,0.1965,0.1874,0.1913,2792401.0
2022-10-24,0.1915,0.1956,0.1852,0.1889,2258902.0
2022-10-25,0.1888,0.197,0.1871,0.1923,1371330.0
2022-10-26,0.1925,0.204,0.1922,0.2001,3329891.0
2022-10-27,0.2002,0.2095,0.1994,0.1998,4140400.0
2022-10-28,0.1996,0.2045,0.1947,0.2018,1746823.0
2022-10-29,0.202,0.2046,0.1999,0.2025,1552363.0
2022-10-30,0.2019,0.211,0.2007,0.2076,3932214.0
2022-10-31,0.2078,0.2078,0.201,0.2046,1694171.0
2022-11-01,0.2045,0.2149,0.2037,0.207,3032262.0
2022-11-02,0.2067,0.2137,0.1956,0.197,3884604.0
2022-11-03,0.197,0.2054,0.196,0.2022,2189540.0
2022-11-04,0.202,0.2186,0.2016,0.2163,3136279.0
2022-11-05,0.2166,0.2196,0.2131,0.2164,2261068.0
2022-11-06,0.2164,0.2182,0.2058,0.2064,2559335.0
2022-11-07,0.2063,0.2063,0.1985,0.2009,1650237.0
