date,open,high,low,close,volume
2022-08-23,0.587,0.605,0.554,0.579,2587181.4
2022-08-24,0.578,0.579,0.553,0.565,1042604.4
2022-08-25,0.565,0.613,0.557,0.574,2770056.4
2022-08-26,0.574,0.574,0.517,0.523,2041120.3
2022-08-27,0.522,0.54,0.511,0.524,1046576.2
2022-08-28,0.523,0.527,0.501,0.503,902719.7
2022-08-29,0.502,0.521,0.485,0.521,1668264.0
2022-08-30,0.52,0.541,0.501,0.514,1858985.3
2022-08-31,0.514,0.531,0.512,0.52,1145936.0
2022-09-01,0.519,0.519,0.493,0.514,1043112.5
2022-09-02,0.515,0.528,0.502,0.51,1321415.0
2022-09-03,0.51,0.513,0.502,0.507,314758.5
2022-09-04,0.507,0.518,0.504,0.514,865116.6
2022-09-05,0.514,0.515,0.494,0.51,1374835.0
2022-09-06,0.51,0.523,0.464,0.477,4224070.8
2022-09-07,0.477,0.496,0.461,0.495,1420497.3
2022-09-08,0.494,0.56,0.482,0.51,5451033.7
2022-09-09,0.51,0.54,0.502,0.532,2286941.3
2022-09-10,0.532,0.61,0.521,0.542,3626507.0
2022-09-11,0.542,0.575,0.537,0.546,2640499.6
2022-09-12,0.545,0.592,0.536,0.555,2303444.4
2022-09-13,0.556,1.115,0.551,0.793,58063458.4
2022-09-14,0.792,0.866,0.619,0.63,15484736.1
2022-09-15,0.63,0.634,0.569,0.585,7932654.0
2022-09-16,0.585,0.598,0.515,0.531,11758711.7
2022-09-17,0.531,0.538,0.52,0.537,3712451.1
2022-09-18,0.537,0.537,0.477,0.486,3687894.7
2022-09-19,0.485,0.584,0.451,0.556,23887426.7
2022-09-20,0.556,0.615,0.511,0.525,26740245.0
2022-09-21,0.526,0.54,0.478,0.492,7800110.3
2022-09-22,0.491,0.511,0.483,0.509,3968548.6
2022-09-23,0.508,0.53,0.486,0.507,6672089.0
2022-09-24,0.507,0.508,0.494,0.496,2975499.4
2022-09-25,0.496,0.504,0.484,0.488,1368222.8
2022-09-26,0.489,0.5,0.465,0.489,3358809.1
