date,open,high,low,close,volume
2022-08-23,3.471,3.535,3.334,3.499,763920.0
2022-08-24,3.504,3.581,3.4,3.458,790116.6
2022-08-25,3.457,3.546,3.425,3.471,431350.5
2022-08-26,3.471,3.483,3.076,3.121,662657.7
2022-08-27,3.119,3.13,3.032,3.11,406460.8
2022-08-28,3.112,3.171,2.97,2.984,299843.5
2022-08-29,2.984,3.213,2.941,3.202,380595.3
2022-08-30,3.201,3.253,3.009,3.106,409415.7
2022-08-31,3.116,3.234,3.105,3.117,356016.9
2022-09-01,3.116,3.198,3.034,3.195,360333.7
2022-09-02,3.194,3.245,3.088,3.135,307485.7
2022-09-03,3.134,3.18,3.103,3.147,143529.7
2022-09-04,3.146,3.24,3.11,3.234,280993.1
2022-09-05,3.234,3.372,3.093,3.352,608251.2
2022-09-06,3.352,3.385,2.975,2.992,856762.8
2022-09-07,2.988,3.142,2.918,3.089,480590.2
2022-09-08,3.09,3.199,3.035,3.168,938987.2
2022-09-09,3.172,3.381,3.156,3.344,617846.8
2022-09-10,3.347,3.447,3.313,3.347,696524.1
2022-09-11,3.35,3.386,3.233,3.304,417945.6
2022-09-12,3.302,3.406,3.234,3.294,689526.6
2022-09-13,3.294,3.308,3.005,3.02,980911.0
2022-09-14,3.023,3.106,3.002,3.087,491102.4
2022-09-15,3.086,3.112,2.946,2.993,642373.7
2022-09-16,2.989,3.011,2.921,3.007,495224.7
2022-09-17,3.007,3.086,3.002,3.082,245032.9
2022-09-18,3.082,3.083,2.787,2.854,453498.5
2022-09-19,2.857,2.94,2.768,2.915,659496.9
2022-09-20,2.913,2.955,2.829,2.868,426305.2
2022-09-21,2.872,3.0,2.712,2.752,826496.2
2022-09-22,2.75,2.932,2.746,2.907,484775.7
2022-09-23,2.909,2.975,2.801,2.913,565721.6
2022-09-24,2.91,2.944,2.836,2.841,385323.6
2022-09-25,2.842,2.894,2.748,2.782,300630.7
2022-09-26,2.781,2.85,2.714,2.846,425055.7
2022-09-27,2.846,3.07,2.822,2.877,979627.8
2022-09-28,2.877,2.896,2.739,2.849,589820.3
2022-09-29,2.85,2.88,2.77,2.872,400077.5
2022-09-30,2.872,2.923,2.82,2.849,581564.0
2022-10-01,2.851,2.873,2.81,2.841,147824.2
2022-10-02,2.843,2.86,2.757,2.767,189557.5
2022-10-03,2.766,2.87,2.741,2.862,329396.7
2022-10-04,2.858,2.919,2.843,2.904,288401.6
2022-10-05,2.904,2.91,2.812,2.879,251443.3
2022-10-06,2.878,2.926,2.82,2.83,285213.2
2022-10-07,2.829,2.848,2.787,2.811,201270.3
2022-10-08,2.811,2.85,2.806,2.827,167215.0
2022-10-09,2.822,2.9,2.822,2.862,301831.3
2022-10-10,2.863,2.941,2.745,2.749,411611.7
2022-10-11,2.749,2.749,2.66,2.694,312033.4
2022-10-12,2.694,2.735,2.682,2.706,189175.7
2022-10-13,2.705,2.72,2.441,2.651,793075.2
2022-10-14,2.656,2.746,2.594,2.627,323110.3
2022-10-15,2.625,2.67,2.6,2.634,199098.4
2022-10-16,2.637,2.708,2.637,2.67,181808.8
2022-10-17,2.667,2.738,2.643,2.734,223321.1
2022-10-18,2.732,2.758,2.639,2.687,261064.3
2022-10-19,2.689,2.7,2.564,2.59,284732.9
2022-10-20,2.587,2.686,2.565,2.604,272831.3
2022-10-21,2.6,2.643,2.518,2.624,324985.9
2022-10-22,2.626,2.705,2.593,2.665,374526.6
2022-10-23,2.666,2.775,2.624,2.743,440758.4
2022-10-24,2.742,2.756,2.654,2.688,265649.8
2022-10-25,2.689,2.827,2.661,2.775,404271.8
2022-10-26,2.774,2.877,2.769,2.841,383707.4
2022-10-27,2.841,2.942,2.773,2.784,412208.6
2022-10-28,2.789,2.923,2.762,2.886,412641.6
2022-10-29,2.887,2.992,2.882,2.929,569948.4
2022-10-30,2.93,3.003,2.825,2.862,435761.8
2022-10-31,2.859,2.91,2.803,2.868,396367.8
2022-11-01,2.865,2.905,2.807,2.814,283691.0
2022-11-02,2.814,2.872,2.701,2.775,720895.0
2022-11-03,2.77,2.89,2.767,2.822,470526.6
2022-11-04,2.818,3.017,2.803,3.003,574234.2
2022-11-05,3.009,3.088,2.971,3.027,730911.7
2022-11-06,3.024,3.057,2.836,2.853,693380.1
