date,open,high,low,close,volume
2022-08-23,70.9,73.7,70.4,72.5,6321.579
2022-08-24,72.6,74.9,70.2,72.1,6252.037
2022-08-25,72.1,76.7,71.5,71.8,7087.288
2022-08-26,71.7,72.3,60.4,64.5,15349.795
2022-08-27,64.6,65.6,61.6,64.0,7175.425
2022-08-28,63.9,65.1,62.2,62.4,6513.816
2022-08-29,62.5,68.8,62.2,65.7,22538.023
2022-08-30,65.6,66.3,61.9,62.6,10149.769
2022-08-31,62.7,66.8,62.7,64.1,9734.291
2022-09-01,64.2,65.8,62.8,64.9,4853.967
2022-09-02,64.9,66.6,64.0,65.1,6924.207
2022-09-03,65.1,67.6,63.7,64.8,5577.383
2022-09-04,65.0,66.4,64.8,66.0,1921.23
2022-09-05,66.1,66.6,62.0,63.2,5262.043
2022-09-06,63.2,65.1,59.1,59.4,7508.745
2022-09-07,59.3,61.6,57.8,60.7,5214.919
2022-09-08,60.8,62.0,59.8,61.2,4814.117
2022-09-09,61.3,66.2,61.3,64.6,10121.76
2022-09-10,64.8,66.1,63.4,65.6,7381.694
2022-09-11,65.5,66.8,64.0,65.0,6635.563
2022-09-12,65.0,65.1,62.9,64.2,5529.588
2022-09-13,64.1,64.9,58.9,59.9,6994.451
2022-09-14,59.8,61.1,57.1,59.0,9228.067
2022-09-15,59.0,59.6,55.9,56.3,3693.229
2022-09-16,56.4,57.9,55.5,57.2,4793.731
2022-09-17,57.2,62.6,57.2,60.2,6339.53
2022-09-18,60.3,80.8,59.5,64.0,137779.805
2022-09-19,64.1,65.0,55.4,58.8,39155.366
2022-09-20,58.6,59.4,54.7,55.0,15138.136
2022-09-21,54.9,58.2,53.7,54.9,11963.359
2022-09-22,54.8,57.8,54.7,55.9,6644.956
2022-09-23,56.0,57.2,52.8,56.0,8631.741
2022-09-24,55.9,67.8,55.3,56.3,34917.787
2022-09-25,56.3,59.4,55.0,55.7,9505.303
2022-09-26,55.7,56.8,54.3,56.2,5781.014
2022-09-27,56.1,58.2,55.0,55.7,7314.821
2022-09-28,55.8,56.1,52.9,55.3,7993.084
2022-09-29,55.3,58.0,55.1,57.2,8191.558
2022-09-30,57.2,60.5,55.7,57.4,19351.683
2022-10-01,57.3,57.9,56.3,56.4,5882.702
2022-10-02,56.3,60.0,55.6,55.9,10296.778
2022-10-03,55.8,72.0,55.7,60.5,163443.58
2022-10-04,60.6,62.7,59.2,61.0,19771.912
2022-10-05,61.1,61.4,58.5,59.9,12357.205
2022-10-06,60.0,67.9,59.7,61.0,37299.643
2022-10-07,61.0,63.0,58.8,59.7,11934.921
2022-10-08,59.7,63.5,59.4,60.5,11889.077
2022-10-09,60.6,69.1,59.6,62.1,35785.733
2022-10-10,62.2,63.5,60.4,60.4,10604.691
2022-10-11,60.4,60.5,58.4,59.2,7547.619
2022-10-12,59.2,62.3,57.6,59.4,10373.495
