date,open,high,low,close,volume
2022-08-23,2.319,2.334,2.256,2.292,382655.0
2022-08-24,2.289,2.49,2.26,2.342,835124.3
2022-08-25,2.335,2.387,2.315,2.335,359294.3
2022-08-26,2.33,2.382,2.235,2.245,498936.3
2022-08-27,2.243,2.244,2.121,2.152,258478.8
2022-08-28,2.151,2.4,2.076,2.077,1116315.9
2022-08-29,2.08,2.138,2.042,2.132,292898.3
2022-08-30,2.133,2.204,2.045,2.08,435316.1
2022-08-31,2.079,2.183,2.079,2.127,388684.3
2022-09-01,2.13,2.43,2.103,2.245,3492398.2
2022-09-02,2.247,2.491,2.237,2.249,2158431.4
2022-09-03,2.248,2.407,2.236,2.269,640822.1
2022-09-04,2.269,2.37,2.25,2.308,331009.1
2022-09-05,2.308,2.337,2.25,2.305,325407.6
2022-09-06,2.308,2.395,2.226,2.242,591344.7
2022-09-07,2.243,2.73,2.24,2.476,3831551.5
2022-09-08,2.476,3.001,2.401,2.606,3515758.9
2022-09-09,2.609,2.807,2.556,2.583,995463.3
2022-09-10,2.585,2.638,2.553,2.606,379866.4
2022-09-11,2.608,2.665,2.553,2.638,359314.7
2022-09-12,2.634,2.65,2.44,2.453,381197.9
2022-09-13,2.454,2.504,2.321,2.329,281757.9
2022-09-14,2.322,2.418,2.268,2.346,390737.8
2022-09-15,2.348,2.389,2.23,2.246,360472.4
2022-09-16,2.237,2.317,2.105,2.123,904137.1
2022-09-17,2.124,2.193,2.124,2.182,313521.1
2022-09-18,2.187,2.28,2.08,2.097,431637.2
2022-09-19,2.09,2.106,1.988,2.07,430341.1
2022-09-20,2.066,2.087,1.922,1.934,406991.5
2022-09-21,1.931,2.003,1.889,1.923,332546.6
2022-09-22,1.919,1.995,1.918,1.982,182776.3
2022-09-23,1.982,2.042,1.908,1.978,350094.2
2022-09-24,1.978,2.389,1.944,2.118,2089194.8
2022-09-25,2.115,2.296,2.014,2.024,1245649.8
2022-09-26,2.025,2.038,1.962,1.994,365529.6
2022-09-27,1.995,2.085,1.969,1.983,404563.4
2022-09-28,1.98,2.073,1.888,2.023,371364.6
2022-09-29,2.022,2.198,1.982,2.028,1257779.7
2022-09-30,2.03,2.042,1.988,2.006,238956.0
2022-10-01,2.001,2.024,1.988,2.003,87123.3
2022-10-02,1.998,2.188,1.985,1.99,1509342.5
2022-10-03,1.989,2.077,1.973,2.02,335521.6
2022-10-04,2.021,2.041,1.992,2.023,231077.6
2022-10-05,2.023,2.413,2.007,2.139,6170731.6
2022-10-06,2.139,2.285,2.07,2.076,1338979.6
2022-10-07,2.077,2.08,1.996,2.011,504857.4
2022-10-08,2.016,2.114,2.006,2.019,392782.8
2022-10-09,2.02,2.105,2.0,2.025,304026.4
2022-10-10,2.023,2.089,1.963,1.98,338889.0
2022-10-11,1.98,1.992,1.934,1.943,390362.3
2022-10-12,1.941,1.972,1.909,1.921,194298.7
2022-10-13,1.918,1.92,1.74,1.854,442148.0
2022-10-14,1.852,2.011,1.843,1.926,715356.1
2022-10-15,1.922,2.047,1.922,1.943,779867.5
2022-10-16,1.943,2.158,1.939,2.081,1299849.3
2022-10-17,2.083,2.094,1.997,2.021,462890.5
2022-10-18,2.022,2.076,1.963,1.999,436779.0
2022-10-19,2.001,2.002,1.876,1.888,430838.9
2022-10-20,1.888,2.118,1.87,1.968,1234001.0
2022-10-21,1.968,1.968,1.863,1.928,351123.6
2022-10-22,1.923,2.145,1.912,2.039,1537805.5
2022-10-23,2.042,2.088,1.978,1.999,524246.3
2022-10-24,1.995,2.027,1.962,1.976,374669.5
2022-10-25,1.973,2.056,1.967,2.006,229037.4
