date,open,high,low,close,volume
2022-08-23,0.214,0.223,0.21,0.22,3814251.6
2022-08-24,0.22,0.225,0.215,0.218,2300723.7
2022-08-25,0.218,0.224,0.215,0.218,2039014.6
2022-08-26,0.218,0.222,0.195,0.197,3783552.8
2022-08-27,0.196,0.2,0.193,0.194,3004760.4
2022-08-28,0.195,0.206,0.189,0.189,1900825.0
2022-08-29,0.189,0.239,0.188,0.203,13997825.2
2022-08-30,0.202,0.209,0.193,0.196,2378038.5
2022-08-31,0.196,0.206,0.194,0.201,3349467.4
2022-09-01,0.201,0.23,0.195,0.204,11251196.5
2022-09-02,0.204,0.207,0.198,0.199,2970357.0
2022-09-03,0.199,0.211,0.199,0.204,2622139.2
2022-09-04,0.204,0.217,0.202,0.206,3819284.1
2022-09-05,0.206,0.227,0.201,0.205,7319981.9
2022-09-06,0.205,0.21,0.189,0.19,5892644.8
2022-09-07,0.189,0.202,0.185,0.198,3724922.4
2022-09-08,0.198,0.202,0.194,0.199,3114114.1
2022-09-09,0.199,0.216,0.199,0.212,3473784.4
2022-09-10,0.213,0.216,0.207,0.21,3352477.2
2022-09-11,0.211,0.215,0.208,0.21,2120487.1
2022-09-12,0.209,0.214,0.204,0.205,2667568.7
2022-09-13,0.205,0.206,0.189,0.192,2994573.2
2022-09-14,0.191,0.194,0.185,0.189,2109207.6
2022-09-15,0.189,0.196,0.183,0.192,4593909.0
2022-09-16,0.191,0.192,0.182,0.184,1836974.4
2022-09-17,0.185,0.214,0.185,0.192,6693784.4
2022-09-18,0.192,0.193,0.176,0.177,1750989.5
2022-09-19,0.177,0.18,0.167,0.179,2491913.0
2022-09-20,0.178,0.198,0.171,0.174,11447241.1
2022-09-21,0.175,0.181,0.165,0.169,4199419.2
2022-09-22,0.169,0.177,0.167,0.176,3087428.5
2022-09-23,0.175,0.18,0.166,0.174,6410057.3
2022-09-24,0.174,0.178,0.169,0.17,4638593.4
2022-09-25,0.17,0.171,0.16,0.16,3864872.5
2022-09-26,0.16,0.163,0.156,0.161,3422722.5
2022-09-27,0.161,0.169,0.155,0.158,4786370.8
2022-09-28,0.158,0.16,0.15,0.157,4463078.7
2022-09-29,0.158,0.185,0.157,0.169,40394497.5
2022-09-30,0.169,0.172,0.162,0.163,9357066.7
2022-10-01,0.163,0.164,0.158,0.158,5666779.8
2022-10-02,0.158,0.162,0.154,0.156,3809629.7
2022-10-03,0.155,0.156,0.146,0.154,8695071.1
2022-10-04,0.155,0.169,0.154,0.157,11414117.2
2022-10-05,0.158,0.159,0.152,0.156,4067901.6
2022-10-06,0.156,0.166,0.155,0.156,5621621.2
2022-10-07,0.155,0.158,0.152,0.155,2783892.5
2022-10-08,0.154,0.162,0.154,0.156,4566997.3
2022-10-09,0.157,0.168,0.156,0.157,8173834.0
2022-10-10,0.157,0.161,0.15,0.152,4880734.9
2022-10-11,0.151,0.151,0.145,0.1457,3836328.8
2022-10-12,0.1457,0.1554,0.1457,0.1514,4941720.3
2022-10-13,0.1517,0.1522,0.1301,0.141,6779504.5
2022-10-14,0.141,0.161,0.1407,0.1476,13859502.5
2022-10-15,0.1479,0.1481,0.1424,0.1458,5086689.7
2022-10-16,0.1457,0.1677,0.1457,0.1541,22730624.2
2022-10-17,0.1542,0.1589,0.15,0.1528,7448604.1
2022-10-18,0.1527,0.1533,0.1457,0.1467,3702682.4
2022-10-19,0.1467,0.15,0.1421,0.1428,4346642.7
2022-10-20,0.1428,0.1475,0.1419,0.1443,1817531.2
2022-10-21,0.1441,0.1485,0.14,0.1472,2507575.1
2022-10-22,0.1471,0.154,0.1464,0.1529,7981952.5
2022-10-23,0.1528,0.1534,0.1485,0.1528,3608070.3
2022-10-24,0.153,0.1531,0.1481,0.15,2147700.6
2022-10-25,0.1499,0.1605,0.1489,0.1529,4349361.9
2022-10-26,0.1532,0.1578,0.1526,0.1539,3374330.9
2022-10-27,0.154,0.1571,0.1499,0.1509,3168965.7
2022-10-28,0.1505,0.1593,0.1474,0.1561,3980272.7
2022-10-29,0.1562,0.16,0.1549,0.1563,3928216.9
2022-10-30,0.1561,0.165,0.1529,0.1538,5706895.6
2022-10-31,0.1537,0.1552,0.1505,0.1518,2840111.8
2022-11-01,0.1517,0.1659,0.1513,0.1536,9925186.9
2022-11-02,0.1535,0.154,0.1485,0.1508,3246444.8
2022-11-03,0.1508,0.1649,0.1505,0.1563,7043186.1
2022-11-04,0.1559,0.168,0.1556,0.1648,6935614.1
2022-11-05,0.1649,0.1729,0.164,0.1682,6471386.6
2022-11-06,0.1681,0.1693,0.1616,0.162,3193323.3
2022-11-07,0.162,0.1625,0.1551,0.1589,3579050.1
2022-11-08,0.1589,0.1593,0.1134,0.1269,9926729.6
2022-11-09,0.1277,0.1279,0.0957,0.1023,16583380.8
2022-11-10,0.1018,0.1188,0.1003,0.1159,5155008.9
2022-11-11,0.116,0.1165,0.1072,0.1127,5658523.6
2022-11-12,0.1128,0.1129,0.0984,0.1041,4108130.2
2022-11-13,0.104,0.1109,0.0991,0.1065,8456745.3
2022-11-14,0.1065,0.1168,0.101,0.1095,11096926.1
2022-11-15,0.1098,0.1145,0.1067,0.1086,4508642.8
2022-11-16,0.1085,0.1098,0.1051,0.1059,3348096.0
2022-11-17,0.1058,0.1068,0.1025,0.1041,4422799.3
2022-11-18,0.104,0.1155,0.1035,0.1046,11735307.0
2022-11-19,0.1047,0.106,0.102,0.104,4568169.1
2022-11-20,0.1041,0.1236,0.1032,0.1048,19597729.6
2022-11-21,0.105,0.1389,0.1035,0.1083,21935202.1
2022-11-22,0.1084,0.1126,0.1015,0.1085,7748899.7
2022-11-23,0.1085,0.14,0.1077,0.1238,34467623.9
2022-11-24,0.1236,0.1775,0.1218,0.1304,116127802.3
2022-11-25,0.1304,0.1341,0.1221,0.1241,16312079.8
2022-11-26,0.1242,0.1277,0.1189,0.1244,11320469.7
2022-11-27,0.124,0.1275,0.1198,0.1228,7259249.8
2022-11-28,0.1224,0.1242,0.1132,0.1178,10381417.2
2022-11-29,0.1178,0.1228,0.1165,0.1179,7037269.2
2022-11-30,0.1179,0.15,0.117,0.125,48025923.9
2022-12-01,0.125,0.1419,0.1236,0.1285,20984834.3
2022-12-02,0.1286,0.1338,0.1259,0.1282,9036716.1
2022-12-03,0.1282,0.1291,0.1242,0.1261,5029935.7
2022-12-04,0.1261,0.131,0.1219,0.1262,7263540.9
2022-12-05,0.1263,0.1289,0.1227,0.1266,4321094.7
2022-12-06,0.1266,0.129,0.1236,0.1254,5639116.3
2022-12-07,0.1254,0.1261,0.1178,0.1206,3894637.8
2022-12-08,0.1206,0.124,0.1201,0.1227,4175016.3
2022-12-09,0.1227,0.1243,0.1207,0.1226,2656181.7
2022-12-10,0.1228,0.1329,0.1215,0.1234,15344159.0
2022-12-11,0.1234,0.1238,0.1201,0.1205,2796184.8
2022-12-12,0.1205,0.1206,0.1154,0.1173,4161480.0
2022-12-13,0.1174,0.1187,0.1121,0.1164,5888750.3
2022-12-14,0.1164,0.1203,0.1163,0.1173,4191284.6
2022-12-15,0.1174,0.1175,0.1075,0.1085,7675956.8
2022-12-16,0.1085,0.1093,0.0939,0.0945,6749631.5
2022-12-17,0.0946,0.1004,0.093,0.097,5388889.8
2022-12-18,0.097,0.0976,0.0932,0.0961,4395283.5
2022-12-19,0.0961,0.111,0.0933,0.0949,25086770.7
2022-12-20,0.0947,0.1085,0.0936,0.0992,14423052.7
2022-12-21,0.0991,0.0993,0.0945,0.0955,4272347.9
2022-12-22,0.0955,0.0958,0.0905,0.0931,4347105.8
2022-12-23,0.093,0.0935,0.0886,0.0897,7941628.0
