date,open,high,low,close,volume
2023-03-30,0.2745,0.448,0.2745,0.3894,191615772.0
2023-03-31,0.3895,0.3945,0.352,0.3706,69373519.0
2023-04-01,0.3711,0.3855,0.3578,0.3597,36324211.0
2023-04-02,0.3598,0.3642,0.3253,0.3351,37006446.0
2023-04-03,0.3356,0.3458,0.3076,0.3224,39675124.0
2023-04-04,0.3223,0.37,0.3203,0.3628,64243998.0
2023-04-05,0.3629,0.372,0.3409,0.3437,46104206.0
2023-04-06,0.3438,0.3474,0.3177,0.3321,40828250.0
2023-04-07,0.3322,0.3435,0.3201,0.3263,34688652.0
2023-04-08,0.3263,0.3384,0.3175,0.3236,23964425.0
2023-04-09,0.3236,0.3339,0.3087,0.3271,28595403.0
2023-04-10,0.3273,0.3349,0.312,0.3305,27260326.0
2023-04-11,0.3304,0.338,0.32,0.3214,23923540.0
2023-04-12,0.3213,0.3213,0.3021,0.3107,31847503.0
2023-04-13,0.3106,0.3599,0.3053,0.3574,82829058.0
2023-04-14,0.3574,0.4318,0.3478,0.4137,193452388.0
2023-04-15,0.4137,0.496,0.404,0.4712,227210478.0
2023-04-16,0.4714,0.4939,0.4355,0.4586,117552779.0
2023-04-17,0.4584,0.4586,0.4225,0.4361,85399427.0
2023-04-18,0.4363,0.487,0.4235,0.4535,129531067.0
2023-04-19,0.4535,0.4653,0.3875,0.4229,119655636.0
2023-04-20,0.4235,0.4744,0.4039,0.4224,155597346.0
2023-04-21,0.4222,0.4415,0.3814,0.3928,110800934.0
2023-04-22,0.3925,0.4187,0.38,0.4112,67678247.0
2023-04-23,0.4112,0.4125,0.3742,0.3865,47917083.0
2023-04-24,0.3865,0.3976,0.3676,0.3844,49291109.0
2023-04-25,0.3843,0.4055,0.3608,0.4021,62761523.0
2023-04-26,0.4021,0.4377,0.3785,0.4114,94905463.0
2023-04-27,0.4115,0.4309,0.4031,0.4138,52995915.0
2023-04-28,0.4137,0.4163,0.3804,0.3873,46469431.0
2023-04-29,0.3874,0.3979,0.3826,0.3862,26911086.0
2023-04-30,0.3862,0.4132,0.3737,0.3904,49626788.0
2023-05-01,0.3908,0.3928,0.3618,0.3711,34780010.0
2023-05-02,0.3711,0.3955,0.3656,0.3875,50021815.0
2023-05-03,0.3878,0.402,0.3613,0.3922,58176723.0
2023-05-04,0.3922,0.41,0.3887,0.3963,43124891.0
2023-05-05,0.3963,0.433,0.395,0.4236,68790905.0
2023-05-06,0.4235,0.4286,0.367,0.3766,67175517.0
2023-05-07,0.3766,0.3903,0.3714,0.3719,31037217.0
2023-05-08,0.3721,0.375,0.3105,0.3244,71799857.0
2023-05-09,0.3245,0.3364,0.3184,0.3291,36034074.0
2023-05-10,0.3292,0.36,0.3139,0.334,62390305.0
2023-05-11,0.3341,0.3347,0.2897,0.2979,50337951.0
2023-05-12,0.2976,0.3096,0.2834,0.308,42786411.0
2023-05-13,0.3079,0.3081,0.29,0.2929,24578207.0
2023-05-14,0.2931,0.3149,0.2854,0.3054,29062472.0
2023-05-15,0.3052,0.3221,0.2952,0.3131,36031490.0
2023-05-16,0.3131,0.3156,0.3003,0.3081,28803910.0
2023-05-17,0.3082,0.3265,0.2961,0.3218,33739238.0
2023-05-18,0.3219,0.3313,0.3033,0.3099,23888368.0
2023-05-19,0.31,0.3214,0.3049,0.3114,14569218.0
2023-05-20,0.3116,0.3163,0.3066,0.3112,9610066.0
2023-05-21,0.3113,0.3124,0.3008,0.3026,10554407.0
2023-05-22,0.3026,0.304,0.2917,0.3003,14695161.0
2023-05-23,0.3003,0.3138,0.2983,0.309,19723573.0
2023-05-24,0.3089,0.3089,0.2843,0.2934,17907844.0
2023-05-25,0.2937,0.307,0.2845,0.3042,15631683.0
2023-05-26,0.3042,0.3161,0.2985,0.3094,22567032.0
2023-05-27,0.3095,0.3136,0.3024,0.3085,12087588.0
2023-05-28,0.3086,0.329,0.3057,0.324,24210868.0
2023-05-29,0.3242,0.3284,0.3077,0.3111,22508269.0
2023-05-30,0.3111,0.3228,0.3082,0.3159,17983204.0
2023-05-31,0.3159,0.3222,0.2945,0.302,20594149.0
2023-06-01,0.3021,0.306,0.2908,0.3,12777462.0
2023-06-02,0.2998,0.3338,0.2956,0.3287,52184373.0
2023-06-03,0.3287,0.3415,0.3229,0.3322,36359021.0
2023-06-04,0.3323,0.3363,0.3207,0.3232,19928376.0
2023-06-05,0.3231,0.3238,0.2496,0.2738,60780339.0
2023-06-06,0.2738,0.3057,0.2666,0.3005,50482200.0
2023-06-07,0.3006,0.3033,0.2777,0.2912,52145382.0
2023-06-08,0.291,0.3169,0.287,0.2952,52546055.0
2023-06-09,0.2952,0.3074,0.2886,0.2964,27438283.0
2023-06-10,0.2961,0.2967,0.2453,0.2538,76397766.0
2023-06-11,0.2539,0.2573,0.2488,0.2499,16967792.0
2023-06-12,0.2498,0.2578,0.2371,0.2551,31759958.0
