date,open,high,low,close,volume
2022-08-23,0.119,0.1202,0.1159,0.1188,1920373.0
2022-08-24,0.1187,0.1229,0.1156,0.1182,2447345.0
2022-08-25,0.1182,0.1203,0.1177,0.1187,2265354.0
2022-08-26,0.1186,0.1201,0.1102,0.1105,4141593.0
2022-08-27,0.1103,0.1113,0.1065,0.1088,3003718.0
2022-08-28,0.1087,0.1117,0.1046,0.1046,2811746.0
2022-08-29,0.1046,0.1092,0.1032,0.1092,2697740.0
2022-08-30,0.1093,0.1114,0.104,0.1073,3505120.0
2022-08-31,0.1074,0.1267,0.1074,0.1094,21579689.0
2022-09-01,0.1095,0.11,0.1049,0.1085,4727752.0
2022-09-02,0.1083,0.1102,0.106,0.1063,2013414.0
2022-09-03,0.1062,0.1084,0.1062,0.107,1129084.0
2022-09-04,0.107,0.1219,0.1061,0.1137,23280337.0
2022-09-05,0.1137,0.1363,0.1113,0.1186,81992032.0
2022-09-06,0.1187,0.123,0.1127,0.1134,9882758.0
2022-09-07,0.1137,0.14,0.1124,0.1221,48479340.0
2022-09-08,0.1221,0.1235,0.1179,0.1184,11147211.0
2022-09-09,0.1185,0.129,0.1178,0.1241,8713021.0
2022-09-10,0.124,0.1255,0.1205,0.1222,4034119.0
2022-09-11,0.1223,0.1289,0.1215,0.1238,5332417.0
2022-09-12,0.1238,0.1342,0.1232,0.132,12799475.0
2022-09-13,0.132,0.1394,0.117,0.1177,10985034.0
2022-09-14,0.1175,0.12,0.115,0.1195,3951704.0
2022-09-15,0.1195,0.1204,0.1131,0.1135,2696552.0
2022-09-16,0.1135,0.12,0.1096,0.1099,12928912.0
2022-09-17,0.11,0.1138,0.1083,0.1129,3173215.0
2022-09-18,0.1128,0.1157,0.1063,0.1065,3444151.0
2022-09-19,0.1065,0.1119,0.1026,0.1091,4639170.0
2022-09-20,0.1091,0.1103,0.1025,0.1031,3054213.0
2022-09-21,0.103,0.1066,0.0991,0.1012,5327593.0
2022-09-22,0.1009,0.1048,0.1008,0.1048,2174123.0
2022-09-23,0.1046,0.1067,0.1023,0.1056,2761269.0
2022-09-24,0.1058,0.1066,0.104,0.1042,1481705.0
2022-09-25,0.1043,0.1057,0.1012,0.1014,1275681.0
2022-09-26,0.1015,0.1038,0.1,0.1013,2761057.0
2022-09-27,0.1013,0.1055,0.1008,0.1018,2289536.0
2022-09-28,0.1019,0.1034,0.0983,0.1021,2861383.0
2022-09-29,0.1021,0.1182,0.102,0.1062,70176021.0
2022-09-30,0.1065,0.1078,0.1045,0.1052,5488777.0
2022-10-01,0.1054,0.1054,0.101,0.1026,2987393.0
2022-10-02,0.1026,0.1166,0.1016,0.1023,17791004.0
2022-10-03,0.1023,0.1061,0.1015,0.1047,7552889.0
2022-10-04,0.1046,0.1079,0.1037,0.1068,4328559.0
2022-10-05,0.1068,0.1074,0.104,0.1058,3668064.0
2022-10-06,0.1058,0.1069,0.104,0.1042,1620773.0
2022-10-07,0.1042,0.105,0.1026,0.103,2138615.0
2022-10-08,0.1031,0.1046,0.1021,0.1028,1266230.0
2022-10-09,0.1027,0.1057,0.102,0.1038,2306906.0
2022-10-10,0.1038,0.1064,0.1019,0.1059,3170332.0
2022-10-11,0.1058,0.1059,0.0869,0.0978,5414942.0
2022-10-12,0.0978,0.0987,0.0953,0.096,1624100.0
2022-10-13,0.0961,0.0963,0.0897,0.0953,3159506.0
2022-10-14,0.0952,0.0979,0.0934,0.0941,1617617.0
2022-10-15,0.0943,0.1835,0.0935,0.1391,162916408.0
2022-10-16,0.1391,0.1898,0.112,0.1163,335389955.0
2022-10-17,0.1161,0.1207,0.1105,0.1153,35246631.0
2022-10-18,0.1151,0.1248,0.1112,0.1142,39797634.0
2022-10-19,0.1142,0.116,0.1071,0.1083,14519476.0
2022-10-20,0.1085,0.1122,0.1049,0.1085,13922419.0
2022-10-21,0.1082,0.116,0.1061,0.1095,30951391.0
2022-10-22,0.1095,0.1108,0.1055,0.1072,7908411.0
2022-10-23,0.1072,0.1083,0.1052,0.1079,4321862.0
2022-10-24,0.1079,0.108,0.1036,0.1052,4014578.0
2022-10-25,0.1051,0.1098,0.1035,0.1085,5366856.0
2022-10-26,0.1088,0.111,0.1084,0.1098,3194666.0
2022-10-27,0.1099,0.1186,0.1087,0.1094,27181132.0
2022-10-28,0.1095,0.1119,0.1071,0.1095,6245494.0
2022-10-29,0.1096,0.1148,0.1092,0.11,6121844.0
2022-10-30,0.11,0.115,0.1083,0.1088,6954428.0
2022-10-31,0.1089,0.1099,0.1067,0.1098,3405091.0
2022-11-01,0.1098,0.1225,0.1079,0.11,22262903.0
2022-11-02,0.1099,0.1113,0.1071,0.1083,4455164.0
2022-11-03,0.1082,0.1158,0.1076,0.1087,6347196.0
