date,open,high,low,close,volume
2022-08-23,0.0655,0.0675,0.0646,0.0673,6846758.0
2022-08-24,0.0674,0.068,0.0659,0.0669,7663474.0
2022-08-25,0.0669,0.0698,0.0668,0.0676,11672487.0
2022-08-26,0.0675,0.0716,0.0623,0.0626,27273991.0
2022-08-27,0.0627,0.0627,0.0605,0.0608,6009174.0
2022-08-28,0.0607,0.0615,0.0595,0.0604,5925751.0
2022-08-29,0.0605,0.0619,0.0591,0.0617,6727471.0
2022-08-30,0.0617,0.0757,0.0614,0.0617,64143270.0
2022-08-31,0.0618,0.0648,0.0618,0.0622,19220449.0
2022-09-01,0.0621,0.0638,0.0598,0.0612,15054958.0
2022-09-02,0.0613,0.0633,0.061,0.0619,6575049.0
2022-09-03,0.062,0.0622,0.0605,0.0608,3346545.0
2022-09-04,0.0608,0.064,0.0605,0.0625,9543625.0
2022-09-05,0.0627,0.0629,0.0616,0.0625,4529398.0
2022-09-06,0.0624,0.0655,0.0602,0.0605,12299641.0
2022-09-07,0.0604,0.0611,0.059,0.0605,5700532.0
2022-09-08,0.0607,0.0628,0.0601,0.0618,12515992.0
2022-09-09,0.0617,0.0645,0.0616,0.064,9680775.0
2022-09-10,0.064,0.0671,0.0639,0.067,11049476.0
2022-09-11,0.067,0.0674,0.0651,0.0662,7358686.0
2022-09-12,0.0663,0.0674,0.0654,0.0654,8104777.0
2022-09-13,0.0656,0.0657,0.0589,0.059,9146341.0
2022-09-14,0.0591,0.0617,0.0588,0.0601,11454660.0
2022-09-15,0.06,0.0604,0.0584,0.0585,4173109.0
2022-09-16,0.0586,0.0587,0.0567,0.0575,2770324.0
2022-09-17,0.0575,0.0598,0.0575,0.0594,3396230.0
2022-09-18,0.0594,0.0597,0.0564,0.0565,4279735.0
2022-09-19,0.0564,0.0565,0.0538,0.0563,4007363.0
2022-09-20,0.0563,0.0568,0.0553,0.0554,3114952.0
2022-09-21,0.0555,0.0588,0.0546,0.055,13821421.0
2022-09-22,0.0549,0.0606,0.0546,0.0589,16349674.0
2022-09-23,0.059,0.059,0.0555,0.0569,7953243.0
2022-09-24,0.0569,0.0569,0.055,0.0553,4140222.0
2022-09-25,0.0554,0.0557,0.0548,0.055,2067028.0
2022-09-26,0.055,0.058,0.0548,0.0562,8683895.0
2022-09-27,0.0562,0.0596,0.0558,0.0569,6794920.0
2022-09-28,0.057,0.0578,0.0558,0.0574,2882448.0
2022-09-29,0.0575,0.0577,0.0558,0.0574,6420875.0
2022-09-30,0.0575,0.0613,0.0573,0.0576,22918782.0
2022-10-01,0.0577,0.058,0.0573,0.0574,1259095.0
2022-10-02,0.0575,0.0577,0.056,0.0562,1908420.0
2022-10-03,0.0561,0.0579,0.0561,0.0578,2954156.0
2022-10-04,0.0577,0.0593,0.0574,0.0592,4301559.0
2022-10-05,0.0592,0.0592,0.058,0.0585,2114830.0
2022-10-06,0.0584,0.0627,0.0584,0.0588,10778713.0
2022-10-07,0.0588,0.0589,0.0567,0.0569,3800804.0
2022-10-08,0.0569,0.0571,0.0564,0.057,1462745.0
2022-10-09,0.0568,0.0607,0.0564,0.057,12519166.0
2022-10-10,0.057,0.0588,0.0564,0.0565,7577932.0
2022-10-11,0.0564,0.0564,0.0548,0.0548,3398049.0
2022-10-12,0.0549,0.055,0.054,0.0544,2282840.0
2022-10-13,0.0546,0.0546,0.0509,0.053,6925791.0
2022-10-14,0.053,0.0542,0.0523,0.0525,2924670.0
2022-10-15,0.0525,0.0538,0.052,0.0529,5274209.0
2022-10-16,0.0529,0.094,0.0528,0.0565,215008684.0
2022-10-17,0.0565,0.0568,0.0492,0.0537,30943222.0
2022-10-18,0.0537,0.0541,0.0511,0.0515,11965547.0
2022-10-19,0.0516,0.0566,0.0502,0.0535,25884571.0
2022-10-20,0.0537,0.0548,0.0509,0.0512,9270454.0
2022-10-21,0.051,0.0521,0.0508,0.052,3082324.0
2022-10-22,0.0518,0.0542,0.0517,0.0528,6533720.0
2022-10-23,0.0528,0.053,0.0512,0.0525,4585448.0
2022-10-24,0.0527,0.0527,0.0518,0.052,2505677.0
2022-10-25,0.0519,0.0542,0.0515,0.0536,6091373.0
2022-10-26,0.0536,0.0544,0.0532,0.0539,2552678.0
2022-10-27,0.0538,0.0573,0.0535,0.054,12168517.0
2022-10-28,0.054,0.0541,0.0521,0.0538,4798993.0
2022-10-29,0.0538,0.0561,0.0537,0.0543,7102396.0
2022-10-30,0.0543,0.0553,0.054,0.0546,4915090.0
2022-10-31,0.0548,0.0555,0.0538,0.0542,3008554.0
2022-11-01,0.0542,0.0562,0.0537,0.0542,11722868.0
2022-11-02,0.0542,0.0543,0.0524,0.0526,6045087.0
2022-11-03,0.0525,0.0545,0.0525,0.0537,7736328.0
2022-11-04,0.0537,0.0572,0.0537,0.057,14774596.0
2022-11-05,0.0571,0.0578,0.0561,0.0563,4745618.0
2022-11-06,0.0562,0.0564,0.0543,0.0544,4017319.0
2022-11-07,0.0543,0.0549,0.0532,0.0536,3913155.0
2022-11-08,0.0535,0.0535,0.0437,0.0449,12323041.0
2022-11-09,0.045,0.045,0.0358,0.0361,7894343.0
2022-11-10,0.036,0.0417,0.036,0.041,7608172.0
2022-11-11,0.041,0.041,0.0382,0.0388,4092694.0
2022-11-12,0.0389,0.0393,0.0383,0.0388,2617324.0
2022-11-13,0.0389,0.0392,0.0381,0.0384,4061461.0
2022-11-14,0.0384,0.0387,0.037,0.0378,5403981.0
2022-11-15,0.038,0.0399,0.0378,0.0389,4548374.0
2022-11-16,0.039,0.0393,0.0378,0.0384,2435741.0
2022-11-17,0.0384,0.0418,0.0376,0.0395,10269467.0
2022-11-18,0.0395,0.0498,0.0382,0.0388,51940562.0
2022-11-19,0.0387,0.0388,0.0375,0.0381,4815770.0
2022-11-20,0.038,0.0405,0.0375,0.0377,13781983.0
2022-11-21,0.0378,0.038,0.0363,0.0369,6151147.0
2022-11-22,0.0367,0.038,0.036,0.0378,3629860.0
2022-11-23,0.0377,0.0436,0.0377,0.039,21900077.0
2022-11-24,0.0391,0.0395,0.0387,0.0391,5109633.0
2022-11-25,0.039,0.0394,0.0379,0.0391,3681179.0
2022-11-26,0.0392,0.0431,0.0388,0.0394,17959717.0
2022-11-27,0.0394,0.042,0.0393,0.0398,9291926.0
