date,open,high,low,close,volume
2022-08-23,1.359,1.369,1.258,1.303,2391880.8
2022-08-24,1.303,1.691,1.263,1.539,11867398.7
2022-08-25,1.541,1.588,1.385,1.39,6369244.4
2022-08-26,1.389,1.41,1.232,1.248,2983066.5
2022-08-27,1.247,1.392,1.236,1.372,5079434.3
2022-08-28,1.373,1.374,1.188,1.201,2899955.4
2022-08-29,1.201,1.267,1.19,1.26,1936339.5
2022-08-30,1.261,1.302,1.161,1.189,3721396.1
2022-08-31,1.189,1.248,1.131,1.139,2103028.6
2022-09-01,1.139,1.151,1.084,1.143,1861608.8
2022-09-02,1.143,1.166,1.079,1.104,1759341.8
2022-09-03,1.105,1.165,1.087,1.134,1472200.0
2022-09-04,1.135,1.144,1.102,1.124,1024515.8
2022-09-05,1.125,1.146,1.101,1.14,1235829.9
2022-09-06,1.141,1.178,1.02,1.02,3139908.0
2022-09-07,1.02,1.275,1.009,1.233,4985232.4
2022-09-08,1.234,1.273,1.184,1.215,5008431.2
2022-09-09,1.214,1.361,1.207,1.35,2904076.7
2022-09-10,1.351,1.376,1.302,1.321,1839560.1
2022-09-11,1.322,1.386,1.28,1.315,1955907.5
2022-09-12,1.314,1.44,1.284,1.396,3984311.3
2022-09-13,1.395,1.454,1.243,1.244,5078037.7
2022-09-14,1.245,1.272,1.188,1.229,1715236.0
2022-09-15,1.229,1.32,1.194,1.213,2172549.2
2022-09-16,1.215,1.305,1.196,1.232,5187007.1
2022-09-17,1.231,1.266,1.216,1.244,1471745.3
2022-09-18,1.245,1.335,1.21,1.224,4114026.1
2022-09-19,1.223,1.258,1.132,1.177,3898605.1
2022-09-20,1.175,1.255,1.167,1.202,3148863.9
2022-09-21,1.202,1.34,1.174,1.206,5079311.5
2022-09-22,1.207,1.257,1.183,1.241,2333093.8
2022-09-23,1.242,1.312,1.208,1.266,3791206.9
2022-09-24,1.267,1.279,1.166,1.174,2290797.4
2022-09-25,1.174,1.194,1.154,1.167,1324163.0
2022-09-26,1.167,1.201,1.122,1.2,2425976.9
2022-09-27,1.2,1.236,1.149,1.187,2461276.2
2022-09-28,1.187,1.205,1.127,1.187,1096923.4
2022-09-29,1.186,1.215,1.163,1.208,1164525.7
2022-09-30,1.21,1.233,1.181,1.193,1477245.2
2022-10-01,1.193,1.216,1.189,1.197,536599.8
2022-10-02,1.197,1.208,1.166,1.191,799449.5
2022-10-03,1.19,1.256,1.177,1.228,1680282.0
2022-10-04,1.228,1.301,1.228,1.267,1340100.4
2022-10-05,1.266,1.297,1.239,1.254,1055774.3
2022-10-06,1.254,1.278,1.234,1.259,916605.8
2022-10-07,1.259,1.296,1.226,1.238,1182150.3
2022-10-08,1.238,1.242,1.197,1.209,364160.5
2022-10-09,1.209,1.236,1.201,1.223,287162.9
2022-10-10,1.222,1.245,1.165,1.171,1541526.1
2022-10-11,1.172,1.172,1.097,1.104,819485.9
2022-10-12,1.105,1.125,1.081,1.086,404026.7
2022-10-13,1.086,1.116,1.0,1.088,1195260.2
2022-10-14,1.087,1.124,1.06,1.072,440399.0
2022-10-15,1.071,1.088,1.064,1.077,346055.6
2022-10-16,1.077,1.115,1.077,1.104,366503.1
2022-10-17,1.104,1.153,1.088,1.137,632819.3
2022-10-18,1.136,1.145,1.082,1.096,459331.4
2022-10-19,1.096,1.103,1.058,1.066,395698.6
2022-10-20,1.066,1.091,1.048,1.064,444049.0
2022-10-21,1.064,1.067,1.019,1.062,337717.0
2022-10-22,1.063,1.081,1.053,1.067,161725.0
2022-10-23,1.067,1.09,1.047,1.083,300096.3
2022-10-24,1.085,1.088,1.041,1.043,273755.5
2022-10-25,1.042,1.094,1.036,1.057,678813.6
2022-10-26,1.057,1.104,1.054,1.085,624009.0
2022-10-27,1.084,1.123,1.06,1.066,967029.2
2022-10-28,1.067,1.078,1.021,1.051,1001042.4
2022-10-29,1.053,1.094,1.051,1.077,1037226.1
2022-10-30,1.075,1.2,1.043,1.056,3745506.8
2022-10-31,1.057,1.068,1.029,1.061,1284402.2
2022-11-01,1.06,1.13,1.058,1.08,3198648.1
2022-11-02,1.081,1.081,1.01,1.041,988236.5
2022-11-03,1.041,1.279,1.036,1.145,5832268.6
2022-11-04,1.145,1.297,1.133,1.272,3776378.0
2022-11-05,1.274,1.348,1.244,1.269,2519146.3
2022-11-06,1.27,1.286,1.17,1.181,1359434.0
2022-11-07,1.181,1.251,1.152,1.165,2037098.6
2022-11-08,1.167,1.189,0.821,0.983,5961022.1
2022-11-09,0.981,0.991,0.757,0.792,3007187.0
2022-11-10,0.792,0.96,0.775,0.929,3197675.1
2022-11-11,0.927,0.935,0.847,0.897,1899796.9
2022-11-12,0.897,0.904,0.834,0.838,633092.4
2022-11-13,0.838,0.849,0.766,0.794,1468795.9
2022-11-14,0.793,0.891,0.748,0.828,2514741.4
2022-11-15,0.828,0.888,0.815,0.881,1208165.5
2022-11-16,0.88,0.919,0.861,0.869,1414469.4
2022-11-17,0.869,0.899,0.863,0.885,573054.6
2022-11-18,0.884,0.897,0.848,0.854,413579.1
2022-11-19,0.855,0.867,0.837,0.86,333706.0
2022-11-20,0.86,1.4,0.859,1.028,17178100.5
2022-11-21,1.029,1.683,0.996,1.174,23522682.2
2022-11-22,1.176,1.209,1.034,1.055,6379940.8
2022-11-23,1.056,1.2,1.029,1.097,4352707.0
2022-11-24,1.098,1.379,1.096,1.141,10585778.5
2022-11-25,1.141,1.159,1.07,1.087,3921166.4
2022-11-26,1.086,1.248,1.071,1.109,5288146.8
2022-11-27,1.11,1.124,1.065,1.07,1214078.1
2022-11-28,1.071,1.124,1.009,1.048,2444253.6
2022-11-29,1.046,1.08,1.03,1.058,1062904.9
2022-11-30,1.058,1.098,1.051,1.086,1348832.7
2022-12-01,1.085,1.25,1.069,1.09,6342037.1
2022-12-02,1.09,1.102,1.058,1.101,944594.7
2022-12-03,1.101,1.2,1.067,1.075,4895604.5
2022-12-04,1.075,1.107,1.07,1.09,1021215.8
2022-12-05,1.09,1.104,1.039,1.066,1381034.1
2022-12-06,1.066,1.082,1.029,1.05,886339.5
2022-12-07,1.05,1.059,1.005,1.022,1032529.1
2022-12-08,1.023,1.052,1.014,1.047,590195.4
2022-12-09,1.047,1.155,1.04,1.107,6003766.7
2022-12-10,1.107,1.139,1.089,1.101,2248062.7
2022-12-11,1.101,1.126,1.032,1.073,1721325.3
2022-12-12,1.073,1.17,1.041,1.135,3944954.2
2022-12-13,1.136,1.182,1.106,1.15,4727163.9
2022-12-14,1.15,1.189,1.122,1.154,2654812.8
2022-12-15,1.155,1.211,1.142,1.172,2607202.2
2022-12-16,1.172,1.234,1.071,1.091,5696918.8
2022-12-17,1.089,1.222,1.082,1.204,4012504.9
2022-12-18,1.203,1.203,1.136,1.176,1770929.0
2022-12-19,1.176,1.253,1.108,1.17,6155854.2
2022-12-20,1.171,1.229,1.164,1.202,2992136.4
2022-12-21,1.201,1.288,1.174,1.254,5323167.1
2022-12-22,1.25,1.316,1.229,1.288,5442648.7
2022-12-23,1.285,1.286,1.205,1.222,1756991.7
2022-12-24,1.222,1.308,1.186,1.275,2785948.6
2022-12-25,1.274,1.419,1.237,1.321,5876393.9
2022-12-26,1.321,1.355,1.275,1.326,3927146.8
2022-12-27,1.326,1.396,1.304,1.347,4164305.9
2022-12-28,1.345,1.438,1.293,1.304,8373283.7
2022-12-29,1.303,1.329,1.257,1.294,2306780.2
2022-12-30,1.294,1.318,1.217,1.241,2088233.2
2022-12-31,1.242,1.261,1.224,1.224,916655.3
2023-01-01,1.224,1.225,1.163,1.172,1850380.9
