date,open,high,low,close,volume
2022-08-23,2.126,2.196,2.048,2.171,11042587.0
2022-08-24,2.171,2.26,2.093,2.183,10159929.5
2022-08-25,2.182,2.283,2.155,2.184,9437932.5
2022-08-26,2.183,2.2,1.927,1.95,17345058.9
2022-08-27,1.949,1.977,1.903,1.948,8570573.7
2022-08-28,1.949,1.972,1.84,1.844,8032941.8
2022-08-29,1.844,1.968,1.828,1.962,9013882.1
2022-08-30,1.962,1.992,1.844,1.887,9860285.7
2022-08-31,1.888,1.987,1.888,1.915,8283748.5
2022-09-01,1.915,1.941,1.848,1.936,6680579.6
2022-09-02,1.936,1.981,1.876,1.903,7219480.6
2022-09-03,1.902,1.917,1.861,1.892,2690117.4
2022-09-04,1.893,1.946,1.88,1.943,3636855.1
2022-09-05,1.943,1.964,1.856,1.912,4468670.8
2022-09-06,1.913,1.975,1.752,1.755,11912751.6
2022-09-07,1.755,1.861,1.724,1.833,6065167.7
2022-09-08,1.834,1.886,1.804,1.842,7736995.8
2022-09-09,1.843,2.034,1.839,2.006,10759301.5
2022-09-10,2.006,2.058,1.972,2.03,7746130.6
2022-09-11,2.031,2.047,1.974,2.009,5701324.3
2022-09-12,2.008,2.09,1.924,1.947,12566180.2
2022-09-13,1.947,1.97,1.767,1.778,13815869.2
2022-09-14,1.779,1.824,1.73,1.801,9229919.4
2022-09-15,1.8,1.81,1.667,1.708,11056277.5
2022-09-16,1.707,1.733,1.675,1.725,7749849.0
2022-09-17,1.726,1.82,1.724,1.797,4727239.8
2022-09-18,1.797,1.798,1.61,1.644,7240547.6
2022-09-19,1.645,1.698,1.586,1.683,8650446.4
2022-09-20,1.683,1.697,1.599,1.607,7193198.7
2022-09-21,1.608,1.768,1.53,1.554,11229360.3
2022-09-22,1.553,1.658,1.547,1.641,7000519.1
2022-09-23,1.642,1.665,1.567,1.649,8290324.2
2022-09-24,1.649,1.673,1.616,1.625,5933689.9
2022-09-25,1.625,1.656,1.574,1.587,4506561.8
2022-09-26,1.588,1.618,1.555,1.6,5738038.9
2022-09-27,1.601,1.68,1.539,1.567,8667586.3
2022-09-28,1.567,1.577,1.504,1.565,5891126.2
2022-09-29,1.565,1.585,1.532,1.581,4263708.1
2022-09-30,1.581,1.612,1.547,1.57,4582609.6
2022-10-01,1.571,1.583,1.534,1.543,1595479.8
2022-10-02,1.544,1.56,1.492,1.5,3073264.6
2022-10-03,1.5,1.602,1.476,1.6,4823337.9
2022-10-04,1.6,1.678,1.6,1.647,6556608.9
2022-10-05,1.647,1.679,1.597,1.669,4136265.4
2022-10-06,1.668,1.695,1.611,1.625,3610825.6
2022-10-07,1.625,1.635,1.565,1.589,2888364.5
2022-10-08,1.588,1.606,1.544,1.558,1591956.9
2022-10-09,1.559,1.608,1.55,1.605,2111669.8
2022-10-10,1.605,1.649,1.51,1.522,4735320.6
2022-10-11,1.522,1.538,1.477,1.513,3648155.2
2022-10-12,1.512,1.537,1.486,1.509,2218125.2
2022-10-13,1.509,1.51,1.368,1.483,7705032.7
2022-10-14,1.482,1.542,1.439,1.459,3866178.3
2022-10-15,1.458,1.468,1.424,1.435,2045036.7
2022-10-16,1.434,1.494,1.433,1.478,2194999.0
2022-10-17,1.478,1.559,1.464,1.547,4460461.3
2022-10-18,1.547,1.558,1.469,1.504,4455015.0
2022-10-19,1.505,1.509,1.427,1.442,4546752.4
2022-10-20,1.441,1.483,1.416,1.429,3378960.7
2022-10-21,1.429,1.444,1.373,1.432,3972566.2
2022-10-22,1.432,1.445,1.413,1.436,1697792.2
2022-10-23,1.436,1.49,1.413,1.484,2580516.1
2022-10-24,1.484,1.49,1.427,1.442,3577332.4
2022-10-25,1.442,1.545,1.435,1.501,5431551.5
2022-10-26,1.502,1.564,1.494,1.539,6103737.8
2022-10-27,1.539,1.605,1.501,1.504,8076138.6
2022-10-28,1.504,1.578,1.48,1.563,5501340.2
2022-10-29,1.563,1.624,1.555,1.571,6546033.4
2022-10-30,1.572,1.619,1.537,1.555,5143233.9
2022-10-31,1.556,1.606,1.541,1.577,5422840.1
2022-11-01,1.577,1.61,1.559,1.563,4698729.8
2022-11-02,1.564,1.564,1.449,1.476,7393904.7
2022-11-03,1.475,1.528,1.468,1.495,5632667.0
2022-11-04,1.495,1.665,1.494,1.662,9053463.8
2022-11-05,1.662,1.722,1.64,1.665,8414267.0
2022-11-06,1.665,1.73,1.606,1.608,7023811.6
2022-11-07,1.608,1.686,1.574,1.623,8065189.3
2022-11-08,1.623,1.64,1.254,1.364,19531729.8
2022-11-09,1.365,1.376,1.003,1.032,19861213.3
2022-11-10,1.032,1.393,1.019,1.228,15635516.6
2022-11-11,1.228,1.235,1.106,1.156,7123617.9
2022-11-12,1.156,1.159,1.096,1.112,3116938.9
2022-11-13,1.112,1.158,1.09,1.131,6477820.1
2022-11-14,1.131,1.221,1.071,1.193,8909656.9
2022-11-15,1.194,1.326,1.184,1.233,8542485.6
2022-11-16,1.233,1.252,1.173,1.196,4479890.2
2022-11-17,1.196,1.207,1.163,1.19,3272933.3
2022-11-18,1.19,1.218,1.185,1.199,2173907.6
2022-11-19,1.198,1.239,1.173,1.225,2666517.7
2022-11-20,1.224,1.236,1.138,1.153,2971260.0
2022-11-21,1.153,1.157,1.084,1.108,5620338.7
2022-11-22,1.108,1.15,1.054,1.132,4079744.1
2022-11-23,1.132,1.182,1.122,1.18,3134855.6
2022-11-24,1.18,1.199,1.167,1.181,2739199.0
2022-11-25,1.181,1.194,1.151,1.192,3015271.8
2022-11-26,1.192,1.228,1.18,1.188,2244772.3
2022-11-27,1.188,1.209,1.176,1.181,1629553.9
2022-11-28,1.182,1.189,1.132,1.169,3870778.5
2022-11-29,1.17,1.247,1.153,1.228,3981727.6
2022-11-30,1.228,1.3,1.227,1.293,4047602.8
2022-12-01,1.293,1.35,1.256,1.327,4465263.2
2022-12-02,1.327,1.38,1.311,1.38,5578187.6
2022-12-03,1.38,1.407,1.32,1.325,3265236.7
