date,open,high,low,close,volume
2022-08-23,0.03054,0.03227,0.02964,0.03186,107936360.4
2022-08-24,0.03188,0.0335,0.03092,0.03224,152933900.9
2022-08-25,0.03224,0.03373,0.03219,0.03333,132190289.1
2022-08-26,0.03331,0.03389,0.02912,0.02943,172523578.7
2022-08-27,0.02943,0.02969,0.02814,0.02858,88787290.1
2022-08-28,0.0286,0.02933,0.02705,0.02727,72228027.7
2022-08-29,0.02726,0.02988,0.02677,0.02932,122290474.5
2022-08-30,0.0293,0.03027,0.02783,0.02878,160967298.8
2022-08-31,0.02879,0.03008,0.02828,0.02854,110658147.0
2022-09-01,0.02852,0.02882,0.02769,0.02874,90112668.6
2022-09-02,0.02876,0.02929,0.02793,0.02835,84028395.8
2022-09-03,0.02833,0.02896,0.02796,0.02884,47454461.9
2022-09-04,0.02886,0.0385,0.02876,0.03456,711241681.4
2022-09-05,0.03457,0.03948,0.03178,0.03862,1253188162.2
2022-09-06,0.03861,0.0425,0.03621,0.03705,1418477344.8
2022-09-07,0.03701,0.03845,0.0344,0.0369,596673143.8
2022-09-08,0.03691,0.03845,0.03492,0.03669,341898148.0
2022-09-09,0.0367,0.06254,0.0364,0.05618,2207893127.0
2022-09-10,0.05621,0.05978,0.04887,0.05728,1068906553.4
2022-09-11,0.05725,0.05753,0.05016,0.05152,549924593.1
2022-09-12,0.0515,0.07368,0.05058,0.06783,1968454084.7
2022-09-13,0.06783,0.06883,0.05683,0.06012,1653650679.4
2022-09-14,0.06013,0.07752,0.05948,0.07037,2096909799.4
2022-09-15,0.07045,0.07077,0.05476,0.05532,1984921288.0
2022-09-16,0.05537,0.05717,0.04882,0.05045,1218163469.4
2022-09-17,0.05041,0.0533,0.04626,0.0486,886739009.6
2022-09-18,0.04861,0.05028,0.04068,0.04112,659624097.0
2022-09-19,0.04112,0.04343,0.03976,0.042,865750054.6
2022-09-20,0.04199,0.04239,0.03783,0.03913,661231885.8
2022-09-21,0.03912,0.0423,0.03635,0.03827,859934793.8
2022-09-22,0.03828,0.04188,0.03827,0.03999,442053733.4
2022-09-23,0.04001,0.04222,0.03719,0.03934,397202396.0
2022-09-24,0.03933,0.04145,0.03809,0.04061,374825470.3
2022-09-25,0.0406,0.0418,0.037,0.0378,394419149.8
2022-09-26,0.03778,0.03828,0.03618,0.0375,289304871.2
2022-09-27,0.03751,0.03902,0.0358,0.03638,299055664.9
2022-09-28,0.0364,0.03677,0.03442,0.03571,240249854.1
2022-09-29,0.03571,0.03824,0.03492,0.0361,359511528.1
2022-09-30,0.03612,0.03617,0.03485,0.03548,170312010.7
2022-10-01,0.03548,0.03689,0.0354,0.03594,180377221.1
2022-10-02,0.03594,0.036,0.0342,0.03434,124939337.0
2022-10-03,0.03435,0.03578,0.03358,0.03543,150868923.6
2022-10-04,0.03544,0.03609,0.03519,0.03567,106963593.0
2022-10-05,0.03567,0.03569,0.03409,0.03463,169094998.8
2022-10-06,0.03464,0.03782,0.03463,0.03616,527817510.0
2022-10-07,0.03616,0.03741,0.03534,0.03608,334429834.6
2022-10-08,0.03608,0.03624,0.03468,0.03524,86983019.8
2022-10-09,0.03524,0.03602,0.03498,0.03578,75791323.6
2022-10-10,0.03579,0.0362,0.03333,0.03359,117888772.6
2022-10-11,0.03355,0.03355,0.03119,0.03249,228900711.4
2022-10-12,0.03248,0.03325,0.03217,0.03251,95779287.8
2022-10-13,0.03251,0.03271,0.02853,0.03112,306778334.2
2022-10-14,0.03111,0.033,0.03022,0.03068,141193353.9
2022-10-15,0.03067,0.03105,0.0298,0.0302,72775081.3
2022-10-16,0.03019,0.03124,0.03015,0.03093,64217405.6
2022-10-17,0.03091,0.0317,0.03062,0.03144,86339921.8
2022-10-18,0.03145,0.03321,0.03053,0.03287,323906959.9
2022-10-19,0.03288,0.03302,0.02951,0.0301,210865188.3
2022-10-20,0.0301,0.03273,0.02962,0.03187,237467121.8
2022-10-21,0.03188,0.03196,0.0298,0.03123,122592377.6
2022-10-22,0.03124,0.03198,0.03086,0.03166,69350936.3
2022-10-23,0.03166,0.03197,0.03066,0.03171,61876717.0
2022-10-24,0.03172,0.03212,0.03005,0.03049,85416969.4
2022-10-25,0.03048,0.03154,0.02993,0.0307,115634846.1
2022-10-26,0.03072,0.03213,0.03068,0.03124,118882389.0
2022-10-27,0.0312,0.03298,0.03067,0.03085,173368145.5
2022-10-28,0.03085,0.0317,0.03027,0.03134,101542512.4
2022-10-29,0.03134,0.03267,0.03134,0.03202,143050934.0
2022-10-30,0.03203,0.03418,0.03127,0.03195,185962783.3
2022-10-31,0.03194,0.03244,0.03079,0.03142,123471655.3
2022-11-01,0.03145,0.032,0.03094,0.03121,91850482.8
2022-11-02,0.03121,0.03143,0.02884,0.02945,162125764.2
2022-11-03,0.02945,0.03126,0.02922,0.03024,169932109.5
2022-11-04,0.03024,0.0323,0.02988,0.0321,189691856.3
2022-11-05,0.03213,0.03351,0.03142,0.03194,200093591.7
2022-11-06,0.03194,0.03262,0.03,0.03015,137246952.6
2022-11-07,0.03012,0.0306,0.02916,0.02996,146692924.4
2022-11-08,0.02993,0.03023,0.02138,0.02525,384599895.4
2022-11-09,0.02525,0.02576,0.01888,0.01988,347090069.2
2022-11-10,0.01988,0.0249,0.01948,0.02397,449863046.3
2022-11-11,0.02392,0.02442,0.0218,0.02335,174705850.1
2022-11-12,0.02331,0.02343,0.02156,0.02192,116354267.7
2022-11-13,0.02193,0.02254,0.02102,0.02147,133600035.9
2022-11-14,0.02146,0.02253,0.01997,0.02228,230310544.4
2022-11-15,0.02228,0.023,0.02186,0.02242,118594985.6
2022-11-16,0.02243,0.02268,0.02124,0.02146,92540773.1
2022-11-17,0.02147,0.02182,0.02094,0.02125,75385312.1
2022-11-18,0.02124,0.02175,0.02105,0.02144,57288352.3
2022-11-19,0.02144,0.02177,0.02084,0.02171,49970994.1
2022-11-20,0.02171,0.02266,0.0203,0.02054,151803346.5
2022-11-21,0.02053,0.02068,0.01955,0.02015,115519004.8
2022-11-22,0.02015,0.0208,0.01949,0.02076,122544923.0
2022-11-23,0.02077,0.02485,0.0206,0.02271,723267753.7
2022-11-24,0.02271,0.02383,0.02243,0.0227,277836432.9
2022-11-25,0.02271,0.02278,0.02196,0.02229,112014688.5
2022-11-26,0.0223,0.0235,0.02188,0.02213,111554752.2
2022-11-27,0.02213,0.02283,0.02188,0.02198,94224534.9
2022-11-28,0.02198,0.02219,0.02051,0.02128,167194712.9
2022-11-29,0.02127,0.02178,0.02103,0.02132,107146519.0
2022-11-30,0.02133,0.02228,0.02122,0.02203,152585983.5
2022-12-01,0.02203,0.02221,0.0216,0.02187,103530625.0
2022-12-02,0.02188,0.02282,0.02154,0.02251,145664245.3
2022-12-03,0.02251,0.02279,0.02161,0.02166,76077359.7
2022-12-04,0.02167,0.02212,0.02165,0.02196,59904895.7
2022-12-05,0.02195,0.02264,0.02167,0.02187,111061911.2
2022-12-06,0.02187,0.02221,0.02173,0.02213,69496042.7
2022-12-07,0.02215,0.02234,0.02107,0.02144,83608382.2
2022-12-08,0.02145,0.02447,0.02113,0.0222,525894638.2
2022-12-09,0.02219,0.02244,0.02173,0.02193,105946656.5
2022-12-10,0.02195,0.02221,0.02184,0.02195,41564184.8
2022-12-11,0.02195,0.02225,0.02155,0.0216,57985830.5
2022-12-12,0.02159,0.02187,0.02105,0.02174,89372676.3
2022-12-13,0.02175,0.02212,0.02084,0.02212,138667760.7
2022-12-14,0.02212,0.02235,0.02144,0.02179,94324820.7
2022-12-15,0.02177,0.02183,0.02123,0.02137,75376060.7
2022-12-16,0.02137,0.02169,0.01882,0.01919,137978387.7
2022-12-17,0.01919,0.01989,0.01866,0.01983,67350050.9
2022-12-18,0.01981,0.0201,0.01954,0.01994,43540796.0
2022-12-19,0.01994,0.02023,0.01883,0.019,83788841.9
2022-12-20,0.01899,0.02029,0.0189,0.02022,73264331.5
2022-12-21,0.02023,0.02029,0.01976,0.02023,82418383.2
2022-12-22,0.02024,0.02033,0.01977,0.02026,62575259.7
2022-12-23,0.02027,0.02044,0.02005,0.02005,51688183.6
2022-12-24,0.02006,0.02013,0.01975,0.0198,48048536.9
2022-12-25,0.01981,0.01991,0.01943,0.0198,40862226.0
2022-12-26,0.0198,0.01997,0.01941,0.01969,33107484.3
2022-12-27,0.0197,0.01982,0.01903,0.01924,60104004.3
2022-12-28,0.01924,0.01927,0.01821,0.01846,86418608.5
2022-12-29,0.01846,0.01901,0.0182,0.01856,74563290.8
2022-12-30,0.01857,0.0187,0.01777,0.0183,60766583.3
2022-12-31,0.0183,0.0187,0.01821,0.01854,25247104.9
2023-01-01,0.01855,0.01972,0.01835,0.01924,141983778.6
2023-01-02,0.01925,0.01955,0.01881,0.01924,67893255.9
2023-01-03,0.01925,0.01934,0.01884,0.01921,65965351.1
2023-01-04,0.01921,0.0202,0.01918,0.01999,151448536.1
2023-01-05,0.01999,0.02029,0.01957,0.01973,90950458.1
