date,open,high,low,close,volume
2022-08-23,1.0518,1.0773,1.0171,1.0676,22373206.0
2022-08-24,1.0676,1.0751,1.0277,1.0453,20735526.0
2022-08-25,1.0451,1.0721,1.0325,1.0494,20163042.0
2022-08-26,1.0491,1.0608,0.9451,0.9582,39315621.0
2022-08-27,0.9582,0.9727,0.9338,0.9662,24195487.0
2022-08-28,0.9664,0.9801,0.9276,0.9337,20122557.0
2022-08-29,0.9336,0.9934,0.9168,0.9881,24647002.0
2022-08-30,0.988,1.0014,0.9313,0.9522,21826324.0
2022-08-31,0.9524,0.9818,0.9362,0.9427,21871169.0
2022-09-01,0.9427,0.9487,0.9054,0.942,20025119.0
2022-09-02,0.9421,0.959,0.916,0.9302,18809810.0
2022-09-03,0.9303,0.932,0.9118,0.9296,10805855.0
2022-09-04,0.9296,0.9781,0.9205,0.9726,25826451.0
2022-09-05,0.9724,0.9863,0.9368,0.9574,39288247.0
2022-09-06,0.9575,0.9781,0.8701,0.8793,43107714.0
2022-09-07,0.8793,0.9114,0.8516,0.9026,26443961.0
2022-09-08,0.9026,0.9197,0.8855,0.9147,16990233.0
2022-09-09,0.915,0.9963,0.914,0.9791,31423921.0
2022-09-10,0.9789,1.0248,0.9656,0.9874,33851292.0
2022-09-11,0.9874,0.9957,0.9508,0.9748,21836058.0
2022-09-12,0.9748,0.9996,0.9479,0.9592,29143824.0
2022-09-13,0.9593,0.9725,0.8725,0.8794,45432319.0
2022-09-14,0.8793,0.9033,0.867,0.8984,18897142.0
2022-09-15,0.8984,0.8992,0.8504,0.8577,26319791.0
2022-09-16,0.8578,0.8798,0.8438,0.8765,17068352.0
2022-09-17,0.8763,0.9161,0.8724,0.9106,14255798.0
2022-09-18,0.9107,0.9178,0.811,0.8288,28122723.0
2022-09-19,0.829,0.8614,0.8078,0.8568,26608672.0
2022-09-20,0.8566,0.8664,0.8326,0.8421,20429553.0
2022-09-21,0.842,0.8884,0.8007,0.8141,31522492.0
2022-09-22,0.8141,0.8993,0.8108,0.8939,29168773.0
2022-09-23,0.894,0.9383,0.8488,0.9222,50738005.0
2022-09-24,0.9222,0.948,0.8824,0.8876,28835181.0
2022-09-25,0.8874,0.9013,0.8501,0.8633,21672285.0
2022-09-26,0.8631,0.8702,0.8354,0.8592,22091973.0
2022-09-27,0.859,0.89,0.8328,0.8451,26902306.0
2022-09-28,0.8451,0.8561,0.8139,0.8471,19623275.0
2022-09-29,0.8473,0.8586,0.8262,0.8525,16598783.0
2022-09-30,0.8533,0.8671,0.8329,0.8431,18218336.0
2022-10-01,0.8432,0.8469,0.829,0.836,8664639.0
2022-10-02,0.836,0.8398,0.8079,0.8129,13441774.0
2022-10-03,0.8129,0.8346,0.7984,0.8305,18492266.0
2022-10-04,0.8307,0.8546,0.8272,0.8507,15035555.0
2022-10-05,0.8508,0.8748,0.8338,0.8608,23863899.0
2022-10-06,0.8607,0.876,0.8368,0.8413,21908310.0
