date,open,high,low,close,volume
2022-08-23,14.604,15.669,13.375,13.538,1590328.73
2022-08-24,13.536,15.3,13.063,14.339,1168617.54
2022-08-25,14.323,15.073,13.654,13.862,1255371.72
2022-08-26,13.861,14.63,11.456,11.744,1388261.13
2022-08-27,11.744,13.7,11.365,13.227,1154262.0
2022-08-28,13.227,14.725,12.179,12.382,1852204.45
2022-08-29,12.378,12.977,11.95,12.777,650091.29
2022-08-30,12.779,13.481,12.001,12.481,759407.66
2022-08-31,12.485,14.8,12.41,13.005,2090471.23
2022-09-01,13.009,13.85,12.347,12.927,1284123.67
2022-09-02,12.928,15.203,12.633,14.875,1565926.48
2022-09-03,14.874,16.065,13.476,13.804,2966801.62
2022-09-04,13.805,14.1,13.1,13.539,637664.5
2022-09-05,13.538,14.092,12.673,13.008,1056104.05
2022-09-06,13.009,13.33,11.76,11.915,937447.94
2022-09-07,11.91,13.4,11.873,12.639,1235105.13
2022-09-08,12.645,12.774,12.032,12.416,476092.96
2022-09-09,12.416,13.0,12.298,12.387,639849.45
2022-09-10,12.388,12.783,11.95,12.214,418141.28
2022-09-11,12.214,13.694,12.111,12.594,1093781.6
2022-09-12,12.595,13.101,11.95,12.34,551282.1
2022-09-13,12.353,13.608,11.304,12.092,1322264.47
2022-09-14,12.095,12.486,10.667,11.172,961199.5
2022-09-15,11.171,11.848,9.8,11.656,1448260.83
2022-09-16,11.649,13.572,11.061,11.384,2328715.3
2022-09-17,11.377,11.939,11.338,11.72,496833.44
2022-09-18,11.721,13.288,11.536,12.26,1322939.15
2022-09-19,12.261,13.475,11.2,12.487,1407217.86
2022-09-20,12.492,12.8,12.0,12.095,613329.6
2022-09-21,12.094,12.38,11.521,12.016,647779.43
2022-09-22,12.023,13.3,11.854,12.825,1006633.58
2022-09-23,12.83,20.4,12.813,19.032,5594207.36
2022-09-24,19.03,21.0,16.887,17.384,2716649.81
2022-09-25,17.389,22.67,17.0,18.429,3827336.38
2022-09-26,18.43,19.375,16.598,17.596,2265270.65
2022-09-27,17.592,20.0,17.229,19.147,2309287.0
2022-09-28,19.146,19.941,17.6,18.227,1391860.41
2022-09-29,18.228,18.352,17.162,17.491,641771.85
2022-09-30,17.494,17.945,16.759,17.233,494074.6
