date,open,high,low,close,volume
2022-08-23,0.3594,0.3859,0.3505,0.3756,7788417.0
2022-08-24,0.3757,0.39,0.3668,0.381,6871544.0
2022-08-25,0.3805,0.4153,0.3802,0.3974,7830278.0
2022-08-26,0.3974,0.4132,0.3679,0.3709,13802349.0
2022-08-27,0.3711,0.388,0.3608,0.3847,6423494.0
2022-08-28,0.385,0.3974,0.3748,0.3765,5618876.0
2022-08-29,0.3768,0.4283,0.3701,0.4178,12192857.0
2022-08-30,0.4178,0.4182,0.3796,0.3888,8282977.0
2022-08-31,0.3893,0.4004,0.3841,0.3963,4504109.0
2022-09-01,0.3962,0.4779,0.39,0.3993,34193147.0
2022-09-02,0.3991,0.3997,0.3681,0.3727,8722696.0
2022-09-03,0.3725,0.3781,0.3666,0.3701,3607320.0
2022-09-04,0.3704,0.3798,0.3678,0.3798,2755817.0
2022-09-05,0.3799,0.3878,0.3756,0.3862,3911949.0
2022-09-06,0.3865,0.3933,0.3475,0.3494,7493462.0
2022-09-07,0.3497,0.3758,0.3478,0.3719,3493911.0
2022-09-08,0.3719,0.3832,0.3652,0.3781,3586515.0
2022-09-09,0.3783,0.4063,0.3779,0.3957,5207074.0
2022-09-10,0.3957,0.408,0.3916,0.4036,4077957.0
2022-09-11,0.4046,0.411,0.3857,0.3935,3738293.0
2022-09-12,0.3935,0.4277,0.388,0.3954,8102259.0
2022-09-13,0.3961,0.4003,0.3627,0.3666,4747648.0
2022-09-14,0.3664,0.3755,0.3594,0.371,2850617.0
2022-09-15,0.3705,0.3708,0.3476,0.3525,3484642.0
2022-09-16,0.3529,0.3611,0.3471,0.3606,1828289.0
2022-09-17,0.3603,0.371,0.3601,0.3694,1910674.0
2022-09-18,0.369,0.3709,0.3336,0.3415,2535724.0
2022-09-19,0.3413,0.353,0.3354,0.349,3584835.0
2022-09-20,0.349,0.3516,0.3367,0.3427,2050377.0
2022-09-21,0.3418,0.3576,0.3246,0.3294,3542289.0
2022-09-22,0.3291,0.3559,0.3285,0.3531,1560463.0
2022-09-23,0.3533,0.3628,0.3421,0.355,2249427.0
2022-09-24,0.3554,0.3589,0.3494,0.3508,1030777.0
2022-09-25,0.3505,0.3659,0.3441,0.35,1738674.0
2022-09-26,0.3501,0.3527,0.3377,0.3514,2112259.0
2022-09-27,0.3516,0.3699,0.3483,0.3533,4848445.0
2022-09-28,0.3533,0.3575,0.3392,0.3541,2410715.0
2022-09-29,0.3545,0.3602,0.3497,0.3599,2271632.0
2022-09-30,0.3601,0.365,0.3557,0.359,2195100.0
2022-10-01,0.3592,0.3799,0.359,0.3641,6519303.0
2022-10-02,0.3636,0.4096,0.3529,0.3717,14380827.0
2022-10-03,0.3712,0.395,0.3667,0.3884,18240235.0
2022-10-04,0.3884,0.3907,0.3697,0.3786,7257014.0
2022-10-05,0.3785,0.3954,0.372,0.3909,8495219.0
2022-10-06,0.3904,0.394,0.3807,0.3865,6035537.0
2022-10-07,0.3861,0.396,0.3688,0.3909,7466031.0
2022-10-08,0.3903,0.3954,0.3727,0.3784,4506152.0
2022-10-09,0.3783,0.3869,0.3732,0.3761,2156492.0
2022-10-10,0.3755,0.3783,0.3533,0.3547,4068842.0
2022-10-11,0.3547,0.3598,0.3418,0.3569,3586393.0
2022-10-12,0.3567,0.3648,0.3542,0.3601,1930681.0
2022-10-13,0.3601,0.3615,0.328,0.353,5150995.0
2022-10-14,0.3532,0.3662,0.3508,0.3559,2427202.0
2022-10-15,0.3567,0.3707,0.3522,0.366,4390799.0
2022-10-16,0.3659,0.3849,0.3639,0.3849,5485407.0
2022-10-17,0.3847,0.3879,0.3729,0.3816,3889745.0
2022-10-18,0.3825,0.3852,0.3693,0.3773,3948001.0
2022-10-19,0.3776,0.3974,0.3688,0.3812,12464290.0
2022-10-20,0.3812,0.3934,0.3712,0.3752,5892447.0
2022-10-21,0.3751,0.3952,0.359,0.3863,5010613.0
2022-10-22,0.3866,0.3922,0.3781,0.38,2648669.0
2022-10-23,0.3808,0.3871,0.3754,0.3857,2289408.0
2022-10-24,0.386,0.3874,0.3733,0.3797,2975647.0
2022-10-25,0.3803,0.3909,0.3754,0.3772,3905963.0
2022-10-26,0.3771,0.3946,0.3771,0.3906,5440193.0
2022-10-27,0.3906,0.417,0.3871,0.3951,9073739.0
2022-10-28,0.3948,0.4135,0.3903,0.4081,6580693.0
2022-10-29,0.4082,0.4393,0.4041,0.4195,8586395.0
2022-10-30,0.419,0.4264,0.398,0.4034,4347523.0
2022-10-31,0.4033,0.4108,0.3948,0.4036,2786651.0
2022-11-01,0.4048,0.4185,0.4035,0.4056,3148851.0
2022-11-02,0.4056,0.4091,0.3845,0.3937,3752306.0
2022-11-03,0.3931,0.5022,0.3928,0.4125,23147319.0
2022-11-04,0.4126,0.457,0.4081,0.4512,6707528.0
2022-11-05,0.4514,0.4728,0.4419,0.4519,5220913.0
2022-11-06,0.4524,0.459,0.415,0.4158,3305813.0
2022-11-07,0.4156,0.4353,0.4115,0.4236,4618108.0
2022-11-08,0.4243,0.4305,0.3222,0.3602,16352762.0
2022-11-09,0.3599,0.3614,0.2852,0.2928,7581427.0
2022-11-10,0.2915,0.3453,0.2872,0.3374,10285329.0
2022-11-11,0.3367,0.3403,0.3036,0.3153,6305720.0
2022-11-12,0.3156,0.3158,0.2931,0.3083,4253075.0
2022-11-13,0.3081,0.5782,0.3035,0.4921,125285541.0
2022-11-14,0.4915,0.7678,0.4491,0.6695,154110983.0
2022-11-15,0.6691,0.78,0.5855,0.6144,76329915.0
2022-11-16,0.6149,0.7187,0.5883,0.6241,73820869.0
2022-11-17,0.6241,0.7007,0.609,0.6884,52328904.0
2022-11-18,0.689,0.8137,0.6646,0.7221,89431125.0
2022-11-19,0.7221,0.7235,0.568,0.5794,43377993.0
2022-11-20,0.5792,0.5982,0.5075,0.53,55639822.0
2022-11-21,0.53,0.5491,0.4672,0.4879,59916994.0
2022-11-22,0.4878,0.5199,0.4555,0.5003,37334365.0
2022-11-23,0.5003,0.5372,0.4741,0.4893,20090562.0
