date,open,high,low,close,volume
2022-08-23,0.0509,0.052,0.0495,0.0517,23154428.0
2022-08-24,0.0518,0.0537,0.0504,0.0519,25486976.0
2022-08-25,0.0518,0.065,0.0518,0.0531,166475426.0
2022-08-26,0.0531,0.0537,0.0464,0.0471,53365870.0
2022-08-27,0.0471,0.0482,0.0463,0.0473,30420991.0
2022-08-28,0.0473,0.048,0.0453,0.0455,17787012.0
2022-08-29,0.0456,0.0494,0.0447,0.0492,20456401.0
2022-08-30,0.0492,0.0505,0.0467,0.0485,25855852.0
2022-08-31,0.0487,0.0508,0.0481,0.0485,24372196.0
2022-09-01,0.0485,0.0488,0.0465,0.0488,17874302.0
2022-09-02,0.0487,0.0501,0.0475,0.0486,21151602.0
2022-09-03,0.0485,0.0488,0.0477,0.0486,6075145.0
2022-09-04,0.0486,0.051,0.0481,0.0508,17294323.0
2022-09-05,0.0508,0.0526,0.0485,0.0496,26389647.0
2022-09-06,0.0497,0.0519,0.0451,0.0452,43093280.0
2022-09-07,0.045,0.0482,0.0445,0.0476,25845344.0
2022-09-08,0.0476,0.0498,0.0462,0.0483,47061453.0
2022-09-09,0.0482,0.05231,0.0482,0.05184,50945365.0
2022-09-10,0.05192,0.05323,0.05017,0.05091,143822765.0
2022-09-11,0.05095,0.05203,0.04889,0.05002,94031826.0
2022-09-12,0.05004,0.052,0.04791,0.04908,93786348.0
2022-09-13,0.04922,0.04926,0.04382,0.0441,149628481.0
2022-09-14,0.04412,0.04483,0.04188,0.043,72985944.0
2022-09-15,0.04298,0.04307,0.04044,0.04081,96710841.0
2022-09-16,0.04082,0.04144,0.03971,0.04116,85304220.0
2022-09-17,0.0411,0.04232,0.041,0.0421,34542937.0
2022-09-18,0.04209,0.04275,0.03426,0.03692,112164676.0
2022-09-19,0.03694,0.03995,0.03596,0.03925,115184024.0
2022-09-20,0.03921,0.03942,0.03687,0.03728,63749038.0
2022-09-21,0.03735,0.03998,0.0362,0.03709,80027212.0
2022-09-22,0.03705,0.03924,0.03705,0.03891,45337385.0
2022-09-23,0.03895,0.03999,0.03726,0.03884,64864529.0
2022-09-24,0.03889,0.03938,0.03766,0.03782,30969938.0
2022-09-25,0.0378,0.03863,0.03682,0.0372,27720373.0
2022-09-26,0.03719,0.03891,0.0367,0.03874,63770842.0
2022-09-27,0.03874,0.04293,0.0381,0.03848,150749364.0
2022-09-28,0.03847,0.0399,0.03706,0.03892,78996226.0
2022-09-29,0.03894,0.03955,0.03807,0.03924,51712260.0
2022-09-30,0.03926,0.04029,0.03863,0.03923,70446968.0
2022-10-01,0.0392,0.03969,0.0385,0.03893,18311694.0
2022-10-02,0.03895,0.03922,0.03731,0.03778,31223799.0
2022-10-03,0.03777,0.03907,0.03718,0.03893,43159438.0
2022-10-04,0.03888,0.04052,0.03874,0.03961,45084398.0
2022-10-05,0.03962,0.03983,0.03817,0.03911,28305767.0
2022-10-06,0.03913,0.03989,0.03849,0.03868,27347876.0
2022-10-07,0.03868,0.03902,0.03789,0.0385,13789860.0
2022-10-08,0.03848,0.0389,0.03803,0.03824,15148347.0
2022-10-09,0.03824,0.0387,0.03817,0.0386,7005673.0
2022-10-10,0.03861,0.0397,0.03676,0.0369,50217522.0
2022-10-11,0.03689,0.03689,0.03558,0.03623,41813239.0
2022-10-12,0.03625,0.03669,0.03568,0.03575,19525755.0
2022-10-13,0.03575,0.03576,0.03203,0.03438,101663203.0
2022-10-14,0.03436,0.03574,0.03333,0.0338,40163280.0
2022-10-15,0.03378,0.03434,0.03348,0.03411,21387287.0
2022-10-16,0.03411,0.03567,0.03406,0.03529,32664562.0
2022-10-17,0.03527,0.03643,0.03491,0.03633,30051554.0
2022-10-18,0.03632,0.03671,0.03433,0.03473,49166451.0
2022-10-19,0.0347,0.03489,0.03233,0.03279,29939029.0
2022-10-20,0.03279,0.0337,0.03229,0.03263,33820234.0
2022-10-21,0.03261,0.03335,0.03121,0.0333,41191604.0
2022-10-22,0.03334,0.0336,0.0328,0.03319,19985411.0
2022-10-23,0.03321,0.03451,0.03264,0.0344,26369658.0
2022-10-24,0.03445,0.03454,0.03306,0.03337,27606931.0
2022-10-25,0.03334,0.03506,0.03296,0.03415,44435297.0
2022-10-26,0.03417,0.03588,0.03415,0.03554,51901694.0
2022-10-27,0.03547,0.03881,0.03539,0.03624,120123558.0
2022-10-28,0.03628,0.03808,0.03529,0.03763,57570080.0
2022-10-29,0.0376,0.03928,0.03717,0.03783,64243179.0
