date,open,high,low,close,volume
2022-08-23,0.00418,0.00442,0.00405,0.00437,1505271798.0
2022-08-24,0.00438,0.0044,0.00417,0.00421,1046191365.0
2022-08-25,0.00421,0.00438,0.00419,0.00424,721930901.0
2022-08-26,0.00425,0.00429,0.00372,0.00378,1387534068.0
2022-08-27,0.00378,0.00411,0.00369,0.00389,840206561.0
2022-08-28,0.00388,0.00402,0.00379,0.00383,1464386301.0
2022-08-29,0.00383,0.00403,0.00378,0.004,1602743375.0
2022-08-30,0.004,0.00405,0.00374,0.00383,948559084.0
2022-08-31,0.00384,0.004,0.00384,0.00389,863673221.0
2022-09-01,0.00388,0.00393,0.00378,0.0039,606368314.0
2022-09-02,0.0039,0.00394,0.00385,0.0039,571326005.0
2022-09-03,0.0039,0.00426,0.00385,0.00403,1923265841.0
2022-09-04,0.00404,0.00404,0.00395,0.00399,524036035.0
2022-09-05,0.00399,0.00402,0.00386,0.00393,581033434.0
2022-09-06,0.00394,0.004,0.00367,0.00368,962573756.0
2022-09-07,0.00369,0.0039,0.00359,0.00383,1428716504.0
2022-09-08,0.00383,0.00393,0.00374,0.00385,983053783.0
2022-09-09,0.00385,0.0041,0.00382,0.00403,1518249175.0
2022-09-10,0.00403,0.00413,0.00397,0.00408,821418703.0
2022-09-11,0.00409,0.00413,0.00397,0.00403,765465062.0
2022-09-12,0.00404,0.00409,0.00386,0.00395,1101087637.0
2022-09-13,0.00395,0.00397,0.00369,0.00373,1191809531.0
2022-09-14,0.00372,0.00378,0.00361,0.00372,923058723.0
2022-09-15,0.00372,0.00375,0.00352,0.00356,911191491.0
2022-09-16,0.00356,0.00362,0.0035,0.0036,698886682.0
2022-09-17,0.0036,0.00374,0.00358,0.00367,657507581.0
2022-09-18,0.00367,0.00367,0.00328,0.0033,789843826.0
2022-09-19,0.0033,0.00344,0.00321,0.00342,809093121.0
2022-09-20,0.00341,0.00343,0.00328,0.0033,700658765.0
2022-09-21,0.00331,0.00346,0.00315,0.00321,977610471.0
2022-09-22,0.00321,0.00338,0.00318,0.00335,696170721.0
2022-09-23,0.00336,0.00341,0.00322,0.00337,843607181.0
2022-09-24,0.00337,0.00352,0.00331,0.00334,1495805075.0
2022-09-25,0.00333,0.00339,0.00326,0.0033,430173782.0
2022-09-26,0.0033,0.00336,0.00327,0.00335,609461440.0
2022-09-27,0.00336,0.00345,0.00324,0.0033,936524575.0
2022-09-28,0.0033,0.00333,0.00317,0.0033,798615861.0
2022-09-29,0.0033,0.00333,0.00322,0.00329,667632299.0
2022-09-30,0.00328,0.00334,0.00325,0.00328,723952048.0
2022-10-01,0.00328,0.0033,0.00325,0.00326,322192279.0
2022-10-02,0.00325,0.00329,0.0032,0.0032,499226248.0
2022-10-03,0.00321,0.0033,0.00317,0.00329,557003458.0
2022-10-04,0.00328,0.00393,0.00327,0.00358,2069350527.0
2022-10-05,0.00359,0.00385,0.00335,0.0036,3362024509.0
2022-10-06,0.0036,0.00378,0.00346,0.00347,1968955133.0
2022-10-07,0.00347,0.00358,0.00337,0.00345,1085278176.0
2022-10-08,0.00345,0.00355,0.00342,0.00344,634205178.0
2022-10-09,0.00343,0.00354,0.00342,0.00345,358795928.0
2022-10-10,0.00345,0.00349,0.00322,0.00324,477068555.0
2022-10-11,0.00324,0.00328,0.0032,0.00324,427381797.0
2022-10-12,0.00324,0.00345,0.00323,0.00331,1227409542.0
2022-10-13,0.00331,0.00333,0.00301,0.00323,918974837.0
2022-10-14,0.00323,0.00335,0.00316,0.00321,571110219.0
2022-10-15,0.00321,0.00328,0.00319,0.00323,380916156.0
2022-10-16,0.00322,0.00332,0.00321,0.00328,775414083.0
2022-10-17,0.00329,0.00344,0.00325,0.00334,742631359.0
2022-10-18,0.00334,0.00335,0.00321,0.00324,399900249.0
2022-10-19,0.00325,0.00325,0.00317,0.00319,434057089.0
2022-10-20,0.00319,0.00325,0.00314,0.00315,398399573.0
2022-10-21,0.00315,0.00319,0.00305,0.00316,456446056.0
2022-10-22,0.00316,0.00324,0.00314,0.00323,376647441.0
2022-10-23,0.00322,0.00327,0.00314,0.00323,568224636.0
2022-10-24,0.00323,0.00326,0.00317,0.00318,336800518.0
2022-10-25,0.00318,0.00338,0.00317,0.00328,828351912.0
2022-10-26,0.00327,0.00337,0.00325,0.00332,605561533.0
2022-10-27,0.00332,0.00339,0.00324,0.00324,634601997.0
2022-10-28,0.00325,0.00334,0.00321,0.00333,519171752.0
2022-10-29,0.00333,0.00344,0.0033,0.00338,1133834014.0
2022-10-30,0.00338,0.00357,0.00334,0.00336,1481123318.0
2022-10-31,0.00337,0.0034,0.00328,0.00333,573968430.0
2022-11-01,0.00334,0.00337,0.00329,0.0033,427516686.0
2022-11-02,0.0033,0.00334,0.00317,0.00321,544493634.0
2022-11-03,0.00322,0.00335,0.0032,0.00328,841533254.0
2022-11-04,0.00328,0.00357,0.00327,0.00349,2550408454.0
2022-11-05,0.00349,0.00423,0.00348,0.00419,5565827339.0
2022-11-06,0.00419,0.00426,0.00361,0.00363,4195486466.0
2022-11-07,0.00363,0.0037,0.00343,0.00349,1962097610.0
2022-11-08,0.00349,0.00351,0.00271,0.00298,2659710893.0
2022-11-09,0.00298,0.003,0.00231,0.00237,2120762278.0
2022-11-10,0.00237,0.00283,0.00234,0.00269,1444392694.0
2022-11-11,0.00269,0.00277,0.0025,0.00265,1265985725.0
2022-11-12,0.00264,0.00266,0.0025,0.00253,493951202.0
2022-11-13,0.00254,0.003,0.00241,0.00252,2212154848.0
2022-11-14,0.00251,0.00258,0.00239,0.00255,911160901.0
2022-11-15,0.00255,0.00259,0.00247,0.00251,643892194.0
2022-11-16,0.00251,0.00256,0.00245,0.00248,411296563.0
2022-11-17,0.00248,0.00252,0.00244,0.00248,428331966.0
2022-11-18,0.00248,0.00257,0.00246,0.00251,421761217.0
2022-11-19,0.00251,0.00295,0.00249,0.00259,1737376150.0
2022-11-20,0.00259,0.00282,0.00241,0.00242,1258281971.0
2022-11-21,0.00242,0.00253,0.00232,0.00241,791333374.0
