date,open,high,low,close,volume
2022-08-23,35.42,36.11,34.24,35.68,2736678.36
2022-08-24,35.69,36.4,34.31,34.89,2588768.41
2022-08-25,34.9,36.49,34.87,35.27,2472099.5
2022-08-26,35.26,35.79,31.36,31.72,5268727.97
2022-08-27,31.72,32.25,30.86,31.53,3025394.15
2022-08-28,31.53,32.21,30.19,30.44,2245087.33
2022-08-29,30.43,32.64,30.0,32.42,3758900.71
2022-08-30,32.42,33.16,30.64,31.47,3466845.37
2022-08-31,31.47,32.95,31.18,31.5,2705795.29
2022-09-01,31.49,31.79,30.44,31.61,2304167.56
2022-09-02,31.61,32.38,30.76,31.23,2327194.21
2022-09-03,31.23,31.29,30.8,31.12,773414.2
2022-09-04,31.11,32.2,31.02,32.16,1302960.75
2022-09-05,32.17,32.5,31.15,32.18,1545295.72
2022-09-06,32.17,33.9,30.44,30.88,4663061.68
2022-09-07,30.88,32.94,30.31,32.69,2516005.51
2022-09-08,32.7,33.98,31.97,33.61,3062370.54
2022-09-09,33.62,35.96,33.59,34.67,3748304.0
2022-09-10,34.68,35.41,34.27,35.03,1977630.96
2022-09-11,35.04,36.0,34.04,34.99,1999936.19
2022-09-12,34.99,38.39,34.4,37.44,5186842.63
2022-09-13,37.44,39.01,32.93,33.0,6401715.44
2022-09-14,33.0,34.35,32.67,34.12,3170484.22
2022-09-15,34.12,34.84,32.42,33.07,3696318.23
2022-09-16,33.08,33.26,31.5,32.25,2180222.56
2022-09-17,32.25,33.89,32.23,33.68,1414903.11
2022-09-18,33.69,33.99,30.86,31.1,2299068.39
2022-09-19,31.1,33.08,30.5,32.62,3503472.34
2022-09-20,32.63,32.88,31.29,31.41,2558791.65
2022-09-21,31.42,33.48,30.01,30.65,4545539.08
2022-09-22,30.65,32.87,30.59,32.43,2975325.9
2022-09-23,32.43,33.98,31.2,33.66,3481076.73
2022-09-24,33.67,34.79,33.14,33.38,3102314.35
2022-09-25,33.39,34.05,31.87,32.34,1838509.33
2022-09-26,32.33,33.95,31.87,33.88,3284142.93
2022-09-27,33.89,35.41,32.08,32.69,4411114.63
2022-09-28,32.68,33.81,31.65,33.22,3091106.5
2022-09-29,33.23,34.42,32.65,33.93,2735381.21
2022-09-30,33.94,35.22,32.62,33.25,4264290.42
2022-10-01,33.25,33.25,32.34,32.44,1458835.24
2022-10-02,32.44,33.0,31.9,32.06,1472849.24
2022-10-03,32.06,33.27,31.73,32.89,1890470.2
2022-10-04,32.9,34.4,32.84,34.09,1949740.88
2022-10-05,34.1,34.37,33.18,34.04,1777550.81
2022-10-06,34.04,34.5,33.23,33.36,1799751.22
2022-10-07,33.35,33.76,32.43,32.98,1963117.82
2022-10-08,32.98,33.08,32.35,32.58,785559.59
2022-10-09,32.57,33.14,32.44,32.92,883235.74
2022-10-10,32.92,33.46,31.88,31.96,1554680.4
2022-10-11,31.95,31.96,30.42,30.8,1923666.97
2022-10-12,30.8,31.55,30.67,31.16,1048211.96
2022-10-13,31.15,31.21,27.87,30.49,4402648.71
2022-10-14,30.48,31.98,29.62,30.0,2384103.67
2022-10-15,30.0,30.2,29.42,29.59,1009243.59
2022-10-16,29.59,30.53,29.56,30.17,934949.4
2022-10-17,30.16,31.29,29.84,31.21,1694429.96
2022-10-18,31.22,31.48,29.73,30.15,1966281.14
2022-10-19,30.14,30.26,28.61,28.86,1713727.76
2022-10-20,28.86,29.47,27.98,28.01,2379315.87
2022-10-21,28.01,28.28,26.84,28.1,3208878.96
2022-10-22,28.1,28.22,27.48,28.01,1333382.63
2022-10-23,28.01,29.44,27.73,29.28,2150824.0
2022-10-24,29.28,29.5,28.16,28.3,2525864.52
2022-10-25,28.31,32.31,28.05,30.86,4389638.87
2022-10-26,30.87,32.17,30.63,31.29,3909684.74
2022-10-27,31.29,32.36,30.41,30.58,3608322.35
2022-10-28,30.6,32.54,30.11,32.07,3017472.57
2022-10-29,32.06,33.84,31.85,32.87,3316674.09
2022-10-30,32.87,33.54,31.93,32.94,1962511.76
2022-10-31,32.93,34.39,32.2,32.56,3082485.07
2022-11-01,32.57,33.39,32.15,32.2,2015730.52
2022-11-02,32.2,32.95,30.24,30.8,3423829.13
2022-11-03,30.81,32.25,30.61,30.85,2302866.46
2022-11-04,30.86,34.2,30.66,33.74,4106770.6
2022-11-05,33.73,38.79,33.66,36.9,7466083.52
2022-11-06,36.9,37.06,32.31,32.62,4722074.05
2022-11-07,32.61,33.13,28.0,29.62,9810937.64
2022-11-08,29.62,31.72,19.8,24.38,28156844.019
2022-11-09,24.38,24.38,12.37,14.08,34965021.076
2022-11-10,14.08,18.87,13.14,17.66,31278279.25
2022-11-11,17.65,18.31,15.1,16.45,16952323.15
2022-11-12,16.46,16.53,14.47,14.58,6958266.14
2022-11-13,14.58,14.74,13.02,13.18,7632404.82
2022-11-14,13.18,15.01,12.07,14.0,12412181.95
2022-11-15,14.0,15.1,13.82,14.32,7666656.34
2022-11-16,14.32,14.64,13.64,14.27,4117412.48
2022-11-17,14.27,14.5,12.93,13.65,6589277.99
2022-11-18,13.65,13.89,13.0,13.27,2949495.18
2022-11-19,13.28,13.28,12.58,12.84,2920148.22
2022-11-20,12.84,13.58,12.1,12.27,4790066.03
2022-11-21,12.26,12.29,11.27,11.83,4921177.259
2022-11-22,11.83,12.5,10.94,12.44,5495351.55
2022-11-23,12.43,14.5,12.4,14.36,7872882.42
2022-11-24,14.36,14.96,13.84,14.59,4725295.69
2022-11-25,14.6,14.61,13.91,14.03,2819515.28
2022-11-26,14.03,14.98,13.97,14.17,2911827.78
2022-11-27,14.17,14.45,14.05,14.12,2063327.08
2022-11-28,14.11,14.17,12.78,13.32,4718682.44
2022-11-29,13.33,13.96,13.14,13.34,2605636.41
2022-11-30,13.35,14.32,13.21,14.16,3599962.88
2022-12-01,14.17,14.19,13.4,13.51,2567835.92
2022-12-02,13.51,13.84,13.33,13.71,2865008.71
2022-12-03,13.71,13.77,13.2,13.29,1958859.38
2022-12-04,13.29,13.75,13.27,13.71,1778118.75
2022-12-05,13.71,14.17,13.58,13.82,3962489.89
2022-12-06,13.82,14.38,13.81,14.3,3280084.71
2022-12-07,14.3,14.34,13.39,13.49,2647330.66
2022-12-08,13.49,13.77,13.27,13.69,2218371.02
2022-12-09,13.69,14.02,13.51,13.59,2597941.96
2022-12-10,13.58,13.73,13.54,13.58,950118.11
2022-12-11,13.58,13.8,13.39,13.42,1210234.56
2022-12-12,13.42,13.5,12.82,13.31,2644017.08
2022-12-13,13.31,14.15,12.76,13.89,3963954.49
2022-12-14,13.9,14.96,13.81,14.12,5084591.13
2022-12-15,14.12,14.52,13.86,14.04,2711381.25
2022-12-16,14.05,14.17,12.0,12.25,4522833.23
2022-12-17,12.25,12.6,11.92,12.51,2465880.45
2022-12-18,12.5,12.6,12.25,12.38,1358593.49
2022-12-19,12.38,12.59,11.66,11.94,2385052.59
2022-12-20,11.94,12.49,11.84,12.26,1699256.37
2022-12-21,12.26,12.29,11.9,12.14,1549774.66
2022-12-22,12.14,12.19,11.67,11.82,1805407.09
2022-12-23,11.81,12.11,11.72,11.78,1647382.32
