date,open,high,low,close,volume
2022-08-23,0.676,0.677,0.634,0.665,1688420.3
2022-08-24,0.665,0.665,0.637,0.65,1022387.0
2022-08-25,0.649,0.673,0.644,0.658,1018933.7
2022-08-26,0.658,0.672,0.585,0.59,2173342.9
2022-08-27,0.589,0.611,0.577,0.591,1797944.3
2022-08-28,0.591,0.596,0.576,0.576,790330.2
2022-08-29,0.576,0.61,0.559,0.606,1877612.2
2022-08-30,0.607,0.615,0.58,0.597,2430698.3
2022-08-31,0.598,0.706,0.598,0.618,9502277.2
2022-09-01,0.617,0.618,0.579,0.603,1729127.1
2022-09-02,0.602,0.602,0.584,0.589,887534.6
2022-09-03,0.589,0.614,0.582,0.588,655080.8
2022-09-04,0.588,0.594,0.579,0.594,577520.0
2022-09-05,0.594,0.594,0.577,0.585,522775.4
2022-09-06,0.586,0.591,0.548,0.553,1132380.5
2022-09-07,0.553,0.57,0.536,0.57,865026.5
2022-09-08,0.569,0.591,0.56,0.588,2204459.9
2022-09-09,0.588,0.615,0.583,0.611,2127144.1
2022-09-10,0.61,0.613,0.594,0.607,774751.3
2022-09-11,0.608,0.625,0.599,0.615,1592293.5
2022-09-12,0.614,0.635,0.602,0.617,1871631.2
2022-09-13,0.617,0.641,0.56,0.566,3452367.8
2022-09-14,0.566,0.576,0.559,0.574,1281878.9
2022-09-15,0.574,0.575,0.548,0.554,1499792.1
2022-09-16,0.553,0.558,0.546,0.558,638116.6
2022-09-17,0.559,0.572,0.557,0.571,851431.2
2022-09-18,0.571,0.584,0.52,0.525,1387206.5
2022-09-19,0.525,0.537,0.5,0.536,1529920.1
2022-09-20,0.535,0.536,0.511,0.516,1203348.2
2022-09-21,0.515,0.609,0.495,0.506,5384307.2
2022-09-22,0.505,0.528,0.5,0.525,1169086.1
2022-09-23,0.525,0.526,0.502,0.522,1071620.3
2022-09-24,0.521,0.581,0.514,0.517,3677030.6
2022-09-25,0.518,0.524,0.508,0.512,774016.4
2022-09-26,0.511,0.522,0.493,0.509,851930.2
2022-09-27,0.509,0.52,0.5,0.507,669499.1
2022-09-28,0.508,0.51,0.491,0.508,533026.9
2022-09-29,0.509,0.55,0.506,0.519,3469699.5
2022-09-30,0.518,0.518,0.503,0.51,903844.4
2022-10-01,0.51,0.529,0.508,0.511,720993.4
2022-10-02,0.511,0.513,0.497,0.499,338897.7
2022-10-03,0.5,0.51,0.498,0.509,414206.2
2022-10-04,0.509,0.517,0.504,0.517,490342.9
2022-10-05,0.517,0.518,0.505,0.517,347290.0
2022-10-06,0.516,0.525,0.51,0.514,358080.7
2022-10-07,0.514,0.552,0.505,0.52,3936200.2
2022-10-08,0.52,0.808,0.52,0.699,29682344.9
2022-10-09,0.699,0.711,0.58,0.589,7286820.1
2022-10-10,0.589,0.63,0.553,0.569,8103655.4
2022-10-11,0.57,0.59,0.541,0.556,3188809.6
2022-10-12,0.556,0.562,0.531,0.541,3277193.5
2022-10-13,0.541,0.541,0.48,0.518,2943700.0
2022-10-14,0.519,0.599,0.519,0.546,5388021.5
2022-10-15,0.546,0.549,0.52,0.529,1067428.5
2022-10-16,0.528,0.533,0.52,0.528,643435.2
2022-10-17,0.53,0.548,0.522,0.536,1737940.8
2022-10-18,0.538,0.546,0.518,0.529,1053799.5
2022-10-19,0.53,0.53,0.507,0.509,705299.8
2022-10-20,0.509,0.533,0.507,0.517,1395176.5
2022-10-21,0.517,0.535,0.502,0.523,1256916.9
2022-10-22,0.525,0.525,0.512,0.522,650065.6
2022-10-23,0.523,0.526,0.512,0.525,665283.6
2022-10-24,0.524,0.53,0.512,0.523,810189.8
2022-10-25,0.523,0.543,0.517,0.537,2157538.3
2022-10-26,0.537,0.546,0.53,0.544,1217723.5
2022-10-27,0.544,0.548,0.53,0.534,576985.8
2022-10-28,0.534,0.54,0.522,0.537,585509.8
2022-10-29,0.538,0.542,0.533,0.538,601688.8
2022-10-30,0.538,0.539,0.528,0.533,487489.2
2022-10-31,0.533,0.585,0.525,0.554,4392660.9
2022-11-01,0.554,0.714,0.552,0.596,19989199.6
2022-11-02,0.595,0.605,0.54,0.551,5719112.5
2022-11-03,0.55,0.561,0.527,0.55,1974259.5
2022-11-04,0.549,0.581,0.548,0.577,1976959.4
