date,open,high,low,close,volume
2022-08-23,0.387,0.391,0.372,0.388,1601139.1
2022-08-24,0.39,0.402,0.378,0.387,1975633.5
2022-08-25,0.388,0.43,0.387,0.4,4112487.8
2022-08-26,0.4,0.406,0.357,0.361,4473052.6
2022-08-27,0.36,0.376,0.356,0.362,1837871.6
2022-08-28,0.362,0.369,0.352,0.352,1005261.9
2022-08-29,0.353,0.37,0.352,0.369,4131392.9
2022-08-30,0.369,0.377,0.352,0.361,3001973.4
2022-08-31,0.361,0.372,0.36,0.364,1786772.8
2022-09-01,0.364,0.368,0.351,0.363,1878358.7
2022-09-02,0.363,0.369,0.355,0.362,1804095.5
2022-09-03,0.362,0.363,0.356,0.361,806885.5
2022-09-04,0.362,0.368,0.356,0.367,781753.5
2022-09-05,0.368,0.375,0.357,0.369,1864615.5
2022-09-06,0.369,0.374,0.338,0.341,2236099.5
2022-09-07,0.341,0.353,0.33,0.35,1067757.8
2022-09-08,0.351,0.439,0.346,0.361,7810732.4
2022-09-09,0.362,0.388,0.36,0.381,3367772.8
2022-09-10,0.381,0.398,0.373,0.384,2252914.1
2022-09-11,0.385,0.412,0.382,0.391,2057245.1
2022-09-12,0.39,0.4,0.378,0.387,1535702.2
2022-09-13,0.387,0.387,0.347,0.349,2462510.6
2022-09-14,0.348,0.357,0.343,0.353,1410417.0
2022-09-15,0.352,0.353,0.34,0.343,1352970.5
2022-09-16,0.343,0.356,0.339,0.349,1976238.2
2022-09-17,0.349,0.359,0.347,0.356,1363965.3
2022-09-18,0.356,0.358,0.324,0.326,2054412.7
2022-09-19,0.327,0.337,0.314,0.331,2442145.9
2022-09-20,0.331,0.355,0.325,0.335,6237570.2
2022-09-21,0.335,0.342,0.317,0.321,2616013.9
2022-09-22,0.321,0.339,0.318,0.338,1239248.0
2022-09-23,0.337,0.344,0.323,0.339,1797609.3
2022-09-24,0.339,0.341,0.328,0.331,608960.6
2022-09-25,0.331,0.336,0.321,0.326,977307.0
2022-09-26,0.327,0.329,0.316,0.327,1393238.5
2022-09-27,0.327,0.338,0.32,0.33,2442821.0
2022-09-28,0.331,0.337,0.314,0.325,2358145.8
2022-09-29,0.326,0.337,0.318,0.329,2799515.6
2022-09-30,0.329,0.332,0.32,0.324,1674849.6
2022-10-01,0.324,0.326,0.32,0.323,698781.6
2022-10-02,0.323,0.324,0.315,0.316,995227.5
2022-10-03,0.316,0.323,0.313,0.321,1713916.3
2022-10-04,0.321,0.331,0.319,0.329,1366163.8
2022-10-05,0.33,0.333,0.32,0.327,1288097.3
2022-10-06,0.327,0.331,0.321,0.323,1207946.7
2022-10-07,0.324,0.336,0.317,0.326,2122473.4
2022-10-08,0.326,0.345,0.324,0.328,2100359.2
2022-10-09,0.327,0.343,0.326,0.338,1869051.5
2022-10-10,0.338,0.338,0.319,0.319,763038.6
2022-10-11,0.319,0.322,0.309,0.312,1484816.2
2022-10-12,0.313,0.314,0.308,0.31,563859.8
2022-10-13,0.311,0.312,0.283,0.3,2734410.2
2022-10-14,0.301,0.313,0.297,0.299,2001071.8
2022-10-15,0.299,0.301,0.294,0.297,660837.1
2022-10-16,0.298,0.304,0.298,0.3,692927.5
2022-10-17,0.3,0.316,0.298,0.309,3568437.2
2022-10-18,0.31,0.314,0.299,0.305,3020586.7
2022-10-19,0.305,0.306,0.292,0.294,1266138.1
2022-10-20,0.294,0.321,0.29,0.299,4436119.8
2022-10-21,0.3,0.3,0.286,0.297,1724306.6
2022-10-22,0.298,0.309,0.294,0.301,3265427.8
2022-10-23,0.301,0.307,0.294,0.305,1874991.9
2022-10-24,0.305,0.307,0.295,0.302,1537848.3
2022-10-25,0.301,0.318,0.3,0.311,2429387.8
2022-10-26,0.31,0.321,0.308,0.317,1961741.8
2022-10-27,0.317,0.322,0.305,0.307,1289699.4
2022-10-28,0.307,0.318,0.296,0.314,3018790.5
2022-10-29,0.315,0.323,0.313,0.318,1260597.5
2022-10-30,0.318,0.326,0.314,0.317,913772.3
2022-10-31,0.316,0.321,0.312,0.318,1222074.8
2022-11-01,0.318,0.322,0.312,0.315,1339752.1
2022-11-02,0.315,0.316,0.27,0.305,2891577.8
2022-11-03,0.304,0.328,0.303,0.316,4874620.9
2022-11-04,0.316,0.339,0.314,0.335,3983008.7
2022-11-05,0.334,0.344,0.329,0.337,2613064.0
2022-11-06,0.335,0.337,0.316,0.318,1543082.7
2022-11-07,0.318,0.323,0.308,0.317,1803956.7
2022-11-08,0.316,0.32,0.258,0.274,3981068.7
2022-11-09,0.275,0.276,0.21,0.214,5873383.6
2022-11-10,0.214,0.253,0.212,0.247,4351094.5
2022-11-11,0.247,0.25,0.218,0.232,2469849.4
2022-11-12,0.232,0.248,0.224,0.234,2886218.6
2022-11-13,0.234,0.234,0.21,0.217,2165631.4
2022-11-14,0.218,0.222,0.199,0.22,2030387.1
2022-11-15,0.22,0.335,0.215,0.242,22643951.8
2022-11-16,0.242,0.279,0.23,0.237,11693136.4
2022-11-17,0.237,0.237,0.222,0.229,2269126.8
2022-11-18,0.23,0.269,0.23,0.241,6815868.9
2022-11-19,0.243,0.243,0.232,0.236,1303681.0
2022-11-20,0.236,0.242,0.21,0.221,3094858.2
2022-11-21,0.222,0.234,0.208,0.217,2966155.8
2022-11-22,0.216,0.225,0.21,0.224,2052841.7
2022-11-23,0.225,0.234,0.223,0.233,2191453.7
2022-11-24,0.233,0.237,0.225,0.231,1392046.6
2022-11-25,0.232,0.255,0.23,0.237,6368932.4
2022-11-26,0.238,0.24,0.232,0.235,2624528.7
2022-11-27,0.234,0.251,0.234,0.238,4014936.5
2022-11-28,0.238,0.359,0.232,0.251,35531352.1
2022-11-29,0.251,0.27,0.241,0.25,9280880.8
2022-11-30,0.249,0.257,0.246,0.255,2956892.0
2022-12-01,0.255,0.255,0.246,0.248,1830303.3
2022-12-02,0.248,0.25,0.238,0.247,2829303.4
2022-12-03,0.247,0.256,0.244,0.247,2880296.0
2022-12-04,0.247,0.249,0.244,0.249,1622158.1
2022-12-05,0.249,0.263,0.247,0.259,7545798.9
2022-12-06,0.259,0.267,0.252,0.26,4682155.1
2022-12-07,0.26,0.262,0.241,0.251,5778265.2
2022-12-08,0.251,0.274,0.246,0.262,7964277.0
2022-12-09,0.262,0.275,0.259,0.266,4292909.2
2022-12-10,0.265,0.38,0.263,0.271,40440910.4
2022-12-11,0.271,0.314,0.268,0.283,15273606.5
2022-12-12,0.283,0.312,0.278,0.307,11613422.9
2022-12-13,0.307,0.322,0.291,0.301,9741276.5
2022-12-14,0.3,0.303,0.263,0.276,8617266.9
2022-12-15,0.276,0.278,0.262,0.266,3369149.4
2022-12-16,0.267,0.278,0.233,0.242,5460845.6
2022-12-17,0.241,0.244,0.222,0.239,3388922.2
2022-12-18,0.238,0.239,0.23,0.235,1349942.5
2022-12-19,0.236,0.236,0.217,0.221,2742580.1
2022-12-20,0.22,0.237,0.219,0.231,3343192.0
2022-12-21,0.23,0.232,0.224,0.227,1470942.8
2022-12-22,0.228,0.232,0.222,0.229,1737872.1
