date,open,high,low,close,volume
2022-08-23,0.1405,0.1445,0.1373,0.1429,5272270.0
2022-08-24,0.1428,0.1464,0.139,0.1419,5957563.0
2022-08-25,0.1419,0.1469,0.1414,0.1429,4543858.0
2022-08-26,0.1428,0.1434,0.1292,0.1311,7041802.0
2022-08-27,0.1307,0.16,0.1269,0.1323,25365633.0
2022-08-28,0.1325,0.1571,0.1302,0.1317,30284223.0
2022-08-29,0.1317,0.1443,0.1309,0.1402,25531319.0
2022-08-30,0.1402,0.1435,0.1328,0.135,7610261.0
2022-08-31,0.1356,0.14,0.1343,0.1365,4928528.0
2022-09-01,0.1365,0.1389,0.132,0.1374,3894276.0
2022-09-02,0.1375,0.1417,0.1343,0.137,5027162.0
2022-09-03,0.137,0.1387,0.1357,0.1371,2385407.0
2022-09-04,0.1373,0.1391,0.1353,0.1388,2886403.0
2022-09-05,0.1388,0.1412,0.1362,0.1383,4250652.0
2022-09-06,0.1385,0.142,0.1302,0.1309,7737007.0
2022-09-07,0.1309,0.1364,0.1272,0.1346,5635603.0
2022-09-08,0.1348,0.1458,0.131,0.1365,9977567.0
2022-09-09,0.1365,0.1443,0.1363,0.141,6937265.0
2022-09-10,0.141,0.1469,0.1394,0.1448,5958155.0
2022-09-11,0.1445,0.1495,0.1418,0.144,6132729.0
2022-09-12,0.144,0.1467,0.139,0.1421,6531788.0
2022-09-13,0.1423,0.1483,0.133,0.1346,13268091.0
2022-09-14,0.1346,0.1384,0.1332,0.1362,5513965.0
2022-09-15,0.1362,0.1378,0.1282,0.1299,5425118.0
2022-09-16,0.1302,0.1325,0.1272,0.1313,4446921.0
2022-09-17,0.1311,0.1375,0.1309,0.1369,4560303.0
2022-09-18,0.1366,0.1369,0.1225,0.1237,5193224.0
2022-09-19,0.1236,0.1268,0.1203,0.1256,6171143.0
2022-09-20,0.1257,0.127,0.1205,0.1213,5007867.0
2022-09-21,0.121,0.1271,0.1168,0.1192,7513026.0
2022-09-22,0.1191,0.1264,0.1167,0.1248,5571637.0
2022-09-23,0.1248,0.1276,0.1196,0.1264,6551722.0
2022-09-24,0.1263,0.1424,0.1235,0.1241,22557066.0
2022-09-25,0.1242,0.1256,0.1197,0.1215,4828600.0
2022-09-26,0.1216,0.1258,0.1206,0.1244,4855108.0
2022-09-27,0.1246,0.1309,0.1217,0.123,12563948.0
2022-09-28,0.1232,0.1262,0.1185,0.1241,5559536.0
2022-09-29,0.1244,0.142,0.124,0.1295,61366944.0
2022-09-30,0.1294,0.131,0.1253,0.1284,8068932.0
