date,open,high,low,close,volume
2022-08-23,1.189,1.23,1.152,1.213,5966098.5
2022-08-24,1.214,1.236,1.175,1.199,3330258.8
2022-08-25,1.199,1.269,1.179,1.201,8443692.0
2022-08-26,1.201,1.21,1.052,1.068,5607491.5
2022-08-27,1.068,1.083,1.043,1.061,2523942.2
2022-08-28,1.062,1.074,0.999,1.004,3480004.6
2022-08-29,1.005,1.11,0.993,1.102,2700825.8
2022-08-30,1.101,1.113,1.021,1.053,4981285.3
2022-08-31,1.053,1.098,1.032,1.034,2951272.6
2022-09-01,1.035,1.065,1.006,1.059,2546527.1
2022-09-02,1.06,1.146,1.045,1.113,4601365.5
2022-09-03,1.114,1.142,1.083,1.133,3405894.7
2022-09-04,1.133,1.164,1.11,1.157,2604424.9
2022-09-05,1.158,1.245,1.12,1.238,7215301.1
2022-09-06,1.238,1.267,1.125,1.146,5425384.3
2022-09-07,1.147,1.268,1.086,1.252,6036753.5
2022-09-08,1.253,1.338,1.186,1.328,9029007.4
2022-09-09,1.328,1.367,1.292,1.326,8719275.8
2022-09-10,1.327,1.378,1.288,1.335,7339431.3
2022-09-11,1.336,1.367,1.275,1.302,5325970.3
2022-09-12,1.302,1.35,1.248,1.27,6800521.1
2022-09-13,1.27,1.282,1.169,1.171,9347508.6
2022-09-14,1.17,1.208,1.153,1.188,5281508.1
2022-09-15,1.188,1.19,1.105,1.114,5421685.6
2022-09-16,1.115,1.147,1.088,1.135,4736568.7
2022-09-17,1.135,1.184,1.12,1.18,3464726.0
2022-09-18,1.18,1.181,0.986,1.029,6694617.1
2022-09-19,1.029,1.08,1.0,1.066,6272248.1
2022-09-20,1.066,1.075,1.03,1.035,4959306.2
2022-09-21,1.036,1.109,0.991,1.011,7047382.9
2022-09-22,1.011,1.097,1.008,1.088,4954779.4
2022-09-23,1.088,1.113,1.034,1.082,4996019.4
2022-09-24,1.084,1.12,1.067,1.068,2994229.9
2022-09-25,1.068,1.092,1.029,1.04,2979190.8
2022-09-26,1.039,1.063,1.012,1.06,5612870.3
2022-09-27,1.06,1.141,1.04,1.069,6291582.5
2022-09-28,1.069,1.082,1.022,1.073,3877920.2
2022-09-29,1.074,1.112,1.053,1.106,4564997.7
2022-09-30,1.106,1.118,1.082,1.103,4143330.0
2022-10-01,1.103,1.125,1.07,1.074,3635670.1
2022-10-02,1.075,1.076,1.028,1.033,5167645.3
2022-10-03,1.033,1.093,1.016,1.086,3685962.7
2022-10-04,1.086,1.175,1.082,1.156,8641061.9
2022-10-05,1.156,1.327,1.101,1.289,16445648.1
2022-10-06,1.289,1.362,1.252,1.328,19591492.0
2022-10-07,1.328,1.434,1.297,1.36,20342042.9
2022-10-08,1.36,1.388,1.334,1.37,8737377.3
2022-10-09,1.369,1.393,1.322,1.386,6336856.5
2022-10-10,1.386,1.388,1.238,1.262,10102157.1
2022-10-11,1.262,1.283,1.205,1.257,8966750.4
2022-10-12,1.257,1.276,1.166,1.169,5363665.0
2022-10-13,1.169,1.258,1.086,1.257,11610540.2
2022-10-14,1.256,1.582,1.248,1.468,26416472.8
2022-10-15,1.468,1.505,1.398,1.482,14022564.6
2022-10-16,1.482,1.51,1.412,1.461,10132761.4
2022-10-17,1.46,1.473,1.381,1.421,7641647.1
2022-10-18,1.42,1.54,1.388,1.499,15630837.0
2022-10-19,1.498,1.535,1.458,1.487,10572478.9
2022-10-20,1.486,1.493,1.362,1.367,12300747.5
2022-10-21,1.367,1.377,1.277,1.348,9477921.4
2022-10-22,1.349,1.35,1.293,1.305,5228927.4
2022-10-23,1.307,1.445,1.258,1.439,10473718.7
2022-10-24,1.439,1.465,1.393,1.418,9667016.6
2022-10-25,1.419,1.665,1.394,1.56,19173638.8
2022-10-26,1.561,1.721,1.552,1.67,23344683.0
2022-10-27,1.67,1.725,1.595,1.61,17720555.9
2022-10-28,1.61,1.764,1.591,1.708,16069653.8
2022-10-29,1.708,1.873,1.645,1.842,18686844.9
2022-10-30,1.842,1.891,1.654,1.699,15065060.5
2022-10-31,1.699,1.809,1.583,1.598,15542836.7
2022-11-01,1.597,1.663,1.563,1.583,9902757.1
2022-11-02,1.583,1.698,1.5,1.621,17446674.8
2022-11-03,1.621,1.82,1.607,1.742,16489697.5
2022-11-04,1.742,2.08,1.695,1.98,22626303.6
2022-11-05,1.98,2.017,1.779,1.822,14586314.6
2022-11-06,1.821,1.893,1.71,1.718,10600291.4
2022-11-07,1.717,1.929,1.666,1.73,18352534.9
2022-11-08,1.73,1.88,1.131,1.391,40659910.8
2022-11-09,1.391,1.418,0.992,1.015,28256763.5
2022-11-10,1.016,1.309,0.996,1.242,26998532.5
2022-11-11,1.241,1.356,1.148,1.254,16751532.6
2022-11-12,1.255,1.262,1.103,1.173,10265708.0
2022-11-13,1.173,1.3,1.154,1.246,18172418.6
2022-11-14,1.245,1.33,1.135,1.272,18297281.6
2022-11-15,1.273,1.38,1.237,1.311,11703775.1
2022-11-16,1.312,1.375,1.263,1.299,10113968.0
2022-11-17,1.299,1.329,1.223,1.229,8116436.7
2022-11-18,1.229,1.262,1.19,1.215,5464094.9
2022-11-19,1.216,1.232,1.162,1.221,5258723.4
2022-11-20,1.22,1.25,1.138,1.172,5973243.9
2022-11-21,1.171,1.209,1.078,1.117,9381531.8
2022-11-22,1.117,1.189,1.079,1.177,7851083.3
2022-11-23,1.177,1.229,1.163,1.208,6208923.8
2022-11-24,1.207,1.231,1.157,1.169,6375727.0
2022-11-25,1.168,1.189,1.142,1.173,5439866.6
2022-11-26,1.173,1.222,1.168,1.19,5327729.1
2022-11-27,1.19,1.322,1.184,1.269,14040159.4
2022-11-28,1.269,1.387,1.209,1.335,19039104.4
2022-11-29,1.335,1.42,1.293,1.387,13211624.3
2022-11-30,1.386,1.486,1.367,1.467,12269104.2
2022-12-01,1.467,1.473,1.354,1.385,8919801.3
2022-12-02,1.386,1.401,1.32,1.379,9890835.7
2022-12-03,1.38,1.435,1.314,1.326,7999757.2
2022-12-04,1.326,1.359,1.325,1.35,2944604.5
2022-12-05,1.35,1.405,1.346,1.38,5571079.5
2022-12-06,1.381,1.427,1.236,1.262,21361716.0
2022-12-07,1.263,1.281,1.143,1.162,15793706.7
2022-12-08,1.162,1.199,1.133,1.187,7430339.7
2022-12-09,1.188,1.213,1.144,1.185,8138717.4
2022-12-10,1.184,1.201,1.165,1.174,3416078.2
2022-12-11,1.174,1.191,1.116,1.142,7114156.2
2022-12-12,1.141,1.146,1.091,1.14,9940160.8
2022-12-13,1.14,1.192,1.096,1.163,8131640.8
2022-12-14,1.162,1.171,1.11,1.118,7815634.7
2022-12-15,1.118,1.133,1.094,1.128,4888418.3
2022-12-16,1.128,1.136,0.951,0.976,8443224.4
2022-12-17,0.978,1.025,0.953,1.021,5539826.0
2022-12-18,1.02,1.023,0.998,1.004,2925297.0
2022-12-19,1.003,1.017,0.9,0.923,7600164.1
2022-12-20,0.924,0.989,0.917,0.962,4708547.1
2022-12-21,0.962,0.964,0.923,0.934,4533023.1
2022-12-22,0.933,0.951,0.904,0.95,4264205.6
2022-12-23,0.95,0.96,0.932,0.938,2908694.0
2022-12-24,0.939,0.95,0.936,0.941,1284673.5
2022-12-25,0.94,0.948,0.911,0.935,2941703.5
2022-12-26,0.935,0.988,0.929,0.986,3734967.6
2022-12-27,0.985,1.024,0.973,0.982,10381391.0
2022-12-28,0.983,0.988,0.94,0.956,10862467.8
2022-12-29,0.956,0.984,0.916,0.941,6614598.1
2022-12-30,0.941,0.95,0.912,0.923,5215597.5
2022-12-31,0.923,0.944,0.905,0.924,4661262.8
2023-01-01,0.925,0.945,0.913,0.942,3170930.7
2023-01-02,0.941,0.972,0.922,0.958,7172308.7
2023-01-03,0.958,0.985,0.95,0.965,6143182.7
2023-01-04,0.965,1.013,0.963,0.991,5669719.3
2023-01-05,0.99,1.009,0.969,0.986,7619717.6
2023-01-06,0.985,1.054,0.956,1.043,7153411.0
2023-01-07,1.044,1.073,1.026,1.068,6316048.4
2023-01-08,1.068,1.1,1.043,1.091,11398343.7
2023-01-09,1.091,1.137,1.077,1.078,12278891.4
2023-01-10,1.079,1.148,1.063,1.119,12178239.3
2023-01-11,1.119,1.125,1.049,1.095,7943556.9
2023-01-12,1.095,1.144,1.062,1.137,14955196.7
2023-01-13,1.137,1.223,1.096,1.206,17538599.0
2023-01-14,1.205,1.33,1.18,1.245,24617253.4
2023-01-15,1.245,1.334,1.21,1.287,14613234.6
2023-01-16,1.286,1.337,1.192,1.254,14707717.2
2023-01-17,1.254,1.296,1.225,1.229,7739326.9
2023-01-18,1.229,1.318,1.127,1.178,14871456.1
2023-01-19,1.177,1.202,1.147,1.191,6163354.6
2023-01-20,1.191,1.316,1.165,1.307,9447263.5
2023-01-21,1.307,1.358,1.265,1.298,11853555.8
2023-01-22,1.299,1.417,1.278,1.337,12606637.3
2023-01-23,1.337,1.382,1.314,1.339,8588254.2
2023-01-24,1.339,1.376,1.218,1.239,8957798.7
2023-01-25,1.239,1.324,1.214,1.296,8581825.7
2023-01-26,1.297,1.338,1.271,1.32,8881473.6
2023-01-27,1.321,1.36,1.266,1.349,8187710.0
2023-01-28,1.35,1.365,1.278,1.291,4878129.8
2023-01-29,1.291,1.367,1.275,1.35,6042138.1
2023-01-30,1.349,1.364,1.217,1.246,9191785.7
2023-01-31,1.245,1.28,1.234,1.264,4926990.3
2023-02-01,1.264,1.318,1.19,1.303,9993169.2
2023-02-02,1.303,1.629,1.303,1.519,29357126.2
2023-02-03,1.52,1.638,1.468,1.55,21695089.9
2023-02-04,1.549,1.58,1.494,1.504,9706953.2
2023-02-05,1.504,1.536,1.407,1.431,10777936.5
2023-02-06,1.432,1.554,1.391,1.43,12273548.0
2023-02-07,1.43,1.514,1.427,1.503,13137944.6
2023-02-08,1.502,1.548,1.375,1.443,10755966.9
2023-02-09,1.443,1.47,1.22,1.262,11981602.1
2023-02-10,1.261,1.319,1.234,1.294,11414293.6
2023-02-11,1.294,1.33,1.269,1.313,5056721.6
2023-02-12,1.312,1.324,1.241,1.267,4997708.1
2023-02-13,1.267,1.287,1.205,1.284,9340522.7
2023-02-14,1.283,1.326,1.244,1.308,6378408.9
2023-02-15,1.308,1.42,1.283,1.418,11167117.6
2023-02-16,1.418,1.439,1.315,1.324,9899530.9
2023-02-17,1.324,1.431,1.314,1.411,6940383.3
2023-02-18,1.41,1.471,1.402,1.434,7667262.1
2023-02-19,1.434,1.519,1.411,1.419,9936391.3
2023-02-20,1.421,1.512,1.38,1.502,8306410.5
2023-02-21,1.503,1.515,1.396,1.451,8901272.4
2023-02-22,1.451,1.472,1.337,1.395,7004040.8
2023-02-23,1.395,1.488,1.382,1.478,9713055.8
2023-02-24,1.478,1.515,1.332,1.36,10890854.1
2023-02-25,1.36,1.383,1.272,1.318,5218016.8
2023-02-26,1.318,1.349,1.309,1.347,3917549.5
2023-02-27,1.346,1.366,1.275,1.301,6655982.8
2023-02-28,1.3,1.339,1.258,1.276,6091151.6
2023-03-01,1.276,1.364,1.264,1.36,5038061.4
2023-03-02,1.36,1.369,1.287,1.314,5897982.6
2023-03-03,1.314,1.315,1.164,1.24,8037265.3
2023-03-04,1.24,1.25,1.159,1.201,4308041.8
2023-03-05,1.201,1.229,1.192,1.202,3351908.0
2023-03-06,1.202,1.225,1.172,1.216,5205771.5
2023-03-07,1.216,1.238,1.155,1.19,5592352.5
2023-03-08,1.19,1.199,1.104,1.114,5567143.4
2023-03-09,1.115,1.168,1.031,1.058,8215719.4
2023-03-10,1.058,1.099,0.997,1.089,11962640.1
2023-03-11,1.088,1.106,1.015,1.072,9657107.8
2023-03-12,1.071,1.17,1.051,1.163,12860364.0
2023-03-13,1.164,1.288,1.108,1.227,17337625.5
2023-03-14,1.228,1.287,1.18,1.248,15518604.1
2023-03-15,1.247,1.277,1.1,1.126,12564088.1
2023-03-16,1.126,1.185,1.109,1.167,8382733.6
2023-03-17,1.165,1.256,1.149,1.252,8915150.1
2023-03-18,1.253,1.3,1.192,1.201,7412640.5
2023-03-19,1.201,1.262,1.197,1.224,4254596.8
2023-03-20,1.225,1.249,1.144,1.162,5972631.8
2023-03-21,1.162,1.219,1.127,1.171,10654038.9
2023-03-22,1.172,1.177,1.029,1.05,13667357.2
2023-03-23,1.05,1.12,1.045,1.075,14294705.6
2023-03-24,1.076,1.085,1.014,1.031,14332139.5
2023-03-25,1.031,1.044,0.998,1.018,13242527.8
2023-03-26,1.018,1.06,1.011,1.053,7303992.5
2023-03-27,1.054,1.063,0.968,1.008,12252529.1
2023-03-28,1.007,1.054,0.992,1.05,8092159.9
2023-03-29,1.05,1.091,1.046,1.083,10211086.9
2023-03-30,1.082,1.1,1.042,1.078,5694459.1
2023-03-31,1.078,1.109,1.056,1.104,4946607.3
2023-04-01,1.103,1.126,1.077,1.093,4161347.5
2023-04-02,1.094,1.109,1.043,1.058,4211656.9
2023-04-03,1.057,1.102,1.019,1.084,5673291.8
2023-04-04,1.085,1.16,1.075,1.136,6638302.6
2023-04-05,1.137,1.162,1.116,1.13,3733241.1
2023-04-06,1.129,1.145,1.11,1.144,3327094.1
2023-04-07,1.144,1.149,1.097,1.108,3559836.9
2023-04-08,1.108,1.133,1.088,1.102,4286047.4
2023-04-09,1.101,1.127,1.059,1.112,6224485.3
2023-04-10,1.113,1.15,1.093,1.147,4188946.5
2023-04-11,1.147,1.157,1.132,1.139,3945200.2
2023-04-12,1.138,1.145,1.093,1.125,5607653.9
2023-04-13,1.125,1.172,1.112,1.169,3694384.3
2023-04-14,1.169,1.2,1.148,1.189,6334837.8
2023-04-15,1.188,1.192,1.167,1.18,3277516.3
2023-04-16,1.179,1.217,1.161,1.197,3096996.7
2023-04-17,1.198,1.2,1.155,1.165,4243792.8
2023-04-18,1.166,1.221,1.157,1.209,4594793.9
2023-04-19,1.209,1.209,1.077,1.104,8784717.5
2023-04-20,1.104,1.113,1.047,1.071,4608922.9
2023-04-21,1.071,1.081,1.014,1.027,3254897.5
2023-04-22,1.027,1.054,1.022,1.051,2386339.4
2023-04-23,1.051,1.062,1.018,1.045,3151156.0
2023-04-24,1.045,1.06,1.029,1.048,3115392.1
2023-04-25,1.048,1.068,1.016,1.065,3783976.4
2023-04-26,1.066,1.095,0.98,1.031,8303650.2
2023-04-27,1.03,1.068,1.022,1.057,4604403.9
2023-04-28,1.057,1.059,1.026,1.048,2621538.9
2023-04-29,1.047,1.061,1.039,1.056,2415781.7
2023-04-30,1.056,1.056,1.015,1.016,4357445.4
2023-05-01,1.016,1.023,0.99,1.009,3368917.2
2023-05-02,1.008,1.027,1.0,1.015,2041346.7
2023-05-03,1.015,1.051,0.993,1.044,2942816.6
2023-05-04,1.044,1.046,1.018,1.029,1723251.8
2023-05-05,1.029,1.056,1.021,1.046,3431495.6
2023-05-06,1.046,1.05,0.985,0.996,4101009.5
2023-05-07,0.995,1.01,0.987,0.991,1862680.5
2023-05-08,0.99,0.995,0.871,0.904,6026887.0
2023-05-09,0.903,0.909,0.879,0.895,4706358.0
2023-05-10,0.894,0.917,0.85,0.915,5618247.1
2023-05-11,0.915,0.916,0.858,0.873,3190692.9
2023-05-12,0.873,0.888,0.845,0.886,3491258.4
2023-05-13,0.886,0.891,0.874,0.885,2111417.4
2023-05-14,0.885,0.901,0.877,0.897,2152293.2
2023-05-15,0.896,0.913,0.885,0.89,3053479.4
2023-05-16,0.89,0.904,0.88,0.897,5374298.3
2023-05-17,0.898,0.928,0.884,0.925,4383765.8
2023-05-18,0.925,0.93,0.878,0.906,3963837.7
2023-05-19,0.905,0.908,0.892,0.9,2408322.2
2023-05-20,0.9,0.908,0.889,0.9,1705455.4
2023-05-21,0.899,0.906,0.876,0.879,1790858.7
2023-05-22,0.879,0.902,0.865,0.896,2605929.8
2023-05-23,0.896,0.916,0.894,0.899,2232094.2
2023-05-24,0.9,0.9,0.853,0.865,3102324.9
2023-05-25,0.865,0.866,0.842,0.851,2918312.0
2023-05-26,0.85,0.854,0.827,0.84,3302600.8
2023-05-27,0.841,0.849,0.832,0.843,1738679.0
2023-05-28,0.842,0.899,0.839,0.883,3138228.8
2023-05-29,0.883,0.886,0.858,0.869,3285246.9
2023-05-30,0.869,0.885,0.859,0.87,2945548.3
2023-05-31,0.869,0.872,0.829,0.839,4054279.9
2023-06-01,0.839,0.855,0.829,0.835,3555896.7
2023-06-02,0.835,0.859,0.828,0.855,3372746.9
2023-06-03,0.855,0.859,0.847,0.849,1783693.2
2023-06-04,0.85,0.87,0.845,0.859,2628771.5
2023-06-05,0.858,0.858,0.746,0.761,7047699.9
2023-06-06,0.76,0.771,0.73,0.767,5581043.7
2023-06-07,0.767,0.767,0.714,0.725,4659280.8
2023-06-08,0.725,0.756,0.717,0.746,3033542.6
2023-06-09,0.746,0.755,0.732,0.747,2559663.3
2023-06-10,0.747,0.747,0.481,0.583,20245175.3
2023-06-11,0.583,0.585,0.56,0.569,4757827.5
2023-06-12,0.569,0.574,0.542,0.571,4409261.2
2023-06-13,0.571,0.588,0.564,0.576,3026649.8
2023-06-14,0.576,0.593,0.544,0.556,3838726.1
2023-06-15,0.556,0.595,0.551,0.59,3377510.3
2023-06-16,0.589,0.615,0.583,0.602,3212392.0
2023-06-17,0.602,0.624,0.597,0.6,3043559.1
2023-06-18,0.6,0.608,0.585,0.596,2597375.4
2023-06-19,0.596,0.603,0.583,0.596,2294067.2
2023-06-20,0.596,0.621,0.578,0.62,3383350.4
2023-06-21,0.62,0.648,0.619,0.639,4902559.1
2023-06-22,0.638,0.661,0.632,0.642,3976289.3
2023-06-23,0.641,0.686,0.639,0.68,5190761.0
2023-06-24,0.679,0.695,0.659,0.673,4213731.9
2023-06-25,0.673,0.742,0.673,0.699,9295801.1
2023-06-26,0.699,0.701,0.665,0.673,5080102.4
2023-06-27,0.673,0.692,0.667,0.681,2631315.1
2023-06-28,0.682,0.682,0.598,0.628,4785683.9
2023-06-29,0.627,0.658,0.625,0.65,2788336.5
2023-06-30,0.65,0.694,0.628,0.689,11144947.2
2023-07-01,0.689,0.696,0.66,0.69,7212232.9
2023-07-02,0.691,0.694,0.665,0.693,4202032.1
2023-07-03,0.693,0.714,0.689,0.704,4650428.4
2023-07-04,0.704,0.708,0.682,0.693,2816889.6
2023-07-05,0.694,0.728,0.668,0.679,5342794.9
2023-07-06,0.678,0.716,0.645,0.646,4359125.3
2023-07-07,0.646,0.658,0.638,0.65,2160104.6
2023-07-08,0.649,0.655,0.622,0.636,1936499.5
2023-07-09,0.636,0.646,0.631,0.634,956305.1
2023-07-10,0.634,0.649,0.61,0.634,2586516.6
2023-07-11,0.634,0.639,0.627,0.637,1421830.1
2023-07-12,0.637,0.652,0.622,0.634,2124037.3
2023-07-13,0.634,0.715,0.623,0.713,5631504.0
2023-07-14,0.713,0.73,0.661,0.686,6621412.8
2023-07-15,0.686,0.693,0.671,0.679,1876272.2
2023-07-16,0.678,0.716,0.662,0.681,6176701.8
2023-07-17,0.681,0.816,0.679,0.742,38809045.9
2023-07-18,0.741,0.766,0.701,0.723,13086729.3
2023-07-19,0.723,0.744,0.701,0.707,5131745.9
2023-07-20,0.706,0.755,0.7,0.738,8281028.6
2023-07-21,0.739,0.757,0.718,0.72,5320599.5
2023-07-22,0.721,0.725,0.685,0.694,3243333.3
2023-07-23,0.693,0.715,0.689,0.702,2238847.7
2023-07-24,0.702,0.708,0.637,0.663,5008501.7
2023-07-25,0.662,0.669,0.651,0.655,2478295.4
2023-07-26,0.655,0.668,0.644,0.658,2707139.0
2023-07-27,0.658,0.677,0.653,0.656,2945187.4
2023-07-28,0.656,0.666,0.646,0.663,2637154.0
2023-07-29,0.664,0.686,0.659,0.684,3025274.8
2023-07-30,0.685,0.707,0.654,0.673,7259686.8
2023-07-31,0.672,0.723,0.669,0.686,10770549.8
