date,open,high,low,close,volume
2022-08-23,0.397,0.412,0.386,0.407,6157099.1
2022-08-24,0.407,0.42,0.394,0.405,12649682.5
2022-08-25,0.405,0.417,0.401,0.408,6923611.5
2022-08-26,0.407,0.409,0.357,0.366,10650751.2
2022-08-27,0.366,0.367,0.355,0.361,6446706.4
2022-08-28,0.361,0.373,0.356,0.357,4593179.3
2022-08-29,0.358,0.379,0.355,0.377,6006598.9
2022-08-30,0.377,0.383,0.36,0.366,8141590.5
2022-08-31,0.367,0.382,0.366,0.368,6237242.7
2022-09-01,0.367,0.377,0.358,0.376,4763337.6
2022-09-02,0.376,0.384,0.367,0.372,5540103.7
2022-09-03,0.372,0.376,0.367,0.373,2317066.5
2022-09-04,0.372,0.384,0.371,0.383,3046362.6
2022-09-05,0.384,0.386,0.366,0.375,3523636.4
2022-09-06,0.375,0.388,0.342,0.343,10127823.6
2022-09-07,0.344,0.359,0.336,0.356,6150634.4
2022-09-08,0.355,0.369,0.351,0.368,8010762.1
2022-09-09,0.368,0.392,0.368,0.3866,12753747.6
2022-09-10,0.3868,0.3934,0.3814,0.389,16581461.9
2022-09-11,0.3891,0.3947,0.3787,0.387,17320528.3
2022-09-12,0.3871,0.4002,0.3807,0.3913,17672432.8
2022-09-13,0.3913,0.3996,0.3512,0.3529,29599757.7
2022-09-14,0.3527,0.3613,0.3468,0.3582,14663586.7
2022-09-15,0.3578,0.3587,0.3397,0.3424,18962226.2
2022-09-16,0.3424,0.3481,0.338,0.3472,12685693.7
2022-09-17,0.3468,0.3587,0.3467,0.3574,8507170.5
2022-09-18,0.3574,0.3585,0.3183,0.3271,10640937.7
2022-09-19,0.3273,0.3335,0.318,0.3306,21509206.1
2022-09-20,0.3305,0.3519,0.325,0.3334,29045390.3
2022-09-21,0.3335,0.349,0.3173,0.3212,26247452.9
2022-09-22,0.3212,0.3487,0.3204,0.3449,13973055.4
2022-09-23,0.3449,0.3603,0.3334,0.3567,22502981.9
2022-09-24,0.3569,0.3639,0.3442,0.3459,13073244.9
2022-09-25,0.3458,0.3518,0.3362,0.3402,6653230.4
2022-09-26,0.3403,0.3499,0.3336,0.3484,10325972.0
