date,open,high,low,close,volume
2022-08-23,0.1532,0.1578,0.1492,0.1568,2786519.0
2022-08-24,0.1564,0.1566,0.1484,0.1504,3062894.0
2022-08-25,0.1502,0.1544,0.1501,0.1515,3110915.0
2022-08-26,0.1513,0.152,0.1356,0.1373,9320336.0
2022-08-27,0.1368,0.1425,0.1352,0.1377,2845912.0
2022-08-28,0.1375,0.1465,0.1301,0.1309,10216304.0
2022-08-29,0.1309,0.1376,0.1302,0.1368,4724603.0
2022-08-30,0.1367,0.1423,0.1323,0.1343,3671781.0
2022-08-31,0.1347,0.1404,0.1336,0.1347,4455631.0
2022-09-01,0.1347,0.168,0.1315,0.1623,43263586.0
2022-09-02,0.1623,0.1899,0.1487,0.1494,89974088.0
2022-09-03,0.1492,0.1509,0.1425,0.1461,13727307.0
2022-09-04,0.146,0.1548,0.1427,0.1492,11473129.0
2022-09-05,0.1492,0.1569,0.143,0.1513,11520479.0
2022-09-06,0.1511,0.1537,0.1387,0.1415,12314373.0
2022-09-07,0.1415,0.1493,0.1379,0.145,6384750.0
2022-09-08,0.1451,0.152,0.14,0.1475,9479167.0
2022-09-09,0.1476,0.1667,0.1474,0.1617,17464987.0
2022-09-10,0.1617,0.1973,0.1607,0.1747,41849360.0
2022-09-11,0.175,0.197,0.1711,0.1818,23425235.0
2022-09-12,0.1812,0.205,0.1742,0.1935,38175489.0
2022-09-13,0.1937,0.1981,0.168,0.172,27174871.0
2022-09-14,0.1718,0.186,0.1659,0.175,18188482.0
2022-09-15,0.175,0.1778,0.1671,0.1679,8634118.0
2022-09-16,0.168,0.1717,0.1571,0.1609,7820065.0
2022-09-17,0.1609,0.1762,0.1603,0.1751,6816284.0
2022-09-18,0.1752,0.1799,0.1604,0.1621,7606354.0
2022-09-19,0.162,0.1709,0.1605,0.1692,7352874.0
2022-09-20,0.1694,0.1879,0.1675,0.1791,32416902.0
2022-09-21,0.1791,0.1822,0.1648,0.1671,18849383.0
2022-09-22,0.1671,0.1768,0.1656,0.176,6383151.0
2022-09-23,0.1758,0.1914,0.172,0.1817,22505880.0
2022-09-24,0.1818,0.19,0.1746,0.1756,10438835.0
2022-09-25,0.1756,0.1797,0.1724,0.1742,5668195.0
2022-09-26,0.1742,0.1782,0.1675,0.1761,8213584.0
2022-09-27,0.176,0.184,0.1707,0.1735,10271124.0
2022-09-28,0.1731,0.1738,0.1617,0.1685,9927822.0
2022-09-29,0.1686,0.1697,0.1601,0.1671,6865056.0
2022-09-30,0.1673,0.185,0.1661,0.1703,11716851.0
2022-10-01,0.1702,0.175,0.1668,0.1701,3893879.0
2022-10-02,0.1701,0.1722,0.1626,0.1639,3495294.0
2022-10-03,0.1636,0.1685,0.1619,0.1669,4111819.0
2022-10-04,0.1669,0.1716,0.1634,0.1699,6984329.0
2022-10-05,0.1699,0.173,0.1652,0.1697,6307443.0
2022-10-06,0.1698,0.171,0.1625,0.164,5443038.0
2022-10-07,0.164,0.1666,0.1615,0.1632,3086584.0
2022-10-08,0.1632,0.165,0.1618,0.1632,1760621.0
2022-10-09,0.1627,0.1645,0.1605,0.1615,1414356.0
2022-10-10,0.1615,0.1627,0.15,0.1502,3199531.0
2022-10-11,0.1503,0.151,0.143,0.1443,4386178.0
2022-10-12,0.1443,0.1485,0.1434,0.1443,2421139.0
2022-10-13,0.1443,0.1467,0.13,0.1434,8718162.0
2022-10-14,0.1438,0.1476,0.1369,0.1388,3314376.0
2022-10-15,0.1388,0.1408,0.1378,0.1387,2383171.0
2022-10-16,0.1386,0.146,0.1386,0.1441,4230649.0
2022-10-17,0.1439,0.1456,0.1416,0.1434,2867807.0
2022-10-18,0.1434,0.1442,0.1382,0.1414,2638147.0
2022-10-19,0.1417,0.1418,0.1367,0.1371,2149580.0
2022-10-20,0.1371,0.1404,0.1342,0.1349,2401272.0
2022-10-21,0.1347,0.1426,0.131,0.1385,3579565.0
2022-10-22,0.1387,0.1773,0.1376,0.1438,57219827.0
2022-10-23,0.1438,0.1479,0.1413,0.1446,4030237.0
2022-10-24,0.1445,0.145,0.1387,0.1405,3827484.0
2022-10-25,0.1405,0.165,0.1404,0.1482,21727382.0
2022-10-26,0.1484,0.1525,0.1474,0.1505,4741218.0
2022-10-27,0.1502,0.1535,0.1482,0.1484,3480884.0
2022-10-28,0.1487,0.1537,0.1468,0.1513,2488832.0
2022-10-29,0.1514,0.1547,0.15,0.1511,3414871.0
2022-10-30,0.1512,0.154,0.1496,0.15,2781545.0
2022-10-31,0.1501,0.152,0.1466,0.1481,3050764.0
2022-11-01,0.1477,0.1548,0.1471,0.1509,3316140.0
2022-11-02,0.1509,0.1535,0.1476,0.149,3511089.0
2022-11-03,0.1487,0.1554,0.1483,0.1506,7359477.0
2022-11-04,0.1504,0.1594,0.1503,0.1586,6790691.0
2022-11-05,0.1586,0.165,0.1576,0.1587,7006467.0
2022-11-06,0.1589,0.162,0.157,0.157,4663207.0
2022-11-07,0.157,0.1593,0.1523,0.1566,4470561.0
